"","IF00C1_hpft","SPX_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","T00C1_hpft","USDX_hpft","USDCNH_hpft"
"2013-03-15",2490.03339725271,1540.94136959576,3.55708266056725,1.8975933824093,1.98081132986223,NA,81.6480079572372,6.19262005538971
"2013-03-18",2490.06194425776,1542.47267842043,3.55321530619752,1.9015084496982,1.98030229270252,NA,81.6690538336176,6.19150878547479
"2013-03-19",2490.03641578919,1544.00314125765,3.5519256558815,1.90287770242582,1.98017973917381,NA,81.6898932563254,6.19094853627552
"2013-03-20",2489.95736422087,1545.53258115351,3.55063751722399,1.90428256211356,1.98008548289237,NA,81.7105136938075,6.19038519911935
"2013-03-21",2489.82535836309,1547.06082294682,3.54935200356599,1.90572516373787,1.9800223807671,NA,81.7309031601901,6.18981877611328
"2013-03-22",2489.64101664717,1548.58769692339,3.54807026212845,1.9072076487724,1.97999329120101,NA,81.7510501406172,6.18924927594281
"2013-03-25",2489.40501007319,1550.11303284786,3.5442596285523,1.91191612296787,1.98013849137099,NA,81.7709435662884,6.18810111066938
"2013-03-26",2489.11806592391,1551.63666391669,3.54300508837186,1.9135799213766,1.98027372529307,NA,81.790572628385,6.18752249385147
"2013-03-27",2488.7809665395,1553.15842397824,3.54176052853498,1.91529454362728,1.98045699207811,NA,81.8099269806622,6.18694089732722
"2013-03-28",2488.39452868556,1554.67815189625,3.54052728078506,1.9170622025136,1.98069101833167,NA,81.8289967230667,6.18635636211995
"2013-03-29",2487.95960418852,NA,3.539306705073,1.91888511277445,1.98097849623055,NA,81.8477725342794,6.18576893907405
"2013-04-01",2487.4770524829,1556.1956905406,3.53810018746269,1.92076546969497,1.98132207947147,NA,81.8662455728921,6.18458567637301
"2013-04-02",2486.94773128372,1557.71088877978,3.53690913381525,1.92270544835329,1.98172436988321,NA,81.8844074655154,6.18398998518685
"2013-04-03",2486.37249653797,1559.2235979518,3.53573496565799,1.92470720077618,1.98218789793984,NA,81.9022501999338,6.18339170296911
"2013-04-08",2485.75221198556,1563.7453468159,3.53016770821438,1.93571588001391,1.98550860144295,NA,81.953789262348,6.18036486937599
"2013-04-09",2485.08773815349,1565.24664656831,3.52912505552509,1.93813153226671,1.98638941385838,NA,81.9702828295018,6.17975320038183
"2013-04-10",2484.37992649466,1566.74472208807,3.52810935406987,1.94062277862834,1.98734743903051,NA,81.9864225518702,6.17913972513823
