"","SPX_hpft","IH00C1_hpft","US_10yry_hpft","CN_10yry_hpft","UK_10yry_hpft","T00C1_hpft","USDX_hpft","USDCNH_hpft"
"2013-03-05",1528.6838903765,NA,1.88605059788518,3.56966494640868,1.98321255487201,NA,81.4738327708546,6.19747364966539
"2013-03-06",1530.21476767272,NA,1.88713135520963,3.56844396744619,1.98297036535035,NA,81.4960343907451,6.1969457203155
"2013-03-07",1531.7464702974,NA,1.88822433002923,3.56721252458221,1.98272199079742,NA,81.5181436216408,6.19641506646867
"2013-03-08",1533.27876433207,NA,1.88933098716624,3.5659714013108,1.98246988608271,NA,81.5401448290013,6.19588163300058
"2013-03-11",1534.81142103084,NA,1.89274820912867,3.56219808163968,1.98171591086962,NA,81.5620226188021,6.19480622615526
"2013-03-12",1536.34421904748,NA,1.89392505483367,3.56092647924595,1.98147375267426,NA,81.5837620888571,6.19426416132121
"2013-03-13",1537.87694588518,NA,1.89512364175509,3.5596494284941,1.98124048535611,NA,81.605348757771,6.19371913377677
"2013-03-14",1539.40939571706,NA,1.89634579174539,3.558367843172,1.98101877359408,NA,81.6267685559532,6.19317110794438
"2013-03-15",1540.94136959576,NA,1.8975933824093,3.55708266056725,1.98081132986223,NA,81.6480079572372,6.19262005538971
"2013-03-18",1542.47267842043,NA,1.9015084496982,3.55321530619752,1.98030229270252,NA,81.6690538336176,6.19150878547479
"2013-03-19",1544.00314125765,NA,1.90287770242582,3.5519256558815,1.98017973917381,NA,81.6898932563254,6.19094853627552
"2013-03-20",1545.53258115351,NA,1.90428256211356,3.55063751722399,1.98008548289237,NA,81.7105136938075,6.19038519911935
"2013-03-21",1547.06082294682,NA,1.90572516373787,3.54935200356599,1.9800223807671,NA,81.7309031601901,6.18981877611328
"2013-03-22",1548.58769692339,NA,1.9072076487724,3.54807026212845,1.97999329120101,NA,81.7510501406172,6.18924927594281
"2013-03-25",1550.11303284786,NA,1.91191612296787,3.5442596285523,1.98013849137099,NA,81.7709435662884,6.18810111066938
"2013-03-26",1551.63666391669,NA,1.9135799213766,3.54300508837186,1.98027372529307,NA,81.790572628385,6.18752249385147
"2013-03-27",1553.15842397824,NA,1.91529454362728,3.54176052853498,1.98045699207811,NA,81.8099269806622,6.18694089732722
"2013-03-28",1554.67815189625,NA,1.9170622025136,3.54052728078506,1.98069101833167,NA,81.8289967230667,6.18635636211995
"2013-03-29",NA,NA,1.91888511277445,3.539306705073,1.98097849623055,NA,81.8477725342794,6.18576893907405
"2013-04-01",1556.1956905406,NA,1.92076546969497,3.53810018746269,1.98132207947147,NA,81.8662455728921,6.18458567637301
"2013-04-02",1557.71088877978,NA,1.92270544835329,3.53690913381525,1.98172436988321,NA,81.8844074655154,6.18398998518685
"2013-04-03",1559.2235979518,NA,1.92470720077618,3.53573496565799,1.98218789793984,NA,81.9022501999338,6.18339170296911
"2013-04-08",1563.7453468159,NA,1.93571588001391,3.53016770821438,1.98550860144295,NA,81.953789262348,6.18036486937599
"2013-04-09",1565.24664656831,NA,1.93813153226671,3.52912505552509,1.98638941385838,NA,81.9702828295018,6.17975320038183
"2013-04-10",1566.74472208807,NA,1.94062277862834,3.52810935406987,1.98734743903051,NA,81.9864225518702,6.17913972513823
"2013-04-11",1568.23942470447,NA,1.94319130344385,3.52712203202163,1.98838460856832,NA,82.0022022866803,6.17852458169815
"2013-04-12",1569.73061442127,NA,1.94583872466339,3.52616449336794,1.98950275302237,NA,82.017616095185,6.17790791045432
"2013-04-15",1571.21816163021,NA,1.95426982954936,3.52348439248503,1.99336003890651,NA,82.0326581452007,6.17667055881386
"2013-04-16",1572.7019446262,NA,1.95724794362151,3.52265973630705,1.99481875788329,NA,82.0473226509976,6.17605017368892
"2013-04-17",1574.18183390894,NA,1.96031210881429,3.52187167044771,1.99636646105875,NA,82.0616039456224,6.17542885636204
"2013-04-18",1575.65770075034,NA,1.9634634881791,3.52112151299293,1.99800453641639,NA,82.0754962681556,6.17480676816548
"2013-04-19",1577.12940725733,NA,1.96670315783282,3.52041055827231,1.99973429002559,NA,82.0889940967635,6.17418407099827
"2013-04-22",1578.59680146291,NA,1.97696119752213,3.51852549918875,2.00548541987649,NA,82.1020921140206,6.17231396096387
"2013-04-23",1580.05972235601,NA,1.98056281292235,3.51798389065347,2.0075932283527,NA,82.1147852757333,6.17169047708272
"2013-04-24",1581.5180022718,NA,1.98425660224481,3.5174877125134,2.00979789615265,NA,82.1270687600573,6.17106722355331
"2013-04-25",1582.97147301643,NA,1.98804302934846,3.51703819226061,2.01210014579956,NA,82.1389381151966,6.17044437744759
"2013-04-26",1584.41996526844,NA,1.99192245712665,3.51663654383421,2.0145005865843,NA,82.1503892253872,6.1698221159337
"2013-05-02",1590.16078905595,NA,2.0127196466548,3.51538737451772,2.0279894243535,NA,82.1919352008332,6.16672567557981
"2013-05-03",1591.58188303416,NA,2.01715842559578,3.51529719790716,2.03098587012409,NA,82.2012377212047,6.16611055448515
"2013-05-06",1592.99700713848,NA,2.03102580364237,3.51536489719238,2.04057107160275,NA,82.2100984868804,6.16488579988888
"2013-05-07",1594.40600951493,NA,2.03582947514603,3.5155034611847,2.04396347701991,NA,82.2185133291299,6.16427647886261
"2013-05-08",1595.80874843806,NA,2.04072227133586,3.51570158228083,2.04745360936836,NA,82.2264781287856,6.16366940485945
"2013-05-09",1597.20509522562,NA,2.04570315668781,3.51596016009954,2.05104075733498,NA,82.2339887962289,6.16306473303783
"2013-05-10",1598.59493644053,NA,2.05077100444005,3.51628006615034,2.05472412240707,NA,82.241041115157,6.16246260744949
"2013-05-13",1599.97817082534,NA,2.06648361762455,3.51761607296428,2.06634232096467,NA,82.2476310618958,6.16126653330682
"2013-05-14",1601.35471163364,NA,2.07188621868552,3.51818946382514,2.07040094154693,NA,82.2537549678308,6.16067284296265
"2013-05-15",1602.72448608718,NA,2.07736887869632,3.51882812098629,2.07455059617307,NA,82.2594095704201,6.1600822128316
"2013-05-16",1604.08744165627,NA,2.0829300195347,3.51953274271198,2.07879006851864,NA,82.2645921842722,6.1594947556617
"2013-05-17",1605.44354898229,NA,2.08856801456266,3.52030399741023,2.08311809483968,NA,82.26930075668,6.15891057775992
"2013-05-20",1606.79279787934,NA,2.1059258465619,3.52302380745508,2.09662015328452,NA,82.2735338530807,6.15717869306718
"2013-05-21",1608.13520380075,NA,2.11185362087482,3.52406768583604,2.10128883931563,NA,82.277290841115,6.15660857743689
"2013-05-22",1609.47080679359,NA,2.11784910297702,3.52518108500393,2.10603906883974,NA,82.2805717194041,6.15604218229501
"2013-05-23",1610.79967213014,NA,2.12391028030676,3.52636448589998,2.11086929036542,NA,82.2833771325312,6.15547957196153
"2013-05-24",1612.12188404728,NA,2.1300350667871,3.52761833603253,2.11577790308524,NA,82.2857085556958,6.15492080185182
"2013-05-27",NA,NA,2.14876959806137,3.53180652854835,2.13095737722233,NA,82.2875680703406,6.15381494901337
"2013-05-28",1613.43754319654,NA,2.15512710246697,3.53334593677133,2.13616259051143,NA,82.2889583177179,6.15326791752263
"2013-05-29",1614.74676572142,NA,2.16153714407853,3.53495748752446,2.14143744134872,NA,82.2898824939875,6.15272482596452
"2013-05-30",1616.04968703727,NA,2.1679974150388,3.53664140525997,2.1467800064011,NA,82.2903445976568,6.15218566446458
"2013-05-31",1617.34645645376,NA,2.17450560272148,3.53839787501278,2.15218830742562,NA,82.2903491729186,6.15165041594559
"2013-06-03",1618.63723913721,NA,2.19429430048405,3.5441038717718,2.16878711456598,NA,82.2899010614409,6.15006790827389
"2013-06-04",1619.92220579026,NA,2.20097071966678,3.54615164029614,2.17443764351702,NA,82.2890055057064,6.14954806914414
"2013-06-05",1621.20153611969,NA,2.20768326063102,3.54827232596289,2.18014335394518,NA,82.2876678970486,6.14903201109055
"2013-06-06",1622.47541456848,NA,2.21442950059684,3.55046589602824,2.18590202615833,NA,82.2858938132243,6.14851969171238
"2013-06-07",1623.74402049463,NA,2.22120698880684,3.55273228667508,2.1917114042224,NA,82.283688936293,6.14801106016314
"2013-06-13",1628.76941737848,NA,2.25547423944768,3.56515251364525,2.22143758516009,NA,82.2706651325046,6.14503323758118
"2013-06-14",1630.01447053692,NA,2.26238549674633,3.56785301229854,2.22750204276709,NA,82.2663810256514,6.14454865870692
"2013-06-17",1631.25538811745,NA,2.28318752175384,3.57638288095854,2.24589063328817,NA,82.2616929917745,6.14311367673307
"2013-06-18",1632.49236051186,NA,2.2901352465998,3.57936782929698,2.25207727642597,NA,82.2566035630335,6.14264134888457
"2013-06-19",1633.72558132982,NA,2.29708519087344,3.58242294942622,2.2582884597358,NA,82.2511146012459,6.1421718831483
"2013-06-20",1634.95525216611,NA,2.30403450677983,3.58554779037888,2.26452172726901,NA,82.2452273123919,6.14170519173395
"2013-06-21",1636.1815726332,NA,2.31098030639293,3.5887418669521,2.27077459055034,NA,82.2389425175661,6.14124118343192
"2013-06-24",1637.40472301272,NA,2.33176808279805,3.598734662313,2.2896254657982,NA,82.2322608538234,6.13986427210606
"2013-06-25",1638.62486550113,NA,2.33867162904529,3.6022008999495,2.29593139861248,NA,82.2251830289277,6.13940999244981
"2013-06-26",1639.84213570979,NA,2.3455579540524,3.60573401261573,2.30224437822439,NA,82.2177098365138,6.13895787986461
"2013-06-27",1641.05664833615,NA,2.35242457985365,3.60933352181918,2.30856208012744,NA,82.2098422210156,6.13850782792045
"2013-06-28",1642.26850295611,NA,2.35926913365937,3.61299893942227,2.31488229872039,NA,82.2015814254353,6.13805973351162
"2013-07-01",1643.47778763073,NA,2.37964773167999,3.62438540797031,2.33383793048289,NA,82.1929289987249,6.13672618902218
"2013-07-02",1644.68457554486,NA,2.38638165945561,3.6283090590795,2.34014858271278,NA,82.1838868942751,6.13628491550383
"2013-07-03",1645.88892809526,NA,2.39308263527065,3.63229574134155,2.34645238168256,NA,82.1744574197565,6.1358450902411
"2013-07-04",NA,NA,2.39974864319098,3.63634476540259,2.3527477015325,NA,82.1646434434018,6.13540660654808
"2013-07-05",1647.090894028,NA,2.40637770321045,3.64045540892442,2.35903298914638,NA,82.1544482697627,6.13496935565345
"2013-07-08",1648.29050949037,NA,2.42602438540071,3.65314931485216,2.37781406729991,NA,82.1438756437664,6.13366389147084
"2013-07-09",1649.48780434622,NA,2.43248740350781,3.6574984731477,2.3840448975339,NA,82.1329302592278,6.13323047215993
"2013-07-10",1650.68280522259,NA,2.43890491508437,3.66190503987214,2.39025882460992,NA,82.1216176557484,6.13279774411785
"2013-07-11",1651.87553991723,NA,2.44527552208386,3.66636803056207,2.39645468720208,NA,82.1099443844503,6.13236560386359
"2013-07-12",1653.06603702866,NA,2.45159791371788,3.67088641346364,2.40263140397297,NA,82.0979177894372,6.13193394940517
"2013-07-15",1654.25433472237,NA,2.47026404973166,3.6847632649444,2.42103690468945,NA,82.0855454793858,6.13064091308808
"2013-07-16",1655.44048237582,NA,2.47638213646355,3.68949245165279,2.42712749107706,NA,82.0728354317237,6.13021023197604
"2013-07-17",1656.62454104209,NA,2.48244657071826,3.69427153709367,2.43319432797062,NA,82.0597960184127,6.1297795704515
"2013-07-18",1657.80658038022,NA,2.48845641146452,3.69909936296127,2.43923654954658,NA,82.0464357879852,6.12934884544397
"2013-07-19",1658.98668008785,NA,2.494410745595,3.70397475558464,2.44525329513701,NA,82.0327635577439,6.12891797690896
"2013-07-22",1660.16493290971,NA,2.5119318159266,3.71887455396326,2.46314201904194,NA,82.0187884647515,6.12762377407593
"2013-07-23",1661.34144527408,NA,2.51765528265565,3.72392848307419,2.46904809754451,NA,82.0045198846753,6.12719160972584
"2013-07-24",1662.51633822775,NA,2.5233188404755,3.72902416562321,2.4749242070794,NA,81.989967276357,6.1267589565978
"2013-07-25",1663.68974565175,NA,2.52892160152989,3.73416047570828,2.48076937843155,NA,81.9751400761016,6.12632575522248
"2013-07-26",1664.86181110947,NA,2.5344626807244,3.73933630672137,2.48658261131871,NA,81.9600478442349,6.12589194966102
"2013-07-29",1666.03268914327,NA,2.55070745280504,3.75509008634743,2.503820223621,NA,81.9447001389595,6.12458640936654
"2013-07-30",1667.20254536866,NA,2.55599354423569,3.76041313746502,2.50949521698616,NA,81.9291063944485,6.1241497083584
"2013-07-31",1668.3715533779,NA,2.56121392776271,3.76577024037821,2.51513299955754,NA,81.9132759271931,6.1237121844405
"2013-08-01",1669.5398945168,NA,2.56636786074257,3.77116027551892,2.52073247604668,NA,81.8972180251174,6.12327380732974
"2013-08-02",1670.70775730647,NA,2.57145462896504,3.77658211316275,2.52629252457229,NA,81.8809418590514,6.12283455025156
"2013-08-05",1671.87534569878,NA,2.58630524281292,3.7930269059946,2.54272441782026,NA,81.8644567911199,6.12151128211543
"2013-08-06",1673.04287975104,NA,2.59111685891272,3.79856431898859,2.54811493886826,NA,81.8477722037266,6.12106829790386
"2013-08-07",1674.21059409752,NA,2.59585823403787,3.80412760992101,2.55346003904286,NA,81.8308974774337,6.1206243392831
"2013-08-08",1675.37873342837,NA,2.60052884695862,3.80971552118027,2.55875850258904,NA,81.8138418945168,6.12017939008719
"2013-08-09",1676.54754933659,NA,2.60512820709196,3.81532676467868,2.56400912134651,NA,81.7966145095332,6.11973343285871
"2013-08-12",1677.71730255095,NA,2.61849384615184,3.83228753501284,2.57946200877834,NA,81.7792240530315,6.11838930747833
"2013-08-13",1678.88825994791,NA,2.62280320423898,3.83797920856447,2.58450941242504,NA,81.7616789758747,6.11793911134769
"2013-08-14",1680.060693262,NA,2.62703875100897,3.84368781058994,2.58950311184498,NA,81.7439875804377,6.11748780271967
"2013-08-15",1681.2348805405,NA,2.63119994597794,3.84941208789618,2.59444196206185,NA,81.7261581725343,6.11703536100932
"2013-08-16",1682.41110203359,NA,2.6352862829548,3.85515081511414,2.59932482108824,NA,81.7081990521967,6.11658176418997
"2013-08-19",1683.58962975944,NA,2.64709171545257,3.87244213297253,2.61362630873354,NA,81.6901182854303,6.11521377717311
"2013-08-20",1684.77072474869,NA,2.6508745541235,3.87822731592458,2.61827436631678,NA,81.6719237653733,6.11475528116222
"2013-08-21",1685.9546325187,NA,2.65458090279679,3.88402150241023,2.62286136206497,NA,81.6536232073706,6.11429548144972
"2013-08-22",1687.14158518543,NA,2.65821069882372,3.88982375223654,2.6273865214526,NA,81.6352240200859,6.11383434580552
"2013-08-23",1688.33179702644,NA,2.66176394793297,3.89563321432206,2.63184916289323,NA,81.6167334742758,6.11337184423349
