"","AU0_60Close","AU0_60_hpft","AU0_60_hpfc","PG0_60Close","PG0_60_hpft","PG0_60_hpfc","EB0_60Close","EB0_60_hpft","EB0_60_hpfc","FU0_60Close","FU0_60_hpft","FU0_60_hpfc","TA0_60Close","TA0_60_hpft","TA0_60_hpfc","PP0_60Close","PP0_60_hpft","PP0_60_hpfc","L0_60Close","L0_60_hpft","L0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","LUM_60Close","LUM_60_hpft","LUM_60_hpfc","RU0_60Close","RU0_60_hpft","RU0_60_hpfc"
"2021-12-08 15:00:00",368.28,367.364037402297,0.915962597702509,4550,4324.34798757983,225.652012420166,8051,7946.32206195358,104.677938046421,2629,2585.29564069297,43.7043593070271,4574,4576.94106164852,-2.94106164852257,8020,8027.04068308513,-7.04068308512782,8477,8463.2774496424,13.7225503576013,8303,8363.86147055001,-60.8614705500072,3474,3415.14148311654,58.858516883464,14620,14654.6206437559,-34.620643755906
"2021-12-08 22:00:00",366.72,367.380195544921,-0.660195544920889,4464,4325.99858565075,138.001414349248,7867,7949.11682600745,-82.1168260074492,2657,2587.47662672599,69.5233732740136,4668,4580.27181023682,87.7281897631822,8143,8027.35041542604,115.649584573957,8574,8462.95488959645,111.045110403552,8357,8362.23712206237,-5.23712206237414,3495,3417.43796699781,77.5620330021949,14395,14652.1092078808,-257.10920788083
"2021-12-08 23:00:00",366.32,367.396633746859,-1.07663374685861,4462,4327.64793074091,134.352069259091,7855,7951.90266912075,-96.9026691207543,2635,2589.65174666634,45.348253333658,4664,4583.59698958377,80.4030104162293,8130,8027.66999318855,102.330006811452,8582,8462.64190472233,119.358095277674,8366,8360.63688559172,5.36311440827721,3473,3419.72804163136,53.2719583686402,14335,14649.6418952392,-314.641895239232
"2021-12-09 00:00:00",366.34,367.413361977778,-1.07336197777853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-09 01:00:00",366.3,367.430389762312,-1.13038976231228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-09 02:00:00",366.66,367.447726181408,-0.787726181407529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-09 02:30:00",367.36,367.465379848753,-0.10537984875289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-09 10:00:00",366.52,367.483359052423,-0.963359052422989,4470,4329.29663229456,140.703367705443,7862,7954.67983805134,-92.6798380513384,2677,2591.820863177,85.1791368230007,4720,4586.91648477396,133.083515226036,8090,8027.99999538892,62.0000046110792,8505,8462.33940702201,42.660592977991,8296,8359.06212234898,-63.0621223489772,3509,3422.01178517113,86.9882148288694,14330,14647.2197439594,-317.219743959429
"2021-12-09 10:15:00",367.22,367.501672036932,-0.281672036932127,4445,4330.94535529169,114.054644708314,7872,7957.44853950136,-85.4485395013586,2674,2593.98385766606,80.0161423339431,4718,4590.23021412733,127.769785872666,8071,8028.34104334264,42.6589566573562,8479,8462.0483578353,16.9516421646984,8304,8357.51419576201,-53.5141957620083,NA,NA,NA,14340,14644.8436621096,-304.8436621096
"2021-12-09 11:30:00",367.1,367.520326648582,-0.420326648581899,4403,4332.59482287341,70.405177126594,7858,7960.20894186286,-102.208941862857,2687,2596.14064675126,90.8593532487381,4720,4593.5381509752,126.461849024797,8045,8028.69378399345,16.3062160065498,8464,8461.76973613621,2.23026386379304,8262,8355.99444319129,-93.9944431912879,NA,NA,NA,14315,14642.5144266321,-327.514426632059
"2021-12-09 14:30:00",367.2,367.539330617242,-0.339330617241657,4397,4334.24580532642,62.7541946735761,7851,7962.96117820689,-111.961178206892,2679,2598.29118012578,80.7088198742165,4736,4596.84032146379,139.159678536207,8005,8029.05888191858,-24.0588819185789,8433,8461.5045279058,-28.5045279058054,8236,8354.50417987672,-118.504179876717,NA,NA,NA,14390,14640.2326884589,-250.232688458857
"2021-12-09 15:00:00",366.72,367.558691499034,-0.838691499034115,4365,4335.89910204012,29.1008979598827,7863,7965.70533935544,-102.705339355436,2675,2600.43544504043,74.5645549595713,4740,4600.13680401356,139.863195986441,8012,8029.43700843558,-17.4370084355766,8460,8461.25372004715,-1.25372004714452,8339,8353.04468220467,-14.0446822046664,3513,3428.82622015164,84.1737798483555,14375,14637.998963141,-262.998963140982
"2021-12-09 22:00:00",367.36,367.578416709817,-0.218416709816595,4355,4337.55553834393,17.4444616560676,7899,7968.44146985022,-69.441469850215,2645,2602.57346210775,42.4265378922454,4714,4603.42773456797,110.57226543203,7959,8029.82882491707,-70.8288249170676,8349,8461.0182876806,-112.018287680604,8259,8351.61717757661,-92.617177576613,3474,3431.08602982561,42.9139701743896,14455,14635.8136627931,-180.813662793135
"2021-12-09 23:00:00",367.16,367.598513318765,-0.438513318765028,4393,4339.21595159644,53.7840484035551,7934,7971.16957177872,-37.1695717787165,2642,2604.70528276233,37.2947172376658,4724,4606.71330688432,117.286693115681,7981,8030.23498552789,-49.2349855278873,8368,8460.79920540835,-92.799205408348,8309,8350.22288758856,-41.2228875885617,3479,3433.34039789283,45.6596021071667,14515,14633.6770908168,-118.677090816815
"2021-12-10 00:00:00",367.82,367.618988304771,0.201011695228622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
