"","FG0_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","AL0_hpft","I0_hpft","CF0_hpft","FG0_hpft","SA0_hpft","P0_hpft","Y0_hpft","I0_hpft","V0_hpft","TA0_hpft"
"2017-12-18",1442.64661317456,53167.116488404,3796.46500067218,58.2075464974443,53167.116488404,3796.46500067218,58.2075464974443,15131.3912267328,499.185812925906,15184.9858569064,1442.64661317456,NA,5356.22054952471,5895.84438677791,499.185812925906,6643.7476102934,5419.33745804479
"2017-12-19",1443.13103732769,53171.0808844039,3796.63856794761,58.329603026472,53171.0808844039,3796.63856794761,58.329603026472,15119.8869669695,499.201327201632,15188.9861548812,1443.13103732769,NA,5353.08237913747,5892.72519280441,499.201327201632,6643.54069640081,5422.91058047625
"2017-12-20",1443.59960798367,53174.2837938199,3796.77152620437,58.451389554478,53174.2837938199,3796.77152620437,58.451389554478,15108.3719832715,499.210861530839,15193.1463518879,1443.59960798367,NA,5349.9138232635,5889.62582002238,499.210861530839,6643.36794810996,5426.48614642154
"2017-12-21",1444.05212881112,53176.7244336183,3796.86444682576,58.5728859675481,53176.7244336183,3796.86444682576,58.5728859675481,15096.8513226207,499.214110480313,15197.4680322531,1444.05212881112,NA,5346.71608737517,5886.54771518414,499.214110480313,6643.2288557346,5430.06416863192
"2017-12-22",1444.48842100529,53178.4022298073,3796.91790418304,58.6940719775817,53178.4022298073,3796.91790418304,58.6940719775817,15085.3298569944,499.210780930464,15201.9526301936,1444.48842100529,NA,5343.4903455653,5883.49227890044,499.210780930464,6643.12294126513,5433.64463981647
"2017-12-25",1444.90832558118,53179.3170437746,3796.93249585152,58.8149271547445,53179.3170437746,3796.93249585152,58.8149271547445,15073.8122798597,499.20059331409,15206.6014466303,1444.90832558118,NA,5340.23770301282,5880.46083053709,499.20059331409,6643.04969642205,5437.22752702939
"2017-12-26",1445.31171146036,53179.4692832071,3796.90887937767,58.9354309269757,53179.4692832071,3796.90887937767,58.9354309269757,15062.3030964686,499.183287404753,15211.4156700708,1445.31171146036,NA,5336.95917830183,5877.45458136947,499.183287404753,6643.00860956833,5440.81276605648
"2017-12-27",1445.69846661676,53178.8599843772,3796.84770820235,59.0555625300319,53178.8599843772,3796.84770820235,59.0555625300319,15050.8066637547,499.158613847151,15216.3963953538,1445.69846661676,NA,5333.65572212718,5874.47465154336,499.158613847151,6642.9991306038,5444.4002632409
"2017-12-28",1446.06849667004,53177.4910353034,3796.74964613811,59.1753015570491,53177.4910353034,3796.74964613811,59.1753015570491,15039.3271516875,499.126332510794,15221.5446133929,1446.06849667004,NA,5330.32821947645,5871.5220721442,499.126332510794,6643.02073091941,5447.98993203032
"2017-12-29",1446.42171811182,53175.3650602505,3796.61535499353,59.2946278220773,53175.3650602505,3796.61535499353,59.2946278220773,15027.8686038286,499.086210020072,15226.8612173855,1446.42171811182,NA,5326.97751331671,5868.59780461691,499.086210020072,6643.07286206526,5451.58169728108
