"","AL0_hpfc","CN_10yry_hpfc","US_10yry_hpfc","UK_10yry_hpfc","GR_10yry_hpfc","IT_10yry_hpfc","AU_10yry_hpfc","INA_10yry_hpfc","IND_10yry_hpfc"
"2010-05-10",-114.480245631773,NA,0.0472230643046817,0.0654708322009159,-0.120628527893503,0.304629926166722,0.181129522089608,0.0409074706624093,-0.000301352703915571
"2010-05-11",-149.774226269113,NA,0.175131337096447,0.0609252069177911,0.136270440425716,0.0403203175076046,0.0636659038536916,0.0673392324362068,-0.000306051890712511
"2010-05-12",-205.314763354974,NA,0.173083139441358,0.102516326098634,0.0631578987995797,0.00100786440819119,0.0482316080714593,0.0787887555858276,-0.000310711756419474
"2010-05-13",-101.109922270754,NA,0.181076008369452,0.193942326898445,0.140032061185376,-0.0103071993871406,0.0818243850921757,0.0702555564246532,-0.000315328770484678
"2010-05-14",-127.167683528308,NA,0.179107409365081,0.165301304095935,0.136891115433472,-0.05462464055061,0.0894419653282315,0.0747391186980224,-0.000319899273920774
"2010-05-17",-773.49598584567,NA,0.0771747330632748,0.138391272301955,0.0837331915105886,-0.0449442214938672,0.00408204536901514,0.0602388971103908,-0.000324419477396034
"2010-05-18",-525.102715374231,NA,0.115275296063156,0.142710177798399,0.0705563627981292,-0.0482656820489282,0.05674228483226,0.0587543154720739,-0.000328885459345286
"2010-05-19",-576.995438533734,NA,0.0334063830628212,0.0725559096617655,0.0773586680657,-0.053588743469672,0.0134203416483213,0.07328477269308,-0.00033329316410143
"2010-05-20",-529.181504688018,NA,0.0215652311102926,0.0677262979779445,-0.00586188308240947,-0.0529131070588888,0.0481138502925652,0.0618296433967171,-0.000337638400049326
"2010-05-21",-611.66802469257,NA,-0.080250936555238,0.0800191428410852,0.010892686981206,0.0137615480320626,0.0108204396929466,0.0393882719133454,-0.000341916837803809
"2010-05-24",-384.461890662239,NA,-0.122044905608858,-0.000867783649953838,-0.0923796416929821,-0.00656443547602403,-0.0394622811108963,0.0229599770154044,-0.000346124008413515
"2010-05-25",-512.569741871617,NA,-0.0838194285530581,-0.0940367424730206,-0.115680893557118,-0.0378907205508274,-0.0957367075520932,0.0345440611938306,-0.000350255301592606
