"","T00C1_hpfc","CN_10yry_hpfc","USDCNH_hpfc","CN_5yry_hpfc","CN_2yry_hpfc","IH00C1_hpfc","IF00C1_hpfc","SPX_hpfc"
"2012-12-20",NA,0.0286123122216031,-0.0220286900721215,0.0397775041481809,0.0772658175336714,NA,-24.4870331679265,-15.8675163280705
"2012-12-21",NA,0.010088480262761,-0.012962241767134,0.056771274710949,0.0713641913880742,NA,-39.5085126484332,-30.6056968286053
"2012-12-24",NA,0.0132673628287772,-0.0114589190193878,0.0443698506990857,0.0915340925106005,NA,-28.9325737674573,-35.3064542100501
"2012-12-25",NA,0.00914420995247567,-0.005021845115012,0.0466409890525174,0.0988028092848823,NA,31.0432698985464,NA
"2012-12-26",NA,0.00284652979213543,-0.00629435619041475,0.0459308190529099,0.105971057249417,NA,37.6215167326903,-43.3596407595067
"2012-12-27",NA,0.0095744334033118,-0.00557634398566287,0.0095390434243621,0.0997715374045802,NA,40.2046522860398,-46.3250941697777
"2012-12-28",NA,0.0110280306649948,-0.00436769763900733,0.0100653459051217,0.0752035736133193,NA,70.3951465584463,-63.2426342105627
"2012-12-31",NA,0.00374402470848644,-0.00366830398365102,-0.0384838139454105,0.0567483626816381,NA,107.195452930782,-40.7420615025987
"2013-01-04",NA,0.0236062042384499,-0.0139609281470932,-0.0141703624825078,0.069672711309898,NA,100.207995685367,-4.30934191908829
"2013-01-07",NA,0.028299166576623,-0.0128060196008737,-0.0142100467172191,0.0285219280458246,NA,98.0351547942738,-10.1939506042767
"2013-01-08",NA,0.0275417330549893,-0.0179596189961181,-0.0182371777205843,0.00561466217328479,NA,93.8792688076073,-16.249234254458
"2013-01-09",NA,0.0183109963340877,-0.0215215835272172,-0.0388160766301848,0.00376198144802979,NA,85.9426357516288,-13.7049379402903
"2013-01-10",NA,0.01130698351867,-0.037391762964749,-0.0362802896705941,-0.0119704374364991,NA,96.2275148467749,-3.94080001564117
"2013-01-11",NA,0.0168297141443913,-0.0372699981831371,-0.032330013688001,-0.0124835860085889,NA,54.9361297881848,-5.35655316931227
"2013-01-14",NA,0.0277584736633319,-0.0363561146005617,-0.0138273382072605,-0.0185839063920752,NA,140.87066449443,-8.08192846112017
"2013-01-15",NA,0.0249882309092924,-0.0285499222292724,-0.0064874670662883,-0.00936308454476788,NA,148.633280175715,-7.78665473673648
"2013-01-16",NA,0.0284446999511179,-0.0334512160533799,0.0120327624760967,-0.0569944947996248,NA,120.226079811921,-8.87045750107018
"2013-01-17",NA,0.0331278404626003,-0.0348597792555785,0.0119665441755161,-0.0330124135853067,NA,109.251104944023,-1.94305904032877
"2013-01-18",NA,0.0258376003596291,-0.0342753811912017,0.0136137334803969,-0.029317760437985,NA,138.910347416205,1.70582202596647
"2013-01-21",NA,0.00689256002096013,-0.0226267068773992,-0.0487657480062306,-0.0664673468749242,NA,152.605753912826,NA
"2013-01-22",NA,0.00734139872736804,-0.0205618987912976,-0.0459663683464249,-0.059831263121661,NA,145.139213698066,6.88646788147351
"2013-01-23",NA,-0.000416863854175173,-0.0200030705803552,-0.043654220935559,-0.0344869016590591,NA,156.312552955221,7.72916000472484
"2013-01-24",NA,-0.0131489819173423,-0.0119499317778092,-0.0306293779748883,-0.0365350408879433,NA,129.527537872729,6.32417702768617
"2013-01-25",NA,0.0123449571832406,0.0105978163515354,-0.0177918936207712,-0.103876444953656,NA,129.985870025824,13.041794387358
"2013-01-28",NA,0.0310489413603208,0.0196783509092466,-0.0452372990622895,-0.00663422766802742,NA,189.889197448221,8.83228490661201
"2013-01-29",NA,0.0427795751368522,0.00571173214754419,-0.0533162352594005,-0.00528924237233383,NA,204.839114442703,15.0559160173738
"2013-01-30",NA,0.0382024644037759,-0.00125909142101572,-0.00191595603289401,-0.0791077411596882,NA,231.237136819424,7.73295150063538
"2013-01-31",NA,0.0369508137899307,-0.000733834775858193,0.0229969059070018,-0.0811237513937876,NA,230.484695716472,2.43364891386699
"2013-02-01",NA,0.0390244787995692,-0.00171221237595728,0.0143223853087074,-0.112937934405033,NA,275.583126687572,16.0382626180857
"2013-02-04",NA,0.0369290234178045,0.00683371107913587,0.0298080775631625,0.0381910350964572,NA,277.133670013469,-2.88295403167635
"2013-02-05",NA,0.0369688620569553,0.00434366078405849,0.0292508594306387,0.0328114177321168,NA,299.737452059952,11.2302456900256
"2013-02-06",NA,0.0423663947093486,0.00785140730684308,0.0340396187951716,0.00999722950019986,NA,310.595484636865,10.588109700338
"2013-02-07",NA,0.0397880510730351,0.0158572332707561,0.0321409918780933,0.0109811550276936,NA,303.508655654587,6.38088127428558
"2013-02-08",NA,0.0412335766668661,0.00886141805360855,0.0286549341634651,0.00986254147579499,NA,287.677724635831,13.4387993101976
"2013-02-18",NA,0.042553495184549,0.0278686871901621,0.0260568200419558,-0.00233762253981499,NA,266.903325645108,NA
"2013-02-19",NA,0.0427198982918671,0.0343706671193525,0.0255124964846235,-0.00179734300746897,NA,229.385973832489,17.4672554483694
"2013-02-20",NA,0.0467257758910452,0.0358737261261754,0.0347692452364351,0.00270259544636366,NA,229.526074020879,-3.03246544385139
"2013-02-21",NA,0.048550648130321,0.0306780648471347,0.0406368674814703,0.0203915523962269,NA,133.323936214261,-14.075286774419
"2013-02-22",NA,0.0183940158433923,0.0328838690899775,0.0291151500315936,-0.018031113700493,NA,110.379775539887,-2.4110057534824
"2013-02-25",NA,0.0302631929870547,0.0324005530551206,0.0524449276090638,0.0160246811768662,NA,121.293752014129,-31.6794137730282
"2013-02-26",NA,0.0340419321169934,0.025411737877054,0.0578300748053963,0.0256490693078668,NA,80.0659800269042,-24.1103012284408
"2013-02-27",NA,0.0648698108278923,0.0259249986199133,0.0645579052631421,0.0478586064941049,NA,102.29652383014,-6.58344542010591
"2013-02-28",NA,0.0593129220061839,0.021440456952256,0.0727947613495923,0.0382526317013358,NA,192.385414579483,-9.41861368217415
"2013-03-01",NA,0.0607706650570658,0.0224582238262782,0.0634402920797008,0.0613304641124855,NA,179.932641145642,-7.42557062747086
"2013-03-04",NA,0.0686919705627385,0.0230010822743649,0.0730249842846283,0.040159719968559,NA,60.7381128748725,-1.95407697553985
"2013-03-05",NA,0.0668350535913203,0.0265263503346071,0.0706011177076669,0.0397655953302296,NA,128.201664736205,11.1061096235033
"2013-03-06",NA,0.0438560325538089,0.0195542796845032,0.051683726341188,0.0323515925238311,NA,159.72310659232,11.245232327281
"2013-03-07",NA,0.0455874754177916,0.00948493353133171,0.0476722801281087,0.027716922872445,NA,126.902195312349,12.5135297025973
"2013-03-08",NA,0.052728598689203,0.00911836699941817,0.0508662276473884,0.028660784326291,NA,122.538621742375,17.9012356679273
"2013-03-11",NA,0.0545352516936575,0.00869377384474155,0.0766412762954113,0.0432220253989296,NA,103.232024272139,21.4085789691579
"2013-03-12",NA,0.0551735207540535,0.0117358386787937,0.0815841822203266,0.0477050800635949,NA,63.1819906388952,16.1357809525249
"2013-03-13",NA,0.056850571505901,0.0172808662232337,0.0774960350545993,0.0368291253161905,NA,39.1880659078089,16.6430541148181
"2013-03-14",NA,0.0643321568280036,0.0151288920556177,0.072409453338217,0.0376266014179168,NA,34.0497690273934,23.8206042829439
"2013-03-15",NA,0.0656173394327499,0.00987994461029362,0.0683236902440723,0.03589660007296,NA,78.5666027472864,19.7586304042402
"2013-03-18",NA,0.0745846938024789,0.015791214525208,0.0797634008363998,0.0397657532725459,NA,20.7380557422388,9.62732157956555
"2013-03-19",NA,0.0757743441185004,0.0225514637244816,0.0817728491346101,0.0431831255523907,NA,39.7635842108088,4.3368587423541
"2013-03-20",NA,0.0819624827760051,0.0159148008806471,0.0849789281239627,0.034801587936577,NA,120.042635779132,13.1774188464919
"2013-03-21",NA,0.0783479964340119,0.0156812238867223,0.0825807025849705,0.0427868055306504,NA,127.174641636905,-1.2608229468184
"2013-03-22",NA,0.0796297378715475,0.0142507240571901,0.0882772021712894,0.038437762387819,NA,136.158983352829,8.30230307661079
"2013-03-25",NA,0.0722070381143699,0.0163988893306164,0.0888248235892105,0.0406746527993595,NA,133.194989926808,1.576967152144
"2013-03-26",NA,0.0723949116281409,0.0169775061485293,0.0880898109610406,0.0417780711442726,NA,83.2819340760941,12.1333360833062
"2013-03-27",NA,0.0682394714650204,0.0237591026727854,0.0862441323993572,0.0435418999754221,NA,84.8190334604997,9.69157602176313
"2013-03-28",NA,0.0631727192149393,0.0216436378800529,0.0948865994731895,0.0448650234936185,NA,18.4054713144437,14.5118481037522
"2013-03-29",NA,0.047893294927005,0.0187310609259511,0.0908159881016873,0.0482463079009328,NA,-4.15960418851489,NA
"2013-04-01",NA,0.0378998125373051,0.0184143236269933,0.0908310349817571,0.0439846008541691,NA,-4.27705248290167,5.97430945940122
"2013-04-02",NA,0.0256908661847537,0.0095100148131517,0.0862304392706183,0.00957873006718415,NA,18.8522687162776,12.5391112202213
"2013-04-03",NA,0.0204650343420099,0.011908297030891,0.0660128625795385,-0.0247724949278913,NA,-7.7724965379697,-5.53359795180395
"2013-04-08",NA,-0.00936770821437678,0.0174351306240104,0.0048414610814462,-0.0641101416367877,NA,-21.9522119855594,-0.675346815895678
"2013-04-09",NA,-0.0123250555250898,0.0110467996181665,-0.00132746979932359,-0.0644978985663341,NA,-4.48773815348975,3.36335343169126
"2013-04-10",NA,-0.058509354069869,0.00566027486177446,0.00469670522247321,-0.0397989163544347,NA,-3.37992649466354,20.9852779119313
"2013-04-11",NA,-0.038422032021625,0.00577541830185231,0.0203925500709496,-0.0253542212027945,NA,-11.229626606894,25.130575295528
"2013-04-12",NA,-0.0324644933679426,0.00759208954567607,0.0252586267288246,-0.0438648228617688,NA,-21.0376866908817,19.1193855787257
"2013-04-15",NA,-0.0354177258183676,0.0198294411861399,0.0123637324846057,-0.0608049771737844,NA,-40.8049503053028,-18.8581616302114
"2013-04-16",NA,-0.037859736307045,0.00914982631108292,0.00779617575359269,-0.0690799064787947,NA,-31.1322523130018,1.86805537380249
"2013-04-17",NA,-0.0574716704477081,0.00137114363795893,-0.022308468773667,-0.0779815993731689,NA,-26.2204107094815,-22.1718339089421
"2013-04-18",NA,-0.0666215129929326,0.000993231834515745,-0.0277516821453557,-0.0845442765345959,NA,-19.4702306214344,-34.0477007503368
"2013-04-19",NA,-0.0445105582723076,0.00551592900172729,-0.0101349361882362,-0.0601687930728264,NA,49.9174936628535,-21.8794072573284
"2013-04-22",NA,-0.0122921658554126,0.0074860390361314,0.022960462287902,-0.0497214605206339,NA,54.5419759032714,-16.0968014629131
"2013-04-23",NA,-0.0116838906534706,0.00760952291728296,0.0240024323830515,-0.0498013047151337,NA,-27.7975907738341,-1.27972235601449
"2013-04-24",NA,-0.0327877125134026,0.000232776446687268,-0.000402976504940145,-0.04244686626613,NA,17.4979642118695,-2.72800227179774
"2013-04-25",NA,-0.0433381922606131,-0.00364437744758861,-0.00875725756906169,-0.0589588582123648,NA,-13.1721770685302,2.18852698356633
"2013-04-26",NA,-0.0594365438342103,-0.00302211593369935,-0.00466190383573324,-0.0771379760466928,NA,-33.0088397770675,-2.17996526844246
"2013-05-02",NA,-0.0709273745177226,-0.00652567557980634,-0.0561324085676492,-0.0896827849450275,NA,-32.2128436307928,7.42921094405413
"2013-05-03",NA,-0.0739971979071587,-0.011110554485154,-0.0586300942390025,-0.091457575400173,NA,16.2150052977314,22.8381169658397
"2013-05-06",NA,-0.0611648971923819,0.0116142001111216,-0.0695780380653842,-0.101403550014333,NA,40.0739142514077,24.5029928615208
"2013-05-07",NA,-0.0543034611847052,-0.00767647886261307,-0.0652989546442271,-0.102851793280112,NA,57.1630837705541,31.5539904850746
"2013-05-08",NA,-0.0680015822808264,-0.0268694048594491,-0.116052249885095,-0.108405917397795,NA,76.2816978305191,36.8812515619363
"2013-05-09",NA,-0.0601601600995425,-0.0201647330378344,-0.0992724955091999,-0.104832845277676,NA,55.6289167777436,29.4649047743794
"2013-05-10",NA,-0.0711800661503449,-0.0109626074494906,-0.102160881932796,-0.102032788352602,NA,77.6038694268573,35.1050635594714
"2013-05-13",NA,-0.0721494062976105,-0.0168665333068243,-0.102446169014657,-0.10587218064702,NA,52.2056615977193,33.7918291746593
"2013-05-14",NA,-0.0726894638251385,-0.0176728429626506,-0.103118191330532,-0.110065449213242,NA,23.6333670319046,48.9852883663586
"2013-05-15",NA,-0.0722281209862932,-0.0155822128315985,-0.122463680246064,-0.109232155718415,NA,28.4860378912413,56.0555139128171
"2013-05-16",NA,-0.0680327427119798,-0.0145947556616973,-0.111683573960942,-0.114572254377644,NA,90.9627165685293,46.3825583437254
"2013-05-17",NA,-0.0746039974102329,-0.0144105777599196,-0.112378760052948,-0.105185654253618,NA,120.062433681521,62.0264510177063
"2013-05-20",NA,-0.0782904741217469,-0.0223786930671748,-0.107824256490476,-0.103930730671888,NA,138.784182247649,59.4972021206589
"2013-05-21",NA,-0.07956768583604,-0.0241085774368904,-0.108128569775809,-0.107268862419309,NA,146.126905655356,61.0247961992483
"2013-05-22",NA,-0.0808810850039325,-0.0215421822950064,-0.109611929919057,-0.105445849592293,NA,150.089489925354,45.8791932064056
"2013-05-23",NA,-0.0832644858999801,-0.0253795719615347,-0.105874953721163,-0.105394674544613,NA,120.470760675232,39.7103278698589
"2013-05-24",NA,-0.088918336032528,-0.0314208018518221,-0.120118212674068,-0.108714942709499,NA,139.269481481762,37.4781159527203
"2013-05-27",NA,-0.0924731952150211,-0.0381149490133722,-0.18106774107397,-0.118566469280215,NA,126.484366123892,NA
"2013-05-28",NA,-0.093845936771334,-0.0324679175226264,-0.185403299481097,-0.126201018431895,NA,187.714070812186,46.6224568034574
"2013-05-29",NA,-0.0953574875244587,-0.0174248259645226,-0.198354431289527,-0.12027103791223,NA,183.357199473627,33.6132342785753
