"","IH00C1_hpft","SPX_hpft","FTSE_hpft"
"2014-12-05",NA,2032.56981448401,6671.48933989662
"2014-12-08",NA,2033.46981527973,6673.22931363974
"2014-12-09",NA,2034.36653255364,6675.02116744603
"2014-12-10",NA,2035.2599101306,6676.86469892604
"2014-12-11",NA,2036.1499023569,6678.75964552543
"2014-12-12",NA,2037.03645980902,6680.70567159742
"2014-12-15",NA,2037.91953272453,6682.70235177162
"2014-12-16",NA,2038.79905699475,6684.74910356965
"2014-12-17",NA,2039.67494855003,6686.84513784055
"2014-12-18",NA,2040.54709601457,6688.9895195508
"2014-12-19",NA,2041.41537694077,6691.18116883998
"2014-12-22",NA,2042.27967743047,6693.41891367268
"2014-12-23",NA,2043.13989566998,6695.70152169975
"2014-12-24",NA,2043.99594483413,6698.02771234166
"2014-12-25",NA,NA,NA
"2014-12-26",NA,2044.84775423123,NA
"2014-12-29",NA,2045.69526882936,6700.39616470746
"2014-12-30",NA,2046.53845175227,6702.80552149015
"2014-12-31",NA,2047.37728467312,6705.25439773461
"2015-01-05",NA,2049.04188786966,6710.26485364873
"2015-01-06",NA,2049.86766309913,6712.82335343744
"2015-01-07",NA,2050.68908170607,6715.41514929338
"2015-01-08",NA,2051.50611693234,6718.03840390968
"2015-01-09",NA,2052.31873177297,6720.6911577964
"2015-01-12",NA,2053.1268936186,6723.37136300538
"2015-01-13",NA,2053.93056675608,6726.07688083471
"2015-01-14",NA,2054.72970519327,6728.80548083677
"2015-01-15",NA,2055.52425016502,6731.55485655661
"2015-01-16",NA,2056.31412494161,6734.3225608542
"2015-01-19",NA,NA,6737.10605036972
"2015-01-20",NA,2057.09922681199,6739.90270566343
"2015-01-21",NA,2057.87943781449,6742.70984464008
"2015-01-22",NA,2058.65462570621,6745.52473568289
"2015-01-23",NA,2059.42464759632,6748.34464111109
"2015-01-26",NA,2060.18936245222,6751.16684436881
"2015-01-27",NA,2060.94862609784,6753.988663823
"2015-01-28",NA,2061.70229307596,6756.80745968635
"2015-01-29",NA,2062.45020495043,6759.62061598988
"2015-01-30",NA,2063.19217867269,6762.42554534122
"2015-02-02",NA,2063.92801416371,6765.21968142085
"2015-02-03",NA,2064.6574831524,6768.00045252501
"2015-02-04",NA,2065.38033956097,6770.76529411355
"2015-02-05",NA,2066.09633126518,6773.51168455291
"2015-02-06",NA,2066.80519627379,6776.23713910384
"2015-02-09",NA,2067.50667111722,6778.93921122916
"2015-02-10",NA,2068.20048764039,6781.61548630416
"2015-02-11",NA,2068.88636910412,6784.26357376615
"2015-02-12",NA,2069.56403893023,6786.8811026889
"2015-02-13",NA,2070.23322039322,6789.46571616183
"2015-02-16",NA,NA,6792.01507431659
"2015-02-17",NA,2070.89364458671,6794.52687202951
"2015-02-25",NA,2074.65868768318,6808.68424404847
"2015-02-26",NA,2075.25128077294,6810.87169817837
"2015-02-27",NA,2075.83341835311,6813.00459349229
"2015-03-02",NA,2076.40495528237,6815.08103381271
"2015-03-03",NA,2076.96575826902,6817.09917821
"2015-03-04",NA,2077.51571096292,6819.05723765551
"2015-03-05",NA,2078.05470975129,6820.95345289511
"2015-03-06",NA,2078.58265970783,6822.78610608621
"2015-03-09",NA,2079.09947540745,6824.55353733398
"2015-03-10",NA,2079.60506839813,6826.25412353787
"2015-03-11",NA,2080.09935036448,6827.88626305789
"2015-03-12",NA,2080.58221833957,6829.44830323965
"2015-03-13",NA,2081.05355288019,6830.93854745682
"2015-03-16",NA,2081.51322849477,6832.35527081833
"2015-03-17",NA,2081.96110826089,6833.69671108263
"2015-03-18",NA,2082.39705512253,6834.96109432019
"2015-03-19",NA,2082.82092884856,6836.14664821923
"2015-03-20",NA,2083.23259627755,6837.25164603603
"2015-03-23",NA,2083.63192691383,6838.27441318209
"2015-03-24",NA,2084.01880054096,6839.21335164711
"2015-03-25",NA,2084.39310553544,6840.06694584308
