"","P0_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","AL0_hpfc","I0_hpfc","CF0_hpfc","FG0_hpfc","SA0_hpfc","P0_hpfc","Y0_hpfc","I0_hpfc","V0_hpfc","TA0_hpfc"
"2013-10-18",-70.1967213700927,1163.89258859453,-63.70601568868,0.610372830728725,1163.89258859453,-63.70601568868,0.610372830728725,218.347787178674,NA,-711.576370206915,-38.851883610694,NA,-70.1967213700927,83.339418789038,NA,3.09269165703911,41.6142125006523
"2013-10-21",54.1178880405635,1253.69786179317,-60.4397889140895,-1.01529171724583,1253.69786179317,-60.4397889140895,-1.01529171724583,234.27798049048,0.913832630405166,-712.01348931339,-18.9299493721036,NA,54.1178880405635,175.485236066902,0.913832630405166,-8.78182764975191,-8.95072017795275
"2013-10-22",6.3858891999991,1093.70081834636,-72.1486240407485,-2.34094317047315,1093.70081834636,-72.1486240407485,-2.34094317047315,260.275274200849,-18.5077595942318,-712.411599095126,-25.0091351482628,NA,6.3858891999991,95.617128823516,-18.5077595942318,-80.6377565097683,-31.4440022072038
"2013-10-23",60.6118622762274,1043.90695185247,-90.8321641302213,-3.316654025501,1043.90695185247,-90.8321641302213,-3.316654025501,286.340325818099,-25.9293521966104,-767.771669555974,-31.0894238908522,NA,60.6118622762274,137.736606549726,-25.9293521966104,-72.4762104823178,-55.8667065285228
"2013-10-24",30.800384797477,684.321303818414,-107.490022420637,-3.13249581122521,684.321303818414,-107.490022420637,-3.13249581122521,257.473685263279,-37.3509379041088,-833.094376217662,-34.1707882137814,NA,30.800384797477,125.845139212033,-37.3509379041088,-79.2982717942626,-10.2198930856169
"2013-10-25",-9.04399076235824,114.948484241671,-139.121774603888,-2.41853868557032,114.948484241671,-139.121774603888,-2.41853868557032,233.675784095959,-43.7724987259539,-838.380077235918,-52.2531878798465,NA,-9.04399076235824,61.9441398422435,-43.7724987259539,-91.1049927137054,-30.5045987291894
"2013-10-28",-22.9167246611729,485.792820248565,-138.726951939717,-1.73485151161284,485.792820248565,-138.726951939717,-1.73485151161284,309.946947446318,-37.1940012319959,-893.628786398708,-41.3365685270082,NA,-22.9167246611729,58.0349694527853,-37.1940012319959,-87.89739273004,-18.7218560852546
"2013-10-29",3.18672658164274,496.85859145075,-128.305028180572,-2.50150215270322,496.85859145075,-128.305028180572,-2.50150215270322,346.287403852411,-37.6153938982947,-888.84017094147,-33.4208541938655,NA,3.18672658164274,-13.8810365491125,-37.6153938982947,-69.6764536735581,7.12731482914108
"2013-10-30",453.270915919479,1078.14987665298,-99.8554197346637,-3.59855775507388,1078.14987665298,-99.8554197346637,-3.59855775507388,352.697253732812,-33.036609826406,-834.01352870941,-23.5059518321397,NA,453.270915919479,146.197433254454,-33.036609826406,-91.4431210412344,17.041901736293
"2013-10-31",409.340394988514,819.67054927771,16.6225100257902,-3.9060844309365,819.67054927771,16.6225100257902,-3.9060844309365,299.176454364487,-33.4575665691941,-709.147790136875,-7.5917545787135,NA,409.340394988514,146.271696019255,-33.4575665691941,-118.198311528638,-14.979110587931
"2013-11-01",487.399528060976,1261.4240370841,53.1294390048832,-5.50414680500391,1261.4240370841,53.1294390048832,-5.50414680500391,345.724817233781,-11.8781680235297,-684.241540910639,-4.67814585405716,NA,487.399528060976,238.34300846892,-11.8781680235297,-119.942904032432,3.06325558783378
"2013-11-04",427.452510204183,733.413429012333,60.6660382356332,-5.51280788736967,733.413429012333,60.6660382356332,-5.51280788736967,292.342030159527,-2.29830425624564,-709.293073584287,-6.76500594051406,NA,427.452510204183,264.41256686424,-2.29830425624564,-106.677728590839,-10.832015813149
"2013-11-05",395.503335014105,645.641292581258,54.2329567895016,-6.63212841293728,645.641292581258,54.2329567895016,-6.63212841293728,254.027638051816,-4.71786042423069,-729.300397873401,-2.85221318666952,NA,395.503335014105,208.481468944588,-4.71786042423069,-118.40356566252,5.33405786628673
"2013-11-06",371.555819395047,648.109892145549,28.8308186609401,-5.02216683783335,648.109892145549,28.8308186609401,-5.02216683783335,225.781064978172,-5.13672073434647,-819.261230300337,-11.9396431447272,NA,371.555819395047,148.550703151822,-5.13672073434647,-145.121151609833,33.5604637605772
"2013-11-07",357.613616766119,560.821225177296,67.4602254267795,-5.59297887673176,560.821225177296,67.4602254267795,-5.59297887673176,232.601630001472,-2.55476744328174,-794.172985924042,-10.0271701879008,NA,357.613616766119,146.621171749936,-2.55476744328174,-131.831173851881,67.8461867994671
