"","T00C1_hpft","SPX_hpft","FTSE_hpft","IH00C1_hpft","IF00C1_hpft"
"2014-09-03",NA,1975.17868184341,6677.41700469574,NA,2408.6668587005
"2014-09-04",NA,1975.97205808869,6676.0821592973,NA,2415.90310914036
"2014-09-05",NA,1976.76463378549,6674.75268493656,NA,2423.25509356536
"2014-09-09",NA,1978.34818826618,6672.11528338794,NA,2430.72351834404
"2014-09-10",NA,1979.13959851743,6670.81025174394,NA,2438.30910924911
"2014-09-11",NA,1979.93106253493,6669.5163725269,NA,2446.01260316348
"2014-09-12",NA,1980.72281202207,6668.23525755246,NA,2453.83473824766
"2014-09-15",NA,1981.51508592386,6666.96857241586,NA,2461.77624108251
"2014-09-16",NA,1982.30812517656,6665.71804005557,NA,2469.83783219987
"2014-09-17",NA,1983.10217179729,6664.48544014014,NA,2478.0202202366
"2014-09-18",NA,1983.89747469471,6663.27260463726,NA,2486.32408256385
"2014-09-19",NA,1984.69429041128,6662.08141363564,NA,2494.75006512928
"2014-09-22",NA,1985.49288684141,6660.91381171536,NA,2503.2987805946
"2014-09-23",NA,1986.29354250518,6659.77181614104,NA,2511.97081047521
"2014-09-24",NA,1987.09653955907,6658.65749076977,NA,2520.76668912267
"2014-09-25",NA,1987.90215870306,6657.57290619965,NA,2529.68690617505
"2014-09-26",NA,1988.71068526818,6656.52015270995,NA,2538.73192962429
"2014-09-29",NA,1989.52239552788,6655.50131319615,NA,2547.90219642411
"2014-09-30",NA,1990.337563333,6654.51846760631,NA,2557.1981071809
"2014-10-08",NA,1995.31536736416,6649.49118974299,NA,2566.62002418137
"2014-10-09",NA,1996.1615230679,6648.81623336047,NA,2576.16826672404
"2014-10-10",NA,1997.01289293443,6648.19261433921,NA,2585.84311979001
"2014-10-13",NA,1997.86961521137,6647.62196077524,NA,2595.64482654166
"2014-10-14",NA,1998.73179057899,6647.1057733578,NA,2605.5735821738
"2014-10-15",NA,1999.59946882075,6646.64543646423,NA,2615.62952349607
"2014-10-16",NA,2000.47264969041,6646.24222930242,NA,2625.81271829826
"2014-10-17",NA,2001.3512762662,6645.89725126637,NA,2636.12316797214
"2014-10-20",NA,2002.23523470149,6645.61141560113,NA,2646.56079983017
"2014-10-21",NA,2003.12436378221,6645.38549682496,NA,2657.12545928894
"2014-10-22",NA,2004.01846169193,6645.22011298249,NA,2667.81691208516
"2014-10-23",NA,2004.91730105025,6645.11576924794,NA,2678.63483395668
"2014-10-24",NA,2005.82062268589,6645.07286932,NA,2689.57880175877
"2014-10-27",NA,2006.72814506594,6645.09172349223,NA,2700.64827948502
"2014-10-28",NA,2007.63956961028,6645.17253609636,NA,2711.84261002349
"2014-10-29",NA,2008.55457909701,6645.31539504876,NA,2723.16100413223
"2014-10-30",NA,2009.47284696662,6645.52028781831,NA,2734.60255433094
"2014-10-31",NA,2010.39403580701,6645.7871227381,NA,2746.16624336692
"2014-11-03",NA,2011.31780207892,6646.11573292215,NA,2757.85094444625
"2014-11-04",NA,2012.24380540774,6646.50591043051,NA,2769.65543860976
"2014-11-05",NA,2013.17170810249,6646.95738195238,NA,2781.5784049426
"2014-11-06",NA,2014.10117241274,6647.46979459036,NA,2793.61841561227
"2014-11-07",NA,2015.03186488629,6648.04275087956,NA,2805.77393267573
"2014-11-10",NA,2015.96345914306,6648.6758135403,NA,2818.04330393034
"2014-11-11",NA,2016.89563578383,6649.36851189242,NA,2830.42474929022
"2014-11-12",NA,2017.82808462587,6650.12035978557,NA,2842.91638398904
"2014-11-13",NA,2018.7605049046,6650.93086198817,NA,2855.51620709607
"2014-11-14",NA,2019.69260429705,6651.79950711457,NA,2868.22211073804
"2014-11-17",NA,2020.62409898281,6652.72577738003,NA,2881.03186935106
"2014-11-18",NA,2021.55471346138,6653.70915606221,NA,2893.94313748791
"2014-11-19",NA,2022.48418078708,6654.74913439348,NA,2906.95343989296
"2014-11-20",NA,2023.41224651642,6655.84522651522,NA,2920.06015707179
"2014-11-21",NA,2024.33866705075,6656.99696386806,NA,2933.26051520044
"2014-11-24",NA,2025.26321091845,6658.20388742266,NA,2946.55158475915
"2014-11-25",NA,2026.18566283565,6659.4655769076,NA,2959.93028441704
"2014-11-26",NA,2027.10582576696,6660.78164164209,NA,2973.39342034701
"2014-11-27",NA,NA,6662.15172057281,NA,2986.93770136307
"2014-11-28",NA,2028.02351956041,6663.57548091542,NA,3000.55974211879
"2014-12-01",NA,2028.93858296456,6665.05261521135,NA,3014.25606131111
"2014-12-02",NA,2029.85087107077,6666.58284040877,NA,3028.02310548086
"2014-12-03",NA,2030.76024909828,6668.16586986672,NA,3041.85723640731
"2014-12-04",NA,2031.6665974363,6669.80144816006,NA,3055.7547778309
"2014-12-05",NA,2032.56981448401,6671.48933989662,NA,3069.7120346193
"2014-12-08",NA,2033.46981527973,6673.22931363974,NA,3083.72536952902
"2014-12-09",NA,2034.36653255364,6675.02116744603,NA,3097.79119214544
"2014-12-10",NA,2035.2599101306,6676.86469892604,NA,3111.90601269645
"2014-12-11",NA,2036.1499023569,6678.75964552543,NA,3126.06636009744
"2014-12-12",NA,2037.03645980902,6680.70567159742,NA,3140.26881191392
"2014-12-15",NA,2037.91953272453,6682.70235177162,NA,3154.50997949672
"2014-12-16",NA,2038.79905699475,6684.74910356965,NA,3168.78650541815
"2014-12-17",NA,2039.67494855003,6686.84513784055,NA,3183.0950692422
"2014-12-18",NA,2040.54709601457,6688.9895195508,NA,3197.4324141958
"2014-12-19",NA,2041.41537694077,6691.18116883998,NA,3211.79535811937
