"","IH00C1_hpft","T00C1_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","USDX_hpft","USDCNH_hpft"
"2010-11-11",NA,NA,NA,2.94648694114851,3.38566041232812,79.5580398682868,6.62646222681118
"2010-11-12",NA,NA,NA,2.95228129452391,3.38981850869079,79.5223841778984,6.6255084434176
"2010-11-15",NA,NA,NA,2.95817446079815,3.39405844536481,79.48699642936,6.62456276834125
"2010-11-16",NA,NA,NA,2.96416186750093,3.39837655008781,79.4518599031977,6.62362480415112
"2010-11-17",NA,NA,NA,2.9702388602444,3.40276909667135,79.4169575380911,6.6226941525635
"2010-11-18",NA,NA,NA,2.97640076638616,3.40723230085948,79.3822721768771,6.6217704102828
"2010-11-19",NA,NA,NA,2.98264286358165,3.41176233711434,79.3477865355098,6.62085316566601
"2010-11-22",NA,NA,NA,2.98896039377198,3.41635536620261,79.3134830189839,6.6199419933174
"2010-11-23",NA,NA,NA,2.99534856473682,3.42100754729448,79.2793436529179,6.61903645364109
"2010-11-24",NA,NA,NA,3.00180253921605,3.42571502411873,79.2453501804061,6.61813609859126
"2010-11-25",NA,NA,NA,3.00831739920038,3.43047397036978,79.211484510158,6.61724048238052
"2010-11-26",NA,NA,NA,3.01488813086269,3.4352805890431,79.1777287760194,6.61634916267876
"2010-11-29",NA,NA,NA,3.02150968800236,3.44013108827041,79.1440653220359,6.61546170222349
"2010-11-30",NA,NA,NA,3.02817697692894,3.44502165325018,79.1104769850903,6.61457767704207
"2010-12-01",NA,NA,NA,3.03488484132381,3.44994847388013,79.0769472906955,6.61369667475176
"2010-12-02",NA,NA,NA,3.04162804708356,3.45490775377268,79.0434606859595,6.61281829967879
"2010-12-03",NA,NA,NA,3.04840126714643,3.45989570081913,79.0100022888955,6.61194217322251
"2010-12-06",NA,NA,NA,3.05519914484253,3.46490852381703,78.9765576955831,6.61106793070495
"2010-12-07",NA,NA,NA,3.06201630762844,3.46994238659206,78.9431125723724,6.61019522069955
"2010-12-08",NA,NA,NA,3.06884737254441,3.47499345780277,78.9096528515865,6.60932370229233
"2010-12-09",NA,NA,NA,3.07568691032765,3.48005792865956,78.8761648652208,6.60845304647607
"2010-12-10",NA,NA,NA,3.08252952526059,3.4851320145158,78.8426353877095,6.60758294064413
"2010-12-13",NA,NA,NA,3.08936989781329,3.49021194582985,78.8090516704357,6.60671309039709
"2010-12-14",NA,NA,NA,3.09620276941419,3.49529399223336,78.775401476259,6.60584321804235
"2010-12-15",NA,NA,NA,3.10302297682493,3.50037449135074,78.741672787512,6.60497306564046
"2010-12-16",NA,NA,NA,3.10982543691514,3.50544982838655,78.707853848845,6.60410239371133
"2010-12-17",NA,NA,NA,3.11660522651514,3.51051643890318,78.673933511855,6.60323098304059
"2010-12-20",NA,NA,NA,3.12335759613859,3.51557082445596,78.6399011829291,6.60235863421284
"2010-12-21",NA,NA,NA,3.13007794237831,3.52060957054674,78.605746965406,6.60148516838519
"2010-12-22",NA,NA,NA,3.13676174724472,3.52562934689089,78.5714617687168,6.60061043281484
"2010-12-23",NA,NA,NA,3.14340458778892,3.53062691190682,78.5370373638391,6.59973429915336
"2010-12-24",NA,NA,NA,3.15000212920609,3.53559908249122,78.5024663892022,6.59885666008801
"2010-12-27",NA,NA,NA,3.15655012622308,3.54054269768572,78.4677422822437,6.59797742805049
"2010-12-28",NA,NA,NA,3.16304444103962,3.54545462720367,78.4328592978344,6.59709653764647
"2010-12-29",NA,NA,NA,3.16948103028723,3.55033177120529,78.3978124482271,6.596213939612
"2010-12-30",NA,NA,NA,3.17585593201105,3.55517105128169,78.3625975422765,6.59532959849078
"2010-12-31",NA,NA,NA,3.18216532087954,3.55996941331633,78.327210964312,6.59444348741863
"2011-01-04",NA,NA,NA,3.19457262843726,3.56943132893319,78.25591055866,6.59266585385024
"2011-01-05",NA,NA,NA,3.20066325011425,3.57408895682024,78.219991446032,6.59177425877572
"2011-01-06",NA,NA,NA,3.20667375151514,3.57869378401317,78.1838902945932,6.59088074829507
"2011-01-07",NA,NA,NA,3.2126006414425,3.58324285234264,78.1476059823241,6.58998527166481
"2011-01-10",NA,NA,NA,3.2184405499481,3.58773318832683,78.1111384644656,6.58908777777742
"2011-01-11",NA,NA,NA,3.22419020108171,3.59216181214211,78.074488912526,6.58818821875563
"2011-01-12",NA,NA,NA,3.2298463691406,3.59652577735029,78.0376596425498,6.58728654957945
"2011-01-13",NA,NA,NA,3.23540586802604,3.60082216212392,78.0006541095987,6.58638272329094
"2011-01-14",NA,NA,NA,3.24086556957326,3.60504806140725,77.9634765881543,6.58547669012687
"2011-01-17",NA,NA,NA,3.24622241365406,3.60920057980823,77.926131840193,6.58456839665228
"2011-01-18",NA,NA,NA,3.25147338111821,3.61327685473545,77.8886250974832,6.5836577865483
"2011-01-19",NA,NA,NA,3.25661549571331,3.61727408163321,77.850962188631,6.58274480429451
"2011-01-20",NA,NA,NA,3.26164583018098,3.62118950134216,77.8131493892395,6.58182939182512
"2011-01-21",NA,NA,NA,3.26656151239847,3.62502039617344,77.7751932721328,6.58091148993973
"2011-01-24",NA,NA,NA,3.27135971503255,3.62876409151504,77.7371008263267,6.57999103888845
"2011-01-25",NA,NA,NA,3.27603769484306,3.63241797090592,77.6988791874995,6.57906797833791
"2011-01-26",NA,NA,NA,3.28059277829893,3.63597946775133,77.6605356082692,6.57814224622235
"2011-01-27",NA,NA,NA,3.28502235551119,3.6394460850588,77.6220774161214,6.57721378003455
"2011-01-28",NA,NA,NA,3.28932384528093,3.64281539388314,77.5835119879237,6.57628251700178
"2011-01-31",NA,NA,NA,3.29349473460394,3.64608502408135,77.5448467492883,6.57534839446968
"2011-02-01",NA,NA,NA,3.2975325644929,3.64925264870016,77.5060893558568,6.57441135297394
"2011-02-09",NA,NA,NA,3.31883386818248,3.66599369795923,77.2720359801512,6.56872457472978
