"","IH00C1_hpfc","SPX_hpfc","FTSE_hpfc"
"2018-03-20",83.3311465396504,0.084749719627724,-378.559895246313
"2018-03-21",70.4738017683733,-5.60551455335352,-401.908756568849
"2018-03-22",48.6591691672045,-74.5253318629986,-489.391956014495
"2018-03-23",-72.7143607291609,-130.635455786144,-521.198685253114
"2018-03-26",-74.2484174999286,-61.0266090938538,-555.657933659872
"2018-03-27",-62.344600667096,-107.639460557748,-445.468475167032
"2018-03-28",-127.804479061292,-115.944653723493,-402.178854020415
"2018-03-29",-60.2295957424666,-80.1027876429418,-391.667430327099
"2018-03-30",-78.0214409412682,NA,NA
"2018-04-02",-90.9814799919067,-140.444413441074,NA
"2018-04-03",-81.5111459776072,-108.570049131617,-419.222397949408
"2018-04-04",-82.0118343735991,-79.030154674205,-417.121788850336
"2018-04-09",-58.6849069616381,-112.691285097423,-260.974293640118
"2018-04-10",8.86830837699488,-69.7030986037142,-190.578504146
"2018-04-11",10.6465080188696,-85.1111039873021,-201.82509620143
"2018-04-12",-18.5516153252072,-64.0455329319037,-202.291352953395
"2018-04-13",-41.3273733449851,-72.4765819397175,-197.764474122397
"2018-04-16",-104.882070062188,-51.6844210391024,-265.84157580995
"2018-04-17",-121.6169924153,-23.8891902995164,-239.729692369571
"2018-04-18",-101.93338398874,-22.4010084261433,-150.195748266656
"2018-04-19",-63.0324380953137,-38.6799842493588,-140.386568871928
"2018-04-20",-101.915305912716,-62.4462173398309,-102.91891747123
"2018-04-23",-74.9831125635371,-63.0797912794982,-74.0094993202609
"2018-04-24",-7.23694104270021,-99.6007638375502,-49.2749771321617
"2018-04-25",-25.2778433501131,-95.5591667084971,-97.151983027528
"2018-04-26",-62.1068684942131,-68.8249904159201,-56.837128758663
"2018-04-27",-70.9250550346179,-66.6681859830807,22.1530140808357
"2018-05-02",-61.5334158584615,-103.391082415857,57.8396450489263
"2018-05-03",-52.3329345352796,-110.172680527534,15.5953569869063
"2018-05-04",-70.5245691991998,-77.3309306286894,78.3334920219855
"2018-05-07",-27.7092563520091,-68.9755680382309,NA
"2018-05-08",18.3120966565162,-70.5462961095745,75.2574359986598
"2018-05-09",16.5385939305087,-45.5427896843994,170.370542381564
"2018-05-10",35.9693320045978,-21.1346944433917,207.196133526865
"2018-05-11",34.2034005770421,-17.3616372416767,229.187461366495
"2018-05-14",65.4398744778162,-15.8332361981502,214.067692185691
"2018-05-15",63.2778143985819,-35.399102255101,224.559897532978
"2018-05-16",30.9162539807953,-25.2788398099957,234.3170604698
"2018-05-17",18.3542007094057,-28.502038627737,286.672071233579
"2018-05-18",59.9906492898259,-36.5582780239678,276.127723204448
"2018-05-21",62.8245868405797,-17.4171255327336,355.196691263878
"2018-05-22",47.0549756824717,-26.8881335763665,372.221536153266
"2018-05-23",0.880752167132148,-18.9408473776539,282.014671790011
"2018-05-24",-10.8991668044239,-25.3748010449078,209.178358230083
"2018-05-25",-9.28586469523129,-32.7095208570594,221.644738955801
"2018-05-28",11.7195795368957,NA,NA
"2018-05-29",-3.08390922741077,-65.0845226041151,122.995870983663
"2018-05-30",-56.2974109519388,-31.8393085552827,178.983719711159
"2018-05-31",1.07799567431726,-51.483354076444,166.740199694222
"2018-06-01",-5.55874476660043,-23.0361213723922,189.507151504169
"2018-06-04",42.7913118617923,-11.687051366771,228.296346788378
"2018-06-05",55.7271119937353,-10.6555754610198,173.149478859909
"2018-06-06",51.6475843752488,11.9988797743843,198.138146663087
"2018-06-07",62.7516347169708,9.12689217354727,189.663877569304
"2018-06-08",18.0381473805836,16.8990346107131,165.908117047523
"2018-06-11",39.1059807887282,18.9858761874541,221.922232167567
"2018-06-12",66.7539859077779,22.9579790199343,188.037521419022
"2018-06-13",51.9809975393056,10.8658973763481,187.755191558098
"2018-06-14",59.9858228914407,16.8601760349655,249.736371613662
"2018-06-15",66.1672476854672,13.1713552825503,117.842113004323
"2018-06-19",-35.0759671530904,-5.59345663020152,88.0110238298963
"2018-06-20",-20.3450880494823,-1.69839469431656,111.805944543315
"2018-06-21",-36.8413669300823,-20.0843182203863,41.1789414798752
"2018-06-22",-27.3660473114134,-15.7806989709802,167.430783845625
"2018-06-25",-79.3203574811415,-54.3970004065536,-4.48777617541136
"2018-06-26",-98.3055144150067,-49.2026794645422,24.1939443918637
"2018-06-27",-161.122702300967,-73.4171705967625,108.656630377349
"2018-06-28",-167.173064691267,-57.5098879166744,103.38095661044
"2018-06-29",-112.257678536622,-56.2102151899922,125.557553006136
"2018-07-02",-221.77755168508,-48.617512410214,37.4470067459281
"2018-07-03",-200.333645581897,-62.8411163357498,83.9498531107273
"2018-07-04",-213.726829998414,NA,64.9066119025502
"2018-07-05",-208.957891896043,-40.1703436284858,96.2877682217579
"2018-07-06",-171.42752989017,-17.6644849743333,112.11378033915
"2018-07-09",-95.9363562214398,5.9971855456098,183.845066723849
"2018-07-10",-98.2849122691127,14.9954011520499,189.431999501577
"2018-07-11",-133.473699756334,-5.47910741331217,90.9848748040689
"2018-07-12",-76.9031797791913,18.1543843927215,152.083910459502
"2018-07-13",-73.1737582610757,20.5566033781007,164.449286686416
"2018-07-16",-90.6858093367078,17.0782688466797,104.95112083803
"2018-07-17",-103.439676893776,27.6200916048792,132.849462290915
"2018-07-18",-112.435667334014,33.1327753997129,184.914317039005
"2018-07-19",-97.2740443013699,21.4670125611261,194.815636161476
"2018-07-20",-50.5550249635311,18.2934817233348,191.943294301779
"2018-07-23",0.721213721160296,22.9528526469571,171.347085574222
"2018-07-24",39.9545156916857,35.9057875308891,227.106724751219
"2018-07-25",38.9447245889746,61.1329390861053,178.911855777376
"2018-07-26",11.0916675381914,52.0849451816376,186.512028720519
"2018-07-27",18.1951555665242,33.0724184166302,227.436719693559
"2018-07-30",33.2549951161779,16.4859498603772,229.855327712678
"2018-07-31",41.0709851083338,29.8361169113466,280.737157780832
"2018-08-01",-19.1570892821916,26.593490153493,187.951419888349
"2018-08-02",-66.8294598576281,40.1686278375789,114.127207979891
"2018-08-03",-93.5463505015243,53.0420772217364,200.543538308518
"2018-08-06",-88.507957472773,62.8643689599999,208.559379951852
"2018-08-07",-14.3144383618711,70.716011781023,266.683619090828
"2018-08-08",-48.3659141738733,69.7974884277639,328.365055696023
"2018-08-09",10.5375000033322,65.5392524119946,297.082379502038
"2018-08-10",11.595709074402,45.1317283940382,226.004144510461
"2018-08-13",-9.79138641187669,33.705313943037,205.208781921328
"2018-08-14",-14.8238906999442,51.6903879722772,178.244629512942
"2018-08-15",-78.9019039868351,30.0873154629007,68.3999402391194
"2018-08-16",-70.0255203419418,52.4264400291856,130.912893374308
"2018-08-17",-109.394801219848,61.9180928484901,137.201639919135
"2018-08-20",-66.4097791292633,68.9225834271832,174.024276760204
"2018-08-21",-27.0704413596791,74.9501956772122,152.688844070562
"2018-08-22",-24.1767477493234,73.9611850207504,165.523310088241
"2018-08-23",-16.9286469467232,69.3057758984595,158.865579936342
"2018-08-24",3.87392239341224,87.2341621785154,177.563490316965
"2018-08-27",49.8310286140423,109.536509080829,NA
"2018-08-28",40.3427384566275,110.602945766282,221.784812263618
"2018-08-29",38.809098064712,127.443556117666,172.327243412256
"2018-08-30",18.4301369055805,114.888378299038,129.758389721822
"2018-08-31",7.60586840439386,115.667397794351,50.8157859182504
"2018-09-03",-1.06370163189835,NA,127.716913090411
"2018-09-04",41.2214294597696,111.290552597384,85.7492313220377
"2018-09-05",-25.7387352179705,103.627732889705,15.9901479038508
"2018-09-06",-45.344209601806,93.5687828496754,-43.4629653186644
"2018-09-07",-15.5949969888537,87.723503820289,-79.8127431098457
"2018-09-10",-38.2910819329303,93.7316584668544,-73.2618022681734
"2018-09-11",-56.6324425414268,105.082973193366,-74.0327266005116
"2018-09-12",-69.4190410937735,106.737135658971,-29.1880696305867
"2018-09-13",-33.4508164598478,122.653790085592,-55.920354279753
"2018-09-14",-24.7276788145935,124.142536574425,-28.3620914042257
"2018-09-17",-50.4495245055142,108.682924526536,-25.185768745032
"2018-09-18",14.5837603412532,124.944452027373,-21.9138623193804
"2018-09-19",36.3723104533527,129.366572237292,14.1411622662727
"2018-09-20",42.1162545301075,152.978686669635,55.5268484636978
"2018-09-21",146.815706235887,152.740143362825,183.640733879375
"2018-09-25",109.670761825954,140.398159607625,211.42308507133
"2018-09-26",145.681456867893,131.733103253616,220.596363421842
"2018-09-27",136.447781595881,140.714162450825,259.797454654932
"2018-09-28",163.76966602504,141.670387138981,229.813554021177
"2018-10-08",38.2469837685861,118.445486521687,-15.584224853948
"2018-10-09",54.4795407439352,115.476224086155,-6.11964990835165
"2018-10-10",55.8671270587446,21.9523839647169,-92.7856490456388
"2018-10-11",-57.3904896989872,-34.2074927151072,-226.435590078562
"2018-10-12",2.70643496549017,5.71512609998792,-232.322802465862
"2018-10-15",-28.6423307300591,-9.4512133966635,-193.910522067081
"2018-10-16",-23.4370196866792,50.862032625844,-158.661888708702
"2018-10-17",-15.477852965943,51.3434119051648,-158.429962062498
"2018-10-18",-72.3650419412989,12.1114511546445,-181.047736215749
"2018-10-19",-18.0987915884287,12.3146558643478,-153.288139767308
"2018-10-22",108.720723029959,1.62152651790756,-155.384026477946
"2018-10-23",22.8933343322987,-12.359441491395,-238.118186745396
"2018-10-24",37.6188297963966,-95.7397534405592,-225.543346737862
"2018-10-25",46.2969874368238,-45.0609094976931,-179.672134195092
"2018-10-26",26.7275697177558,-90.7343702559371,-239.517083626292
"2018-10-29",-52.2896800334552,-106.971577682065,-139.550655271225
"2018-10-30",-22.5550295378564,-64.393936236898,-134.015210363326
"2018-10-31",6.13127509805933,-34.0928061635358,-37.2530524511081
"2018-11-01",15.3689970911712,-4.27952108720484,-46.2464296864992
"2018-11-02",101.757897123792,-20.4154005404954,-62.407574822767
"2018-11-05",65.4977295253108,-4.00176228708269,-48.3787014967275
"2018-11-06",53.1882065626893,14.290084348314,-107.301997548355
"2018-11-07",34.0290134285778,73.8688316950935,-26.5396308198172
"2018-11-08",43.2198133297857,67.9331661757801,0.946275201182445
"2018-11-09",-13.4397445930645,43.221743678449,-30.3863920028862
"2018-11-12",-5.1500290647124,-10.476807989705,-78.7197453406002
"2018-11-13",11.2885967456989,-13.4438788875205,-74.1958851599969
"2018-11-14",-21.5242282023613,-32.9908547432209,-90.4068792695883
"2018-11-15",8.61113038438974,-3.33911572785879,-82.5147648081027
"2018-11-16",10.6943156965086,3.73997162464446,-103.061541544011
"2018-11-19",46.9249673650613,-40.8149578393862,-112.559175137086
"2018-11-20",1.9027206005565,-88.6952708196215,-162.129588646071
"2018-11-21",-1.77280878341666,-79.7223171443807,-56.5146586019811
"2018-11-22",-15.5020057599174,NA,-143.216194518005
"2018-11-23",-52.285254569065,-96.1874099790813,-147.565982546761
"2018-11-26",-49.9229330430493,-54.4218295350235,-61.4157496406023
"2018-11-27",-64.4153974015736,-44.8268162635339,-77.6571617541828
"2018-11-28",-37.9629832280159,17.5664118799237,-87.1818594555739
"2018-11-29",-50.3659994791045,12.3266554693604,-50.0514512123976
"2018-11-30",-31.6247394193211,35.4827078176148,-115.62750945441
"2018-12-03",23.2605245062869,66.3933571421899,-21.5115859224568
"2018-12-04",33.2895329250667,-23.2426230065947,-58.7851845617397
"2018-12-05",21.2620168492678,NA,-157.439800425183
"2018-12-06",-26.6223064692957,-26.7164865225822,-403.11690426661
"2018-12-07",-38.7637285676823,-88.9894776922352,-285.347901759933
"2018-12-10",-57.1625299784087,-83.7928297585385,-351.624031947352
"2018-12-11",-52.6189752106316,-84.2177391796213,-264.416415919714
"2018-12-12",-50.7333051446586,-69.4553677771677,-189.476029420145
"2018-12-13",-19.5057389104371,-69.5568425605518,-190.593738892956
"2018-12-14",-52.1364746667046,-119.763261829066,-221.470332460661
"2018-12-17",-53.2257025093768,-173.435695130169,-292.066519462074
"2018-12-18",-87.773590983052,-172.925162505776,-362.502917688938
"2018-12-19",-115.580286631285,-211.882612306599,-297.060024204773
"2018-12-20",-154.24589971534,-251.228921403099,-350.098186228546
"2018-12-21",-197.970492720352,-301.924879081943,-351.547628186627
"2018-12-24",-182.954064372192,-367.311170781731,-374.45842978911
"2018-12-25",-194.59653156387,NA,NA
"2018-12-26",-215.497735562483,-250.668357137597,NA
"2018-12-27",-215.057437196921,-229.546846952989,-473.930525430244
"2018-12-28",-218.675308217656,-232.696945415118,-325.383694718418
"2019-01-02",-246.550931479246,-208.682713299182,-324.51145455233
"2019-01-03",-242.683799444756,-271.038523441579,-365.954806742558
"2019-01-04",-197.273302662846,-187.25623359845,-220.206756229349
"2019-01-07",-202.918731366505,-169.825672078685,-247.836330042298
"2019-01-08",-211.019294243972,-145.476589787071,-197.342464186595
"2019-01-09",-190.174116104872,-135.348667429314,-152.653992221755
