"","RB0_60Close","RB0_60_hpft","RB0_60_hpfc","HC0_60Close","HC0_60_hpft","HC0_60_hpfc","I0_60Close","I0_60_hpft","I0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","BU0_60Close","BU0_60_hpft","BU0_60_hpfc","JM0_60Close","JM0_60_hpft","JM0_60_hpfc","UR0_60Close","UR0_60_hpft","UR0_60_hpfc","FG0_60Close","FG0_60_hpft","FG0_60_hpfc","MA0_60Close","MA0_60_hpft","MA0_60_hpfc","SA0_60Close","SA0_60_hpft","SA0_60_hpfc","SR0_60Close","SR0_60_hpft","SR0_60_hpfc"
"2022-08-18 15:00:00",4041,4019.58171592321,21.4182840767873,3916,3973.72295680712,-57.722956807124,678.5,714.361817430962,-35.8618174309617,6059,6442.96742209305,-383.96742209305,4122,4036.57465120847,85.4253487915345,2127,2039.73318402078,87.2668159792231,2193,2247.25272196215,-54.2527219621508,1461,1496.20661190383,-35.2066119038258,2420,2503.02812465841,-83.0281246584152,2304,2353.98939187453,-49.9893918745314,5517,5549.56716230686,-32.5671623068611
"2022-08-18 22:00:00",4022,4017.63268742717,4.36731257282785,3903,3972.60644929128,-69.6064492912761,680.5,713.972213066991,-33.4722130669908,6068,6440.19836916205,-372.198369162054,4120,4034.37607783582,85.6239221641804,1878.5,2037.68992253785,-159.18992253785,NA,NA,NA,1459,1495.59501050307,-36.5950105030747,2422,2504.02013111075,-82.0201311107472,2278,2353.20055414225,-75.2005541422459,5498,5548.55553287576,-50.555532875759
"2022-08-18 23:00:00",4016,4015.63871829292,0.361281707084427,3891,3971.47042636219,-80.4704263621908,682.5,713.587431673019,-31.0874316730185,6075,6437.46456910782,-362.464569107817,4126,4032.14288803796,93.8571119620378,1884,2035.63741866571,-151.637418665712,NA,NA,NA,1456,1494.98371330941,-38.9837133094096,2428,2505.03594596579,-77.0359459657856,2273,2352.43150512198,-79.4315051219842,5505,5547.56099774502,-42.5609977450172
"2022-08-19 10:00:00",4000,4013.60042084677,-13.6004208467738,3878,3970.31537447708,-92.3153744770782,680,713.207600127369,-33.2076001273688,6074,6434.76739535483,-360.767395354831,4079,4029.87608498933,49.1239150106673,1880.5,2033.5771913844,-153.077191384399,2185,2248.77773069279,-63.7777306927924,1450,1494.37319909191,-44.3731990919093,2413,2506.07546436328,-93.0754643632837,2255,2351.68201060448,-96.6820106044808,5503,5546.58377017205,-43.5837701720483
"2022-08-19 10:15:00",4004,4011.51840756459,-7.51840756459137,3879,3969.14174682992,-90.1417468299173,680.5,712.832832458045,-32.3328324580454,6110,6432.10807149932,-322.10807149932,4027,4027.57671066119,-0.57671066119207,1871.5,2031.51069699311,-160.010696993111,2178,2250.31643264773,-72.3164326477284,1442,1493.76393050535,-51.7639305053545,2402,2507.13854959938,-105.138549599377,2249,2350.95180354665,-101.951803546649,5494,5545.62404582139,-51.6240458213876
"2022-08-19 11:30:00",4023,4009.39328530022,13.6067146997838,3898,3967.9499584552,-69.949958455197,686,712.463228966381,-26.4632289663809,6124,6429.48767201079,-305.487672010794,3993,4025.24582733057,-32.2458273305747,1900,2029.43932851509,-129.439328515089,2160,2251.8687398944,-91.8687398944017,1442,1493.15635186243,-51.1563518624314,2434,2508.22502649658,-74.2250264965784,2251,2350.24057694102,-99.2405769410228,5499,5544.68200234169,-45.6820023416903
"2022-08-19 14:30:00",3968,4007.22565779985,-39.225657799845,3854,3966.74038712645,-112.74038712645,677,712.09887658861,-35.09887658861,6106,6426.90713821216,-320.907138212156,3978,4022.88449703616,-44.8844970361577,1882.5,2027.3644128316,-144.864412831599,2134,2253.43453460749,-119.434534607492,1441,1492.5508860787,-51.5508860786994,2441,2509.33467641729,-68.3346764172854,2229,2349.54798163728,-120.547981637285,5488,5543.75779604231,-55.7577960423064
"2022-08-19 15:00:00",3929,4005.01613443401,-76.0161344340079,3827,3965.51338170271,-138.513381702712,673.5,711.739851322131,-38.2398513221312,6102,6424.36728515007,-322.367285150074,3960,4020.49376848755,-60.4937684875474,1871.5,2025.28722331888,-153.787223318884,2140,2255.01366098683,-115.013660986834,1440,1491.94793492373,-51.947934923732,2442,2510.46725004227,-68.4672500422738,2238,2348.87362746304,-110.873627463035,5484,5542.85156434953,-58.8515643495258
"2022-08-19 22:00:00",3962,4002.76530835895,-40.7653083589532,3862,3964.26924444069,-102.269244440693,681.5,711.386214655878,-29.8862146558778,6169,6421.86879522104,-252.868795221044,3956,4018.07467184077,-62.074671840768,1878.5,2023.20897347207,-144.708973472068,NA,NA,NA,1463,1491.34787885804,-28.3478788580441,2455,2511.62246980552,-56.6224698055213,2259,2348.21707441624,-89.2170744162429,5513,5541.96342164158,-28.9634216415807
"2022-08-19 23:00:00",3990,4000.47374130883,-10.4737413088314,3875,3963.00822034115,-88.0082203411463,689,711.03801227198,-22.0380122719799,6311,6419.41221756794,-108.412217567939,3974,4015.62821224628,-41.6282122462771,1918,2021.13081321682,-103.130813216818,NA,NA,NA,1464,1490.75107686896,-26.751076868964,2456,2512.80002983945,-56.8000298394477,2260,2347.57783666414,-87.5778366641358,5539,5541.09345796981,-2.0934579698058
