"","V0_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","GR_10yry_hpft","IT_10yry_hpft","AU_10yry_hpft","INA_10yry_hpft","IND_10yry_hpft"
"2017-05-17",6351.9910390654,3.52622501653892,2.30819803391189,1.13362361373268,0.374259612639543,2.22175919813576,2.59787183475655,0.054134815114296,6.6997282957934
"2017-05-18",6354.21485673633,3.52786907070816,2.30632127615288,1.13301137388465,0.374983304695144,2.22021951447496,2.59652950569708,0.0540711643359308,6.69723070147508
"2017-05-19",6356.60743629437,3.52949082764322,2.30446128415679,1.13243750796768,0.375711785566677,2.21866344679789,2.5952356290931,0.05401235662622,6.69468807269463
"2017-05-22",6359.16662785527,3.53422191998284,2.29898905627932,1.13094634574403,0.377925367517382,2.21390803655366,2.59165498795987,0.0538637140878308,6.68681303839257
"2017-05-23",6361.89022093328,3.53575423440166,2.29720313276638,1.13052612413747,0.378672416363947,2.21229736379371,2.59056495609784,0.0538229758852926,6.68411362706827
"2017-05-24",6364.77594751675,3.53726428904552,2.29543733915865,1.13014429538797,0.379423984875471,2.21067560545493,2.58952816305286,0.0537864021162759,6.68138111775103
"2017-05-25",6367.82145407387,3.53875221056697,2.2936922763004,1.12980083172151,0.380180046348048,2.20904372250179,2.58854542712103,0.0537538433529494,6.67861803550937
"2017-05-26",6371.02425075644,3.54021817767527,2.29196854278828,1.12949569634854,0.380940599117449,2.20740263717709,2.58761752463097,0.053725147362262,6.67582695527071
"2017-05-31",6374.38171220835,3.54722818266572,2.2836896615796,1.12854277205128,0.384811242405808,2.19908894771741,2.58382317688163,0.0536340575177673,6.66154464132717
"2017-06-01",6377.89104110599,3.54856868857854,2.28210553744367,1.12846599944534,0.385598987614492,2.19741002984053,2.58323687600672,0.0536251253255494,6.65864173299512
"2017-06-02",6381.5492585026,3.54988968980695,2.28054641265042,1.12842676647415,0.386391232608476,2.19572745323183,2.58270894090879,0.0536188622358538,6.65572967951307
"2017-06-05",6385.35329125075,3.55374070494055,2.27602306237637,1.12853165963406,0.388794299591861,2.19066521687796,2.58147709760526,0.0536141509299759,6.64696562511755
"2017-06-06",6389.29985681566,3.55498887520128,2.27456774945217,1.12863978947392,0.389603764315267,2.18897558283557,2.58118404294109,0.0536166192975662,6.64404392390659
"2017-06-07",6393.38544930232,3.55622028052457,2.27313911728245,1.12878393972815,0.39041721337368,2.1872862200448,2.58094969594726,0.0536207780594663,6.64112651329109
"2017-06-08",6397.60633782427,3.55743554896024,2.27173737169173,1.12896374641851,0.391234455802542,2.1855980074466,2.58077388678286,0.0536264280655117,6.63821606988491
"2017-06-09",6401.95857101471,3.55863533967569,2.2703626634702,1.1291788282951,0.392055263262439,2.18391184783847,2.58065637122295,0.0536333645352585,6.63531524730812
"2017-06-12",6406.43798148229,3.56214897722205,2.26640173444845,1.13003153540069,0.394536212306589,2.17887511512121,2.58065016468882,0.0536598513545167,6.62669633121666
"2017-06-13",6411.04018607912,3.56329414195425,2.26513600805627,1.13038333578468,0.395368228878912,2.1772064551678,2.5807620564548,0.0536699099987745,6.6238595570859
"2017-06-14",6415.76066258726,3.56442759576671,2.26389760631185,1.13076804843419,0.396202083889187,2.1755442938646,2.58093002775905,0.0536802557786974,6.62104493524062
"2017-06-15",6420.59471681471,3.56555014096272,2.26268651451784,1.13118510079655,0.397037305206677,2.17388935983185,2.58115343919058,0.0536906959503792,6.61825482041418
"2017-06-16",6425.53747237648,3.56666257822205,2.26150269569766,1.13163388031921,0.397873385068173,2.17224229920624,2.58143158316312,0.0537010428623998,6.61549150531745
"2017-06-19",6430.58383356141,3.5699471466986,2.25811383220703,1.13316385137024,0.40038109867465,2.16735342799032,2.58258613240212,0.0537297015018922,6.60738445482414
"2017-06-20",6435.7284791548,3.5710270248733,2.25703785665806,1.13373261361094,0.40121478140589,2.16574253080388,2.58307459480977,0.0537378565382857,6.60475016601518
"2017-06-21",6440.9658376182,3.57210067932512,2.25598833798827,1.13432945740558,0.402046266221952,2.16414143995319,2.58361315366653,0.0537450124809733,6.6021533148709
"2017-06-22",6446.29008496213,3.57316883185947,2.25496501232652,1.13495355514983,0.40287485324561,2.16255029032938,2.58420069168106,0.0537509904454259,6.59959585114078
"2017-06-23",6451.69517358397,3.57423217121266,2.25396757529721,1.13560404942388,0.403699800417808,2.16096911218512,2.58483601938387,0.0537556124792341,6.59707965258617
"2017-06-26",6457.17483006666,3.57739997160281,2.25112696589077,1.13770485403745,0.406144684455736,2.1562841140926,2.58701564682568,0.0537595728596909,6.5897965373275
"2017-06-27",6462.72261908194,3.57845065438177,2.25022923861667,1.13845169729435,0.406946728525965,2.15474102004133,2.58782861457085,0.0537570040146748,6.58746300958156
"2017-06-28",6468.33197626127,3.57949973864294,2.2493552608515,1.13922014667922,0.407740735080284,2.15320649211161,2.58868218854346,0.0537521971930644,6.58517927695148
"2017-06-29",6473.99622657028,3.58054779833676,2.24850447179883,1.14000914725185,0.408525685306167,2.15167993957453,2.58957467429575,0.0537449758718655,6.58294688517981
"2017-06-30",6479.70857372287,3.58159537298088,2.24767629439429,1.14081761271718,0.409300528256251,2.15016073151988,2.59050431922744,0.0537351615637234,6.58076734479945
"2017-07-03",6485.4621619108,3.58474031972053,2.24532160660616,1.14334859420512,0.411554047610555,2.14564035047845,2.59349838166165,0.0536884072126387,6.57456047181837
"2017-07-04",6491.25008997657,3.58579103717164,2.24457815290819,1.14422378524305,0.412278218434353,2.14414370577477,2.59455887703802,0.0536665105971891,6.57260683611106
"2017-07-05",6497.06541730258,3.5868437791631,2.24385458344125,1.14511302979815,0.412987301492171,2.14265101459771,2.59564770587275,0.0536412182836171,6.57071318347936
"2017-07-06",6502.90112628289,3.58789903783797,2.24315045794813,1.14601538926935,0.413680397730474,2.14116160246297,2.59676314529711,0.0536124045852083,6.56888089214117
"2017-07-07",6508.7501881238,3.58895731586187,2.24246537922117,1.14692998662708,0.414356648196839,2.13967478097625,2.59790347176139,0.0535799559509903,6.56711133175249
"2017-07-10",6514.605597634,3.59215526145945,2.24052108269303,1.14973933596737,0.416276521135467,2.13522330900725,2.6014566824429,0.0534598997171999,6.56219252892172
