"","FG0_hpfc","USDCNH_hpfc","USDX_hpfc","GBPUSD_hpfc","EURUSD_hpfc","AUDUSD_hpfc","USDJPY_hpfc"
"2014-07-11",-97.2402988127559,0.0034226815996113,-1.05411832368377,0.0358186645474323,0.0141488654240499,0.0122689107023789,-2.0788363466313
"2014-07-14",-103.453337799282,0.0105108917673821,-1.1085555783676,0.0326559061369288,0.0159663004688727,0.0128396956378175,-1.93737732078484
"2014-07-15",-90.6798788256146,0.017688413484279,-0.933814116374207,0.0392106611568868,0.0118949943964349,0.0111235991918012,-1.85737353447263
"2014-07-16",-84.9200218633219,0.0104725773452453,-0.829895101124418,0.0388828803359566,0.00843491457914022,0.01102066833926,-1.89883264594733
"2014-07-17",-74.1738294005503,0.0101629238722049,-0.90679931003876,0.0359724981947365,0.00918602347245376,0.00963094545713191,-2.49176154570006
"2014-07-18",-82.4413288229312,0.0111589892581632,-0.934527177491322,0.0349794331811249,0.00994828004519861,0.0143544683668522,-2.37616633931987
"2014-07-21",-48.7225168556599,0.011476795840013,-0.963078763022793,0.034603588873467,0.0107216394690757,0.0126912709088073,-2.3920521024018
"2014-07-22",-50.0173561459369,0.0102910116084324,-0.782453739877236,0.0341448543910101,0.00580605280351592,0.0150413809898034,-2.39942292833114
"2014-07-23",-53.3257892010561,-0.000291438995059717,-0.822651383201367,0.0329031045492846,0.0065014666761097,0.0216048212706028,-2.43828192171233
"2014-07-24",-51.6477378531572,-0.000371046487302476,-0.803670644706546,0.0277782000496863,0.00730782531442396,0.0180816081944498,-2.17863119532669
"2014-07-25",-58.983101891658,-0.0017483012646543,-0.685510136053216,0.0271699879927796,0.00502507025860461,0.0163717492740668,-2.21047185406648
"2014-07-28",-49.3317597568549,-0.007370848175464,-0.758168136696635,0.0287783039967821,0.00685314002801681,0.0177752445479062,-2.2738041022654
"2014-07-29",-26.6935655077942,-0.00674358883595469,-0.601642642729397,0.0255029724489315,0.00469197106490471,0.015892087287016,-2.08862723054047
"2014-07-30",-22.0683528117805,-0.0142164213701342,-0.475931336848981,0.0233438058406547,0.00444149697866113,0.0110222634149216,-1.49493958960439
"2014-07-31",-28.4559443020481,-0.0059898294551299,-0.481031653057142,0.0210006061214302,0.00470164943921372,0.00786575228594324,-1.57273866681962
"2014-08-01",-31.856153489677,-0.0116642908915647,-0.68694082862423,0.015873165591447,0.00967235828055126,0.0100225286982707,-1.87202133159826
"2014-08-04",-7.26878212319686,-0.00939872458245702,-0.723655901982043,0.020561267869986,0.00985355139318954,0.0126925641986963,-1.932783803245
"2014-08-05",-8.69361878310155,-0.0135821055794446,-0.59117362760974,0.0233646900150732,0.00624515266950086,0.010275826191084,-2.01502152724947
"2014-08-06",-8.13044904521092,-0.0216688711175221,-0.749490460855477,0.0211832005854788,0.00794708192876829,0.0157722768327417,-2.58872915016309
"2014-08-07",-5.57905489183366,-0.0148594734130287,-0.69860261269903,0.0201165584819735,0.0070592564087995,0.00808187403331683,-2.68390048560587
"2014-08-08",-20.0392149444242,-0.0256543557252653,-0.858505984312062,0.014964513849073,0.0128815900623808,0.00890456918287135,-2.87052827712951
"2014-08-11",-20.5107055182827,-0.0250690013647875,-0.869196188090496,0.0171268085158476,0.0112139939243008,0.00814031033072836,-2.75860415886145
"2014-08-12",-17.9932946453353,-0.018385270893279,-0.890668481561778,0.0204031781257126,0.0106563737046008,0.0090890418454235,-2.78811857837347
"2014-08-13",-14.4867418791473,-0.0187079029043976,-0.852917762957792,0.00909335124250916,0.0112086304779251,0.0134507047306055,-2.70906084293742
"2014-08-14",-40.9907993356482,-0.024837285853885,-0.945938562348724,0.00969704799622826,0.0123706609139953,0.0155252362329013,-2.77141910733333
"2014-08-15",-23.50521314249,-0.0288738004643956,-1.15972505723968,0.0112139847580374,0.0169423570493304,0.0163125680389437,-2.96518040651861
"2014-08-18",-6.02971248338082,-0.0328297797881721,-1.08427103412463,0.0158438738907812,0.0144236058069175,0.0172126254178629,-2.85033062985913
"2014-08-19",12.4359831740849,-0.0290984089246091,-0.839569800111432,0.0055864231218163,0.0112142871064757,0.0158253268958214,-2.59685444103974
"2014-08-20",7.89215685476912,-0.0278759044347967,-0.545614214116479,0.00454133362930657,0.00621427490556685,0.0149505838839771,-1.84473532552796
"2014-08-21",31.3390864429355,-0.0182625767591618,-0.702396788009552,0.00390830428221311,0.00952343852620894,0.0168883012519365,-1.87395569535678
"2014-08-22",38.7770465606014,-0.0146587248153359,-0.599909808128288,0.00398703207231134,0.00664164472167583,0.0188383776893177,-1.93449720002166
"2014-08-25",36.2062988754508,-0.0147069066791875,-0.438145270463668,0.00557721237581757,0.00286875630870018,0.0177007049048274,-1.86634071439601
"2014-08-26",46.6270890262918,-0.0186438111112033,-0.387094923032946,0.00297853892090934,0.00150463335854983,0.0191751668201291,-1.95946631371726
"2014-08-27",33.0396476857263,-0.0247915884716196,-0.676750332738049,0.00759070313031862,0.00524913475670214,0.022861640040118,-2.2338533017471
"2014-08-28",22.4441862525653,-0.0177504986910919,-0.707102906473353,0.00941339519556779,0.00520211876668588,0.0255599932434508,-2.49948017228115
"2014-08-29",37.8409024683714,-0.0181207914524605,-0.548143771391048,0.0119463021705293,0.00156344148223484,0.0241700856587105,-2.23632449573207
"2014-09-01",-11.7700152028458,-0.0201023512049355,-0.579863762355387,0.0136891072179422,0.00223295684672745,0.0246917659489893,-2.08436280932874
"2014-09-02",-5.38839393894679,-0.0133205238332425,-0.452253487648635,0.000941488562414034,0.00391051815729969,0.0197248727864425,-1.47357072589568
"2014-09-03",-9.01405605253491,-0.020051216662323,-0.655303315862833,0.00120311877003802,0.00679597778806618,0.0274692346366683,-1.86392299666157
"2014-09-04",2.35317837110691,-0.0177946364710361,0.240996571353026,-0.0106263299822696,-0.0127108135033194,0.0287246718117859,-1.52539376374176
"2014-09-05",-7.28650702724796,-0.0229509817498249,0.136656263227028,-0.00994718601492481,-0.0106100077683958,0.0318909932692185,-1.80795639878177
"2014-09-09",1.06707042046935,-0.0248032037701769,0.346094962900224,-0.0299644115211449,-0.00948618802337682,0.0162554641837852,-0.906247489832243
"2014-09-10",-14.5859036057426,-0.0295994340023544,0.359893592363421,-0.0185614076641412,-0.0105634525940895,0.0125531717428867,-0.361919535904362
"2014-09-11",1.75475613304977,-0.0259092959202821,0.373091183239267,-0.0114510561520017,-0.00873367776464709,0.00756088625136681,-0.248571002790551
"2014-09-12",13.0892409049969,-0.021532938878865,0.205697132244351,-0.0107336437793851,-0.00359699141651403,0.00207837000151337,-0.0861729625736274
"2014-09-15",34.4177412529178,0.00961210407056496,0.137720681871978,-0.012909452607534,-0.00445351782101673,0.00210538216026417,-0.394696384586617
"2014-09-16",37.7404423090437,-0.00466796189743943,-0.0908290104115084,-0.00747876026084245,-0.00130337976259419,0.009041681035421,-0.584112202542186
"2014-09-17",44.0575149787089,-0.0024624288529116,0.350057155934218,-0.00584183902744962,-0.00944669818480393,-0.00271297593547393,0.525608812998957
"2014-09-18",40.3691145668693,-0.0143714122177558,-0.0996116810074194,0.00630104189592809,-0.00248359349243273,0.00104116494764311,0.734496132925617
"2014-09-19",32.6753781668566,-0.0155950263959966,0.370173472148522,-0.00285038427265115,-0.0104141821853861,-0.00479614149372202,0.972579010858794
"2014-09-22",30.976426185061,-0.00575470628129183,0.18942164996246,0.00560361308026663,-0.00723857973694326,-0.00932514086844723,0.629886396810338
"2014-09-23",67.2723655211679,-0.0167378647499593,0.128141733980004,0.00946276574638253,-0.00595689731560195,-0.011346076802863,0.556446838765734
"2014-09-24",73.563290270467,-0.0192361374837312,0.396342527445803,0.00592680320108975,-0.0115692430977021,-0.00615918906868914,0.612288624340428
"2014-09-25",37.8492667205524,-0.0111496050411501,0.464032780638733,0.0046954510082344,-0.0132757227972517,-0.0150647127476111,0.207439811140002
"2014-09-26",37.1303307509037,-0.0138783400294264,0.81122108000399,-0.00173156771821323,-0.0187764373459932,-0.0166628803753542,0.591928203670262
"2014-09-29",33.4065025956351,0.020743198974076,0.707915820173726,-0.000454531805207475,-0.0169714821880149,-0.0201539182605112,0.695781520693692
"2014-09-30",41.6777871406883,0.021352770379988,0.924125060454594,-0.00227371936393757,-0.0212609450059952,-0.0163380458238884,0.719027236289151
"2014-10-08",25.9441754630883,-0.0183373263266118,-0.228404336503998,0.000375031133587498,-0.00298442339513003,-0.00140907008381973,-1.59274183149243
"2014-10-09",40.2056414119478,-0.0185706258009979,-0.0553950461781118,-0.00342535957648532,-0.0059366033907434,-0.0062503901837829,-2.00298970097043
"2014-10-10",28.4621481120824,-0.0163202010638014,0.177182356750998,-0.00632411032574796,-0.0113836282273322,-0.0150863304653779,-2.32362571447624
"2014-10-13",29.7136420689345,-0.0218672055530138,-0.640665988688138,-0.00432147544802864,0.00247447067479186,-0.00531706662582833,-3.24462037805812
