"","T00C1_hpfc","SPX_hpfc","FTSE_hpfc","IH00C1_hpfc","IF00C1_hpfc"
"2014-07-17",NA,10.4455865437578,19.8395717088835,NA,-70.6135107822615
"2014-07-18",NA,29.6506280196413,31.9882485334975,NA,-62.7211755161484
"2014-07-21",NA,24.171145357552,12.0189652634236,NA,-76.5240861906523
"2014-07-22",NA,33.1870131068939,79.981078220094,NA,-51.4226435321623
"2014-07-23",NA,35.7880958257025,83.8739387568142,NA,-51.2172166352755
"2014-07-24",NA,35.884244353829,108.286865165908,NA,-5.50815333847563
"2014-07-25",NA,25.3752947377716,79.4991410694929,NA,24.5042196911571
"2014-07-28",NA,25.0810681909218,77.1600053283393,NA,82.0195780629772
"2014-07-29",NA,15.2613754375327,97.9986639414607,NA,76.6375872574823
"2014-07-30",NA,14.5260168343807,64.8642910130557,NA,65.5578788515633
"2014-07-31",NA,-25.7252135702303,22.7260201385534,NA,102.980052743288
"2014-08-01",NA,-32.0925277324392,-26.9970418988656,NA,70.1036817315025
"2014-08-04",NA,-19.0961269746338,-27.4357977100683,NA,109.128296047531
"2014-08-05",NA,-38.716199353432,-21.2411387464006,NA,85.8533969445054
"2014-08-06",NA,-39.5229250318849,-66.3139451183789,NA,74.8784405665294
"2014-08-07",NA,-51.0264681693246,-103.845088156296,NA,42.2028475687087
"2014-08-08",NA,-29.8369765878995,-132.585411778891,NA,41.2260076548726
"2014-08-11",NA,-25.3345770174579,-65.84571697955,NA,57.3472930841062
"2014-08-12",NA,-29.3293838544453,-64.9567499461645,NA,57.7660590741171
"2014-08-13",NA,-17.1815010230097,-39.3992296486593,NA,45.2816371374585
"2014-08-14",NA,-9.54102032372066,-9.51384820645325,NA,16.4933349085782
"2014-08-15",NA,-10.4780264549984,-4.3812814529069,NA,35.4004413042876
"2014-08-18",NA,5.38739982861034,49.1077987112628,NA,45.6022384239851
"2014-08-19",NA,14.4351821037559,88.4927221963916,NA,37.8979937334348
"2014-08-20",NA,18.5352417201528,65.9927986136123,NA,21.8869558486853
"2014-08-21",NA,23.5874940605866,89.5073009947292,NA,6.16835772012756
"2014-08-22",NA,18.8118468461256,88.4354750927766,NA,17.3414232508549
"2014-08-25",NA,27.5281980477086,NA,NA,-13.1946262055363
"2014-08-26",NA,28.826437860222,137.286529662079,NA,-30.0405764638512
"2014-08-27",NA,28.1264450994954,146.52963690128,NA,-38.1972078848202
"2014-08-28",NA,23.9480866656766,123.013912260298,NA,-50.2652884114623
"2014-08-29",NA,29.7812178325596,138.308410619592,NA,-36.0455701976754
"2014-09-01",NA,NA,145.212136010615,NA,-44.9387846195703
"2014-09-02",NA,27.8956839747764,150.414035293686,NA,-12.145648153626
