"TY00YDate","TY00YClose","TY00Y_hpft","TY00Y_hpfc"
2020-06-04,137.7344,138.599696170175,-0.865296170175069
2020-06-05,137.2031,138.63679740091,-1.43369740091009
2020-06-08,137.3437,138.67308805788,-1.32938805788022
2020-06-09,137.7344,138.70857230069,-0.974172300690451
2020-06-10,138.6406,138.743253739433,-0.102653739433056
2020-06-11,138.8437,138.777135581513,0.0665644184867309
2020-06-12,138.6875,138.810220991908,-0.122720991907577
2020-06-15,138.5625,138.842513163106,-0.280013163105816
2020-06-16,138.4687,138.874015236869,-0.405315236868664
2020-06-17,138.5312,138.904730239213,-0.373530239212608
2020-06-18,138.7031,138.934661028611,-0.231561028611482
2020-06-19,138.7812,138.963810309136,-0.182610309135885
2020-06-22,138.6719,138.992180689142,-0.320280689142452
2020-06-23,138.6719,139.0197747015,-0.347874701499894
2020-06-24,138.8906,139.046594746688,-0.155994746687525
2020-06-25,138.8281,139.072643081387,-0.244543081387023
2020-06-26,139.1719,139.097921897797,0.0739781022026223
2020-06-29,139.375,139.122433287035,0.252566712965395
2020-06-30,139.1562,139.146179370794,0.010020629205984
2020-07-01,138.9844,139.169162375171,-0.184762375170737
2020-07-02,139.1719,139.191384530404,-0.0194845304037489
2020-07-03,139.1875,139.212847990357,-0.0253479903568193
2020-07-06,139.0469,139.233554900841,-0.186654900840665
2020-07-07,139.2656,139.253507397189,0.0120926028108356
2020-07-08,139.0781,139.272707537578,-0.19460753757803
2020-07-09,139.375,139.291157385184,0.0838426148158031
2020-07-10,139.1406,139.30885892274,-0.168258922739513
2020-07-13,139.3594,139.325814167634,0.0335858323658345
2020-07-14,139.3437,139.342025067706,0.001674932293598
2020-07-15,139.3281,139.357493584678,-0.0293935846776519
2020-07-16,139.4375,139.372221680963,0.0652783190374304
2020-07-17,139.3594,139.386211306825,-0.0268113068247547
2020-07-20,139.4375,139.399464439512,0.0380355604883156
2020-07-21,139.5469,139.411983045188,0.134916954811984
2020-07-22,139.5312,139.423769105739,0.107430894261024
2020-07-23,139.6094,139.434824658822,0.174575341178015
2020-07-24,139.5625,139.445151786501,0.117348213499452
2020-07-27,139.4219,139.454752643001,-0.032852643000951
2020-07-28,139.7031,139.463629431057,0.239470568943266
2020-07-29,139.7812,139.47178433982,0.309415660179851
2020-07-30,139.9844,139.479219657433,0.505180342566754
2020-07-31,140.1562,139.485937799934,0.670262200065877
2020-08-03,140,139.491941392186,0.508058607814382
2020-08-04,140.3594,139.49723333611,0.862166663890203
2020-08-05,140.0469,139.501816743639,0.545083256361478
2020-08-06,140.1406,139.50569508309,0.634904916910374
2020-08-07,139.9531,139.508872048096,0.444227951904076
2020-08-10,139.8594,139.511351594735,0.348048405264978
2020-08-11,139.3906,139.513137862711,-0.122537862710695
2020-08-12,139.125,139.514235135594,-0.389235135594471
2020-08-13,138.9219,139.514647646306,-0.592747646306034
2020-08-14,139.1406,139.514379466871,-0.373779466871269
2020-08-17,139.2969,139.513434424297,-0.21653442429717
2020-08-18,139.4062,139.511816191087,-0.105616191087043
2020-08-19,139.3281,139.509528350237,-0.181428350236942
2020-08-20,139.5156,139.506574441084,0.00902555891576784
2020-08-21,139.6562,139.502957927973,0.153242072027139
2020-08-24,139.4687,139.498682278976,-0.0299822789764356
2020-08-25,139.2969,139.493751025513,-0.196851025513395
2020-08-26,139.3281,139.488167686607,-0.160067686607143
2020-08-27,138.9219,139.481935699913,-0.560035699913247
2020-08-28,139.125,139.475058436919,-0.350058436919111
2020-08-31,139.2031,139.467539037617,-0.264439037617455
2020-09-01,139.4375,139.459380497302,-0.0218804973021944
2020-09-02,139.5625,139.450585701956,0.111914298044152
2020-09-03,139.6719,139.441157528518,0.230742471481817
2020-09-04,139.0625,139.431098900189,-0.368598900189367
2020-09-07,139.1094,139.420412835548,-0.311012835548476
2020-09-08,139.4062,139.409102200813,-0.00290220081270859
2020-09-09,139.2812,139.397169733638,-0.115969733637682
2020-09-10,139.4375,139.384618170479,0.0528818295205832
2020-09-11,139.6094,139.371450199857,0.237949800143164
2020-09-14,139.5312,139.357668532148,0.173531467851874
2020-09-15,139.4844,139.343275976091,0.141124023908892
2020-09-16,139.3594,139.328275412154,0.0311245878464303
2020-09-17,139.4062,139.312669779137,0.0935302208633124
2020-09-18,139.3594,139.29646202871,0.0629379712901321
2020-09-21,139.5781,139.279655151205,0.298444848795092
2020-09-22,139.5625,139.262252162967,0.300247837032963
2020-09-23,139.5156,139.244256203707,0.271343796293148
2020-09-24,139.5469,139.225670537246,0.321229462753665
2020-09-25,139.6406,139.20649853957,0.43410146043034
2020-09-28,139.6875,139.186743719446,0.50075628055386
2020-09-29,139.7187,139.166409765082,0.552290234917618
2020-09-30,139.5,139.145500571679,0.354499428320883
2020-10-01,139.5469,139.124020262731,0.422879737269087
2020-10-02,139.3906,139.101973108268,0.288626891731888
2020-10-05,138.7656,139.079363553123,-0.313763553123006
2020-10-06,139.1094,139.056196161435,0.0532038385645001
2020-10-07,138.7031,139.032475367646,-0.329375367646335
2020-10-08,138.7812,139.008205628189,-0.227005628189378
2020-10-09,138.7969,138.983391263348,-0.186491263348408
2020-10-12,138.9219,138.958036499571,-0.0361364995711072
2020-10-13,139.1875,138.932145486218,0.255354513781865
2020-10-14,139.2031,138.905722357713,0.297377642287389
2020-10-15,139.1094,138.878771354031,0.230628645969026
2020-10-16,139.0312,138.851296838076,0.179903161924259
2020-10-19,138.8437,138.823303268078,0.0203967319223078
2020-10-20,138.7812,138.794795176635,-0.0135951766349118
2020-10-21,138.5,138.765777104775,-0.265777104775454
2020-10-22,138.2812,138.73625358791,-0.455053587909655
2020-10-23,138.3125,138.706229051585,-0.393729051584929
2020-10-26,138.625,138.675707733247,-0.05070773324721
2020-10-27,138.8906,138.644693707592,0.245906292408352
2020-10-28,138.8281,138.613191028353,0.214908971646548
2020-10-29,138.4687,138.581203850914,-0.1125038509142
2020-10-30,138.1406,138.548736419492,-0.408136419491722
2020-11-02,138.3125,138.515792931798,-0.203292931797712
2020-11-03,138,138.482377416838,-0.482377416837611
2020-11-04,138.9375,138.448493819583,0.489006180416616
2020-11-05,138.9531,138.414145885612,0.538954114387943
2020-11-06,138.5781,138.379337562636,0.19876243736416
2020-11-09,137.8125,138.344073021149,-0.531573021148612
2020-11-10,137.4844,138.308356513805,-0.823956513804802
2020-11-11,137.5937,138.272192073527,-0.678492073527395
2020-11-12,138.1875,138.235583392651,-0.0480833926504998
2020-11-13,138.0781,138.198533883046,-0.120433883045529
2020-11-16,138.0312,138.161046936709,-0.129846936708717
2020-11-17,138.3437,138.123125895853,0.220574104146946
2020-11-18,138.25,138.084774049019,0.165225950981107
2020-11-19,138.5,138.045994775923,0.454005224077241
2020-11-20,138.5312,138.006791524579,0.524408475421317
2020-11-23,138.3437,137.967167930669,0.376532069331297
2020-11-24,138.2656,137.927127846644,0.33847215335616
2020-11-25,138.2344,137.886675280598,0.347724719402109
2020-11-26,138.4219,137.845814380536,0.576085619463983
2020-11-27,138.1875,137.804549438199,0.382950561800802
2020-11-30,138.1875,137.762884983459,0.424615016541187
2020-12-01,137.5156,137.720825704482,-0.205225704482173
2020-12-02,137.5156,137.678376464955,-0.162776464955032
2020-12-03,137.75,137.635542043732,0.114457956267899
2020-12-04,137.4062,137.592327152382,-0.186127152382393
2020-12-07,137.75,137.548736549787,0.201263450213256
2020-12-08,137.7656,137.504774917889,0.260825082110738
2020-12-09,137.6406,137.460447021828,0.180152978172073
2020-12-10,137.8594,137.415757734555,0.443642265444926
2020-12-11,138.0312,137.370712003491,0.660487996508524
2020-12-14,138.0781,137.325314959442,0.752785040558078
2020-12-15,137.9531,137.27957200623,0.67352799377033
2020-12-16,137.9219,137.23348885885,0.688411141149867
2020-12-17,137.8125,137.187071510707,0.625428489293407
2020-12-18,137.75,137.140326239765,0.609673760234759
2020-12-21,137.8125,137.093259582519,0.719240417481418
2020-12-22,137.9844,137.045878327474,0.938521672526208
2020-12-23,137.8125,136.998189560443,0.814310439556648
2020-12-24,137.9062,136.950200755187,0.955999244813249
2020-12-28,137.9687,136.901919722067,1.06678027793347
2020-12-29,137.8906,136.853354666616,1.03724533338396
2020-12-30,137.9687,136.804514235334,1.1641857646657
2020-12-31,138.0312,136.755407503475,1.2757924965248
2021-01-04,138.1562,136.70604402752,1.45015597247984
2021-01-05,137.8281,136.656433891312,1.17166610868843
2021-01-06,137.25,136.606587778128,0.643412221871559
2021-01-07,136.8906,136.556516855569,0.334083144430746
2021-01-08,136.5781,136.506232557193,0.0718674428065752
2021-01-11,136.3125,136.455746454657,-0.143246454656914
2021-01-12,136.4219,136.405070149323,0.0168298506772052
2021-01-13,136.8125,136.354215183341,0.458284816658508
2021-01-14,136.5469,136.30319310582,0.243706894179516
2021-01-15,136.9219,136.252015655304,0.669884344696362
2021-01-18,136.875,136.200694671073,0.674305328926566
2021-01-19,136.9531,136.149242269316,0.803857730684345
2021-01-20,137.0312,136.097670844947,0.933529155053023
2021-01-21,136.8906,136.045993125166,0.844606874833803
2021-01-22,137.0312,135.994222223056,1.03697777694413
2021-01-25,137.4219,135.942371600825,1.47952839917526
2021-01-26,137.3906,135.890455149327,1.50014485067345
2021-01-27,137.5,135.838487370993,1.66151262900715
2021-01-28,137.2812,135.786483388355,1.49471661164549
2021-01-29,137.2187,135.734459010745,1.48424098925512
2021-02-01,137.1719,135.682430665353,1.48946933464682
2021-02-02,137,135.630415392894,1.36958460710592
2021-02-03,136.75,135.578430849769,1.17156915023093
2021-02-04,136.7969,135.526495258511,1.27040474148931
2021-02-05,136.7031,135.474627325931,1.22847267406886
2021-02-08,136.6094,135.422846283977,1.18655371602314
2021-02-09,136.7031,135.371171872396,1.33192812760434
