"ZL00YDate","ZL00YClose","ZL00Y_hpft","ZL00Y_hpfc"
2010-07-13,38.81,40.1839581930794,-1.37395819307936
2010-07-14,38.9,40.2525763676352,-1.35257636763523
2010-07-15,39.37,40.3226276579019,-0.952627657901919
2010-07-16,39.06,40.3941108180648,-1.33411081806482
2010-07-19,38.74,40.4670242085309,-1.72702420853085
2010-07-20,39.19,40.5413656382395,-1.35136563823949
2010-07-21,39.05,40.6171322022486,-1.56713220224865
2010-07-22,39.7,40.694320437015,-0.994320437014964
2010-07-23,39.76,40.7729262312051,-1.01292623120512
2010-07-26,39.56,40.8529450624759,-1.2929450624759
2010-07-27,39.29,40.9343719897786,-1.64437198977858
2010-07-28,39.57,41.0172015376148,-1.44720153761481
2010-07-29,40,41.1014275507685,-1.10142755076846
2010-07-30,40.55,41.1870432758076,-0.637043275807589
2010-08-02,41.17,41.2740415040169,-0.104041504016855
2010-08-03,41.68,41.3624147633501,0.31758523664987
2010-08-04,42.1,41.4521555387571,0.647844461242875
2010-08-05,42,41.543256446464,0.456743553535957
2010-08-06,42.12,41.635710370487,0.484289629513046
2010-08-09,42.49,41.7295103836432,0.760489616356791
2010-08-10,42.23,41.8246497589376,0.405350241062433
2010-08-11,42.38,41.9211220837286,0.458877916271383
2010-08-12,41.83,42.0189211129318,-0.188921112931836
2010-08-13,43.14,42.1180407911422,1.02195920885779
2010-08-16,42.07,42.2184749848632,-0.148474984863187
2010-08-17,42.21,42.3202179830362,-0.110217983036218
2010-08-18,41.45,42.423264013229,-0.973264013228983
2010-08-19,40.48,42.5276072574488,-2.04760725744885
2010-08-20,40.09,42.6332414953956,-2.5432414953956
2010-08-23,39.82,42.7401596603703,-2.92015966037032
2010-08-24,40.06,42.8483536343998,-2.78835363439982
2010-08-25,39.72,42.9578140924351,-3.23781409243509
2010-08-26,40.08,43.0685305568336,-2.98853055683363
2010-08-27,40.8,43.1804912115703,-2.38049121157032
2010-08-30,40.53,43.2936830052812,-2.76368300528122
2010-08-31,40.05,43.4080919026053,-3.35809190260529
2010-09-01,40.12,43.5237027257833,-3.4037027257833
