"ZS00YDate","ZS00YClose","ZS00Y_hpft","ZS00Y_hpfc"
2020-06-19,875.75,879.086754436204,-3.33675443620418
2020-06-22,876.75,880.137355828796,-3.38735582879623
2020-06-23,875.25,881.22023433614,-5.97023433614003
2020-06-24,869.75,882.335547784954,-12.5855477849539
2020-06-25,867.25,883.48345153391,-16.2334515339099
2020-06-26,861.5,884.664095739443,-23.1640957394426
2020-06-29,861.25,885.877623847655,-24.6276238476554
2020-06-30,882,887.124169729635,-5.12416972963514
2020-07-01,899.25,888.403857076342,10.8461429236584
2020-07-02,897.25,889.716807460615,7.53319253938542
2020-07-06,905.75,891.063146938622,14.6868530613778
2020-07-07,901.75,892.44300468049,9.30699531951023
2020-07-08,896.75,893.856515927326,2.89348407267411
2020-07-09,901.5,895.303819767304,6.19618023269579
2020-07-10,889.75,896.785056484687,-7.03505648468745
2020-07-13,874.75,898.300368924957,-23.550368924957
2020-07-14,878.5,899.849897025633,-21.3498970256325
2020-07-15,883.25,901.433770989481,-18.1837709894815
2020-07-16,890.75,903.052112193968,-12.3021121939676
2020-07-17,896,904.705034500188,-8.70503450018818
2020-07-20,900,906.392646684031,-6.39264668403063
2020-07-21,893.5,908.115053923159,-14.615053923159
2020-07-22,895.5,909.872358752572,-14.3723587525723
2020-07-23,900.5,911.664657666211,-11.1646576662115
2020-07-24,899,913.492041216983,-14.4920412169832
2020-07-27,899.5,915.354595342685,-15.8545953426855
2020-07-28,887.75,917.252399990792,-29.5023999907923
2020-07-29,886.25,919.185528555093,-32.9355285550928
2020-07-30,888.75,921.154042234269,-32.4040422342685
2020-07-31,892.5,923.157988612833,-30.657988612833
2020-08-03,895.25,925.19740188066,-29.9474018806599
2020-08-04,881.5,927.272303554975,-45.7723035549749
2020-08-05,878.25,929.382702773827,-51.1327027738272
2020-08-06,878,931.528589754834,-53.5285897548335
2020-08-07,869.25,933.709933579556,-64.4599335795559
2020-08-10,873.75,935.926681202857,-62.176681202857
2020-08-11,873.75,938.178752934535,-64.4287529345347
2020-08-12,883.5,940.466043382952,-56.9660433829523
2020-08-13,899,942.788420524257,-43.7884205242569
2020-08-14,898,945.145728787265,-47.1457287872648
2020-08-17,915,947.537794500167,-32.5377945001674
2020-08-18,913.5,949.964424503252,-36.4644245032524
2020-08-19,913.25,952.425412186815,-39.1754121868147
2020-08-20,905.25,954.920535868252,-49.6705358682522
2020-08-21,903.75,957.449557671517,-53.6995576715166
2020-08-24,906.75,960.01221918865,-53.26221918865
2020-08-25,920.25,962.608239814504,-42.3582398145036
2020-08-26,924.5,965.237316927474,-40.7373169274742
2020-08-27,940.75,967.899130396744,-27.1491303967438
2020-08-28,952,970.593343252341,-18.5933432523409
2020-08-31,952.5,973.319607301979,-20.8196073019792
2020-09-01,953.5,976.077566667623,-22.5775666676229
2020-09-02,962.75,978.866856865119,-16.1168568651189
2020-09-03,966.25,981.687104077792,-15.437104077792
2020-09-04,969,984.537927826827,-15.5379278268272
2020-09-08,974,987.418941252323,-13.4189412523229
2020-09-09,979.25,990.329751071745,-11.079751071745
2020-09-10,977.75,993.269958455641,-15.5199584556414
2020-09-11,997.5,996.239159994626,1.26084000537392
2020-09-14,998.5,999.236945863934,-0.736945863934402
2020-09-15,992,1002.26290676006,-10.2629067600571
2020-09-16,1011.5,1005.31663307485,6.1833669251512
2020-09-17,1027.75,1008.39771095788,19.3522890421183
2020-09-18,1043.75,1011.50572911464,32.244270885356
2020-09-21,1021.25,1014.64028425016,6.60971574983993
2020-09-22,1019.75,1017.80098639787,1.9490136021314
2020-09-23,1012.5,1020.98744832345,-8.48744832345361
2020-09-24,998.75,1024.19928359822,-25.4492835982226
2020-09-25,1001.25,1027.4361022851,-26.1861022850973
2020-09-28,995,1030.69750392733,-35.6975039273283
2020-09-29,991.75,1033.98307724383,-42.2330772438262
2020-09-30,1022,1037.29239619765,-15.2923961976474
2020-10-01,1024.25,1040.62501729434,-16.3750172943425
2020-10-02,1020,1043.98049071825,-23.9804907182481
2020-10-05,1021.75,1047.35835988487,-25.6083598848726
2020-10-06,1043.25,1050.75815829718,-7.50815829717979
2020-10-07,1049.5,1054.17940887275,-4.67940887275153
2020-10-08,1050.75,1057.62163142544,-6.87163142544378
2020-10-09,1065.5,1061.08434383494,4.41565616505564
2020-10-12,1034,1064.56706114043,-30.5670611404343
2020-10-13,1044.5,1068.06930020634,-23.5693002063423
2020-10-14,1057,1071.59056526194,-14.5905652619385
2020-10-15,1061.75,1075.13035079386,-13.3803507938625
2020-10-16,1050.75,1078.68814525765,-27.9381452576543
2020-10-19,1055,1082.26343157788,-27.2634315778834
2020-10-20,1065,1085.85568113068,-20.855681130681
2020-10-21,1071.75,1089.4643540225,-17.7143540224961
2020-10-22,1071.25,1093.08890173894,-21.8389017389383
2020-10-23,1086.75,1096.72876844324,-9.97876844324286
2020-10-26,1086.75,1100.38338927121,-13.6333892712114
2020-10-27,1076.5,1104.05219523391,-27.5521952339149
2020-10-28,1056.75,1107.73461170689,-50.984611706893
2020-10-29,1051.25,1111.43005267674,-60.1800526767391
2020-10-30,1056.75,1115.13791105503,-58.3879110550322
2020-11-02,1051.75,1118.85755487734,-67.1075548773423
2020-11-03,1062.5,1122.58832804402,-60.0883280440227
2020-11-04,1085.25,1126.32954671592,-41.0795467159229
2020-11-05,1103.75,1130.08050221571,-26.3305022157104
2020-11-06,1103.5,1133.84046888545,-30.3404688854504
2020-11-09,1110.25,1137.60871018324,-27.3587101832356
2020-11-10,1146.5,1141.38447702564,5.11552297436215
2020-11-11,1152.75,1145.16700902023,7.58299097977195
2020-11-12,1146,1148.95554788914,-2.95554788913903
2020-11-13,1148,1152.749338489,-4.74933848899992
2020-11-16,1154.75,1156.54762445473,-1.79762445472636
2020-11-17,1169.75,1160.34964745807,9.40035254193458
2020-11-18,1173.75,1164.15464842769,9.59535157230808
2020-11-19,1178,1167.96187217801,10.0381278219895
2020-11-20,1181.75,1171.77056748976,9.97943251024364
2020-11-23,1192,1175.57998729302,16.4200127069804
2020-11-24,1194,1179.38938864299,14.6106113570094
2020-11-25,1184.25,1183.19803538223,1.05196461776685
2020-11-27,1193.25,1187.00519739275,6.244802607253
2020-11-30,1168.75,1190.81014499137,-22.0601449913749
2020-12-01,1163.5,1194.6121510763,-31.112151076303
2020-12-02,1153,1198.41047942695,-45.4104794269502
2020-12-03,1166.75,1202.20438096222,-35.454380962223
2020-12-04,1161.5,1205.99308783016,-44.4930878301567
2020-12-07,1156.75,1209.77581752337,-53.025817523371
2020-12-08,1146,1213.55176914286,-67.5517691428569
2020-12-09,1159,1217.32011987081,-58.3201198708105
2020-12-10,1154.25,1221.08001896628,-66.8300189662781
2020-12-11,1161.5,1224.83059158111,-63.3305915811083
2020-12-14,1169.75,1228.5709352423,-58.8209352422973
2020-12-15,1185.75,1232.30012129855,-46.5501212985518
2020-12-16,1182,1236.01719678436,-54.0171967843582
2020-12-17,1201.5,1239.72118949222,-38.2211894922235
2020-12-18,1217.25,1243.41110488614,-26.1611048861441
2020-12-21,1243,1247.085932631,-4.08593263100201
2020-12-22,1251.5,1250.74465157778,0.755348422224422
2020-12-23,1261,1254.38623888844,6.61376111156313
2020-12-24,1264.75,1258.0096720372,6.74032796279791
2020-12-28,1253.75,1261.61393123208,-7.8639312320806
2020-12-29,1299.25,1265.19799946738,34.0520005326248
2020-12-30,1297,1268.76085648671,28.239143513288
2020-12-31,1310,1272.30149610947,37.6985038905309
2021-01-04,1313,1275.81892382785,37.1810761721504
2021-01-05,1350.5,1279.31216071723,71.187839282766
2021-01-06,1364,1282.78024322209,81.21975677791
2021-01-07,1357,1286.2222372131,70.7777627869009
2021-01-08,1376.75,1289.63724213388,87.1127578661154
2021-01-11,1371.25,1293.02438668481,78.2256133151903
2021-01-12,1423,1296.38283557512,126.617164424881
2021-01-13,1406.25,1299.71178584933,106.538214150671
2021-01-14,1430,1303.01048689048,126.989513109523
2021-01-15,1414.75,1306.27823212022,108.471767879785
2021-01-19,1383.5,1309.51436745258,73.9856325474159
2021-01-20,1368.25,1312.71828363933,55.5317163606737
2021-01-21,1368,1315.88940201506,52.1105979849376
2021-01-22,1309.75,1319.02716686886,-9.27716686886475
2021-01-25,1346.25,1322.1310440303,24.1189559696999
2021-01-26,1371.5,1325.20049549414,46.2995045058618
2021-01-27,1373.75,1328.23499322485,45.5150067751465
2021-01-28,1351.75,1331.23402832537,20.5159716746261
2021-01-29,1367.75,1334.19711071276,33.5528892872406
2021-02-01,1366,1337.12375878433,28.8762412156744
2021-02-02,1354,1340.01350480701,13.9864951929911
2021-02-03,1371,1342.86589298384,28.1341070161572
2021-02-04,1371.75,1345.68047329955,26.0695267004482
2021-02-05,1367.5,1348.4568073681,19.0431926318997
2021-02-08,1389.25,1351.19446757981,38.0555324201938
2021-02-09,1404.25,1353.89303419656,50.356965803441
2021-02-10,1353.5,1356.55210321082,-3.0521032108151
2021-02-11,1366.5,1359.17129143062,7.32870856938481
2021-02-12,1371,1361.75021440243,9.24978559757283
2021-02-16,1386,1364.28849070209,21.7115092979074
2021-02-17,1383.25,1366.7857427289,16.4642572710956
2021-02-18,1376,1369.2416018569,6.7583981430988
2021-02-19,1381.25,1371.65570626569,9.59429373431258
2021-02-22,1386.25,1374.02769692858,12.2223030714169
2021-02-23,1408,1376.35721878483,31.6427812151736
2021-02-24,1425.75,1378.64392182574,47.1060781742599
2021-02-25,1408.25,1380.88746912264,27.3625308773551
2021-02-26,1407.75,1383.08754321848,24.6624567815207
2021-03-01,1392.25,1385.24383796686,7.00616203314084
2021-03-02,1413,1387.35605741586,25.6439425841417
2021-03-03,1407.25,1389.42390850962,17.8260914903833
2021-03-04,1410,1391.44710879241,18.552891207591
2021-03-05,1433.25,1393.42538317715,39.8246168228515
2021-03-08,1434.75,1395.35846424575,39.3915357542532
2021-03-09,1440.25,1397.24610104195,43.0038989580527
2021-03-10,1408.75,1399.08805889251,9.66194110749248
2021-03-11,1413,1400.88412090015,12.1158790998487
2021-03-12,1413,1402.63407416149,10.3659258385054
2021-03-15,1418.5,1404.33771078124,14.1622892187618
2021-03-16,1421.75,1405.99482714915,15.7551728508453
2021-03-17,1415.75,1407.60522550901,8.14477449098794
2021-03-18,1391.5,1409.16871461723,-17.6687146172324
