"SPXDate","SPXClose","SPX_hpft","SPX_hpfc"
2010-09-14,1121.1,1139.5573120221,-18.4573120221048
2010-09-15,1125.07,1140.69981436134,-15.62981436134
2010-09-16,1124.66,1141.86153709925,-17.2015370992495
2010-09-17,1125.59,1143.04210881928,-17.452108819284
2010-09-20,1142.71,1144.24115099441,-1.53115099440861
2010-09-21,1139.78,1145.45827788369,-5.67827788369089
2010-09-22,1134.28,1146.69310311323,-12.4131031132325
2010-09-23,1124.83,1147.94523796197,-23.1152379619709
2010-09-24,1148.67,1149.21428857776,-0.544288577760055
2010-09-27,1142.16,1150.49985155356,-8.33985155356154
2010-09-28,1147.7,1151.80152325731,-4.10152325731177
2010-09-29,1144.73,1153.11889660962,-8.38889660961535
2010-09-30,1141.2,1154.45156283567,-13.2515628356705
2010-10-01,1146.24,1155.79910969306,-9.55910969306271
2010-10-04,1137.03,1157.16111946168,-20.1311194616783
2010-10-05,1160.75,1158.53717047003,2.21282952996742
2010-10-06,1159.97,1159.9268327253,0.043167274701772
2010-10-07,1158.06,1161.32967714933,-3.26967714932864
2010-10-08,1165.15,1162.74527468183,2.40472531817049
2010-10-11,1165.32,1164.17319491091,1.14680508908551
2010-10-12,1169.77,1165.61300841876,4.15699158124476
2010-10-13,1178.1,1167.06428626155,11.0357137384467
2010-10-14,1173.81,1168.52660121383,5.28339878616952
2010-10-15,1176.19,1169.99953061182,6.19046938817591
2010-10-18,1184.71,1171.48265397576,13.22734602424
2010-10-19,1165.9,1172.9755533847,-7.07555338470245
2010-10-20,1178.17,1174.47781638539,3.69218361461492
2010-10-21,1180.26,1175.98902759981,4.27097240018997
2010-10-22,1183.08,1177.50877317617,5.57122682382954
2010-10-25,1185.62,1179.03664102811,6.58335897189387
2010-10-26,1185.64,1180.57222137213,5.0677786278749
2010-10-27,1182.45,1182.11510714615,0.334892853853641
2010-10-28,1183.78,1183.66489338283,0.11510661716605
2010-10-29,1183.26,1185.22117525329,-1.96117525329234
2010-11-01,1184.38,1186.7835479762,-2.40354797619867
2010-11-02,1193.57,1188.35160595956,5.21839404043789
2010-11-03,1197.96,1189.92494261787,8.03505738212753
2010-11-04,1221.06,1191.50315352268,29.5568464773194
2010-11-05,1225.85,1193.08583756692,32.7641624330824
2010-11-08,1223.25,1194.67260586112,28.5773941388752
2010-11-09,1213.4,1196.26308305923,17.13691694077
2010-11-10,1218.71,1197.8569056279,20.8530943720975
2010-11-11,1213.54,1199.45371711753,14.0862828824721
2010-11-12,1199.21,1201.05316969831,-1.84316969831239
2010-11-15,1197.75,1202.65492136318,-4.90492136318083
2010-11-16,1178.34,1204.25862934315,-25.9186293431523
2010-11-17,1178.59,1205.86394884176,-27.2739488417566
2010-11-18,1196.69,1207.4705243488,-10.7805243488019
2010-11-19,1199.73,1209.07798908014,-9.34798908014442
2010-11-22,1197.84,1210.6859717954,-12.8459717954028
2010-11-23,1180.73,1212.29409739011,-31.564097390114
2010-11-24,1198.35,1213.90198544981,-15.5519854498076
2010-11-25,1198.34,1215.50924251268,-17.1692425126849
2010-11-26,1189.4,1217.11546868838,-27.7154686883772
2010-11-29,1187.76,1218.72025698945,-30.9602569894471
2010-11-30,1180.55,1220.32318897199,-39.7731889719932
2010-12-01,1206.07,1221.92383339439,-15.8538333943934
2010-12-02,1221.53,1223.52174257439,-1.99174257438623
2010-12-03,1224.71,1225.11646227636,-0.406462276360453
2010-12-06,1223.12,1226.70753744142,-3.58753744142348
