"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2020-06-02,1539,1593.5873326955,-54.5873326955014
2020-06-03,1562,1593.20673112824,-31.2067311282409
2020-06-04,1555,1592.86332140579,-37.8633214057866
2020-06-05,1559,1592.55739007479,-33.5573900747929
2020-06-08,1563,1592.2892080307,-29.2892080306971
2020-06-09,1536,1592.0590322977,-56.0590322976997
2020-06-10,1536,1591.86710779295,-55.8671077929469
2020-06-11,1522,1591.71365626108,-69.7136562610781
2020-06-12,1524,1591.59887635343,-67.5988763534314
2020-06-15,1525,1591.52293790473,-66.5229379047268
2020-06-16,1536,1591.48598280679,-55.4859828067913
2020-06-17,1525,1591.48812545369,-66.4881254536858
2020-06-18,1524,1591.52945730403,-67.5294573040258
2020-06-19,1525,1591.61004233238,-66.6100423323823
2020-06-22,1517,1591.72991659962,-74.729916599617
2020-06-23,1513,1591.88908863274,-78.8890886327388
2020-06-24,1506,1592.08753606835,-86.0875360683529
2020-06-29,1526,1592.32520393346,-66.3252039334574
2020-06-30,1506,1592.60200167003,-86.6020016700303
2020-07-01,1507,1592.91781130378,-85.9178113037799
2020-07-02,1513,1593.27247906265,-80.2724790626471
2020-07-03,1531,1593.66581565969,-62.6658156596879
2020-07-06,1539,1594.09759862645,-55.0975986264525
2020-07-07,1530,1594.56757959098,-64.5675795909805
2020-07-08,1545,1595.07548740619,-50.0754874061873
2020-07-09,1547,1595.62102423536,-48.6210242353553
2020-07-10,1544,1596.20387154265,-52.2038715426479
2020-07-13,1547,1596.82369069401,-49.8236906940082
2020-07-14,1542,1597.4801214766,-55.4801214765989
2020-07-15,1537,1598.17278308246,-61.1727830824607
2020-07-16,1540,1598.90127177036,-58.9012717703568
2020-07-17,1528,1599.66515851264,-71.6651585126397
2020-07-20,1538,1600.4639899343,-62.4639899343005
2020-07-21,1545,1601.29728303688,-56.2972830368826
2020-07-22,1611,1602.16452900169,8.83547099830908
2020-07-23,1631,1603.06519573916,27.9348042608419
2020-07-24,1640,1603.99875481178,36.0012451882238
2020-07-27,1624,1604.96468932924,19.0353106707631
2020-07-28,1565,1605.96249728281,-40.9624972828071
2020-07-29,1629,1606.99168453199,22.008315468012
2020-07-30,1626,1608.05174000417,17.9482599958345
2020-07-31,1660,1609.14216172403,50.8578382759721
2020-08-03,1718,1610.26245513541,107.737544864585
2020-08-04,1769,1611.41214670467,157.58785329533
2020-08-05,1770,1612.59080743252,157.40919256748
2020-08-06,1732,1613.79807346021,118.201926539789
2020-08-07,1725,1615.0336459956,109.966354004398
2020-08-10,1668,1616.29727510643,51.7027248935654
2020-08-11,1704,1617.58875631624,86.4112436837565
2020-08-12,1680,1618.90790652021,61.0920934797857
2020-08-13,1683,1620.25457833264,62.7454216673596
2020-08-14,1656,1621.62864962073,34.3713503792674
2020-08-17,1632,1623.03002418811,8.96997581189369
2020-08-18,1674,1624.45862004617,49.5413799538296
2020-08-19,1640,1625.91435891411,14.0856410858851
2020-08-20,1660,1627.39718298968,32.6028170103184
2020-08-21,1641,1628.90704029283,12.0929597071682
2020-08-24,1649,1630.44389232039,18.5561076796137
2020-08-25,1655,1632.00770556782,22.9922944321762
2020-08-26,1688,1633.59845420107,54.4015457989279
2020-08-27,1681,1635.21612189,45.7838781100021
2020-08-28,1700,1636.86071479199,63.1392852080116
2020-08-31,1634,1638.53225798966,-4.53225798966015
2020-09-01,1635,1640.2308026648,-5.23080266480092
2020-09-02,1638,1641.95639812569,-3.95639812569435
2020-09-03,1607,1643.70909151859,-36.7090915185898
2020-09-04,1613,1645.4889283542,-32.4889283542033
2020-09-07,1634,1647.29593896923,-13.2959389692319
2020-09-08,1626,1649.13014027072,-23.1301402707159
2020-09-09,1637,1650.99154366972,-13.9915436697206
2020-09-10,1644,1652.88015101624,-8.88015101623973
2020-09-11,1635,1654.79595837672,-19.7959583767246
2020-09-14,1662,1656.73895814694,5.26104185306191
2020-09-15,1664,1658.70913453974,5.29086546026094
2020-09-16,1633,1660.70647394272,-27.7064739427243
2020-09-17,1645,1662.73096493057,-17.7309649305749
2020-09-18,1674,1664.78258462513,9.21741537487053
2020-09-21,1638,1666.86130281904,-28.8613028190391
2020-09-22,1631,1668.96709311504,-37.9670931150394
2020-09-23,1631,1671.09991718574,-40.0999171857391
2020-09-24,1627,1673.25972100969,-46.2597210096888
2020-09-25,1627,1675.44643398975,-48.446433989755
2020-09-28,1606,1677.65996640692,-71.6599664069187
2020-09-29,1601,1679.90020851631,-78.9002085163087
2020-09-30,1634,1682.16702095173,-48.1670209517286
2020-10-09,1642,1684.46023173281,-42.4602317328093
2020-10-12,1639,1686.77964896891,-47.7796489689051
2020-10-13,1649,1689.12506321788,-40.1250632178784
2020-10-14,1648,1691.49624528755,-43.4962452875534
2020-10-15,1638,1693.89294939965,-55.8929493996498
2020-10-16,1647,1696.31491179625,-49.314911796245
2020-10-19,1711,1698.76184561552,12.2381543844838
2020-10-20,1675,1701.23344361088,-26.23344361088
2020-10-21,1700,1703.72940359446,-3.7294035944631
2020-10-22,1703,1706.24941253458,-3.2494125345782
2020-10-23,1703,1708.79315585794,-5.79315585793694
2020-10-26,1705,1711.36031764811,-6.36031764810632
2020-10-27,1724,1713.95057959399,10.0494204060071
2020-10-28,1724,1716.56362075532,7.43637924468201
2020-10-29,1717,1719.19912434593,-2.19912434593237
2020-10-30,1761,1721.85677665351,39.1432233464907
2020-11-02,1759,1724.53626305678,34.4637369432184
2020-11-03,1706,1727.23728511464,-21.2372851146387
2020-11-04,1709,1729.95955863186,-20.9595586318574
2020-11-05,1718,1732.70279063473,-14.7027906347301
2020-11-06,1738,1735.46667948555,2.53332051445079
2020-11-09,1756,1738.2509174692,17.7490825308018
2020-11-10,1725,1741.0551979176,-16.0551979176
2020-11-11,1747,1743.87922149955,3.12077850044816
2020-11-12,1793,1746.7226822472,46.2773177527983
2020-11-13,1801,1749.58527548271,51.4147245172865
2020-11-16,1789,1752.46671565748,36.5332843425207
2020-11-17,1804,1755.36673847561,48.633261524393
2020-11-18,1816,1758.28509474265,57.7149052573511
2020-11-19,1808,1761.22155536717,46.7784446328301
2020-11-20,1803,1764.17591511475,38.824084885253
2020-11-23,1775,1767.14798808731,7.85201191268912
2020-11-24,1780,1770.1376044351,9.86239556490429
2020-11-25,1806,1773.14459755402,32.8554024459848
2020-11-26,1761,1776.16880491674,-15.1688049167391
2020-11-27,1781,1779.21007757701,1.78992242298852
2020-11-30,1788,1782.26826031845,5.73173968155078
2020-12-01,1753,1785.34319866444,-32.343198664443
2020-12-02,1729,1788.43474050781,-59.4347405078127
2020-12-03,1742,1791.54272037186,-49.5427203718626
2020-12-04,1780,1794.66694821201,-14.6669482120139
2020-12-07,1784,1797.80721350473,-13.8072135047298
2020-12-08,1807,1800.96329966373,6.03670033626895
2020-12-09,1841,1804.13498439545,36.8650156045533
2020-12-10,1811,1807.32204790155,3.67795209845478
2020-12-11,1817,1810.5242856223,6.47571437770285
2020-12-14,1810,1813.74149451821,-3.74149451820991
2020-12-15,1790,1816.97347422667,-26.973474226668
2020-12-16,1817,1820.2200228384,-3.22002283840008
2020-12-17,1812,1823.48092729441,-11.4809272944073
2020-12-18,1867,1826.7559732047,40.2440267953024
2020-12-21,1877,1830.04494143348,46.9550585665157
2020-12-22,1820,1833.34762948029,-13.3476294802894
2020-12-23,1834,1836.6638542539,-2.66385425390228
2020-12-24,1835,1839.99342714578,-4.99342714578328
2020-12-25,1829,1843.33615844625,-14.3361584462485
2020-12-28,1842,1846.69185638155,-4.69185638155123
2020-12-29,1808,1850.06032325193,-42.060323251933
2020-12-30,1814,1853.44135941818,-39.4413594181766
2020-12-31,1831,1856.83474785511,-25.834747855113
2021-01-04,1841,1860.24025523405,-19.2402552340536
