"GC00YDate","GC00YClose","GC00Y_hpft","GC00Y_hpfc"
2017-08-01,1274.9,1272.68628509456,2.21371490544183
2017-08-02,1272.6,1273.15801576544,-0.558015765442385
2017-08-03,1274.4,1273.62861209605,0.77138790395149
2017-08-04,1264.3,1274.09787948132,-9.7978794813234
2017-08-07,1263.4,1274.56562363508,-11.1656236350768
2017-08-08,1266.5,1275.03164622107,-8.53164622107189
2017-08-09,1283.2,1275.49574428765,7.70425571234921
2017-08-10,1292.1,1275.95771135651,16.1422886434898
2017-08-11,1295,1276.41734413399,18.582655866012
2017-08-14,1287.8,1276.87444599898,10.9255540010236
2017-08-15,1277,1277.32882801171,-0.328828011713794
2017-08-16,1288.8,1277.78030574861,11.0196942513898
2017-08-17,1293.6,1278.22869465015,15.3713053498478
2017-08-18,1290.1,1278.67381471192,11.4261852880815
2017-08-21,1297.4,1279.11549228338,18.2845077166173
2017-08-22,1290.4,1279.55355843713,10.8464415628702
2017-08-23,1296.3,1279.98785180383,16.3121481961659
2017-08-24,1291.5,1280.41821549765,11.0817845023539
2017-08-25,1296.5,1280.8444993755,15.6555006244959
2017-08-28,1315.5,1281.26655787512,34.2334421248763
2017-08-29,1314.6,1281.68425190556,32.9157480944445
2017-08-30,1313.8,1282.09745652658,31.7025434734208
2017-08-31,1326.6,1282.50606040403,44.0939395959721
2017-09-01,1330,1282.90996530831,47.09003469169
2017-09-04,1339.4,1283.30909123645,56.0909087635455
2017-09-05,1344.9,1283.70337765065,61.196622349349
2017-09-06,1339,1284.09278719881,54.9072128011939
2017-09-07,1354,1284.47730782505,69.5226921749498
2017-09-08,1351,1284.85695016994,66.1430498300612
2017-09-11,1331.7,1285.23175361191,46.4682463880931
2017-09-12,1336,1285.60178487029,50.3982151297056
2017-09-13,1327.1,1285.96712987252,41.1328701274749
2017-09-14,1333.6,1286.32789537862,47.2721046213759
2017-09-15,1323.5,1286.68420515128,36.8157948487158
2017-09-18,1311,1287.03620249359,23.9637975064076
2017-09-19,1314.6,1287.3840459268,27.2159540731955
2017-09-20,1304.5,1287.72790387784,16.772096122158
2017-09-21,1294.3,1288.06795602361,6.23204397638664
2017-09-22,1300.5,1288.40438897393,12.0956110260667
2017-09-25,1314.1,1288.73739191469,25.3626080853082
2017-09-26,1297.2,1289.06715903162,8.13284096837915
2017-09-27,1285.6,1289.39389499433,-3.79389499433391
2017-09-28,1289.9,1289.71780783424,0.18219216575765
2017-09-29,1282.5,1290.0391040145,-7.53910401450059
2017-10-02,1273.5,1290.35799007358,-16.8579900735792
2017-10-03,1274.1,1290.67466943359,-16.574669433586
2017-10-04,1277.5,1290.98933854821,-13.4893385482124
2017-10-05,1270.6,1291.30218701985,-20.702187019851
2017-10-06,1278.9,1291.61339887494,-12.7133988749391
2017-10-09,1286.4,1291.92314958247,-5.52314958246785
2017-10-10,1290.3,1292.23160935622,-1.93160935622142
2017-10-11,1293.9,1292.53894612693,1.36105387306819
2017-10-12,1295.9,1292.84532702688,3.05467297311758
2017-10-13,1306.1,1293.15091975096,12.9490802490371
2017-10-16,1297.2,1293.45589325674,3.74410674326159
2017-10-17,1287,1293.76042185441,-6.76042185440747
2017-10-18,1282.7,1294.06468140183,-11.3646814018292
2017-10-19,1291.9,1294.36884496238,-2.46884496237709
2017-10-20,1281.8,1294.67308090172,-12.8730809017226
2017-10-23,1283.6,1294.97755656502,-11.3775565650153
2017-10-24,1277.8,1295.28243397619,-17.4824339761906
2017-10-25,1278.6,1295.58787045616,-16.9878704561605
2017-10-26,1267.6,1295.8940160993,-28.2940160993007
2017-10-27,1274.6,1296.20101397788,-21.6010139778845
2017-10-30,1277.3,1296.50899546858,-19.2089954685783
2017-10-31,1271.8,1296.81808301906,-25.0180830190566
2017-11-01,1275.5,1297.12839113677,-21.6283911367695
2017-11-02,1276.8,1297.4400239877,-20.640023987696
2017-11-03,1270.2,1297.7530767975,-27.5530767975008
2017-11-06,1282.4,1298.06763626011,-15.6676362601054
2017-11-07,1275.7,1298.38377768009,-22.6837776800891
2017-11-08,1282,1298.70156988567,-16.7015698856677
2017-11-09,1285.6,1299.02107232849,-13.4210723284867
2017-11-10,1275.6,1299.34233755644,-23.7423375564371
2017-11-13,1278.5,1299.66541256968,-21.1654125696805
2017-11-14,1280.4,1299.99033455425,-19.5903345542493
2017-11-15,1277.8,1300.31713194725,-22.5171319472466
2017-11-16,1278.5,1300.64582508792,-22.1458250879161
2017-11-17,1294.4,1300.97642500783,-6.57642500782772
2017-11-20,1276.9,1301.30893358436,-24.4089335843564
2017-11-21,1280.1,1301.64334997645,-21.5433499764505
2017-11-22,1291.8,1301.97966325338,-10.1796632533842
2017-11-23,1295.3,1302.31785357928,-7.01785357927532
2017-11-24,1292.6,1302.65789691038,-10.0578969103768
2017-11-27,1298.6,1302.99976630205,-4.39976630205018
2017-11-28,1297.6,1303.34343065212,-5.74343065211934
2017-11-29,1286.9,1303.68885703972,-16.7888570397241
2017-11-30,1277.6,1304.0360101699,-26.4360101699049
2017-12-01,1283.2,1304.38484780786,-21.1848478078606
2017-12-04,1278.8,1304.73531679121,-25.9353167912062
2017-12-05,1268.4,1305.08735520059,-36.687355200593
2017-12-06,1265.6,1305.44089039606,-39.8408903960563
2017-12-07,1249.1,1305.79583457255,-56.695834572551
2017-12-08,1250.5,1306.15208345641,-55.6520834564131
2017-12-11,1243.6,1306.5095093382,-62.9095093382019
2017-12-12,1246.4,1306.86796150413,-60.4679615041303
2017-12-13,1258.1,1307.22726323617,-49.1272632361699
2017-12-14,1255.3,1307.58721282126,-52.2872128212574
2017-12-15,1258.1,1307.94758823909,-49.8475882390948
2017-12-18,1265.3,1308.30814585595,-43.0081458559551
2017-12-19,1264.8,1308.66862143312,-43.8686214331218
2017-12-20,1269.1,1309.02873295404,-39.92873295404
2017-12-21,1269.9,1309.38818026863,-39.4881802686305
2017-12-22,1279.1,1309.74664672188,-30.6466467218809
2017-12-25,1279.1,1310.10379933595,-31.0037993359546
2017-12-26,1287.6,1310.45929246492,-22.8592924649234
2017-12-27,1291.4,1310.81276764713,-19.4127676471318
2017-12-28,1297.2,1311.16385697182,-13.9638569718183
2017-12-29,1305.1,1311.51218450376,-6.41218450375751
2018-01-01,1305.1,1311.85736853563,-6.75736853563141
2018-01-02,1319.1,1312.19902470958,6.90097529042116
2018-01-03,1314.5,1312.53676587452,1.96323412547887
2018-01-04,1324,1312.87020773197,11.1297922680347
2018-01-05,1320.3,1313.19896679493,7.10103320506875
2018-01-08,1321.2,1313.52266417705,7.67733582295308
2018-01-09,1313.6,1313.84092392723,-0.240923927234193
2018-01-10,1317.4,1314.15337326791,3.2466267320935
2018-01-11,1323,1314.4596393219,8.54036067810108
2018-01-12,1338.3,1314.75935055405,23.5406494459481
2018-01-15,1340.5,1315.05213895946,25.4478610405356
2018-01-16,1339,1315.337646264,23.6623537360014
2018-01-17,1327.3,1315.61552471261,11.6844752873851
2018-01-18,1327.1,1315.88543633136,11.2145636686405
2018-01-19,1331.2,1316.14704797617,15.0529520238291
2018-01-22,1333.4,1316.40003113862,16.9999688613756
2018-01-23,1341,1316.64406353259,24.3559364674085
2018-01-24,1362.9,1316.87882989903,46.0211701009672
2018-01-25,1352.1,1317.1040250467,34.9959749532967
2018-01-26,1353.3,1317.31936280764,35.9806371923646
2018-01-29,1343.7,1317.5245714798,26.1754285202009
2018-01-30,1341.8,1317.71939423407,24.0806057659267
2018-01-31,1348.4,1317.90358506127,30.4964149387251
2018-02-01,1351.9,1318.07690790614,33.8230920938641
2018-02-02,1335.2,1318.2391393194,16.960860680602
2018-02-05,1342.9,1318.39006983287,24.5099301671278
2018-02-06,1326.9,1318.52949698935,8.37050301065041
2018-02-07,1320.6,1318.65722846304,1.94277153696385
2018-02-08,1320.8,1318.77307538815,2.02692461185237
2018-02-09,1318.2,1318.87684970195,-0.676849701951832
2018-02-12,1325,1318.96836417962,6.03163582038109
2018-02-13,1332,1319.04743131647,12.9525686835306
2018-02-14,1353.6,1319.11386610107,34.4861338989258
2018-02-15,1356.3,1319.16748887615,37.1325111238503
2018-02-16,1349.4,1319.2081342395,30.1918657605044
2018-02-19,1348.9,1319.23565213805,29.6643478619545
2018-02-20,1331.3,1319.24990499881,12.0500950011923
2018-02-21,1326.6,1319.25076751089,7.34923248910995
2018-02-22,1334.1,1319.23811934438,14.8618806556205
2018-02-23,1330.5,1319.21184320728,11.2881567927206
2018-02-26,1334.9,1319.17182795087,15.7281720491329
2018-02-27,1319.2,1319.1179670925,0.0820329074990633
2018-02-28,1319.4,1319.05016065093,0.349839349065739
2018-03-01,1318.1,1318.96830867883,-0.868308678829788
2018-03-02,1323.7,1318.87231137344,4.82768862656462
2018-03-05,1320.9,1318.76206857311,2.13793142689322
2018-03-06,1335.7,1318.63748211176,17.0625178882356
2018-03-07,1326.3,1318.49845470706,7.80154529294215
2018-03-08,1322.5,1318.34489612956,4.15510387043689
2018-03-09,1324,1318.17671937477,5.82328062523343
2018-03-12,1323.5,1317.9938391557,5.50616084429818
2018-03-13,1326.8,1317.79617259243,9.00382740756569
2018-03-14,1325,1317.58363908115,7.41636091884583
2018-03-15,1316.2,1317.3561617398,-1.15616173980273
2018-03-16,1313.9,1317.11366675197,-3.2136667519731
2018-03-19,1316.7,1316.85607982335,-0.156079823348754
2018-03-20,1310.9,1316.58332533118,-5.68332533118105
2018-03-21,1332.5,1316.29532758826,16.2046724117373
2018-03-22,1334.7,1315.9920085581,18.707991441903
2018-03-23,1352.9,1315.67329690253,37.2267030974747
2018-03-26,1359.4,1315.33912901654,44.0608709834596
2018-03-27,1350.5,1314.98945668318,35.5105433168166
2018-03-28,1329.2,1314.62424989846,14.575750101543
2018-03-29,1329.6,1314.243493337,15.3565066629968
2018-03-30,1329.6,1313.84717769845,15.7528223015477
2018-04-02,1345.4,1313.43530003028,31.9646999697236
2018-04-03,1336.5,1313.00786389148,23.4921361085219
2018-04-04,1337,1312.56488605398,24.4351139460232
2018-04-05,1329.9,1312.10639300044,17.7936069995583
2018-04-06,1337.3,1311.63242131397,25.6675786860284
2018-04-09,1339.6,1311.14301493287,28.4569850671282
2018-04-10,1343,1310.63822840539,32.3617715946098
2018-04-11,1356.8,1310.11812804272,46.6818719572796
2018-04-12,1337.5,1309.58279353317,27.9172064668301
2018-04-13,1348.6,1309.03232386137,39.5676761386299
2018-04-16,1348.9,1308.4668295519,40.4331704481027
2018-04-17,1350.5,1307.88643748493,42.6135625150745
2018-04-18,1352.4,1307.29129125414,45.1087087458596
2018-04-19,1348,1306.68155206794,41.3184479320649
2018-04-20,1337.6,1306.05739978082,31.5426002191802
2018-04-23,1326.6,1305.41903132669,21.180968673313
2018-04-24,1332.2,1304.76665667788,27.4333433221158
2018-04-25,1324.4,1304.10049456212,20.2995054378798
2018-04-26,1317.8,1303.42077504695,14.3792249530505
2018-04-27,1324.1,1302.72773659091,21.3722634090893
2018-04-30,1316.1,1302.02162359636,14.0783764036426
2018-05-01,1304.6,1301.30268930006,3.2973106999364
2018-05-02,1305.8,1300.57119275826,5.22880724174013
2018-05-03,1312.8,1299.82739439011,12.9726056098875
2018-05-04,1316,1299.07155677618,16.9284432238178
2018-05-07,1314.6,1298.30394785941,16.2960521405931
2018-05-08,1315,1297.52484258022,17.4751574197756
2018-05-09,1312.8,1296.73452261522,16.0654773847808
2018-05-10,1321.8,1295.93327686453,25.8667231354745
2018-05-11,1318.4,1295.12140086906,23.2785991309419
2018-05-14,1313.2,1294.29920086203,18.9007991379711
2018-05-15,1290.1,1293.46699269909,-3.3669926990928
2018-05-16,1290.1,1292.62510004871,-2.52510004871307
2018-05-17,1290,1291.77384518756,-1.77384518755517
