"CAIXINPMIDate","CAIXINPMI","CAIXINPMI_hpft","CAIXINPMI_hpfc"
2018-10-01,50.1,50.4030452143433,-0.30304521434331
2018-09-01,50,50.4673338022299,-0.467333802229885
2018-08-01,50.6,50.5358934071352,0.0641065928648451
2018-07-01,50.8,50.6061897862144,0.193810213785562
2018-06-01,51,50.6757421187838,0.324257881216238
2018-05-01,51.1,50.7422310926707,0.357768907329353
2018-04-01,51.1,50.8036076106036,0.296392389396381
2018-03-01,51,50.8581207160673,0.14187928393267
2018-02-01,51.6,50.9042664462042,0.695733553795765
2018-01-01,51.5,50.9406590708934,0.559340929106584
2017-12-01,51.5,50.9664926379755,0.533507362024538
2017-11-01,50.8,50.9814273127319,-0.181427312731877
2017-10-01,51,50.9855678499125,0.0144321500875066
2017-09-01,51,50.9788678148399,0.0211321851600971
2017-08-01,51.6,50.9612927996284,0.638707200371584
2017-07-01,51.1,50.9328260065466,0.167173993453353
2017-06-01,50.4,50.8939828938635,-0.49398289386354
2017-05-01,49.6,50.8454182315092,-1.24541823150921
2017-04-01,50.3,50.7873751370022,-0.487375137002247
2017-03-01,51.2,50.719058879335,0.480941120665021
2017-02-01,51.7,50.6392685815522,1.06073141844777
2017-01-01,51,50.547204150966,0.452795849033959
2016-12-01,51.9,50.4429494377372,1.45705056226282
2016-11-01,50.9,50.3269656219006,0.573034378099418
2016-10-01,51.2,50.2009280922931,0.999071907706919
2016-09-01,50.1,50.0669897663999,0.0330102336000741
2016-08-01,50,49.9281361216295,0.0718638783705416
2016-07-01,50.6,49.787380143918,0.812619856081992
2016-06-01,48.6,49.6477947057672,-1.04779470576723
2016-05-01,49.2,49.5131298628922,-0.313129862892169
2016-04-01,49.4,49.3862625087531,0.0137374912469318
2016-03-01,49.7,49.2698085952578,0.430191404742246
2016-02-01,48,49.1663955222234,-1.16639552222345
2016-01-01,48.4,49.0790091823046,-0.679009182304627
2015-12-01,48.2,49.0096634718873,-0.809663471887259
2015-11-01,48.6,48.9598064463721,-0.359806446372068
2015-10-01,48.3,48.9302114415999,-0.63021144159988
2015-09-01,47.2,48.9213519547062,-1.72135195470615
2015-08-01,47.3,48.9331763066251,-1.6331763066251
2015-07-01,47.8,48.9641983583286,-1.16419835832861
2015-06-01,49.4,49.0115709905331,0.388429009466941
2015-05-01,49.2,49.0714769186562,0.128523081343758
2015-04-01,48.9,49.1404225489572,-0.240422548957174
2015-03-01,49.6,49.2150213902626,0.38497860973736
2015-02-01,50.7,49.2916865992753,1.40831340072469
2015-01-01,49.7,49.367152148206,0.332847851794047
2014-12-01,49.5,49.439325603766,0.0606743962340402
2014-11-01,50,49.5063919058765,0.493608094123469
2014-10-01,50.4,49.5665865564557,0.83341344354426
2014-09-01,50.2,49.6185563975001,0.581443602499915
2014-08-01,50.2,49.661642782209,0.538357217790964
2014-07-01,51.7,49.6956716001175,2.00432839988253
2014-06-01,50.7,49.7209173717751,0.979082628224908
2014-05-01,49.4,49.7393248913982,-0.339324891398168
2014-04-01,48.1,49.7536548553932,-1.65365485539315
2014-03-01,48,49.7663851894237,-1.76638518942368
2014-02-01,48.5,49.7786157734405,-1.27861577344054
2014-01-01,49.5,49.7899744997367,-0.28997449973669
2013-12-01,50.5,49.7990237474605,0.700976252539463
2013-11-01,50.8,49.804084250344,0.995915749655947
2013-10-01,50.9,49.8040608889963,1.09593911100369
