"","HybridClose","Hybrid_hpft","Hybrid_hpfc"
"2016-06-17",1354700,1367895.16692357,-13195.1669235732
"2016-06-20",1328560,1368546.18169735,-39986.1816973454
"2016-06-21",1325100,1369210.60537034,-44110.6053703428
"2016-06-22",1338800,1369888.17656173,-31088.1765617305
"2016-06-23",1333319.8,1370578.61565711,-37258.8156571056
"2016-06-24",1313360,1371281.63019148,-57921.6301914771
"2016-06-27",1337920,1371996.91229856,-34076.9122985605
"2016-06-28",1343920,1372724.13016959,-28804.1301695889
"2016-06-29",1353260,1373462.93790976,-20202.9379097638
"2016-06-30",1353520,1374212.97771784,-20692.977717841
"2016-07-01",1351300,1374973.88344146,-23673.8834414622
"2016-07-04",1378760,1375745.28037466,3014.71962534476
"2016-07-05",1380960,1376526.78402561,4433.21597438983
"2016-07-06",1384100,1377318.01114866,6781.98885133895
"2016-07-07",1384840,1378118.58033068,6721.41966931679
"2016-07-08",1378980,1378928.11296193,51.8870380675025
"2016-07-11",1382180,1379746.23321104,2433.76678895828
"2016-07-12",1417460,1380572.56526808,36887.4347319235
"2016-07-13",1420120,1381406.73432914,38713.2656708617
"2016-07-14",1419720,1382248.38083812,37471.6191618849
"2016-07-15",1421200,1383097.16124139,38102.8387586078
"2016-07-18",1402740,1383952.74747461,18787.2525253935
"2016-07-19",1393800,1384814.8272236,8985.17277640153
"2016-07-20",1389480,1385683.09594008,3796.9040599173
"2016-07-21",1399540,1386557.25278989,12982.7472101078
"2016-07-22",1387340,1387436.99850835,-96.9985083488382
"2016-07-25",1389080,1388322.03919732,757.960802683181
"2016-07-26",1409220,1389212.08091857,20007.9190814295
"2016-07-27",1379500,1390106.83004718,-10606.8300471803
"2016-07-28",1389260,1391006.00122871,-1746.00122870505
"2016-07-29",1384940,1391909.30472425,-6969.30472425137
"2016-08-01",1373040,1392816.45007321,-19776.4500732123
"2016-08-02",1377240,1393727.14393414,-16487.1439341372
"2016-08-03",1377160,1394641.08479079,-17481.0847907934
"2016-08-04",1380480,1395557.96431182,-15077.9643118235
"2016-08-05",1386420,1396477.4669399,-10057.4669398961
"2016-08-08",1397300,1397399.27088505,-99.2708850547643
"2016-08-09",1406440,1398323.05019999,8116.94980001147
"2016-08-10",1403660,1399248.47889635,4411.52110364944
"2016-08-11",1402420,1400175.23434102,2244.7656589815
"2016-08-12",1429360,1401102.99572441,28257.0042755854
"2016-08-15",1470040,1402031.44316486,68008.556835144
"2016-08-16",1463740,1402960.26846097,60779.7315390307
"2016-08-17",1460100,1403889.19152338,56210.8084766162
"2016-08-18",1458840,1404817.95738663,54022.0426133743
"2016-08-19",1456420,1405746.33432051,50673.6656794905
"2016-08-22",1441700,1406674.11292539,35025.8870746111
"2016-08-23",1442400,1407601.10474808,34798.8952519248
"2016-08-24",1435700,1408527.13581367,27172.8641863299
"2016-08-25",1427700,1409452.04653174,18247.9534682582
"2016-08-26",1425720,1410375.68854403,15344.311455973
"2016-08-29",1424800,1411297.92103521,13502.0789647904
"2016-08-30",1431800,1412218.60953274,19581.3904672587
"2016-08-31",1438420,1413137.62514526,25282.374854735
"2016-09-01",1423860,1414054.84707559,9805.15292441428
"2016-09-02",1430460,1414970.16497723,15489.8350227736
"2016-09-05",1433940,1415883.47255676,18056.5274432401
"2016-09-06",1444700,1416794.66992364,27905.3300763586
"2016-09-07",1445860,1417703.66465116,28156.3353488358
"2016-09-08",1444580,1418610.37584756,25969.6241524362
"2016-09-09",1437660,1419514.73425977,18145.2657402252
"2016-09-12",1407900,1420416.68136953,-12516.6813695274
"2016-09-13",1410880,1421316.16615908,-10436.1661590767
"2016-09-14",1405500,1422213.13243678,-16713.1324367819
"2016-09-19",1415380,1423107.51969711,-7727.51969711377
"2016-09-20",1398800,1423999.26052601,-25199.2605260074
"2016-09-21",1406300,1424888.28431515,-18588.2843151488
"2016-09-22",1416760,1425774.51003986,-9014.51003986465
"2016-09-23",1411400,1426657.84899183,-15257.8489918305
"2016-09-26",1393600,1427538.20873649,-33938.2087364876
"2016-09-27",1401080,1428415.4905323,-27335.4905322987
"2016-09-28",1399180,1429289.58160903,-30109.581609029
"2016-09-29",1407220,1430160.35789706,-22940.3578970559
"2016-09-30",1408880,1431027.68288066,-22147.6828806639
"2016-10-10",1426680,1431891.41056152,-5211.41056151735
"2016-10-11",1430200,1432751.38578632,-2551.38578632246
"2016-10-12",1426580,1433607.45124759,-7027.45124759258
"2016-10-13",1425080,1434459.4485832,-9379.44858320136
"2016-10-14",1431780,1435307.21652616,-3527.21652616329
"2016-10-17",1418540,1436150.5899324,-17610.5899323979
"2016-10-18",1439220,1436989.40219982,2230.59780017924
"2016-10-19",1437320,1437823.47944684,-503.479446835627
"2016-10-20",1439460,1438652.64871388,807.351286118103
"2016-10-21",1442640,1439476.73683329,3163.26316671502
"2016-10-24",1455020,1440295.57097109,14724.4290289082
"2016-10-25",1452280,1441108.97960092,11171.0203990814
"2016-10-26",1447900,1441916.79728288,5983.20271712439
"2016-10-27",1445740,1442718.86319472,3021.13680528215
"2016-10-28",1446680,1443515.01898741,3164.98101258646
"2016-10-31",1443780,1444305.10756075,-525.107560753145
"2016-11-01",1453120,1445088.9731228,8031.02687720123
"2016-11-02",1443880,1445866.45966455,-1986.4596645471
"2016-11-03",1458140,1446637.41449671,11502.5855032912
"2016-11-04",1454260,1447401.68410887,6858.31589113457
"2016-11-07",1456820,1448159.11974532,8660.88025468492
"2016-11-08",1465760,1448909.5754853,16850.4245146995
"2016-11-09",1457220,1449652.90898812,7567.09101187868
"2016-11-10",1471220,1450388.98487836,20831.0151216358
"2016-11-11",1486720,1451117.67090857,35602.3290914321
"2016-11-14",1490640,1451838.84344194,38801.1565580565
"2016-11-15",1488760,1452552.39355829,36207.6064417099
"2016-11-16",1488320,1453258.22837624,35061.7716237606
"2016-11-17",1491200,1453956.2699812,37243.7300188025
"2016-11-18",1490980,1454646.45495169,36333.5450483069
"2016-11-21",1488820,1455328.73526132,33491.2647386795
"2016-11-22",1503840,1456003.0779025,47836.9220975027
"2016-11-23",1507540,1456669.46371158,50870.5362884174
"2016-11-24",1510640,1457327.8932988,53312.1067012035
"2016-11-25",1533180,1457978.38830219,75201.6116978121
"2016-11-28",1540400,1458620.99239688,81779.0076031179
"2016-11-29",1557480,1459255.78034335,98224.2196566463
"2016-11-30",1544260,1459882.8607062,84377.1392938049
"2016-12-01",1557360,1460502.38265197,96857.6173480297
"2016-12-02",1540320,1461114.53022534,79205.4697746558
"2016-12-05",1509940,1461719.52750804,48220.4724919594
"2016-12-06",1507840,1462317.63132212,45522.3686778839
"2016-12-07",1511940,1462909.11842205,49030.8815779451
"2016-12-08",1512980,1463494.28437944,49485.7156205641
"2016-12-09",1525220,1464073.44503325,61146.5549667534
"2016-12-12",1493200,1464646.93667788,28553.0633221237
"2016-12-13",1491340,1465215.12088325,26124.8791167539
"2016-12-14",1483240,1465778.37102196,17461.6289780417
"2016-12-15",1459200,1466337.0712656,-7137.07126559572
"2016-12-16",1463560,1466891.61300367,-3331.61300367038
"2016-12-19",1445980,1467442.38467552,-21462.3846755214
"2016-12-20",1435560,1467989.77334333,-32429.7733433302
"2016-12-21",1451040,1468534.15719759,-17494.1571975925
"2016-12-22",1445720,1469075.90102364,-23355.9010236416
"2016-12-23",1435700,1469615.36237542,-33915.3623754242
"2016-12-26",1443480,1470152.8891525,-26672.8891524999
"2016-12-27",1442120,1470688.81523518,-28568.8152351833
"2016-12-28",1438020,1471223.46347829,-33203.4634782853
"2016-12-29",1438060,1471757.14492742,-33697.1449274201
"2016-12-30",1440180,1472290.15690322,-32110.1569032233
"2017-01-03",1457600,1472822.78279729,-15222.7827972874
"2017-01-04",1470240,1473355.29272816,-3115.29272815671
"2017-01-05",1467800,1473887.95052189,-6087.95052188922
"2017-01-06",1461680,1474421.01871681,-12741.0187168061
"2017-01-09",1468040,1474954.75733471,-6914.75733471402
"2017-01-10",1464560,1475489.4211308,-10929.4211307969
"2017-01-11",1456620,1476025.26200195,-19405.2620019527
"2017-01-12",1448160,1476562.5273273,-28402.5273273
"2017-01-13",1453760,1477101.4564646,-23341.4564645997
"2017-01-16",1455400,1477642.27703115,-22242.2770311516
"2017-01-17",1459740,1478185.20699583,-18445.2069958346
"2017-01-18",1472500,1478730.45513346,-6230.45513346497
"2017-01-19",1464600,1479278.22259435,-14678.2225943523
"2017-01-20",1474840,1479828.70795338,-4988.70795338349
"2017-01-23",1474960,1480382.10371807,-5422.10371806545
"2017-01-24",1476260,1480938.60033378,-4678.60033377592
"2017-01-25",1482520,1481498.3860046,1021.61399540096
"2017-01-26",1486280,1482061.64700069,4218.3529993115
"2017-02-03",1475500,1482628.57001448,-7128.57001447613
"2017-02-06",1474560,1483199.34348211,-8639.34348210691
"2017-02-07",1471460,1483774.15289305,-12314.1528930504
"2017-02-08",1479620,1484353.18016563,-4733.18016562862
"2017-02-09",1484420,1484936.60212798,-516.602127982947
"2017-02-10",1493200,1485524.59365174,7675.40634825536
"2017-02-13",1500060,1486117.32939501,13942.6706049882
"2017-02-14",1499420,1486714.98718858,12705.0128114215
"2017-02-15",1496380,1487317.75062658,9062.24937341968
"2017-02-16",1504160,1487925.8085549,16234.1914451026
"2017-02-17",1501860,1488539.35356538,13320.6464346183
"2017-02-20",1517420,1489158.58496044,28261.4150395643
"2017-02-21",1515480,1489783.70754869,25696.2924513146
"2017-02-22",1518420,1490414.9378209,28005.0621791012
"2017-02-23",1512240,1491052.50288965,21187.4971103514
"2017-02-24",1512340,1491696.64144368,20643.3585563196
"2017-02-27",1501140,1492347.60092979,8792.39907021229
"2017-02-28",1501260,1493005.63732791,8254.36267209204
"2017-03-01",1503360,1493671.01025242,9688.98974758379
"2017-03-02",1494840,1494343.98272969,496.017270312132
"2017-03-03",1489020,1495024.82179113,-6004.82179113171
"2017-03-06",1494960,1495713.79467321,-753.794673211951
"2017-03-07",1499220,1496411.16613022,2808.83386978178
"2017-03-08",1499240,1497117.20060487,2122.79939512789
"2017-03-09",1488260,1497832.16370094,-9572.16370093845
"2017-03-10",1488100,1498556.32189968,-10456.3218996768
"2017-03-13",1506520,1499289.93772559,7230.0622744053
"2017-03-14",1503600,1500033.26938097,3566.73061903332
"2017-03-15",1505460,1500786.57805668,4673.42194331657
"2017-03-16",1518180,1501550.12641801,16629.8735819902
"2017-03-17",1510560,1502324.17906199,8235.82093800576
"2017-03-20",1493320,1503109.00745978,-9789.00745978485
"2017-03-21",1499740,1503904.8864869,-4164.88648689756
"2017-03-22",1492780,1504712.08697248,-11932.0869724814
"2017-03-23",1497900,1505530.87802409,-7630.87802408731
"2017-03-24",1517980,1506361.52381703,11618.4761829732
"2017-03-27",1509620,1507204.28537228,2415.71462771603
"2017-03-28",1507920,1508059.4285135,-139.428513497114
"2017-03-29",1508260,1508927.22006283,-667.220062828937
"2017-03-30",1498440,1509807.92678481,-11367.9267848073
"2017-03-31",1506640,1510701.81516818,-4061.81516818442
"2017-04-05",1529000,1511609.14700265,17390.8529973482
"2017-04-06",1528000,1512530.1823989,15469.8176010957
"2017-04-07",1529660,1513465.18865633,16194.8113436655
"2017-04-10",1525960,1514414.43946889,11545.5605311054
"2017-04-11",1526300,1515378.21522488,10921.7847751175
"2017-04-12",1522720,1516356.80108501,6363.19891498874
"2017-04-13",1526060,1517350.48672467,8709.5132753275
"2017-04-14",1513060,1518359.5644495,-5299.56444949528
"2017-04-17",1512280,1519384.33016529,-7104.33016529055
"2017-04-18",1506380,1520425.07758727,-14045.077587274
"2017-04-19",1496360,1521482.09749397,-25122.0974939689
"2017-04-20",1504100,1522555.67485827,-18455.6748582722
"2017-04-21",1505240,1523646.08426855,-18406.0842685537
"2017-04-24",1487660,1524753.59268442,-37093.5926844169
"2017-04-25",1493740,1525878.4594571,-32138.4594570992
"2017-04-26",1495300,1527020.92860484,-31720.9286048447
"2017-04-27",1496160,1528181.23086114,-32021.2308611357
"2017-04-28",1493320,1529359.58384732,-36039.5838473206
"2017-05-02",1487940,1530556.19194846,-42616.191948459
"2017-05-03",1483760,1531771.24465227,-48011.2446522651
"2017-05-04",1478260,1533004.91383066,-54744.9138306571
"2017-05-05",1470000,1534257.35150961,-64257.3515096095
"2017-05-08",1464460,1535528.68708579,-71068.6870857856
"2017-05-09",1465380,1536819.02339445,-71439.0233944532
"2017-05-10",1461260,1538128.43389394,-76868.4338939401
"2017-05-11",1469220,1539456.9625125,-70236.9625124955
"2017-05-12",1483320,1540804.62140411,-57484.6214041087
"2017-05-15",1490540,1542171.39368956,-51631.3936895644
"2017-05-16",1505260,1543557.23872792,-38297.2387279182
"2017-05-17",1495860,1544962.09453581,-49102.0945358141
"2017-05-18",1488440,1546385.88329937,-57945.8832993731
"2017-05-19",1491580,1547828.50690788,-56248.5069078809
"2017-05-22",1487820,1549289.84329812,-61469.8432981209
"2017-05-23",1499480,1550769.74715603,-51289.7471560258
"2017-05-24",1498880,1552268.04775834,-53388.0477583442
"2017-05-25",1539480,1553784.55318072,-14304.5531807215
"2017-05-26",1537060,1555319.04943034,-18259.049430342
"2017-05-31",1539200,1556871.31660144,-17671.3166014352
"2017-06-01",1545140,1558441.12724068,-13301.1272406799
"2017-06-02",1538160,1560028.24659015,-21868.2465901492
"2017-06-05",1525020,1561632.43439376,-36612.4343937574
"2017-06-06",1536900,1563253.44135599,-26353.4413559879
"2017-06-07",1555500,1564891.00304718,-9391.00304717635
"2017-06-08",1568420,1566544.84414424,1875.15585575632
"2017-06-09",1576500,1568214.68544225,8285.3145577531
"2017-06-12",1572160,1569900.24851133,2259.75148867403
"2017-06-13",1574260,1571601.25834645,2658.74165354658
"2017-06-14",1554560,1573317.44087669,-18757.4408766873
"2017-06-15",1548800,1575048.52313011,-26248.5231301088
"2017-06-16",1547700,1576794.22438122,-29094.2243812207
"2017-06-19",1552760,1578554.25305447,-25794.2530544701
"2017-06-20",1547180,1580328.30554787,-33148.3055478729
"2017-06-21",1563560,1582116.06759719,-18556.0675971917
"2017-06-22",1566120,1583917.21123596,-17797.2112359605
"2017-06-23",1582380,1585731.40082743,-3351.40082742969
"2017-06-26",1599240,1587558.29337815,11681.7066218459
"2017-06-27",1602240,1589397.54450938,12842.4554906205
"2017-06-28",1591140,1591248.8146711,-108.814671100708
"2017-06-29",1601100,1593111.76962186,7988.23037814307
"2017-06-30",1597580,1594986.07507521,2593.92492478901
