"NI0Date","NI0Close","NI0_hpft","NI0_hpfc"
2017-06-13,72540,80846.0922107508,-8306.09221075083
2017-06-14,73190,80872.9018128146,-7682.90181281461
2017-06-15,73300,80902.9470433368,-7602.94704333678
2017-06-16,73600,80936.2251954344,-7336.22519543437
2017-06-19,73900,80972.7304194618,-7072.73041946178
2017-06-20,74740,81012.4538332771,-6272.45383327714
2017-06-21,74120,81055.3836311555,-6935.38363115546
2017-06-22,73840,81101.5054145876,-7261.50541458758
2017-06-23,75570,81150.8019182673,-5580.80191826728
2017-06-26,75340,81203.2528752651,-5863.25287526508
2017-06-27,75270,81258.8357117709,-5988.83571177092
2017-06-28,75890,81317.5254303498,-5427.52543034983
2017-06-29,76790,81379.2945580102,-4589.29455801024
2017-06-30,76650,81444.1133782502,-4794.11337825019
2017-07-03,77240,81511.9502775398,-4271.95027753984
2017-07-04,75200,81582.771660646,-6382.77166064595
2017-07-05,75250,81656.5421664883,-6406.54216648827
2017-07-06,75210,81733.2237956021,-6523.22379560208
2017-07-07,74650,81812.7759003232,-7162.77590032324
2017-07-10,73550,81895.1551365448,-8345.15513654475
2017-07-11,74390,81980.3151993541,-7590.31519935406
2017-07-12,75800,82068.2063342876,-6268.20633428758
2017-07-13,76220,82158.7756493553,-5938.77564935532
2017-07-14,76640,82251.9676615387,-5611.96766153867
2017-07-17,79150,82347.7244329667,-3197.72443296673
2017-07-18,78970,82445.9857060125,-3475.98570601253
2017-07-19,79780,82546.6899012316,-2766.68990123156
2017-07-20,78900,82649.7740023474,-3749.77400234737
2017-07-21,78630,82755.1738494485,-4125.17384944846
2017-07-24,78950,82862.823732619,-3912.82373261898
2017-07-25,81120,82972.6562367608,-1852.6562367608
2017-07-26,80920,83084.6023293702,-2164.60232937022
2017-07-27,81800,83198.5922121287,-1398.59221212874
2017-07-28,82380,83314.5551919614,-934.555191961408
2017-07-31,83000,83432.4199976732,-432.419997673188
2017-08-01,81970,83552.1149717528,-1582.11497175281
2017-08-02,82120,83673.5682779506,-1553.56827795065
2017-08-03,82670,83796.7074260355,-1126.70742603546
2017-08-04,85120,83921.4592835898,1198.54071641017
2017-08-07,84950,84047.7502524637,902.249747536271
2017-08-08,84300,84175.5072299299,124.492770070131
2017-08-09,88060,84304.6574862234,3755.34251377659
2017-08-10,87940,84435.1283430312,3504.87165696875
2017-08-11,86650,84566.848674354,2083.15132564599
2017-08-14,86190,84699.7488029635,1490.25119703645
2017-08-15,85410,84833.7599127231,576.240087276895
2017-08-16,85380,84968.8138035044,411.186196495633
2017-08-17,87940,85104.8425133726,2835.15748662739
2017-08-18,88090,85241.7782503657,2848.22174963428
2017-08-21,91030,85379.5543944571,5650.44560554291
2017-08-22,92480,85518.105502963,6961.89449703703
2017-08-23,92230,85657.3684688635,6572.6315311365
2017-08-24,94000,85797.283062909,8202.71693709103
2017-08-25,94280,85937.7917727122,8342.20822728776
2017-08-28,93520,86078.8404765561,7441.15952344394
2017-08-29,94070,86220.3785010582,7849.62149894184
2017-08-30,93440,86362.3582487136,7077.64175128644
2017-08-31,93610,86504.7353667332,7105.26463326684
2017-09-01,94650,86647.4684279417,8002.53157205834
2017-09-04,96300,86790.5189421933,9509.48105780668
2017-09-05,96730,86933.8517272692,9796.14827273076
2017-09-06,94900,87077.4355317857,7822.56446821425
2017-09-07,95410,87221.2431536926,8188.75684630738
2017-09-08,92750,87365.2506244748,5384.74937552519
2017-09-11,91230,87509.4373605198,3720.56263948024
2017-09-12,92100,87653.7850040527,4446.21499594734
2017-09-13,92370,87798.2767352306,4571.72326476944
2017-09-14,88400,87942.8975720967,457.102427903272
2017-09-15,87760,88087.6344224615,-327.634422461483
2017-09-18,88530,88232.4743830823,297.525616917723
2017-09-19,87400,88377.404415286,-977.404415285968
2017-09-20,89920,88522.4116033844,1397.58839661558
2017-09-21,87960,88667.4826276699,-707.482627669946
2017-09-22,83810,88812.6047461416,-5002.6047461416
2017-09-25,84060,88957.7649243535,-4897.76492435354
2017-09-26,84530,89102.9480599844,-4572.9480599844
2017-09-27,84980,89248.1370261736,-4268.13702617363
2017-09-28,83510,89393.312805788,-5883.31280578796
2017-09-29,84800,89538.4546174179,-4738.45461741785
2017-10-09,87290,89683.5392477287,-2393.53924772867
2017-10-10,87400,89828.5415246996,-2428.54152469956
2017-10-11,87970,89973.4352869163,-2003.43528691626
2017-10-12,90420,90118.1933691037,301.806630896348
2017-10-13,92290,90262.7877778465,2027.21222215349
2017-10-16,93430,90407.1906444849,3022.80935551513
2017-10-17,93400,90551.3749383264,2848.62506167356
2017-10-18,94710,90695.3148781867,4014.68512181329
2017-10-19,94290,90838.9858603883,3451.0141396117
2017-10-20,97650,90982.3649407627,6667.63505923733
2017-10-23,94800,91125.4306016532,3674.56939834677
2017-10-24,96390,91268.1640815342,5121.83591846577
2017-10-25,95490,91410.5481377996,4079.45186220043
2017-10-26,95600,91552.5676450046,4047.43235499536
2017-10-27,92540,91694.2091639856,845.790836014365
2017-10-30,92630,91835.4609286241,794.539071375867
2017-10-31,95210,91976.3115224192,3233.68847758077
2017-11-01,99340,92116.7498572982,7223.25014270183
2017-11-02,101450,92256.7661818668,9193.23381813316
2017-11-03,101320,92396.3537305324,8923.64626946764
2017-11-06,103230,92535.5095378141,10694.4904621859
2017-11-07,102930,92674.234326908,10255.765673092
2017-11-08,101130,92812.5332416827,8317.46675831731
2017-11-09,99110,92950.4156653277,6159.58433467226
2017-11-10,99120,93087.8944191386,6032.10558086141
2017-11-13,99650,93224.9848705361,6425.01512946388
2017-11-14,99610,93361.7048803712,6248.29511962884
2017-11-15,94650,93498.0749653361,1151.92503466392
2017-11-16,94060,93634.1182249187,425.881775081335
2017-11-17,92750,93769.8582347653,-1019.85823476533
2017-11-20,93850,93905.3187465652,-55.3187465652371
2017-11-21,94270,94040.5230904389,229.476909561094
2017-11-22,95010,94175.4945736403,834.505426359715
2017-11-23,94220,94310.25659828,-90.2565982800365
2017-11-24,96880,94444.8329114197,2435.16708858027
2017-11-27,94050,94579.2472228131,-529.247222813129
2017-11-28,92110,94713.524248813,-2603.52424881299
2017-11-29,91710,94847.6884870031,-3137.68848700309
2017-11-30,91070,94981.7633587753,-3911.76335877531
2017-12-01,90150,95115.7709885268,-4965.77098852682
2017-12-04,92370,95249.7318836893,-2879.73188368929
2017-12-05,90450,95383.6644990443,-4933.6644990443
2017-12-06,88000,95517.5860990081,-7517.5860990081
2017-12-07,87410,95651.5119086184,-8241.51190861838
2017-12-08,89120,95785.4540454451,-6665.45404544508
2017-12-11,87850,95919.4212203485,-8069.42122034851
2017-12-12,89610,96053.4193889583,-6443.41938895832
2017-12-13,89820,96187.4511713299,-6367.45117132987
2017-12-14,89210,96321.5165240681,-7111.51652406813
2017-12-15,90110,96455.6127717296,-6345.61277172965
2017-12-18,93740,96589.7342992562,-2849.73429925621
2017-12-19,94650,96723.8728685683,-2073.87286856825
2017-12-20,95130,96858.0190636208,-1728.01906362077
2017-12-21,95740,96992.162611113,-1252.16261111303
2017-12-22,95890,97126.2925234508,-1236.2925234508
