"C0Date","C0Close","C0_hpft","C0_hpfc"
2019-08-07,1965,1900.14964878432,64.8503512156814
2019-08-08,1929,1899.67755782309,29.3224421769067
2019-08-09,1927,1899.19972661752,27.8002733824802
2019-08-12,1921,1898.71672801263,22.2832719873669
2019-08-13,1914,1898.22914634496,15.7708536550382
2019-08-14,1914,1897.73757516206,16.262424837945
2019-08-15,1912,1897.24261453049,14.757385469507
2019-08-16,1906,1896.74487123911,9.25512876089375
2019-08-19,1883,1896.24495817681,-13.2449581768149
2019-08-20,1886,1895.74349205825,-9.74349205824569
2019-08-21,1905,1895.24108412309,9.75891587691105
2019-08-22,1908,1894.73834158347,13.2616584165292
2019-08-23,1920,1894.23587568546,25.7641243145413
2019-08-26,1917,1893.73430315696,23.26569684304
2019-08-27,1900,1893.23425137573,6.76574862426663
2019-08-28,1897,1892.73635733664,4.26364266336228
2019-08-29,1885,1892.24126083122,-7.2412608312207
2019-08-30,1871,1891.74960341345,-20.7496034134532
2019-09-02,1872,1891.26202364405,-19.2620236440514
2019-09-03,1876,1890.77915150669,-14.7791515066903
2019-09-04,1881,1890.30160902289,-9.3016090228913
2019-09-05,1875,1889.83001210509,-14.8300121050862
2019-09-06,1885,1889.36497282077,-4.36497282076675
2019-09-09,1885,1888.90709710731,-3.90709710731301
2019-09-10,1880,1888.4569890978,-8.4569890978039
2019-09-11,1874,1888.01525131027,-14.0152513102661
2019-09-12,1872,1887.58248276695,-15.5824827669472
2019-09-16,1869,1887.15927669678,-18.1592766967773
2019-09-17,1867,1886.74621988748,-19.7462198874821
2019-09-18,1873,1886.34389162049,-13.3438916204921
2019-09-19,1864,1885.95286301496,-21.9528630149646
2019-09-20,1851,1885.57369967418,-34.5736996741843
2019-09-23,1855,1885.20695812702,-30.2069581270164
2019-09-24,1854,1884.85318061098,-30.8531806109845
2019-09-25,1850,1884.51289687722,-34.5128968772218
2019-09-26,1840,1884.1866239234,-44.1866239233963
2019-09-27,1830,1883.87486448101,-53.8748644810102
2019-09-30,1823,1883.5781030165,-60.5781030165013
2019-10-08,1824,1883.29680172665,-59.2968017266478
2019-10-09,1830,1883.03139776769,-53.0313977676861
2019-10-10,1838,1882.78230378494,-44.7823037849432
2019-10-11,1847,1882.54991050263,-35.5499105026308
2019-10-14,1837,1882.33459013383,-45.3345901338302
2019-10-15,1841,1882.1367001967,-41.1367001966955
2019-10-16,1846,1881.95657946988,-35.9565794698758
2019-10-17,1848,1881.79454972774,-33.7945497277381
2019-10-18,1859,1881.65091788171,-22.6509178817087
2019-10-21,1847,1881.5259768739,-34.5259768738981
2019-10-22,1855,1881.42001028339,-26.4200102833874
2019-10-23,1836,1881.33328741763,-45.3332874176325
2019-10-24,1828,1881.26606666313,-53.2660666631267
2019-10-25,1828,1881.21858766743,-53.2185876674344
2019-10-28,1846,1881.19106805996,-35.191068059964
2019-10-29,1864,1881.18370347184,-17.1837034718398
2019-10-30,1868,1881.19667498746,-13.1966749874612
2019-10-31,1873,1881.23015658833,-8.23015658833426
2019-11-01,1887,1881.28431680084,5.71568319916351
2019-11-04,1876,1881.35932074947,-5.35932074946932
