"TF00YDate","TF00YClose","TF00Y_hpft","TF00Y_hpfc"
2020-04-03,108.5,123.178135670471,-14.6781356704713
2020-04-06,108.7,123.050175900186,-14.3501759001856
2020-04-07,113.8,122.926775761255,-9.12677576125467
2020-04-08,114.6,122.808025073431,-8.20802507343145
2020-04-10,112.3,122.694009883828,-10.3940098838279
2020-04-13,114.6,122.584812846678,-7.98481284667771
2020-04-14,114.7,122.480512319777,-7.78051231977711
2020-04-15,113.3,122.38118336029,-9.08118336028989
2020-04-16,114.7,122.286897809236,-7.58689780923639
2020-04-17,115.8,122.197723753876,-6.39772375387607
2020-04-20,112.7,122.113726145297,-9.41372614529651
2020-04-21,111.1,122.034967290053,-10.9349672900527
2020-04-22,113.4,121.961505603448,-8.56150560344834
2020-04-23,112.7,121.893394980695,-9.19339498069482
2020-04-24,112.3,121.83068577803,-9.53068577802985
2020-04-27,111,121.773424551512,-10.7734245515116
2020-04-28,110.8,121.721653917589,-10.9216539175894
2020-04-29,111.3,121.675412039421,-10.375412039421
2020-05-01,109.1,121.634732565589,-12.5347325655894
2020-05-04,109,121.599644855895,-12.5996448558946
2020-05-05,112.3,121.570173088795,-9.27017308879537
2020-05-07,112.4,121.54633623454,-9.14633623454037
2020-05-08,112.2,121.528149431479,-9.32814943147905
2020-05-11,116.6,121.515624037236,-4.91562403723551
2020-05-12,116,121.508767553545,-5.50876755354533
2020-05-13,115,121.507585450222,-6.50758545022236
2020-05-14,116.8,121.512080919983,-4.71208091998271
2020-05-15,115.5,121.522254465569,-6.0222544655686
2020-05-18,117.1,121.538104641928,-4.43810464192772
2020-05-19,118.6,121.559627514646,-2.95962751464595
2020-05-20,118.7,121.586817314792,-2.88681731479187
2020-05-21,117,121.619667050041,-4.61966705004079
2020-05-25,117.9,121.658168534756,-3.75816853475619
2020-05-26,116.9,121.702311673746,-4.8023116737458
2020-05-27,117,121.752084818312,-4.75208481831243
2020-05-28,116,121.807474334693,-5.807474334693
2020-05-29,118.3,121.868464624796,-3.56846462479593
2020-06-01,117.3,121.935037689972,-4.63503768997203
2020-06-02,119.3,122.007174056491,-2.70717405649107
2020-06-03,118.9,122.084852334686,-3.18485233468551
2020-06-04,122.5,122.168050015867,0.331949984132629
2020-06-05,123.4,122.256743274842,1.14325672515823
2020-06-08,123.7,122.350908423643,1.34909157635664
2020-06-09,123,122.450522246865,0.549477753135152
2020-06-10,122.5,122.555562086767,-0.0555620867668916
2020-06-11,120.8,122.666005512753,-1.86600551275279
2020-06-12,118.9,122.781830071242,-3.88183007124159
2020-06-15,120.2,122.903012537337,-2.70301253733739
2020-06-16,120.3,123.029528081539,-2.72952808153909
2020-06-17,120.1,123.161350757035,-3.06135075703469
2020-06-18,122.3,123.298453488731,-0.99845348873111
2020-06-19,121.4,123.440807936111,-2.04080793611139
2020-06-22,121,123.588385345901,-2.58838534590106
2020-06-23,119.5,123.741156121274,-4.24115612127391
2020-06-24,118.4,123.899089595451,-5.49908959545111
2020-06-25,117.7,124.062153348547,-6.36215334854687
2020-06-26,116.7,124.230312687564,-7.53031268756411
2020-06-29,117.1,124.403530289651,-7.30353028965077
2020-06-30,116.9,124.581765719214,-7.6817657192144
2020-07-01,118.6,124.764975521673,-6.16497552167266
2020-07-02,119.3,124.953113067126,-5.65311306712553
2020-07-03,121,125.146129177334,-4.14612917733431
2020-07-06,120.3,125.343972337257,-5.04397233725707
2020-07-07,120.9,125.546589318021,-4.64658931802074
2020-07-08,121.2,125.753924805789,-4.5539248057895
2020-07-10,121.1,125.965921566001,-4.86592156600081
2020-07-13,120.3,126.182520481696,-5.88252048169641
2020-07-14,119.5,126.403660424519,-6.90366042451893
2020-07-15,119.3,126.629277834536,-7.32927783453623
2020-07-16,119.5,126.859306298125,-7.35930629812451
2020-07-17,118.9,127.093676372005,-8.19367637200532
2020-07-20,119.5,127.332315570857,-7.8323155708568
2020-07-21,119.6,127.575148022448,-7.97514802244789
2020-07-22,119.4,127.822094616969,-8.42209461696858
2020-07-23,119.4,128.073072948003,-8.6730729480029
2020-07-24,120.3,128.327997127793,-8.02799712779276
2020-07-27,121.9,128.586777683459,-6.68677768345872
2020-07-28,123.2,128.849321823688,-5.64932182368819
2020-07-29,124.2,129.115533993113,-4.9155339931131
2020-07-31,124.6,129.385316301168,-4.78531630116768
2020-08-03,125.2,129.658568825406,-4.45856882540631
2020-08-04,126.1,129.935189665318,-3.8351896653181
2020-08-05,131.8,130.215075077401,1.5849249225986
2020-08-06,135.7,130.498119732843,5.20188026715682
2020-08-10,132.2,130.784218957975,1.41578104202488
2020-08-11,131.7,131.07327022937,0.62672977063028
2020-08-12,132,131.365171608836,0.634828391164272
2020-08-13,133,131.659821417239,1.34017858276052
2020-08-14,133.7,131.957118237865,1.74288176213503
2020-08-17,134.9,132.256961207975,2.64303879202487
2020-08-18,135.1,132.559250185262,2.54074981473755
2020-08-19,134.8,132.86388611995,1.93611388004968
2020-08-20,133.8,133.170771012501,0.629228987499236
2020-08-21,137,133.479807663693,3.52019233630726
2020-08-24,136.5,133.790899134395,2.70910086560545
2020-08-25,137.4,134.103949940599,3.29605005940081
2020-08-26,138.7,134.418865718113,4.28113428188673
2020-08-27,139.3,134.735553465207,4.56444653479279
2020-08-28,143,135.053921949797,7.946078050203
2020-08-31,142.9,135.37388182656,7.52611817343978
2020-09-01,143.9,135.695347034764,8.20465296523607
2020-09-02,140.6,136.018234624667,4.58176537533292
2020-09-03,138.3,136.342465038003,1.95753496199751
2020-09-04,136.9,136.667960610423,0.232039389577321
2020-09-07,137.6,136.994644486746,0.605355513254302
2020-09-08,133.2,137.322439907701,-4.12243990770122
2020-09-09,134.8,137.651270364253,-2.85127036425324
2020-09-10,134.5,137.981057643316,-3.48105764331606
2020-09-11,136.2,138.311722353199,-2.11172235319931
2020-09-14,137.1,138.643183663287,-1.54318366328688
2020-09-15,139,138.975359870058,0.0246401299416485
2020-09-16,138.5,139.308168632104,-0.808168632103947
2020-09-17,139.7,139.641527618201,0.0584723817993758
2020-09-18,139.6,139.97535416306,-0.375354163059975
2020-09-21,137.2,140.309565625564,-3.10956562556429
2020-09-22,136.2,140.644079209439,-4.44407920943936
2020-09-23,137.2,140.978810833041,-3.77881083304062
2020-09-24,139.9,141.313674577721,-1.41367457772068
2020-09-25,140.1,141.648582962824,-1.54858296282393
2020-09-28,139.6,141.983447923338,-2.38344792333819
2020-09-29,136.2,142.318180754129,-6.1181807541294
2020-09-30,135.6,142.652691764842,-7.05269176484188
2020-10-01,135.8,142.986888736111,-7.18688873611072
2020-10-02,137.6,143.320676533271,-5.72067653327091
2020-10-05,138.8,143.653957050888,-4.85395705088788
2020-10-06,139.8,143.986629818828,-4.18662981882759
2020-10-07,141.1,144.318592360526,-3.21859236052592
2020-10-08,143.8,144.649740468835,-0.849740468835114
2020-10-09,146.9,144.97996860617,1.92003139382955
2020-10-12,147.3,145.309170883698,1.99082911630174
2020-10-13,148.9,145.637242206248,3.26275779375224
2020-10-14,148.3,145.964078301581,2.33592169841912
2020-10-15,150.3,146.289576246148,4.01042375385202
2020-10-16,152.7,146.613634081978,6.08636591802151
2020-10-19,158.9,146.936151508848,11.9638484911522
2020-10-20,160.9,147.25703074239,13.6429692576097
2020-10-21,164,147.576178943619,16.4238210563806
2020-10-22,164.1,147.893508912991,16.2064910870088
2020-10-23,169.8,148.208940239921,21.5910597600792
2020-10-26,172.5,148.522399212929,23.9776007870711
2020-10-27,180,148.833821045414,31.1661789545857
2020-10-28,161.9,149.143150862153,12.7568491378475
2020-10-29,158.4,149.450346670761,8.94965332923903
2020-10-30,150.1,149.755371752031,0.344628247969253
2020-11-02,150.5,150.058193086176,0.4418069138237
2020-11-03,150.5,150.358777795867,0.141222204132918
2020-11-04,154.5,150.657093186404,3.842906813596
2020-11-05,153.5,150.953106621449,2.54689337855133
2020-11-06,152,151.246787053178,0.753212946822013
2020-11-09,151.5,151.538104486551,-0.0381044865508606
2020-11-10,155.9,151.827029237875,4.07297076212513
2020-11-11,157.6,152.113531607707,5.48646839229337
2020-11-12,156.8,152.397583580197,4.4024164198028
2020-11-13,158.6,152.67915940739,5.92084059260983
2020-11-16,155.5,152.958235161114,2.54176483888613
2020-11-17,154,153.234789360625,0.765210639375108
2020-11-18,155.9,153.508801575851,2.39119842414914
2020-11-19,155.3,153.780251693023,1.51974830697744
2020-11-20,157.8,154.049120586797,3.75087941320345
2020-11-23,158.6,154.315389760034,4.28461023996615
