"SI00YDate","SI00YClose","SI00Y_hpft","SI00Y_hpfc"
2014-01-02,20,20.4340979235181,-0.434097923518084
2014-01-03,20.135,20.4282774019405,-0.293277401940536
2014-01-06,20.16,20.4226077813752,-0.262607781375249
2014-01-07,19.835,20.4170862683361,-0.582086268336087
2014-01-08,19.51,20.4117099607854,-0.901709960785447
2014-01-09,19.535,20.4064757160748,-0.871475716074799
2014-01-10,20.16,20.4013800188239,-0.241380018823939
2014-01-13,20.395,20.3964189934212,-0.00141899342116815
2014-01-14,20.245,20.3915886644771,-0.146588664477121
2014-01-15,20.19,20.3868850560163,-0.196885056016276
2014-01-16,20.085,20.3823041314687,-0.297304131468689
2014-01-17,20.31,20.3778417728806,-0.0678417728805922
2014-01-20,20.31,20.3734937394041,-0.0634937394041246
2014-01-21,19.855,20.3692557621491,-0.514255762149145
2014-01-22,19.785,20.365123545979,-0.580123545978988
2014-01-23,20.005,20.3610925831846,-0.356092583184565
2014-01-24,19.9,20.3571581262573,-0.457158126257253
2014-01-27,19.675,20.3533152804939,-0.678315280493868
2014-01-28,19.55,20.3495589622205,-0.799558962220496
2014-01-29,19.7,20.3458838073749,-0.645883807374897
2014-01-30,19.125,20.3422841213896,-1.21728412138961
2014-01-31,19.145,20.3387539427143,-1.19375394271429
2014-02-03,19.315,20.3352868066226,-1.02028680662257
2014-02-04,19.49,20.3318757549382,-0.841875754938216
2014-02-05,19.875,20.3285134077394,-0.45351340773943
2014-02-06,19.925,20.3251920371068,-0.400192037106801
2014-02-07,19.98,20.3219037276567,-0.341903727656715
2014-02-10,20.055,20.3186403985823,-0.263640398582285
2014-02-11,20.22,20.3153938277474,-0.0953938277473534
2014-02-12,20.22,20.3121556840374,-0.0921556840374491
2014-02-13,20.465,20.3089175969061,0.156082403093905
2014-02-14,21.485,20.3056711577133,1.17932884228665
2014-02-17,21.815,20.3024080223375,1.5125919776625
2014-02-18,21.95,20.299120334144,1.65087966585604
2014-02-19,21.53,20.2958008617428,1.23419913825721
2014-02-20,21.81,20.2924430561513,1.51755694384873
2014-02-21,21.835,20.2890408785551,1.54595912144487
2014-02-24,21.965,20.2855889174371,1.67941108256289
2014-02-25,21.89,20.2820824003171,1.6079175996829
2014-02-26,21.22,20.2785172489161,0.941482751083873
2014-02-27,21.245,20.2748900496037,0.97010995039626
2014-02-28,21.215,20.2711977779205,0.943802222079463
2014-03-03,21.4,20.2674378104115,1.13256218958846
2014-03-04,21.19,20.2636079137518,0.926392086248228
2014-03-05,21.18,20.2597063227717,0.920293677228294
2014-03-06,21.455,20.2557316552352,1.19926834476477
2014-03-07,20.87,20.2516829093185,0.618317090681467
2014-03-10,20.795,20.2475595789272,0.547440421072834
2014-03-11,20.8,20.2433614135541,0.556638586445924
2014-03-12,21.285,20.2390883889821,1.04591161101792
2014-03-13,21.17,20.2347407110863,0.935259288913722
2014-03-14,21.34,20.2303190180792,1.10968098192083
2014-03-17,21.385,20.225824334772,1.15917566522804
