"AUDUSDDate","AUDUSDClose","AUDUSD_hpft","AUDUSD_hpfc"
2021-05-26,0.77429,0.763504267543611,0.0107857324563891
2021-05-27,0.77432,0.763212821993462,0.0111071780065378
2021-05-28,0.77131,0.762916341450448,0.00839365854955241
2021-05-31,0.7734,0.762614951100488,0.0107850488995121
2021-06-01,0.77524,0.762308779599122,0.0129312204008785
2021-06-02,0.7752,0.761997960059991,0.0132020399400093
2021-06-03,0.76597,0.76168263094197,0.00428736905803034
2021-06-04,0.77412,0.761362936161135,0.0127570638388651
2021-06-07,0.77548,0.761039021405794,0.0144409785942056
2021-06-08,0.77379,0.760711037637511,0.0130789623624889
2021-06-09,0.77319,0.760379141787162,0.0128108582128381
2021-06-10,0.77547,0.76004349619194,0.0154265038080598
2021-06-11,0.77059,0.759704268484538,0.0108857315154621
2021-06-14,0.77116,0.759361632674335,0.0117983673256652
2021-06-15,0.76876,0.759015767270451,0.00974423272954886
2021-06-16,0.76097,0.758666855658957,0.00230314434104262
2021-06-17,0.75513,0.758315085253817,-0.00318508525381677
2021-06-18,0.74785,0.757960644421011,-0.0101106444210114
2021-06-21,0.75398,0.757603720209937,-0.00362372020993661
2021-06-22,0.75536,0.757244495490648,-0.00188449549064796
2021-06-23,0.75761,0.756883151635312,0.00072684836468793
2021-06-24,0.7583,0.756519869237118,0.00178013076288157
2021-06-25,0.75909,0.7561548291897,0.00293517081029985
2021-06-28,0.75675,0.755788213122532,0.000961786877467849
2021-06-29,0.75111,0.755420203878367,-0.00431020387836697
2021-06-30,0.74999,0.755050984697519,-0.00506098469751921
2021-07-01,0.74736,0.754680737038645,-0.00732073703864512
2021-07-02,0.75255,0.754309640268386,-0.00175964026838602
2021-07-05,0.75297,0.753937870727291,-0.000967870727290869
2021-07-06,0.74941,0.753565604028539,-0.00415560402853921
2021-07-07,0.74826,0.753193015385235,-0.00493301538523541
2021-07-08,0.74317,0.752820278292722,-0.00965027829272205
2021-07-09,0.74869,0.752447564207232,-0.00375756420723233
2021-07-12,0.74799,0.752075040595963,-0.00408504059596265
2021-07-13,0.74469,0.751702873372883,-0.00701287337288324
2021-07-14,0.74812,0.751331226763372,-0.00321122676337252
2021-07-15,0.74225,0.75096026209397,-0.00871026209396964
2021-07-16,0.74004,0.750590139363822,-0.0105501393638218
2021-07-19,0.7345,0.750221014971602,-0.0157210149716024
2021-07-20,0.73296,0.749853040954983,-0.016893040954983
2021-07-21,0.73567,0.7494863628532,-0.0138163628531999
2021-07-22,0.73805,0.749121119222586,-0.0110711192225856
2021-07-23,0.73647,0.748757442908345,-0.012287442908345
2021-07-26,0.73816,0.748395462179323,-0.0102354621793228
2021-07-27,0.73595,0.748035300225232,-0.0120853002252324
2021-07-28,0.7375,0.747677076004857,-0.0101770760048565
2021-07-29,0.73965,0.747320903481406,-0.00767090348140567
2021-07-30,0.73438,0.746966892411289,-0.012586892411289
2021-08-02,0.73633,0.746615149380083,-0.0102851493800827
2021-08-03,0.7395,0.746265775770442,-0.00676577577044166
2021-08-04,0.73799,0.74591886871355,-0.00792886871354987
2021-08-05,0.74052,0.745574522543897,-0.00505452254389701
2021-08-06,0.73567,0.745232828318497,-0.00956282831849734
2021-08-09,0.733,0.74489387500503,-0.0118938750050297
2021-08-10,0.73494,0.744557747618281,-0.00961774761828058
2021-08-11,0.73749,0.744224526256583,-0.00673452625658315
2021-08-12,0.73371,0.743894287042686,-0.0101842870426858
2021-08-13,0.7372,0.743567103315555,-0.00636710331555474
2021-08-16,0.73374,0.743243044204381,-0.00950304420438084
2021-08-17,0.72541,0.742922176206457,-0.0175121762064565
2021-08-18,0.72344,0.742604561890894,-0.0191645618908937
2021-08-19,0.7147,0.742290256587962,-0.0275902565879618
2021-08-20,0.71381,0.741979307706088,-0.0281693077060884
2021-08-23,0.72104,0.741671751248992,-0.0206317512489922
2021-08-24,0.7258,0.741367611576331,-0.0155676115763313
2021-08-25,0.72765,0.741066904519432,-0.0134169045194317
2021-08-26,0.72369,0.740769639474586,-0.0170796394745857
2021-08-27,0.73139,0.740475820292092,-0.00908582029209178
2021-08-30,0.72964,0.740185443762207,-0.0105454437622073
2021-08-31,0.73155,0.739898502919464,-0.00834850291946363
2021-09-01,0.73669,0.739614986439339,-0.00292498643933935
2021-09-02,0.74,0.739334879546376,0.000665120453623933
2021-09-03,0.74558,0.739058166256051,0.00652183374394923
2021-09-06,0.74396,0.738784830858771,0.00517516914122871
2021-09-07,0.73875,0.738514860340799,0.000235139659201166
2021-09-08,0.73656,0.738248243827617,-0.00168824382761652
2021-09-09,0.73687,0.737984970541888,-0.00111497054188823
2021-09-10,0.73547,0.737725029008445,-0.00225502900844489
2021-09-13,0.73702,0.737468407291215,-0.000448407291215181
2021-09-14,0.73213,0.737215092522008,-0.00508509252200851
2021-09-15,0.73335,0.736965071647259,-0.00361507164725907
2021-09-16,0.72927,0.736718329511442,-0.00744832951144237
2021-09-17,0.72711,0.736474849464711,-0.00936484946471123
2021-09-20,0.72523,0.736234611778368,-0.0110046117783676
2021-09-21,0.72323,0.735997592852674,-0.0127675928526743
2021-09-22,0.72411,0.735763764539018,-0.0116537645390184
2021-09-23,0.72965,0.735533093411181,-0.00588309341118084
2021-09-24,0.72511,0.735305541225753,-0.0101955412257524
2021-09-27,0.72872,0.735081067307475,-0.00636106730747511
2021-09-28,0.72382,0.734859626766674,-0.0110396267666736
2021-09-29,0.71757,0.734641172084268,-0.0170711720842676
2021-09-30,0.72272,0.734425651177827,-0.0117056511778267
2021-10-01,0.72639,0.734213004908397,-0.00782300490839736
2021-10-04,0.72874,0.734003169298369,-0.0052631692983689
2021-10-05,0.72915,0.733796077136418,-0.00464607713641808
2021-10-06,0.7272,0.733591659035643,-0.006391659035643
2021-10-07,0.73131,0.733389843688639,-0.00207984368863897
2021-10-08,0.73075,0.733190557145945,-0.00244055714594491
2021-10-11,0.73477,0.732993724598376,0.00177627540162357
2021-10-12,0.735,0.732799270227924,0.00220072977207637
2021-10-13,0.73782,0.732607118950814,0.00521288104918598
2021-10-14,0.74156,0.732417196592973,0.009142803407027
2021-10-15,0.74211,0.732229431135113,0.00988056886488734
2021-10-18,0.74118,0.732043754337221,0.00913624566277849
2021-10-19,0.7473,0.731860102043515,0.0154398979564851
2021-10-20,0.75174,0.731678413874764,0.0200615861252358
2021-10-21,0.74667,0.731498635833969,0.0151713641660311
2021-10-22,0.7467,0.731320722216787,0.0153792777832133
2021-10-25,0.74921,0.731144633590109,0.0180653664098914
2021-10-26,0.75025,0.730970336877996,0.0192796631220038
2021-10-27,0.75172,0.730797806472014,0.0209221935279865
2021-10-28,0.75438,0.730627024733154,0.0237529752668465
2021-10-29,0.75167,0.730457982670811,0.0212120173291887
2021-11-01,0.75225,0.730290681112904,0.0219593188870964
2021-11-02,0.74301,0.730125129655538,0.0128848703444618
2021-11-03,0.74473,0.729961346971922,0.0147686530280777
2021-11-04,0.73998,0.729799357061359,0.010180642938641
2021-11-05,0.73996,0.72963919002791,0.0103208099720898
2021-11-08,0.74231,0.729480880183911,0.0128291198160894
2021-11-09,0.73784,0.7293244661079,0.00851553389210004
2021-11-10,0.7327,0.729169991681472,0.00353000831852786
2021-11-11,0.72935,0.72901750430618,0.000332495693820492
2021-11-12,0.73303,0.728867052842747,0.00416294715725318
2021-11-15,0.73466,0.728718686289341,0.0059413137106592
2021-11-16,0.73033,0.728572455364921,0.00175754463507933
2021-11-17,0.72668,0.728428413244352,-0.00174841324435247
2021-11-18,0.72768,0.728286613828997,-0.00060661382899653
