"SCMDate","SCMClose","SCM_hpft","SCM_hpfc"
2018-08-28,512,500.336788902747,11.6632110972533
2018-08-29,508.5,500.329730272561,8.17026972743915
2018-08-30,522.8,500.305084123905,22.4949158760948
2018-08-31,524,500.262746277118,23.7372537228815
2018-09-03,521.2,500.202621851011,20.997378148989
2018-09-04,523.9,500.124625776404,23.7753742235956
2018-09-05,521.3,500.028681663608,21.2713183363923
2018-09-06,520,499.914722950728,20.085277049272
2018-09-07,516.8,499.782691868584,17.0173081314164
2018-09-10,524.5,499.632538950455,24.8674610495452
2018-09-11,524.3,499.464221763851,24.8357782361492
2018-09-12,535.9,499.277708155479,36.6222918445207
2018-09-13,533.3,499.072976238199,34.2270237618005
2018-09-14,525.8,498.850019263044,26.9499807369555
2018-09-17,527.8,498.608844629091,29.1911553709091
