"LNKTDate","LNKTClose","LNKT_hpft","LNKT_hpfc"
2014-07-29,18715,18382.9003772321,332.099622767866
2014-07-30,19010,18373.5020466312,636.497953368802
2014-07-31,18510,18363.4187253987,146.58127460132
2014-08-01,18422,18352.6573054403,69.3426945597324
2014-08-04,18569,18341.2247392544,227.775260745642
2014-08-05,18475,18329.1280080013,145.871991998749
2014-08-06,18733,18316.3741869949,416.625813005066
2014-08-07,18880,18302.9704118476,577.029588152386
2014-08-08,18550,18288.9239903868,261.076009613188
2014-08-11,18720,18274.2424689599,445.757531040068
2014-08-12,18806,18258.9335018348,547.066498165201
2014-08-13,18670,18243.0049275369,426.99507246308
2014-08-14,18600,18226.4648107262,373.535189273824
2014-08-15,18663,18209.3213925665,453.678607433476
2014-08-18,18500,18191.5830686252,308.416931374836
2014-08-19,18652,18173.2584220016,478.741577998437
2014-08-20,18935,18154.3561632834,780.643836716645
2014-08-21,18876,18134.8852009504,741.114799049643
2014-08-22,18750,18114.854766169,635.145233830997
2014-08-26,18940,18094.2743964531,845.725603546944
2014-08-27,18866,18073.1538918591,792.846108140923
2014-08-28,18690,18051.5034020331,638.496597966899
2014-08-29,18795,18029.333404352,765.666595647993
2014-09-01,18730,18006.6546401217,723.345359878252
2014-09-02,18540,17983.4781671435,556.521832856488
2014-09-03,19080,17959.8153422202,1120.1846577798
2014-09-04,19365,17935.6777521988,1429.32224780119
2014-09-05,19599,17911.0774469654,1687.92255303456
2014-09-08,19935,17886.0270672301,2048.97293276991
2014-09-09,18865,17860.5399514238,1004.46004857617
2014-09-10,18750,17834.6302849391,915.369715060882
2014-09-11,18373,17808.3126683719,564.687331628105
2014-09-12,18426,17781.602080696,644.397919304021
2014-09-15,18099,17754.5137343035,344.486265696473
2014-09-16,18305,17727.0631079553,577.936892044743
2014-09-17,18061,17699.265822808,361.734177192003
2014-09-18,17858,17671.1377389155,186.862261084534
2014-09-19,17775,17642.6948658572,132.305134142831
2014-09-22,16980,17613.9532904537,-633.95329045368
2014-09-23,17179,17584.9291542156,-405.929154215637
2014-09-24,17474,17555.638336603,-81.6383366030063
2014-09-25,17247,17526.0965492804,-279.096549280445
2014-09-26,16860,17496.3194701673,-636.319470167262
2014-09-29,16659,17466.3226618146,-807.322661814641
2014-09-30,16265,17436.1214237454,-1171.12142374543
2014-10-01,16160,17405.7307217678,-1245.73072176784
2014-10-02,16025,17375.1650375952,-1350.16503759515
2014-10-03,16660,17344.438338006,-684.438338005977
2014-10-06,16756,17313.5640316749,-557.564031674945
2014-10-07,16986,17282.5552443575,-296.555244357468
2014-10-08,16427,17251.4248713343,-824.424871334303
2014-10-09,16600,17220.1856853021,-620.185685302116
2014-10-10,16420,17188.8501181734,-768.850118173428
2014-10-13,16510,17157.4303455013,-647.430345501256
2014-10-14,16364,17125.9382250267,-761.93822502667
2014-10-15,15725,17094.3853468691,-1369.38534686914
2014-10-16,15548,17062.7829861935,-1514.78298619351
2014-10-17,15695,17031.1418521158,-1336.14185211579
2014-10-20,15275,16999.4720276015,-1724.47202760154
2014-10-21,15330,16967.783043309,-1637.78304330905
2014-10-22,15244,16936.0837170693,-1692.08371706925
2014-10-23,15210,16904.3821897194,-1694.38218971939
2014-10-24,14950,16872.6859026574,-1922.68590265738
2014-10-27,14700,16841.0015968916,-2141.00159689161
2014-10-28,15610,16809.3352186695,-1199.3352186695
2014-10-29,15640,16777.6918292345,-1137.69182923448
2014-10-30,15763,16746.075994073,-983.075994072951
2014-10-31,15740,16714.4918083954,-974.491808395366
2014-11-03,15755,16682.942961048,-927.942961048041
2014-11-04,15238,16651.4327380615,-1413.43273806154
2014-11-05,15335,16619.9640418922,-1284.96404189222
2014-11-06,15477,16588.5391907401,-1111.53919074008
2014-11-07,15410,16557.1599716527,-1147.15997165275
2014-11-10,15240,16525.8277122122,-1285.82771221215
2014-11-11,15455,16494.5432658104,-1039.54326581044
2014-11-12,15567,16463.3069543303,-896.306954330342
2014-11-13,15315,16432.1186699491,-1117.11866994913
2014-11-14,15585,16400.9779343469,-815.977934346863
2014-11-17,15789,16369.8838074317,-580.883807431718
2014-11-18,15640,16338.8350118193,-698.835011819302
2014-11-19,16095,16307.8300300113,-212.830030011298
2014-11-20,16330,16276.8670556391,53.1329443609202
2014-11-21,16530,16245.9441943586,284.055805641432
2014-11-24,16650,16215.0595737888,434.940426211208
2014-11-25,16475,16184.211438966,290.788561034038
2014-11-26,16389,16153.3982147132,235.601785286758
2014-11-27,16375,16122.6184460541,252.381553945937
2014-11-28,16184,16091.8707754001,92.1292245998811
2014-12-01,16312,16061.1539494876,250.846050512428
2014-12-02,16300,16030.466753135,269.533246864958
2014-12-03,16590,15999.8080748508,590.191925149165
2014-12-04,17115,15969.1769145575,1145.82308544251
2014-12-05,16738,15938.5725161391,799.427483860908
2014-12-08,16689,15907.9945971169,781.005402883055
