"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2018-09-10,47460,49474.6616202624,-2014.66162026243
2018-09-11,47910,49460.8472524766,-1550.84725247661
2018-09-12,47730,49447.2952031019,-1717.29520310191
2018-09-13,48620,49433.9968783071,-813.99687830707
2018-09-14,48420,49420.9429744002,-1000.94297440018
2018-09-17,47930,49408.1238512162,-1478.12385121615
2018-09-18,48680,49395.5294548403,-715.529454840319
2018-09-19,49640,49383.1491203604,256.850879639619
2018-09-20,49340,49370.9718870933,-30.9718870933398
2018-09-21,49740,49358.9869005283,381.013099471733
2018-09-25,50360,49347.1832933515,1012.81670664847
2018-09-26,50530,49335.5503557447,1194.44964425526
2018-09-27,50130,49324.0777965472,805.922203452781
2018-09-28,50170,49312.7558183364,857.244181663631
2018-10-08,50010,49301.5749568247,708.425043175255
2018-10-09,50500,49290.5261020752,1209.47389792477
2018-10-10,50770,49279.6004369854,1490.39956301463
2018-10-11,49980,49268.7896444006,711.210355599377
2018-10-12,50800,49258.0860232377,1541.91397676227
2018-10-15,50570,49247.4821663986,1322.51783360139
2018-10-16,50190,49236.9713041511,953.028695848925
2018-10-17,50290,49226.5472134385,1063.45278656148
2018-10-18,50130,49216.2040651478,913.795934852159
2018-10-19,50270,49205.9364697548,1064.06353024521
2018-10-22,50540,49195.7394154615,1344.26058453853
2018-10-23,50060,49185.608330311,874.391669688977
2018-10-24,50330,49175.53919801,1154.46080198998
2018-10-25,49760,49165.5283637033,594.471636296697
2018-10-26,49750,49155.5726497434,594.427350256601
2018-10-29,49770,49145.6691242134,624.330875786601
2018-10-30,49700,49135.8151009089,564.184899091128
2018-10-31,49060,49126.0081516986,-66.0081516986248
2018-11-01,48730,49116.2460816629,-386.246081662859
2018-11-02,49890,49106.5266685967,783.473331403336
2018-11-05,49770,49096.8475306365,673.152469363487
2018-11-06,49660,49087.2066097752,572.79339022476
2018-11-07,49470,49077.6021262598,392.397873740222
2018-11-08,49370,49068.0325371069,301.967462893087
2018-11-09,49180,49058.4964615349,121.503538465079
2018-11-13,49100,49048.9926435833,51.0073564167497
2018-11-14,48820,49039.519877516,-219.519877515957
2018-11-15,49520,49030.0769786816,489.923021318404
2018-11-16,49580,49020.662671688,559.337328311954
2018-11-19,49780,49011.2758836576,768.724116342415
