"INA_10yryDate","INA_10yryClose","INA_10yry_hpft","INA_10yry_hpfc"
2012-10-31,0.776,0.765896663730219,-0.00289666373021894
2012-10-30,0.763,0.766289283242797,0.00771071675720291
2012-10-29,0.774,0.766681551395737,0.00431844860426257
2012-10-28,0.771,0.767073460254869,0.00092653974513083
2012-10-26,0.768,0.767465003671093,0.0135349963289067
2012-10-25,0.781,0.767856175878306,0.0111438241216938
2012-10-24,0.779,0.768246976705227,0.0167530232947731
2012-10-23,0.785,0.768637410586983,0.0133625894130171
2012-10-22,0.782,0.769027488883728,0.0136391777829384
2012-10-21,0.782666666666667,0.769417228479174,0.0139161048541592
2012-10-20,0.783333333333333,0.769806651894919,0.0141933481050809
2012-10-19,0.784,0.77019578740492,0.0238042125950803
2012-10-18,0.794,0.770584669150093,0.00141533084990709
2012-10-17,0.772,0.770973341111059,-0.00897334111105864
2012-10-16,0.762,0.771361847853478,-0.0133618478534785
2012-10-15,0.758,0.771750230233796,-0.0104168969004622
2012-10-14,0.761333333333333,0.772138523585202,-0.00747185691853534
2012-10-13,0.764666666666667,0.772526758934964,-0.00452675893496419
2012-10-12,0.768,0.772914964221783,-0.0139149642217829
2012-10-11,0.759,0.773303165513179,-0.00230316551317902
2012-10-10,0.771,0.773691383124787,0.00130861687521344
2012-10-09,0.775,0.774079636420204,0.00167036357979634
2012-10-08,0.77575,0.774467945303958,0.00203205469604191
2012-10-07,0.7765,0.774856330371039,0.00239366962896127
2012-10-06,0.77725,0.775244813056404,0.00275518694359585
2012-10-05,0.778,0.77563341578446,-0.00263341578445962
2012-10-04,0.773,0.776022162118494,-0.0100221621184938
2012-10-03,0.766,0.776411074533248,-0.0144110745332477
2012-10-02,0.762,0.776800171360703,-0.0138001713607026
2012-10-01,0.763,0.777189464975882,-0.0108561316425485
2012-09-30,0.766333333333333,0.777578962049373,-0.00791229538270585
2012-09-29,0.769666666666667,0.777968664764274,-0.00496866476427397
2012-09-28,0.773,0.77835857203306,0.00264142796694015
2012-09-27,0.781,0.778748680714358,0.00525131928564155
2012-09-26,0.784,0.779138988758658,0.0168610112413422
2012-09-25,0.796,0.77952949628713,0.01747050371287
2012-09-24,0.797,0.779920210390611,0.0187464562760553
2012-09-23,0.798666666666667,0.780311145381542,0.0200221879517913
2012-09-22,0.800333333333333,0.780702323321393,0.0212976766786074
2012-09-21,0.802,0.781093774548003,0.0219062254519975
2012-09-20,0.803,0.781485538202813,0.0375144617971867
2012-09-19,0.819,0.781877662482419,0.0331223375175807
2012-09-18,0.815,0.782270211090385,0.0294797889096151
2012-09-17,0.81175,0.782663261421717,0.0258367385782833
2012-09-16,0.8085,0.783056903057181,0.0221930969428192
2012-09-15,0.80525,0.783451236257412,0.0185487637425879
2012-09-14,0.802,0.78384637045678,0.0441536295432196
2012-09-13,0.828,0.784242422756967,0.0267575772430332
2012-09-12,0.811,0.784639528510988,0.0153604714890117
2012-09-11,0.8,0.785037834132367,0.0189621658676331
2012-09-10,0.804,0.785437492384027,0.024562507615973
2012-09-09,0.81,0.785838663867092,0.0301613361329084
2012-09-08,0.816,0.786241519335835,0.035758480664165
2012-09-07,0.822,0.786646242012015,0.0223537579879854
2012-09-06,0.809,0.787053029898505,0.0159469701014951
2012-09-05,0.803,0.787462090238333,0.000537909761667301
2012-09-04,0.788,0.787873636866347,-0.00287363686634737
2012-09-03,0.785,0.788287883839758,0.00104544949357551
2012-09-02,0.789333333333333,0.788705044027926,0.00496162263874116
2012-09-01,0.793666666666667,0.789125330732366,0.00887466926763437
2012-08-31,0.798,0.789548959305512,0.0174510406944877
2012-08-30,0.807,0.789976148768249,0.0120238512317512
2012-08-29,0.802,0.790407125355002,0.0225928746449979
2012-08-28,0.813,0.790842120270383,0.022157879729617
2012-08-27,0.813,0.791281374057977,0.0210519592753564
2012-08-26,0.812333333333333,0.791725136420577,0.01994153024609
2012-08-25,0.811666666666667,0.792173665762965,0.0188263342370354
