"eucpiDate","eucpi","eucpi_hpft","eucpi_hpfc"
2015-02-01,-0.3,0.0617222729573997,-0.6617222729574
2015-01-01,-0.6,0.096545849542873,-0.296545849542873
2014-12-01,-0.2,0.137760670867206,0.162239329132794
2014-11-01,0.3,0.184666715456346,0.215333284543654
2014-10-01,0.4,0.236699161277186,0.0633008387228139
2014-09-01,0.3,0.293472630700405,0.106527369299595
2014-08-01,0.4,0.354654496795617,0.0453455032043831
2014-07-01,0.4,0.420000905440189,0.0799990945598106
2014-06-01,0.5,0.489305790430823,0.0106942095691766
2014-05-01,0.5,0.562429751476355,0.137570248523645
2014-04-01,0.7,0.639242300126928,-0.139242300126927
2014-03-01,0.5,0.719727589806451,-0.0197275898064515
2014-02-01,0.7,0.803753738688735,-0.00375373868873475
2014-01-01,0.8,0.891172425289412,-0.0911724252894118
2013-12-01,0.8,0.981832200008542,-0.0818322000085421
2013-11-01,0.9,1.07550563622511,-0.375505636225111
2013-10-01,0.7,1.1718971138181,-0.0718971138180961
2013-09-01,1.1,1.27039809130296,0.0296019086970417
2013-08-01,1.3,1.37034011293364,0.22965988706636
2013-07-01,1.6,1.47107939122133,0.128920608778667
2013-06-01,1.6,1.57216352191645,-0.172163521916448
2013-05-01,1.4,1.67324753461005,-0.473247534610048
2013-04-01,1.2,1.7738429892916,-0.0738429892915973
2013-03-01,1.7,1.87306707300505,0.0269329269949489
2013-02-01,1.9,1.96997543696996,0.0300245630300441
2013-01-01,2,2.06364617651169,0.13635382348831
2012-12-01,2.2,2.15318240742482,0.0468175925751831
2012-11-01,2.2,2.23780087369014,0.262199126309856
2012-10-01,2.5,2.31675733394895,0.283242666051046
2012-09-01,2.6,2.38952604611447,0.210473953885533
2012-08-01,2.6,2.45581730365493,-0.0558173036549335
2012-07-01,2.4,2.51551679500018,-0.115516795000177
2012-06-01,2.4,2.56846369416032,-0.168463694160316
2012-05-01,2.4,2.61440091114963,-0.0144009111496295
2012-04-01,2.6,2.65293096957059,0.04706903042941
2012-03-01,2.7,2.68364439226639,0.0163556077336126
2012-02-01,2.7,2.70617092627224,-0.00617092627223995
2012-01-01,2.7,2.72015394829646,0.0798460517035367
2011-12-01,2.8,2.72523169260883,0.274768307391171
2011-11-01,3,2.72110893185552,0.278891068144479
2011-10-01,3,2.70771941227221,0.292280587727792
2011-09-01,3,2.68522928931802,-0.18522928931802
2011-08-01,2.5,2.65404828560852,-0.0540482856085239
2011-07-01,2.6,2.6144317660182,0.0855682339818024
2011-06-01,2.7,2.56659005518351,0.133409944816493
2011-05-01,2.7,2.51080478460255,0.289195215397445
2011-04-01,2.8,2.44746876072748,0.252531239272519
2011-03-01,2.7,2.37721578602324,0.0227842139767592
2011-02-01,2.4,2.30089010565419,-0.000890105654188442
2011-01-01,2.3,2.21935495162966,-0.0193549516296564
2010-12-01,2.2,2.13347281420427,-0.233472814204269
2010-11-01,1.9,2.04409005450629,-0.144090054506295
2010-10-01,1.9,1.9518584729855,-0.0518584729854972
2010-09-01,1.9,1.85730979504621,-0.257309795046214
2010-08-01,1.6,1.76093253069863,-0.0609325306986289
2010-07-01,1.7,1.66300076512372,-0.163000765123722
2010-06-01,1.5,1.56373780639356,0.136262193606444
2010-05-01,1.7,1.46323112860926,0.13676887139074
2010-04-01,1.6,1.36168175769997,0.238318242300033
2010-03-01,1.6,1.2594046936543,-0.359404693654301
2010-02-01,0.9,1.15691353499614,-0.256913534996139
