"CN00YDate","CN00YClose","CN00Y_hpft","CN00Y_hpfc"
2017-12-20,13220,13275.8586281607,-55.8586281606985
2017-12-21,13250,13283.6787912098,-33.6787912098472
2017-12-22,13385,13291.1681590684,93.8318409315848
2017-12-26,13302.5,13298.3217300951,4.17826990494419
2017-12-27,13362.5,13305.1345414349,57.3654585650672
2017-12-28,13055,13311.6016319586,-256.601631958564
2017-12-29,13192.5,13317.7180642508,-125.218064250833
2018-01-02,13477.5,13323.4787948268,154.0212051732
2018-01-03,13505,13328.8787284427,176.121271557336
2018-01-04,13542.5,13333.9128335194,208.58716648064
2018-01-05,13605,13338.5761512801,266.423848719939
2018-01-08,13625,13342.863809169,282.136190830977
2018-01-09,13812.5,13346.7710447605,465.728955239504
2018-01-10,13960,13350.2932122508,609.706787749213
2018-01-11,13935,13353.4258583515,581.57414164852
2018-01-12,14095,13356.1647818013,738.83521819868
2018-01-15,14222.5,13358.5060217388,863.993978261162
2018-01-16,14380,13360.445922708,1019.55407729203
2018-01-17,14347.5,13361.9811863924,985.518813607605
2018-01-18,14475,13363.1089359169,1111.89106408311
2018-01-19,14535,13363.8267017827,1171.1732982173
2018-01-22,14625,13364.1324741011,1260.86752589889
2018-01-23,14910,13364.0247270991,1545.97527290094
2018-01-24,14875,13363.5024561959,1511.49754380413
2018-01-25,14650,13362.5652958549,1287.43470414507
2018-01-26,14845,13361.2135053308,1483.78649466924
2018-01-29,14387.5,13359.4478760533,1028.05212394672
2018-01-30,14247.5,13357.2698127886,890.230187211351
2018-01-31,14540,13354.6811452587,1185.31885474134
2018-02-01,14517.5,13351.6840711719,1165.81592882805
2018-02-02,14550,13348.2812781992,1201.71872180081
2018-02-05,14632.5,13344.4759359114,1288.02406408857
2018-02-06,14277.5,13340.2717106239,937.228289376097
2018-02-07,13677.5,13335.6728010683,341.827198931732
2018-02-08,13515,13330.6837933888,184.316206611196
2018-02-09,12770,13325.3094150267,-555.309415026733
2018-02-12,12952.5,13319.5544696138,-367.054469613789
2018-02-13,13112.5,13313.4235312371,-200.923531237071
2018-02-14,13322.5,13306.9210222594,15.5789777406362
2018-02-15,13610,13300.0512819898,309.948718010181
2018-02-19,13770,13292.8186561772,477.181343822839
2018-02-20,13555,13285.2276186899,269.772381310149
2018-02-21,13657.5,13277.2828406445,380.217159355536
2018-02-22,13622.5,13268.9891046703,353.510895329678
2018-02-23,13727.5,13260.3513505638,467.148649436164
2018-02-26,13880,13251.374664248,628.625335752027
2018-02-27,13552.5,13242.0643247471,310.43567525287
2018-02-28,13387.5,13232.4258709333,155.07412906665
2018-03-01,13440,13222.4649699996,217.535030000424
2018-03-02,13305,13212.1873532413,92.8126467586807
2018-03-05,13212.5,13201.5988418736,10.9011581264454
2018-03-06,13455,13190.7052954774,264.294704522593
2018-03-07,13372.5,13179.5125781387,192.987421861317
2018-03-08,13547.5,13168.0266631934,379.473336806625
2018-03-09,13590,13156.2536037498,433.746396250234
2018-03-12,13640,13144.1996097752,495.800390224834
2018-03-13,13495,13131.871070531,363.128929468979
2018-03-14,13397.5,13119.2745802216,278.225419778362
2018-03-15,13540,13106.4168831546,433.583116845425
2018-03-16,13395,13093.3048386454,301.695161354579
2018-03-19,13440,13079.9454852345,360.054514765526
2018-03-20,13435,13066.3459861719,368.654013828073
2018-03-21,13327.5,13052.5136535387,274.986346461295
