"PP0Date","PP0Close","PP0_hpft","PP0_hpfc"
2019-12-31,7582,7429.28626238286,152.713737617137
2020-01-02,7565,7418.90657247563,146.093427524365
2020-01-03,7519,7408.56943417566,110.430565824339
2020-01-06,7617,7398.27885386569,218.721146134312
2020-01-07,7542,7388.03888357592,153.961116424079
2020-01-08,7628,7377.85366574716,250.146334252839
2020-01-09,7617,7367.72740646154,249.272593538459
2020-01-10,7699,7357.66441520165,341.335584798355
2020-01-13,7748,7347.6691044892,400.3308955108
2020-01-14,7662,7337.74602794055,324.253972059448
2020-01-15,7566,7327.8999046525,238.100095347505
2020-01-16,7540,7318.1355877556,221.864412244399
2020-01-17,7516,7308.45802880131,207.541971198693
2020-01-20,7520,7298.87227105106,221.127728948942
2020-01-21,7447,7289.38344355557,157.616556444431
2020-01-22,7333,7279.99676677102,53.0032332289792
2020-01-23,7324,7270.7175263058,53.2824736942036
2020-02-03,6903,7261.55102967772,-358.551029677717
2020-02-04,6921,7252.50260642967,-331.502606429673
2020-02-05,6896,7243.57743789348,-347.577437893485
2020-02-06,6924,7234.78056837181,-310.780568371814
2020-02-07,6868,7226.11689849211,-358.116898492113
2020-02-10,6833,7217.59120041824,-384.591200418242
2020-02-11,6857,7209.20809828233,-352.208098282325
2020-02-12,6858,7200.97205724261,-342.972057242611
2020-02-13,6815,7192.88739686826,-377.887396868258
2020-02-14,6854,7184.95829495754,-330.958294957538
2020-02-17,6905,7177.18877310518,-272.18877310518
2020-02-18,6952,7169.58271610115,-217.582716101147
2020-02-19,7052,7162.143896224,-110.143896224003
2020-02-20,7138,7154.87599581165,-16.875995811645
2020-02-21,7105,7147.78265167353,-42.7826516735308
2020-02-24,7078,7140.86749364315,-62.8674936431469
2020-02-25,7081,7134.13413386877,-53.1341338687692
2020-02-26,7045,7127.58615851236,-82.5861585123647
2020-02-27,7013,7121.22713177209,-108.227131772086
2020-02-28,6834,7115.0605837088,-281.060583708801
2020-03-02,6982,7109.08999964605,-127.089999646053
2020-03-03,7064,7103.31874872848,-39.3187487284802
2020-03-04,7114,7097.75014756663,16.2498524333724
2020-03-05,7155,7092.38749651863,62.6125034813679
2020-03-06,7145,7087.2341026594,57.7658973405978
2020-03-09,6841,7082.29329894532,-241.293298945319
2020-03-10,6987,7077.5684422109,-90.5684422109033
2020-03-11,6948,7073.06278954933,-125.062789549333
2020-03-12,6844,7068.77956061735,-224.779560617355
2020-03-13,6834,7064.72192337519,-230.721923375186
2020-03-16,6686,7060.89295286835,-374.892952868353
2020-03-17,6691,7057.29562877098,-366.295628770983
2020-03-18,6508,7053.93277579185,-545.932775791847
2020-03-19,6447,7050.80706722755,-603.807067227552
2020-03-20,6543,7047.92095070821,-504.920950708211
2020-03-23,6373,7045.27662427471,-672.276624274705
2020-03-24,6364,7042.87607725302,-678.876077253025
2020-03-25,6376,7040.72102107789,-664.721021077888
2020-03-26,6152,7038.81288656375,-886.812886563749
2020-03-27,5909,7037.15282975556,-1128.15282975556
2020-03-30,5638,7035.74164012623,-1397.74164012623
2020-03-31,5819,7034.57964081513,-1215.57964081513
2020-04-01,5820,7033.66657719201,-1213.66657719201
2020-04-02,6151,7033.00169215396,-882.001692153957
2020-04-03,6326,7032.58372691818,-706.58372691818
2020-04-07,6639,7032.41105811715,-393.411058117152
2020-04-08,6546,7032.48177031003,-486.481770310029
2020-04-09,6743,7032.7937854365,-289.793785436502
2020-04-10,6984,7033.34482434313,-49.3448243431349
2020-04-13,7218,7034.13248808787,183.867511912133
2020-04-14,6744,7035.15435733168,-291.154357331685
2020-04-15,6677,7036.40808873853,-359.408088738525
2020-04-16,6757,7037.89121862146,-280.891218621464
2020-04-17,6875,7039.60113472833,-164.601134728328
2020-04-20,6840,7041.53510869775,-201.535108697745
2020-04-21,6606,7043.69034412904,-437.690344129037
2020-04-22,6491,7046.06396131457,-555.063961314568
2020-04-23,6903,7048.65289962422,-145.652899624218
2020-04-24,6900,7051.45386898533,-151.453868985334
2020-04-27,6921,7054.46351911899,-133.463519118993
2020-04-28,6918,7057.67843714133,-139.678437141333
2020-04-29,6848,7061.0951549997,-213.095154999695
2020-04-30,7000,7064.7101469044,-64.7101469043953
2020-05-06,7152,7068.51979898021,83.4802010197865
2020-05-07,7022,7072.52047060441,-50.5204706044083
2020-05-08,7022,7076.70855566058,-54.7085556605818
2020-05-11,6788,7081.08042714953,-293.080427149533
2020-05-12,6845,7085.63243545781,-240.632435457814
2020-05-13,6887,7090.36080982439,-203.360809824392
2020-05-14,6879,7095.26168001988,-216.261680019882
2020-05-15,6923,7100.33109175449,-177.331091754492
2020-05-18,6915,7105.56500134422,-190.565001344223
2020-05-19,6982,7110.95929180365,-128.959291803654
2020-05-20,7141,7116.50976737544,24.4902326245562
2020-05-21,7159,7122.21217899507,36.7878210049312
2020-05-22,7041,7128.06228772197,-87.0622877219731
2020-05-25,7142,7134.05586982201,7.94413017799087
2020-05-26,7110,7140.18866557283,-30.1886655728332
2020-05-27,7150,7146.45641853633,3.54358146367204
2020-05-28,7170,7152.85485979516,17.1451402048397
2020-05-29,7201,7159.37972189668,41.6202781033173
2020-06-01,7456,7166.02674447576,289.973255524243
2020-06-02,7513,7172.79168437116,340.208315628845
2020-06-03,7504,7179.67041828491,324.329581715095
2020-06-04,7342,7186.65896354783,155.341036452168
2020-06-05,7381,7193.75347155524,187.24652844476
2020-06-08,7360,7200.95015791414,159.049842085856
2020-06-09,7457,7208.24531563177,248.754684368231
2020-06-10,7369,7215.63530346021,153.364696539787
2020-06-11,7326,7223.11658297679,102.883417023206
2020-06-12,7329,7230.6856791536,98.3143208463948
2020-06-15,7303,7238.33915949076,64.6608405092414
2020-06-16,7443,7246.07363212715,196.926367872853
2020-06-17,7513,7253.88573193016,259.114268069837
2020-06-18,7480,7261.77217516856,218.227824831444
2020-06-19,7475,7269.72978521848,205.270214781518
2020-06-22,7466,7277.75547566282,188.244524337183
2020-06-23,7494,7285.84624493477,208.153755065228
2020-06-24,7474,7293.99916928029,180.000830719713
2020-06-29,7374,7302.21141098769,71.7885890123056
2020-06-30,7417,7310.4802067505,106.519793249501
2020-07-01,7443,7318.80282293667,124.197177063328
2020-07-02,7482,7327.1765699451,154.823430054895
2020-07-03,7570,7335.59880951296,234.401190487039
2020-07-06,7731,7344.06696737506,386.933032624944
2020-07-07,7723,7352.57856615828,370.421433841718
2020-07-08,7643,7361.13128843215,281.868711567855
2020-07-09,7720,7369.72296988344,350.277030116565
2020-07-10,7627,7378.35156271206,248.648437287936
2020-07-13,7683,7387.01516390846,295.984836091536
2020-07-14,7667,7395.71197324435,271.288026755655
2020-07-15,7570,7404.44031283957,165.559687160426
2020-07-16,7469,7413.19861695363,55.8013830463721
2020-07-17,7494,7421.98538828169,72.0146117183066
2020-07-20,7479,7430.79915258497,48.2008474150274
2020-07-21,7459,7439.63846539266,19.3615346073377
2020-07-22,7472,7448.50190215817,23.4980978418251
2020-07-23,7491,7457.38804633832,33.6119536616816
2020-07-24,7368,7466.29549110299,-98.2954911029891
2020-07-27,7528,7475.22284351594,52.7771564840565
2020-07-28,7652,7484.16867000948,167.831329990521
2020-07-29,7623,7493.13155883194,129.868441168059
2020-07-30,7624,7502.11016760633,121.889832393668
2020-07-31,7635,7511.10320763805,123.896792361946
2020-08-03,7643,7520.10944061689,122.89055938311
2020-08-04,7763,7529.12767944655,233.872320553452
2020-08-05,7750,7538.15678782876,211.843212171241
2020-08-06,7727,7547.19572613869,179.804273861314
2020-08-07,7724,7556.24354231892,167.756457681079
2020-08-10,7663,7565.29935863595,97.7006413640513
2020-08-11,7673,7574.36236669999,98.6376333000088
2020-08-12,7598,7583.43179850682,14.5682014931835
2020-08-13,7560,7592.50692682501,-32.5069268250127
2020-08-14,7607,7601.58703044509,5.41296955491304
2020-08-17,7519,7610.67137472046,-91.6713747204635
2020-08-18,7656,7619.7592272421,36.2407727579024
2020-08-19,7601,7628.84981770767,-27.8498177076749
2020-08-20,7710,7637.94239079536,72.0576092046421
2020-08-21,7603,7647.03617967131,-44.0361796713133
2020-08-24,7632,7656.13044728743,-24.1304472874276
2020-08-25,7759,7665.2244383928,93.7755616071956
2020-08-26,7739,7674.31738776199,64.6826122380126
2020-08-27,7816,7683.40856893256,132.591431067435
2020-08-28,7809,7692.49728217932,116.502717820682
2020-08-31,7929,7701.582882585,227.417117414996
2020-09-01,7925,7710.6647733899,214.335226610097
2020-09-02,8060,7719.74245183939,340.257548160605
2020-09-03,8032,7728.81550377642,303.184496223584
2020-09-04,7968,7737.88365569271,230.116344307295
2020-09-07,7879,7746.94675940426,132.053240595737
2020-09-08,7852,7756.00476184794,95.995238152056
2020-09-09,7761,7765.0576645461,-4.05766454610434
2020-09-10,7723,7774.10550870166,-51.1055087016602
2020-09-11,7725,7783.14833384025,-58.1483338402542
2020-09-14,7698,7792.18615836259,-94.1861583625888
2020-09-15,7666,7801.21897663317,-135.218976633165
2020-09-16,7773,7810.24674408372,-37.2467440837186
2020-09-17,7660,7819.26936025189,-159.269360251894
2020-09-18,7747,7828.28670927903,-81.286709279034
2020-09-21,7802,7837.29860947091,-35.2986094709088
2020-09-22,7646,7846.30484553266,-200.304845532658
2020-09-23,7656,7855.30518757839,-199.305187578393
2020-09-24,7625,7864.29932292424,-239.29932292424
2020-09-25,7772,7873.28685650161,-101.286856501605
2020-09-28,7768,7882.26729432515,-114.267294325146
2020-09-29,7785,7891.24010054163,-106.240100541626
2020-09-30,7629,7900.2046920643,-271.204692064301
2020-10-09,7820,7909.16044189102,-89.1604418910241
2020-10-12,7936,7918.10661091455,17.8933890854486
2020-10-13,7887,7927.04242317231,-40.0424231723123
2020-10-14,7936,7935.9671100981,0.0328899018975815
2020-10-15,7914,7944.87988657383,-30.8798865738308
2020-10-16,7867,7953.77996749498,-86.7799674949807
