"USB05YUSDDate","USB05YUSDClose","USB05YUSD_hpft","USB05YUSD_hpfc"
2016-09-06,121.703,121.026955181531,0.676044818468756
2016-09-07,121.666,121.006071383354,0.659928616646162
2016-09-08,121.3725,120.984809867453,0.387690132547253
2016-09-09,121.173,120.963174028205,0.209825971795392
2016-09-12,121.306,120.941167420241,0.364832579758623
2016-09-13,121.064,120.918793684928,0.14520631507179
2016-09-14,121.282,120.896056614438,0.385943385561843
2016-09-15,121.43,120.872960060966,0.557039939033613
2016-09-16,121.313,120.849508036242,0.463491963758386
2016-09-19,121.205,120.82570478225,0.3792952177495
2016-09-20,121.305,120.801554732569,0.503445267431436
2016-09-21,121.353,120.777062477557,0.575937522443298
2016-09-22,121.454,120.752232815679,0.701767184320655
2016-09-23,121.529,120.727070783471,0.801929216528549
2016-09-26,121.751,120.701581707549,1.04941829245056
2016-09-27,121.775,120.675771246015,1.09922875398454
2016-09-28,121.732,120.649645490759,1.08235450924136
2016-09-29,121.826,120.623210988045,1.20278901195481
2016-09-30,121.64,120.596474731543,1.04352526845667
2016-10-03,121.427,120.569444212106,0.85755578789447
2016-10-04,121.2,120.542127351936,0.657872648063824
2016-10-05,121.111,120.514532427718,0.596467572281632
2016-10-06,120.901,120.486667988073,0.414332011926766
2016-10-07,120.997,120.458542828178,0.538457171822011
2016-10-10,120.75,120.430165914478,0.319834085522419
2016-10-11,120.833,120.401546435994,0.431453564006057
2016-10-12,120.822,120.372693713955,0.449306286044883
2016-10-13,120.962,120.343617247935,0.618382752065235
2016-10-14,120.865,120.314326723232,0.550673276768224
2016-10-17,121.052,120.28483208076,0.767167919240348
2016-10-18,121.192,120.255143489058,0.936856510941639
2016-10-19,121.163,120.225271433784,0.937728566216113
2016-10-20,121.053,120.195226787851,0.857773212148905
2016-10-21,121.126,120.165020811794,0.960979188205825
2016-10-24,121.002,120.134665120716,0.867334879283735
2016-10-25,121.013,120.104171726951,0.908828273049314
2016-10-26,120.885,120.073553001352,0.811446998647818
2016-10-27,120.669,120.042821690448,0.626178309551589
2016-10-28,120.801,120.011990876187,0.789009123813356
2016-10-31,120.901,119.981073899351,0.919926100648987
2016-11-01,120.939,119.95008442687,0.988915573129679
2016-11-02,121.105,119.919036505934,1.18596349406606
2016-11-03,121.129,119.887944592509,1.24105540749096
2016-11-04,121.272,119.856823632792,1.41517636720753
2016-11-07,121.014,119.825689085983,1.18831091401652
2016-11-08,120.708,119.794556996258,0.913443003741672
2016-11-09,120.011,119.763443898993,0.247556101006769
2016-11-10,119.758,119.732366707145,0.0256332928550488
2016-11-11,119.534,119.701342436,-0.167342435999999
2016-11-14,119.139,119.670388111441,-0.531388111440876
2016-11-15,119.048,119.639520690177,-0.591520690177195
2016-11-16,119.078,119.608756909264,-0.530756909264025
2016-11-17,118.858,119.578113261246,-0.720113261245709
2016-11-18,118.601,119.547606019273,-0.946606019273197
2016-11-21,118.612,119.517251158831,-0.905251158831247
2016-11-22,118.723,119.487064264116,-0.764064264115978
2016-11-23,118.331,119.457060545129,-1.12606054512904
2016-11-24,118.219,119.427254896039,-1.20825489603853
2016-11-25,118.386,119.397661745544,-1.01166174554421
2016-11-28,118.59,119.368295022903,-0.778295022902503
2016-11-29,118.625,119.339168239189,-0.714168239189068
2016-11-30,118.358,119.310294583764,-0.952294583764068
2016-12-01,118.036,119.281686950779,-1.24568695077876
2016-12-02,118.404,119.253357840744,-0.849357840744196
2016-12-05,118.315,119.225319239255,-0.910319239254985
2016-12-06,118.35,119.197582780815,-0.847582780814766
2016-12-07,118.563,119.170159723638,-0.607159723638164
2016-12-08,118.418,119.143060975583,-0.725060975583049
2016-12-09,118.147,119.116297193532,-0.96929719353165
2016-12-12,118.156,119.089878734656,-0.933878734655595
2016-12-13,118.085,119.063815555458,-0.978815555458104
2016-12-14,117.426,119.038117226414,-1.61211722641368
2016-12-15,117.087,119.012792913394,-1.92579291339437
2016-12-16,117.22,118.987851115888,-1.76785111588818
2016-12-19,117.48,118.963299537337,-1.48329953733683
2016-12-20,117.401,118.939145150424,-1.53814515042429
2016-12-21,117.46,118.915394314698,-1.45539431469798
2016-12-22,117.406,118.892052753898,-1.48605275389766
2016-12-23,117.508,118.869125590161,-1.36112559016143
2016-12-27,117.356,118.846617331354,-1.49061733135384
2016-12-28,117.636,118.824531922704,-1.18853192270394
2016-12-29,117.853,118.80287269328,-0.949872693279919
2016-12-30,117.967,118.781642480859,-0.814642480858814
2017-01-03,117.899,118.760843730578,-0.86184373057828
2017-01-04,117.962,118.740478550836,-0.778478550836209
2017-01-05,118.347,118.720548693778,-0.373548693777759
2017-01-06,117.971,118.701055589757,-0.730055589756534
2017-01-09,118.199,118.682000514717,-0.483000514717236
2017-01-10,118.189,118.663384442828,-0.474384442827593
2017-01-11,118.189,118.645208148603,-0.456208148603187
2017-01-12,118.265,118.627472210468,-0.362472210467533
2017-01-13,118.102,118.610177018267,-0.508177018266701
2017-01-16,118.184,118.593322812015,-0.40932281201472
2017-01-17,118.481,118.576909621667,-0.0959096216668245
2017-01-18,117.952,118.56093730798,-0.608937307979524
2017-01-19,117.801,118.545405692064,-0.744405692064202
2017-01-20,117.961,118.530314343322,-0.569314343322228
2017-01-23,118.318,118.515662523448,-0.197662523447651
2017-01-24,118.02,118.501449258803,-0.481449258803437
2017-01-25,117.775,118.487673494046,-0.712673494046113
