"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2018-11-06,1954,1984.05644216244,-30.0564421624397
2018-11-07,1987,1982.17156893997,4.82843106003432
2018-11-08,1981,1980.29475760178,0.705242398224315
2018-11-09,1955,1978.42632531098,-23.4263253109819
2018-11-12,1939,1976.56658952222,-37.5665895222187
2018-11-13,1937.5,1974.7158580066,-37.215858006599
2018-11-14,1942,1972.87442300674,-30.8744230067445
2018-11-15,1937.5,1971.0425613817,-33.5425613816966
2018-11-16,1947,1969.22053722832,-22.2205372283165
2018-11-19,1931.5,1967.40860077827,-35.9086007782694
2018-11-20,1942,1965.60699307815,-23.6069930781457
2018-11-21,1954.5,1963.81594033138,-9.31594033138283
2018-11-22,1948.5,1962.03565898324,-13.5356589832433
2018-11-23,1942,1960.26636162812,-18.266361628116
2018-11-26,1949,1958.50825526534,-9.5082552653394
2018-11-27,1924.5,1956.76153934363,-32.2615393436301
2018-11-28,1935.5,1955.02640938139,-19.5264093813938
2018-11-29,1933.5,1953.30304756142,-19.8030475614196
2018-11-30,1950,1951.59162799507,-1.59162799507377
2018-12-03,1973.5,1949.8923166079,23.6076833920955
2018-12-04,1970,1948.20527866758,21.7947213324183
2018-12-05,1973,1946.53068920022,26.4693107997789
2018-12-06,1941,1944.86873224099,-3.8687322409894
2018-12-07,1962.5,1943.21960276643,19.2803972335734
2018-12-10,1947,1941.58349415388,5.4165058461223
2018-12-11,1935.5,1939.96060775044,-4.46060775044281
2018-12-12,1936,1938.35114714217,-2.35114714217446
2018-12-13,1930,1936.7553140713,-6.75531407130285
2018-12-14,1926,1935.17330930817,-9.17330930816782
2018-12-17,1936,1933.60533083076,2.39466916924251
2018-12-18,1926.5,1932.05157282514,-5.55157282513712
2018-12-19,1908,1930.5122304673,-22.512230467302
2018-12-20,1915.5,1928.98749663842,-13.4874966384214
2018-12-21,1907,1927.47755491402,-20.4775549140164
2018-12-24,1883,1925.98258329438,-42.9825832943778
2018-12-27,1860,1924.50275131525,-64.5027513152509
2018-12-28,1847.5,1923.03821074507,-75.5382107450657
2018-12-31,1853,1921.58908668944,-68.5890866894397
2019-01-02,1794.5,1920.15547302953,-125.655473029527
2019-01-03,1848.5,1918.73743529452,-70.2374352945165
2019-01-04,1868,1917.33498707266,-49.3349870726591
2019-01-07,1878,1915.94811291891,-37.948112918909
