"ukcpiDate","ukcpi","ukcpi_hpft","ukcpi_hpfc"
2015-01-01,0.3,0.681652469702872,-0.181652469702872
2014-12-01,0.5,0.791687204646943,0.208312795353057
2014-11-01,1,0.906490017770721,0.393509982229279
2014-10-01,1.3,1.0241250824724,0.175874917527597
2014-09-01,1.2,1.14298449713538,0.357015502864625
2014-08-01,1.5,1.2616069225743,0.338393077425704
2014-07-01,1.6,1.37882853252288,0.521171467477119
2014-06-01,1.9,1.49376749494603,0.00623250505396838
2014-05-01,1.5,1.60597628736488,0.194023712635116
2014-04-01,1.8,1.71501258105478,-0.115012581054781
2014-03-01,1.6,1.82059573371826,-0.120595733718261
2014-02-01,1.7,1.92234925924032,-0.0223492592403209
2014-01-01,1.9,2.01979617506119,-0.0197961750611896
2013-12-01,2,2.1124408742384,-0.0124408742384004
2013-11-01,2.1,2.19977125301693,0.500228746983069
2013-10-01,2.7,2.28126484024657,0.418735159753435
2013-09-01,2.7,2.35681602206623,0.343183977933766
2013-08-01,2.7,2.42666813058133,0.37333186941867
2013-07-01,2.8,2.49135048454552,0.408649515454478
2013-06-01,2.9,2.55170351260366,0.148296487396338
2013-05-01,2.7,2.60890818466349,-0.208908184663486
2013-04-01,2.4,2.66426905103889,0.13573094896111
2013-03-01,2.8,2.71891657188988,0.0810834281101149
2013-02-01,2.8,2.77409431650061,-0.0740943165006145
2013-01-01,2.7,2.83111342367865,-0.131113423678648
2012-12-01,2.7,2.89122328696781,-0.191223286967805
2012-11-01,2.7,2.95556403872551,-0.255564038725506
2012-10-01,2.7,3.02511645857002,-0.825116458570019
2012-09-01,2.2,3.10064835608737,-0.600648356087369
2012-08-01,2.5,3.18223994381476,-0.582239943814756
2012-07-01,2.6,3.26947089399264,-0.869470893992636
2012-06-01,2.4,3.36143567890829,-0.561435678908293
2012-05-01,2.8,3.45650421177068,-0.456504211770682
2012-04-01,3,3.552578542723,-0.052578542723004
2012-03-01,3.5,3.64718030173198,-0.247180301731978
2012-02-01,3.4,3.73778730331206,-0.137787303312061
2012-01-01,3.6,3.82167137839292,0.378328621607078
2011-12-01,4.2,3.8959895351515,0.904010464848504
2011-11-01,4.8,3.95821405561602,1.04178594438398
2011-10-01,5,4.0065705638688,1.1934294361312
2011-09-01,5.2,4.04015283894578,0.459847161054219
2011-08-01,4.5,4.05904918441303,0.340950815586973
2011-07-01,4.4,4.06373110980415,0.136268890195855
2011-06-01,4.2,4.05495425033239,0.445045749667609
2011-05-01,4.5,4.03358779861951,0.466412201380486
2011-04-01,4.5,4.00087181874534,-0.000871818745335623
2011-03-01,4,3.95843505162414,0.441564948375857
2011-02-01,4.4,3.90790551165462,0.0920944883453814
2011-01-01,4,3.85127918402575,-0.151279184025749
2010-12-01,3.7,3.79062879933347,-0.490628799333475
2010-11-01,3.3,3.72790102218706,-0.527901022187058
2010-10-01,3.2,3.66463365986298,-0.564633659862976
2010-09-01,3.1,3.60192460211922,-0.501924602119215
2010-08-01,3.1,3.54040121066388,-0.440401210663878
2010-07-01,3.1,3.4802725767033,-0.2802725767033
2010-06-01,3.2,3.42138079043493,-0.0213807904349325
2010-05-01,3.4,3.36333438157564,0.336665618424363
2010-04-01,3.7,3.30572406251692,0.0942759374830843
2010-03-01,3.4,3.24842110033229,-0.24842110033229
2010-02-01,3,3.19137532537652,0.308624674623483
