"CL00YDate","CL00YClose","CL00Y_hpft","CL00Y_hpfc"
2017-03-06,53.18,50.486538160159,2.69346183984096
2017-03-07,52.79,50.4591166000165,2.33088339998348
2017-03-08,50.2,50.4308940197187,-0.230894019718651
2017-03-09,49.61,50.401900806492,-0.79190080649196
2017-03-10,48.39,50.3721672521218,-1.98216725212185
2017-03-13,48.47,50.3417233210539,-1.87172332105386
2017-03-14,48.5,50.3105981583839,-1.81059815838393
2017-03-15,48.96,50.278820135514,-1.31882013551403
2017-03-16,48.77,50.2464168754192,-1.4764168754192
2017-03-17,49.26,50.2134154559235,-0.953415455923487
2017-03-20,48.91,50.1798423445612,-1.26984234456122
2017-03-21,48.15,50.1457236147642,-1.99572361476415
2017-03-22,48.16,50.1110848150627,-1.9510848150627
2017-03-23,47.67,50.0759506690323,-2.40595066903225
2017-03-24,48.14,50.0403450937512,-1.90034509375117
2017-03-27,47.85,50.0042910117737,-2.15429101177373
2017-03-28,48.44,49.9678105601276,-1.52781056012762
2017-03-29,49.6,49.930924985343,-0.330924985342953
2017-03-30,50.33,49.893654902415,0.436345097584954
2017-03-31,50.85,49.8560207895485,0.993979210451472
2017-04-03,50.25,49.8180433053142,0.43195669468581
2017-04-04,51.13,49.7797435191552,1.35025648084478
2017-04-05,50.82,49.7411426790675,1.0788573209325
2017-04-06,51.74,49.7022625911887,2.03773740881126
2017-04-07,52.29,49.6631255076132,2.62687449238677
2017-04-10,53.15,49.623754522754,3.52624547724595
2017-04-11,53.4,49.5841738168683,3.81582618313169
2017-04-12,52.82,49.5444090278205,3.27559097217949
2017-04-13,52.91,49.5044873707854,3.40551262921461
2017-04-14,52.91,49.4644374149344,3.44556258506557
2017-04-17,52.75,49.4242891371418,3.32571086285823
2017-04-18,52.76,49.3840739385381,3.37592606146185
2017-04-19,51,49.3438245949696,1.65617540503039
2017-04-20,50.73,49.3035752777542,1.42642472224576
2017-04-21,49.63,49.2633608428064,0.366639157193579
2017-04-24,49.21,49.2232167356672,-0.0132167356672049
2017-04-25,49.36,49.1831785534315,0.176821446568492
2017-04-26,49.21,49.143281887731,0.0667181122689882
2017-04-27,49.24,49.103562403288,0.136437596712027
