"uscpiDate","uscpi","uscpi_hpft","uscpi_hpfc"
2015-01-01,-0.2,0.790690084357503,-0.0906900843575034
2014-12-01,0.7,0.86980000841722,0.43019999158278
2014-11-01,1.3,0.949562214762921,0.650437785237079
2014-10-01,1.6,1.02723657144682,0.572763428553176
2014-09-01,1.6,1.10062497800884,0.59937502199116
2014-08-01,1.7,1.16800663684602,0.831993363153979
2014-07-01,2,1.22816022954039,0.771839770459609
2014-06-01,2,1.28055776547662,0.819442234523383
2014-05-01,2.1,1.32531445384808,0.674685546151918
2014-04-01,2,1.36322837237693,0.136771627623068
2014-03-01,1.5,1.39565983674045,-0.295659836740447
2014-02-01,1.1,1.42408313897225,0.175916861027747
2014-01-01,1.6,1.4497261879087,0.0502738120913037
2013-12-01,1.5,1.47396348977031,-0.273963489770311
2013-11-01,1.2,1.49821144562104,-0.598211445621042
2013-10-01,0.9,1.52365815361669,-0.32365815361669
2013-09-01,1.2,1.55099320237504,-0.0509932023750412
2013-08-01,1.5,1.58063646538586,0.319363534614137
2013-07-01,1.9,1.61296532180362,0.0870346781963807
2013-06-01,1.7,1.64862328706161,-0.248623287061609
2013-05-01,1.4,1.68832640549164,-0.588326405491638
2013-04-01,1.1,1.73258353535295,-0.232583535352952
2013-03-01,1.5,1.78141326290022,0.218586737099778
2013-02-01,2,1.83464035477532,-0.234640354775324
2013-01-01,1.6,1.89227173323439,-0.092271733234392
2012-12-01,1.8,1.95411878690457,-0.154118786904569
2012-11-01,1.8,2.01991601130198,0.180083988698019
2012-10-01,2.2,2.08926946962033,-0.0892694696203308
2012-09-01,2,2.16193529504389,-0.461935295043894
2012-08-01,1.7,2.23759522953227,-0.83759522953227
2012-07-01,1.4,2.31554606896585,-0.615546068965852
2012-06-01,1.7,2.39438661320042,-0.694386613200424
2012-05-01,1.7,2.4722027070343,-0.1722027070343
2012-04-01,2.3,2.54650153975479,0.0534984602452063
2012-03-01,2.6,2.61464679839335,0.285353201606645
2012-02-01,2.9,2.67404675203163,0.325953247968366
2012-01-01,3,2.72234746408596,0.277652535914038
2011-12-01,3,2.75746662567931,0.642533374320695
2011-11-01,3.4,2.7775533050479,0.8224466949521
2011-10-01,3.6,2.78129201490657,1.01870798509343
2011-09-01,3.8,2.76805264021593,0.93194735978407
2011-08-01,3.7,2.73805398925753,0.861946010742472
2011-07-01,3.6,2.69229149311272,0.807708506887279
2011-06-01,3.5,2.63247887120513,0.867521128794872
2011-05-01,3.5,2.56100293338081,0.538997066619185
2011-04-01,3.1,2.48097342375981,0.119026576240189
2011-03-01,2.6,2.39594925068434,-0.295949250684343
2011-02-01,2.1,2.30958851131017,-0.60958851131017
2011-01-01,1.7,2.22530267841748,-0.825302678417483
2010-12-01,1.4,2.14599523436038,-1.04599523436038
2010-11-01,1.1,2.07388190926093,-0.87388190926093
2010-10-01,1.2,2.01030677054592,-0.91030677054592
2010-09-01,1.1,1.95588565071774,-0.755885650717743
2010-08-01,1.2,1.91047579330335,-0.610475793303347
2010-07-01,1.3,1.87330453712074,-0.773304537120743
2010-06-01,1.1,1.84309049116018,0.156909508839822
2010-05-01,2,1.81790784396432,0.38209215603568
2010-04-01,2.2,1.79596154199985,0.504038458000146
2010-03-01,2.3,1.7757749418635,0.424225058136499
2010-02-01,2.2,1.75629143220032,0.843708567799684
