"AU_10yryDate","AU_10yryClose","AU_10yry_hpft","AU_10yry_hpfc"
2023-02-27,3.89,3.56178661498977,0.328213385010234
2023-02-26,3.897,3.56382658980027,0.333173410199728
2023-02-25,3.891,3.56586518015139,0.325134819848613
2023-02-24,3.864,3.56790126716287,0.296098732837129
2023-02-23,3.892,3.56993386635214,0.322066133647855
2023-02-22,3.848,3.57196211563195,0.276037884368047
2023-02-21,3.838,3.57398528604421,0.264014713955793
2023-02-20,3.81,3.57600276273378,0.233997237266221
2023-02-19,3.77,3.57801403997863,0.19198596002137
2023-02-18,3.788,3.58001870878176,0.207981291218239
2023-02-17,3.829,3.58201643950544,0.246983560494564
2023-02-16,3.762,3.58400698848304,0.177993011516961
2023-02-15,3.761,3.585990214141,0.175009785858996
2023-02-14,3.756,3.58796604848094,0.168033951519062
2023-02-13,3.784,3.58993449584646,0.194065504153544
