"CNPMIDate","CNPMI","CNPMI_hpft","CNPMI_hpfc"
2020-02-01,35.7,49.6262367208685,-13.9262367208685
2020-01-01,50,49.558215736875,0.441784263125
2019-12-01,50.2,49.5129241711243,0.687075828875695
2019-11-01,50.2,49.488017092635,0.711982907364973
2019-10-01,49.3,49.4817221336165,-0.181722133616537
2019-09-01,49.8,49.4928602453677,0.307139754632346
2019-08-01,49.5,49.5201009440759,-0.0201009440758605
2019-07-01,49.7,49.5623696957242,0.137630304275823
2019-06-01,49.4,49.6185752155089,-0.218575215508893
2019-05-01,49.4,49.6877409105465,-0.287740910546503
2019-04-01,50.1,49.7687080419406,0.331291958059392
2019-03-01,50.5,49.8600780867027,0.639921913297332
2019-02-01,49.2,49.9607285984759,-0.760728598475862
2019-01-01,49.5,50.0700703991645,-0.570070399164461
2018-12-01,49.4,50.186880370174,-0.786880370173987
2018-11-01,50,50.309460334244,-0.309460334244002
2018-10-01,50.2,50.4354563804723,-0.235456380472259
2018-09-01,50.8,50.5622567143446,0.237743285655355
2018-08-01,51.3,50.6870533276966,0.612946672303364
2018-07-01,51.2,50.8072363317684,0.392763668231567
2018-06-01,51.5,50.9207066266938,0.579293373306149
2018-05-01,51.9,51.0256924156635,0.874307584336489
2018-04-01,51.4,51.1209046463458,0.2790953536542
2018-03-01,51.5,51.2057828560628,0.294217143937246
2018-02-01,50.3,51.2799991615978,-0.979999161597761
2018-01-01,51.3,51.3434708606875,-0.0434708606874848
2017-12-01,51.6,51.3952985851006,0.204701414899402
2017-11-01,51.8,51.4345467408885,0.365453259111445
2017-10-01,51.6,51.4604503186152,0.139549681384804
2017-09-01,52.4,51.472548853227,0.927451146773026
2017-08-01,51.7,51.4704981710715,0.229501828928522
2017-07-01,51.4,51.454726974452,-0.0547269744519741
2017-06-01,51.7,51.4258552171958,0.274144782804217
2017-05-01,51.2,51.3844572473182,-0.184457247318225
2017-04-01,51.2,51.3313358668203,-0.131335866820269
2017-03-01,51.8,51.2671401633301,0.532859836669852
2017-02-01,51.6,51.1924097779204,0.407590222079629
