"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2015-02-11,2116.5,2174.26692232004,-57.7669223200387
2015-02-12,2141,2173.32405469714,-32.3240546971425
2015-02-13,2152,2172.39051517089,-20.390515170886
2015-02-16,2159,2171.46602863071,-12.4660286307075
2015-02-17,2115,2170.55031153741,-55.5503115374089
2015-02-18,2087,2169.64307519886,-82.6430751988552
2015-02-19,2085,2168.74400796064,-83.7440079606416
2015-02-20,2051.5,2167.85276400703,-116.352764007032
2015-02-23,2045,2166.9689629059,-121.968962905899
2015-02-24,2071.5,2166.09217612956,-94.5921761295581
2015-02-25,2060.5,2165.22192473325,-104.721924733253
2015-02-26,2073,2164.35769067163,-91.3576906716344
2015-02-27,2065,2163.49891261151,-98.4989126115065
2015-03-02,2058.5,2162.64499145609,-104.144991456089
2015-03-03,2033.5,2161.79528739311,-128.295287393114
2015-03-04,2031.5,2160.94911756095,-129.449117560955
2015-03-05,2022,2160.10574606587,-138.105746065869
2015-03-06,2017.5,2159.26438350507,-141.764383505067
2015-03-09,2044.5,2158.42418338839,-113.924183388389
2015-03-10,2017.5,2157.58424062598,-140.084240625979
2015-03-11,2001,2156.74360303631,-155.743603036307
2015-03-12,2012,2155.90126053265,-143.90126053265
2015-03-13,2014,2155.05613865014,-141.056138650141
2015-03-16,2013,2154.20710344093,-141.207103440925
2015-03-17,2015,2153.35296265021,-138.352962650209
2015-03-18,2006.5,2152.49246565385,-145.992465653853
2015-03-19,2020.5,2151.62430463817,-131.124304638169
2015-03-20,2055,2150.74711144205,-95.7471114420484
2015-03-23,2085,2149.8594637029,-64.8594637028973
2015-03-24,2085,2148.95989948007,-63.9598994800684
2015-03-25,2082.5,2148.04693002267,-65.5469300226682
2015-03-26,2081,2147.11904014133,-66.119040141331
2015-03-27,2085,2146.17468755224,-61.1746875522394
2015-03-30,2108,2145.21230264059,-37.2123026405938
2015-03-31,2080.5,2144.23029050445,-63.7302905044487
2015-04-01,2099,2143.22704085981,-44.2270408598111
2015-04-02,2130,2142.2009170791,-12.2009170790971
2015-04-07,2149,2141.15026425311,7.84973574689167
2015-04-08,2157,2140.07342242924,16.926577570763
2015-04-09,2177,2138.96873489966,38.031265100343
2015-04-10,2208,2137.83455195331,70.1654480466922
2015-04-13,2201,2136.66923959969,64.3307604003117
2015-04-14,2195.5,2135.47119285196,60.0288071480428
2015-04-15,2204.5,2134.23883331492,70.261166685082
2015-04-16,2230,2132.97060740695,97.029392593053
2015-04-17,2217,2131.66499058955,85.3350094104531
