"EG0Date","EG0Close","EG0_hpft","EG0_hpfc"
2019-11-21,4550,4542.78401225917,7.21598774083283
2019-11-22,4503,4539.48651058838,-36.4865105883844
2019-11-25,4520,4536.08558812603,-16.0855881260305
2019-11-26,4490,4532.5802855738,-42.580285573799
2019-11-27,4544,4528.96963698397,15.0303630160302
2019-11-28,4639,4525.25265880828,113.747341191717
2019-11-29,4600,4521.42837371116,78.5716262888387
2019-12-02,4649,4517.4958513757,131.504148624298
2019-12-03,4752,4513.45419396343,238.545806036566
2019-12-04,4720,4509.30255799423,210.697442005773
2019-12-05,4634,4505.04019859325,128.959801406752
2019-12-06,4552,4500.66645797953,51.3335420204735
2019-12-09,4619,4496.18073167887,122.819268321133
2019-12-10,4645,4491.58243643644,153.417563563561
2019-12-11,4636,4486.87103976587,149.128960234131
2019-12-12,4708,4482.04607259739,225.953927402609
2019-12-13,4589,4477.1071275052,111.892872494796
2019-12-16,4619,4472.05389046376,146.946109536245
2019-12-17,4684,4466.88609369963,217.113906300367
2019-12-18,4644,4461.6035301808,182.3964698192
2019-12-19,4644,4456.20608262138,187.793917378617
2019-12-20,4612,4450.69370913094,161.306290869064
2019-12-23,4572,4445.06644544571,126.933554554294
2019-12-24,4618,4439.32439397913,178.675606020874
2019-12-25,4556,4433.467709614,122.532290385997
2019-12-26,4566,4427.49662109068,138.503378909316
2019-12-27,4586,4421.41140779912,164.588592200883
2019-12-30,4641,4415.21240638094,225.787593619057
2019-12-31,4591,4408.90002151242,182.099978487584
2020-01-02,4631,4402.47475120116,228.525248798843
2020-01-03,4655,4395.93716872735,259.062831272651
2020-01-06,4753,4389.28794183474,363.712058165256
2020-01-07,4712,4382.52784535295,329.472154647054
2020-01-08,4793,4375.65780445548,417.342195544522
2020-01-09,4769,4368.6788805067,400.3211194933
2020-01-10,4892,4361.59230738321,530.407692616787
2020-01-13,4921,4354.39948443847,566.600515561529
2020-01-14,4866,4347.10203027486,518.897969725135
2020-01-15,4817,4339.70179770482,477.29820229518
2020-01-16,4762,4332.20085403234,429.799145967661
2020-01-17,4772,4324.6014638571,447.398536142896
2020-01-20,4729,4316.90606944096,412.093930559042
2020-01-21,4688,4309.11729798178,378.882702018221
2020-01-22,4683,4301.23794702073,381.76205297927
2020-01-23,4676,4293.27097071381,382.729029286194
2020-02-03,4384,4285.21948102219,98.7805189778124
2020-02-04,4360,4277.08674811161,82.9132518883926
2020-02-05,4373,4268.87608297999,104.123917020009
2020-02-06,4399,4260.59083089805,138.409169101948
2020-02-07,4405,4252.23438017733,152.765619822665
2020-02-10,4401,4243.81017634202,157.189823657977
2020-02-11,4407,4235.3217280634,171.678271936603
2020-02-12,4412,4226.7726089889,185.227391011098
2020-02-13,4424,4218.16646373071,205.833536269291
2020-02-14,4416,4209.50701346656,206.492986533444
2020-02-17,4471,4200.79806445766,270.201935542336
2020-02-18,4430,4192.0435083209,237.956491679103
2020-02-19,4453,4183.24734836388,269.752651636118
2020-02-20,4489,4174.41368625587,314.586313744129
2020-02-21,4516,4165.54673517106,350.453264828941
2020-02-24,4458,4156.6508383209,301.349161679101
2020-02-25,4483,4147.73048378014,335.269516219857
2020-02-26,4418,4138.79028418917,279.209715810826
2020-02-27,4391,4129.83499077534,261.165009224664
2020-02-28,4336,4120.86947018002,215.130529819976
2020-03-02,4367,4111.89869699975,255.101303000251
2020-03-03,4364,4102.92773475732,261.072265242677
2020-03-04,4354,4093.96175242419,260.03824757581
2020-03-05,4340,4085.00602688857,254.993973111433
2020-03-06,4286,4076.06594252806,209.934057471941
2020-03-09,4069,4067.14698912444,1.8530108755586
2020-03-10,4122,4058.25474323786,63.7452567621355
2020-03-11,4054,4049.3947821944,4.60521780559615
2020-03-12,4000,4040.57270966986,-40.5727096698593
2020-03-13,4001,4031.79413124363,-30.7941312436299
2020-03-16,3895,4023.06463572412,-128.064635724124
2020-03-17,3838,4014.38979919045,-176.389799190451
2020-03-18,3700,4005.7751447852,-305.775144785203
2020-03-19,3591,3997.22612273837,-406.226122738367
2020-03-20,3666,3988.74805688468,-322.748056884675
2020-03-23,3474,3980.34610314163,-506.346103141625
2020-03-24,3362,3972.02528401537,-610.025284015374
2020-03-25,3312,3963.7904127091,-651.790412709098
2020-03-26,3280,3955.64605026588,-675.646050265877
2020-03-27,3162,3947.59648830508,-785.596488305077
2020-03-30,2935,3939.64573916105,-1004.64573916105
2020-03-31,3121,3931.79749043439,-810.797490434389
2020-04-01,3113,3924.0550144451,-811.055014445098
2020-04-02,3358,3916.42124836234,-558.421248362337
2020-04-03,3337,3908.8987940976,-571.898794097599
2020-04-07,3560,3901.49002273372,-341.490022733719
2020-04-08,3541,3894.19706895359,-353.197068953592
2020-04-09,3605,3887.02192628157,-282.02192628157
2020-04-10,3637,3879.96644224467,-242.966442244667
2020-04-13,3504,3873.03234779362,-369.032347793621
2020-04-14,3577,3866.22127344611,-289.22127344611
2020-04-15,3556,3859.53469717688,-303.534697176883
2020-04-16,3553,3852.97397740854,-299.973977408541
2020-04-17,3640,3846.54034709429,-206.540347094288
2020-04-20,3712,3840.23491519055,-128.234915190549
2020-04-21,3512,3834.05870527786,-322.058705277864
2020-04-22,3295,3828.01268792987,-533.012687929865
2020-04-23,3519,3822.09770059395,-303.097700593954
2020-04-24,3407,3816.31436039138,-409.314360391376
2020-04-27,3454,3810.66315915542,-356.663159155418
2020-04-28,3500,3805.14441952469,-305.144419524691
2020-04-29,3601,3799.75831670794,-198.758316707935
2020-04-30,3665,3794.5048997795,-129.504899779503
2020-05-06,3697,3789.38413565501,-92.3841356550145
2020-05-07,3690,3784.39593771762,-94.3959377176157
2020-05-08,3665,3779.5401811633,-114.540181163303
2020-05-11,3610,3774.8167021678,-164.816702167795
2020-05-12,3594,3770.22528956095,-176.225289560954
2020-05-13,3605,3765.76566404407,-160.765664044073
2020-05-14,3677,3761.43747347435,-84.4374734743489
2020-05-15,3731,3757.24029925385,-26.2402992538465
2020-05-18,3694,3753.17368788204,-59.1736878820381
2020-05-19,3699,3749.23717501186,-50.2371750118556
2020-05-20,3746,3745.43027183638,0.569728163619132
2020-05-21,3799,3741.75246878269,57.2475312173147
2020-05-22,3704,3738.2032565128,-34.2032565128005
2020-05-25,3734,3734.78214935308,-0.782149353079831
2020-05-26,3734,3731.48864749142,2.51135250857679
2020-05-27,3744,3728.32225079251,15.6777492074944
2020-05-28,3746,3725.2824601589,20.7175398411025
2020-05-29,3717,3722.36878297419,-5.36878297419108
2020-06-01,3793,3719.58073518548,73.4192648145161
2020-06-02,3766,3716.91783052058,49.0821694794219
2020-06-03,3818,3714.37961305579,103.620386944212
2020-06-04,3767,3711.96564715632,55.0343528436823
2020-06-05,3738,3709.67554001954,28.3244599804586
2020-06-08,3772,3707.50892159201,64.4910784079913
2020-06-09,3709,3705.46543352837,3.53456647163117
2020-06-10,3725,3703.5447441414,21.455255858597
2020-06-11,3684,3701.74652320497,-17.7465232049677
2020-06-12,3644,3700.07044936141,-56.0704493614093
2020-06-15,3610,3698.5161939176,-88.5161939175983
2020-06-16,3662,3697.083405003,-35.0834050030008
2020-06-17,3642,3695.77169415801,-53.7716941580104
2020-06-18,3675,3694.58065842107,-19.58065842107
2020-06-19,3729,3693.50987260363,35.4901273963653
2020-06-22,3699,3692.55890342348,6.44109657652141
2020-06-23,3704,3691.72733226797,12.2726677320301
2020-06-24,3673,3691.01474318718,-18.0147431871843
2020-06-29,3595,3690.4207253047,-95.4207253047043
2020-06-30,3605,3689.94486029716,-84.9448602971552
2020-07-01,3600,3689.58669039797,-89.5866903979702
2020-07-02,3614,3689.34572272794,-75.3457227279407
2020-07-03,3615,3689.22142737636,-74.2214273763645
2020-07-06,3630,3689.21324328763,-59.2132432876323
2020-07-07,3548,3689.32057872561,-141.320578725612
2020-07-08,3567,3689.54281747871,-122.542817478715
2020-07-09,3573,3689.87928491826,-116.879284918256
2020-07-10,3479,3690.32925576147,-211.329255761474
2020-07-13,3530,3690.89195641249,-160.891956412494
2020-07-14,3544,3691.56652592045,-147.566525920447
2020-07-15,3584,3692.35203682808,-108.352036828085
2020-07-16,3575,3693.24750068035,-118.24750068035
2020-07-17,3558,3694.25188423353,-136.251884233531
2020-07-20,3577,3695.36410536503,-118.364105365034
2020-07-21,3598,3696.58302563183,-98.5830256318314
2020-07-22,3641,3697.90745766333,-56.9074576633303
2020-07-23,3664,3699.33617333874,-35.3361733387446
2020-07-24,3710,3700.86792101426,9.13207898574022
2020-07-27,3729,3702.50143443957,26.498565560429
2020-07-28,3712,3704.23545113899,7.76454886101234
2020-07-29,3733,3706.06871959024,26.931280409762
2020-07-30,3706,3707.99999148083,-1.99999148083254
2020-07-31,3748,3710.02802963038,37.9719703696228
2020-08-03,3702,3712.15159603181,-10.1515960318077
2020-08-04,3762,3714.36946837407,47.6305316259268
2020-08-05,3803,3716.68042015,86.3195798499984
2020-08-06,3772,3719.08324454102,52.9167554589847
2020-08-07,3776,3721.57677040952,54.4232295904846
2020-08-10,3751,3724.15984849165,26.8401515083514
2020-08-11,3722,3726.83135201951,-4.83135201950802
2020-08-12,3716,3729.59016532039,-13.5901653203881
2020-08-13,3747,3732.43517072418,14.5648292758187
2020-08-14,3917,3735.36524494334,181.63475505666
2020-08-17,3986,3738.37927071059,247.620729289409
2020-08-18,3978,3741.47620583918,236.523794160823
2020-08-19,3917,3744.655110499,172.344889500996
2020-08-20,3897,3747.91514262948,149.08485737052
2020-08-21,3898,3751.25553141023,146.744468589772
2020-08-24,3882,3754.67556764645,127.324432353551
2020-08-25,3912,3758.17460280198,153.82539719802
2020-08-26,3920,3761.75204097107,158.247959028928
2020-08-27,3945,3765.40734983357,179.592650166434
