"USDJPYDate","USDJPYClose","USDJPY_hpft","USDJPY_hpfc"
2010-04-05,94.5,91.3567594236883,3.1432405763117
2010-04-06,93.92,91.3409155054237,2.57908449457634
2010-04-07,93.93,91.3242877059687,2.60571229403134
2010-04-08,92.92,91.3068571440601,1.61314285593992
2010-04-09,93.18,91.2886060155301,1.89139398446993
2010-04-12,93.6,91.2695171830188,2.33048281698117
2010-04-13,93.12,91.2495742909925,1.87042570900749
2010-04-14,93.54,91.2287619472465,2.31123805275355
2010-04-15,93.16,91.2070655327349,1.95293446726505
2010-04-16,92.17,91.1844713837833,0.985528616216745
2010-04-19,91.97,91.1609666439838,0.809033356016153
2010-04-20,92.94,91.1365388643036,1.80346113569644
2010-04-21,93.1,91.1111759301326,1.9888240698674
2010-04-22,93.09,91.0848664723399,2.00513352766009
2010-04-23,93.97,91.0575999438947,2.91240005610531
2010-04-26,94.14,91.0293666266077,3.11063337339232
2010-04-27,93.74,91.0001580061568,2.73984199384323
2010-04-28,93.77,90.9699668540347,2.80003314596533
2010-04-29,94,90.9387870742698,3.06121292573019
2010-04-30,93.85,90.9066137283145,2.94338627168553
2010-05-03,94.1,90.8734431430038,3.22655685699617
2010-05-04,94.66,90.8392728618506,3.82072713814941
2010-05-05,94.73,90.8041017620947,3.92589823790526
2010-05-06,93.84,90.7679303003123,3.07206969968769
2010-05-07,91.59,90.7307605558867,0.859239444113344
2010-05-10,93.33,90.6925958780711,2.63740412192886
2010-05-11,92.39,90.6534399712955,1.73656002870452
2010-05-12,92.94,90.6132976301857,2.32670236981432
2010-05-13,92.79,90.5721743671915,2.21782563280848
2010-05-14,92.47,90.5300766565291,1.93992334347085
2010-05-17,92.38,90.4870118891726,1.89298811082736
2010-05-18,92.8,90.4429882579826,2.35701174201735
2010-05-19,91.13,90.3980147383085,0.731985261691488
2010-05-20,91.15,90.3521012797872,0.797898720212788
