"LCPTDate","LCPTClose","LCPT_hpft","LCPT_hpfc"
2014-02-07,7133,7025.74805280123,107.251947198771
2014-02-10,7102.2,7022.40117516856,79.7988248314363
2014-02-11,7106,7019.04675258896,86.9532474110381
2014-02-12,7148.8,7015.68707255936,133.112927440642
2014-02-13,7141.8,7012.32445851966,129.475541480336
2014-02-14,7150,7008.96128893332,141.038711066683
2014-02-17,7185,7005.59999578373,179.400004216266
2014-02-18,7189.2,7002.24306935407,186.956930645926
2014-02-19,7174,6998.89307408425,175.106925915755
2014-02-20,7157,6995.55265169464,161.447348305364
2014-02-21,7150,6992.22451628777,157.775483712232
2014-02-24,7099.8,6988.91144870203,110.888551297974
2014-02-25,7061,6985.61629499383,75.3837050061733
2014-02-26,7030,6982.3419470565,47.6580529435024
2014-02-27,7030.8,6979.09132794386,51.7086720561366
2014-02-28,7012.2,6975.86738040979,36.3326195902101
2014-03-03,6968,6972.67306858231,-4.67306858230847
2014-03-04,7049,6969.51137160797,79.488628392026
2014-03-05,7029,6966.38526670165,62.6147332983486
2014-03-06,7049,6963.2977639356,85.7022360643987
2014-03-07,6777,6960.25189926453,-183.25189926453
2014-03-10,6649,6957.25074406902,-308.250744069016
2014-03-11,6483,6954.29729398067,-471.297293980674
2014-03-12,6499,6951.39441721266,-452.394417212655
2014-03-13,6400,6948.54478716262,-548.544787162616
2014-03-14,6463,6945.75089022674,-482.750890226737
2014-03-17,6478.8,6943.01498605481,-464.214986054811
2014-03-18,6486,6940.33913474664,-454.339134746641
2014-03-19,6580,6937.72520451454,-357.725204514544
2014-03-20,6452.5,6935.17487576504,-482.674875765035
2014-03-21,6480.2,6932.68968103556,-452.489681035559
2014-03-24,6469.5,6930.27095334506,-460.770953345062
2014-03-25,6571.5,6927.91983867154,-356.41983867154
2014-03-26,6516.2,6925.6372925288,-409.437292528804
2014-03-27,6565.8,6923.42412310111,-357.624123101111
2014-03-28,6660,6921.28096932765,-261.280969327653
2014-03-31,6645.2,6919.20832232016,-274.008322320162
2014-04-01,6658.2,6917.20656518752,-259.006565187521
2014-04-02,6670.5,6915.27596777434,-244.77596777434
2014-04-03,6639,6913.41669286256,-274.416692862555
2014-04-04,6613,6911.62880205344,-298.628802053442
2014-04-07,6675.2,6909.91224351554,-234.712243515539
2014-04-08,6682,6908.26684197611,-226.266841976111
2014-04-09,6626,6906.69232514198,-280.692325141981
2014-04-10,6650,6905.18832719024,-255.188327190236
2014-04-11,6655.2,6903.75436627109,-248.55436627109
2014-04-14,6657.5,6902.3898550501,-244.889855050103
2014-04-15,6560,6901.09410345058,-341.094103450581
2014-04-16,6632.2,6899.86632016807,-267.666320168065
2014-04-17,6673,6898.70557290373,-225.705572903733
2014-04-22,6657.5,6897.61081871593,-240.110818715926
2014-04-23,6677.5,6896.5809213656,-219.080921365598
2014-04-24,6751,6895.61464536167,-144.614645361667
2014-04-25,6770.2,6894.7106646535,-124.510664653504
2014-04-28,6745,6893.86759341281,-148.86759341281
2014-04-29,6730.2,6893.08399434357,-162.88399434357
2014-04-30,6643,6892.35836861385,-249.358368613849
2014-05-01,6636,6891.68915006206,-255.689150062056
2014-05-02,6729,6891.07466945175,-162.07466945175
2014-05-06,6700,6890.51315185494,-190.513151854936
2014-05-07,6655,6890.00275534861,-235.002755348609
2014-05-08,6715,6889.54155925916,-174.541559259157
2014-05-09,6754.2,6889.12754577223,-134.927545772232
2014-05-12,6879,6888.75862492518,-9.75862492518278
2014-05-13,6838.8,6888.43265098154,-49.6326509815397
2014-05-14,6895,6888.14747417119,6.85252582881022
2014-05-15,6867,6887.90092420772,-20.900924207717
2014-05-16,6874,6887.69083363745,-13.6908336374488
2014-05-19,6915.8,6887.51502636698,28.2849736330176
2014-05-20,6870,6887.37132064373,-17.3713206437255
2014-05-21,6839,6887.25754640695,-48.2575464069513
2014-05-22,6860,6887.17152641526,-27.1715264152611
2014-05-23,6913.5,6887.11106347963,26.3889365203679
2014-05-27,6938.8,6887.07394917935,51.7260508206464
2014-05-28,6940,6887.05798600188,52.9420139981214
2014-05-29,6876,6887.06099781608,-11.0609978160825
2014-05-30,6843.5,6887.08083037498,-43.5808303749771
2014-06-02,6926.8,6887.11532485942,39.6846751405772
2014-06-03,6864,6887.16230443564,-23.1623044356434
2014-06-04,6785,6887.219608674,-102.219608673995
2014-06-05,6783,6887.28506757042,-104.285067570416
2014-06-06,6708.8,6887.35646886738,-178.556468867379
2014-06-09,6674.8,6887.43155720011,-212.631557200109
2014-06-10,6665,6887.50800339578,-222.508003395775
2014-06-11,6673.8,6887.5833903882,-213.783390388196
2014-06-12,6618,6887.65520913534,-269.655209135338
2014-06-13,6642,6887.7208622257,-245.720862225701
2014-06-16,6685,6887.77764078317,-202.777640783167
2014-06-17,6705,6887.82273436051,-182.822734360508
2014-06-18,6718,6887.85324869037,-169.853248690373
2014-06-19,6734.5,6887.86621393381,-153.366213933807
2014-06-20,6820,6887.85859004145,-67.8585900414466
2014-06-23,6873.5,6887.82727356835,-14.3272735683551
2014-06-24,6877,6887.76913301972,-10.769133019723
2014-06-25,6922,6887.68103097832,34.3189690216767
2014-06-26,6947,6887.55982557543,59.4401744245669
2014-06-27,6933.8,6887.40238912844,46.3976108715595
2014-06-30,7014,6887.20561852491,126.794381475088
2014-07-01,7007.2,6886.96642983133,120.233570168668
2014-07-02,7134,6886.68179152583,247.318208474175
2014-07-03,7173,6886.34872178622,286.651278213785
2014-07-04,7154,6885.96434102184,268.035658978164
2014-07-07,7140.2,6885.52588813204,254.674111867956
2014-07-08,7140.8,6885.03071281143,255.769287188569
2014-07-09,7125,6884.47627002663,240.523729973371
2014-07-10,7170,6883.86012046879,286.139879531207
2014-07-11,7160,6883.1799242522,276.820075747801
2014-07-14,7128.2,6882.43345976981,245.76654023019
2014-07-15,7132.5,6881.61861984074,250.881380159259
2014-07-16,7061,6880.73339887398,180.266601126024
2014-07-17,7069,6879.77589498317,189.224105016826
2014-07-18,6993.5,6878.74428079683,114.75571920317
2014-07-21,7029,6877.63680716084,151.36319283916
2014-07-22,7050.8,6876.45177235664,174.348227643362
2014-07-23,7050.2,6875.18753723321,175.012462766792
2014-07-24,7168.5,6873.84253470809,294.657465291913
2014-07-25,7129,6872.41527004156,256.584729958437
2014-07-28,7130,6870.90437029396,259.095629706036
2014-07-29,7074.8,6869.30856858715,205.491431412853
2014-07-30,7129.5,6867.62670514278,261.873294857218
2014-07-31,7103,6865.85770512435,237.142294875648
2014-08-01,7076.5,6864.00060194342,212.499398056585
2014-08-04,7141,6862.05452703648,278.945472963518
2014-08-05,7050.8,6860.01869967865,190.781300321353
2014-08-06,6966.8,6857.89245445014,108.907545549861
2014-08-07,6985,6855.67520479225,129.324795207748
2014-08-08,6999.8,6853.36640916439,146.433590835614
2014-08-11,6994,6850.96557948329,143.034420516715
2014-08-12,6955,6848.47228819618,106.52771180382
2014-08-13,6885,6845.8861668745,39.1138331255014
2014-08-14,6827,6843.20689112391,-16.2068911239137
2014-08-15,6872.8,6840.43415271812,32.3658472818757
2014-08-18,6895,6837.56763673193,57.4323632680658
2014-08-19,6864.5,6834.60704161848,29.8929583815173
2014-08-20,7018,6831.55208957135,186.447910428653
2014-08-21,7027.2,6828.40251514074,198.797484859262
2014-08-22,7089,6825.15812994673,263.841870053269
2014-08-26,7057.2,6821.81882778443,235.381172215567
2014-08-27,7025.2,6818.38461151029,206.815388489712
2014-08-28,6934.8,6814.85558127833,119.944418721669
2014-08-29,6957.2,6811.23192273133,145.968077268665
2014-09-01,6943,6807.51387109237,135.486128907625
2014-09-02,6950.5,6803.70172192209,146.798278077913
2014-09-03,6903,6799.79582678553,103.204173214475
2014-09-04,6943,6795.79659792796,147.203402072042
2014-09-05,6975,6791.70449025543,183.295509744575
2014-09-08,6988.5,6787.52001952196,200.979980478039
2014-09-09,6851.5,6783.24377724823,68.2562227517653
2014-09-10,6868,6778.87643803243,89.123561967574
2014-09-11,6836,6774.41870468664,61.5812953133595
2014-09-12,6863,6769.87131686339,93.1286831366091
2014-09-15,6824,6765.23503967046,58.7649603295436
2014-09-16,6960.5,6760.51067671095,199.989323289046
2014-09-17,6928.5,6755.69905587944,172.800944120558
2014-09-18,6834.2,6750.80108773777,83.3989122622262
2014-09-19,6828,6745.8177542767,82.1822457232997
2014-09-22,6730,6740.750071961,-10.7500719610044
2014-09-23,6710.5,6735.59909122602,-25.0990912260173
2014-09-24,6745,6730.36585806376,14.6341419362443
2014-09-25,6705.5,6725.05140809111,-19.5514080911055
2014-09-26,6708,6719.65678297416,-11.6567829741603
2014-09-29,6735,6714.18301629696,20.8169837030379
2014-09-30,6655,6708.63113682555,-53.6311368255509
2014-10-01,6696,6703.00218193048,-7.00218193047579
2014-10-02,6641,6697.29716681351,-56.2971668135061
2014-10-03,6642.5,6691.51710378206,-49.0171037820623
2014-10-06,6712,6685.66298187241,26.3370181275901
2014-10-07,6704.8,6679.7357698594,25.0642301406005
