"FU0Date","FU0Close","FU0_hpft","FU0_hpfc"
2011-08-18,4934,4947.760091443,-13.7600914429994
2011-08-19,4874,4948.11909436028,-74.1190943602763
2011-08-22,4869,4948.49866195429,-79.4986619542938
2011-08-23,4917,4948.90022222667,-31.9002222266734
2011-08-24,4916,4949.32517031745,-33.325170317447
2011-08-25,4928,4949.77488818043,-21.774888180426
2011-08-26,4921,4950.25074399421,-29.2507439942112
2011-08-29,4931,4950.75409693633,-19.7540969363305
2011-08-30,4941,4951.28629409343,-10.2862940934346
2011-08-31,4942,4951.8486743865,-9.84867438650161
2011-09-01,4939,4952.44257248462,-13.4425724846222
2011-09-02,4929,4953.06931898589,-24.0693189858879
2011-09-05,4907,4953.73023893168,-46.7302389316832
2011-09-06,4879,4954.42664741416,-75.4266474141616
2011-09-07,4916,4955.15984020901,-39.1598402090059
2011-09-08,4917,4955.93108191364,-38.9310819136395
2011-09-09,4910,4956.74162093832,-46.7416209383156
2011-09-13,4900,4957.59268960073,-57.5926896007269
2011-09-14,4890,4958.48550089756,-68.4855008975585
2011-09-15,4888,4959.42124401895,-71.4212440189521
2011-09-16,4900,4960.40107984582,-60.4010798458232
2011-09-19,4860,4961.42613973652,-101.426139736515
2011-09-20,4865,4962.49753008195,-97.49753008195
2011-09-21,4879,4963.61631534751,-84.6163153475085
2011-09-22,4841,4964.78351969707,-123.783519697073
2011-09-23,4823,4966.00013231767,-143.000132317674
2011-09-26,4700,4967.26709122902,-267.267091229023
2011-09-27,4802,4968.5852753404,-166.585275340401
2011-09-28,4819,4969.9554530835,-150.955453083505
2011-09-29,4748,4971.37832403053,-223.378324030531
2011-09-30,4790,4972.85452535475,-182.85452535475
2011-10-10,4778,4974.38460189372,-196.38460189372
2011-10-11,4787,4975.96902290042,-188.969022900421
2011-10-12,4797,4977.60817645018,-180.608176450179
2011-10-13,4760,4979.30237250623,-219.302372506235
2011-10-14,4780,4981.05184637563,-201.051846375633
2011-10-17,4793,4982.85674271468,-189.856742714679
2011-10-18,4779,4984.71712307288,-205.717123072879
2011-10-19,4783,4986.63297052067,-203.632970520673
2011-10-20,4802,4988.60418309316,-186.604183093158
2011-10-21,4820,4990.63057465202,-170.630574652019
2011-10-24,4838,4992.71188192387,-154.711881923867
2011-10-25,4853,4994.84777110385,-141.847771103848
2011-10-26,4837,4997.03784443526,-160.037844435259
2011-10-27,4870,4999.28164552728,-129.281645527283
2011-10-28,4860,5001.57865183597,-141.578651835972
2011-10-31,4868,5003.92828737748,-135.928287377483
2011-11-01,4870,5006.32991764495,-136.329917644951
2011-11-02,4900,5008.78285194441,-108.782851944407
2011-11-03,4880,5011.28634322843,-131.286343228428
2011-11-04,4873,5013.83959948323,-140.839599483232
2011-11-07,4871,5016.44177442648,-145.441774426481
2011-11-08,4862,5019.09196355846,-157.09196355846
2011-11-09,4873,5021.78920225966,-148.789202259662
2011-11-10,4861,5024.532460975,-163.532460975002
2011-11-11,4915,5027.32064864596,-112.320648645957
2011-11-14,4869,5030.15260661634,-161.152606616343
2011-11-15,4851,5033.02712980099,-182.027129800989
2011-11-16,4856,5035.94294650092,-179.942946500919
2011-11-17,4880,5038.89870977435,-158.898709774347
2011-11-18,4870,5041.8929982982,-171.892998298202
2011-11-21,4890,5044.92432506729,-154.924325067294
2011-11-22,4860,5047.99113202255,-187.991132022546
2011-11-23,4855,5051.09179706562,-196.091797065617
2011-11-24,4845,5054.22462039003,-209.224620390034
2011-11-25,4900,5057.38782113296,-157.387821132962
2011-11-28,4850,5060.57953194646,-210.579531946461
2011-11-29,4800,5063.79782042481,-263.797820424814
2011-11-30,4750,5067.04066711718,-317.040667117183
2011-12-01,5117,5070.3059435293,46.6940564707027
2011-12-02,5116,5073.59139011506,42.4086098849422
2011-12-05,5120,5076.89476662985,43.1052333701524
2011-12-06,5110,5080.21385035901,29.7861496409929
2011-12-07,5115,5083.54643640585,31.453563594152
2011-12-08,5118,5086.89033218609,31.1096678139146
2011-12-09,5055,5090.24335811708,-35.2433581170822
2011-12-12,5068,5093.60334747569,-25.6033474756881
2011-12-13,5042,5096.96811897057,-54.9681189705681
2011-12-14,5060,5100.33548072698,-40.3354807269829
2011-12-15,5006,5103.70321814858,-97.7032181485835
2011-12-16,5035,5107.06909996596,-72.0690999659579
2011-12-19,5012,5110.43085452311,-98.4308545231106
2011-12-20,5016,5113.78618037359,-97.786180373589
2011-12-21,5048,5117.13273538356,-69.1327353835581
2011-12-22,5050,5120.46813699831,-70.4681369983147
2011-12-23,5066,5123.78997408649,-57.7899740864904
2011-12-26,5049,5127.09580638804,-78.09580638804
2011-12-27,5051,5130.38316975477,-79.3831697547739
2011-12-28,5069,5133.64956775691,-64.6495677569142
2011-12-29,5050,5136.89247115083,-86.8924711508313
2011-12-30,5054,5140.10932396942,-86.1093239694159
2012-01-04,5089,5143.2975343276,-54.2975343276026
2012-01-05,5156,5146.45447474638,9.54552525361558
2012-01-06,5155,5149.57749530216,5.42250469783507
2012-01-09,5160,5152.66395001713,7.33604998287234
2012-01-10,5154,5155.71119515489,-1.71119515489186
2012-01-11,5172,5158.71659001148,13.283409988525
2012-01-12,5155,5161.67749317569,-6.67749317569486
2012-01-13,5130,5164.59126872707,-34.591268727075
2012-01-16,5161,5167.45527798499,-6.45527798499455
2012-01-17,5210,5170.26686797019,39.733132029812
2012-01-18,5227,5173.02338303494,53.9766169650641
2012-01-19,5215,5175.72218395563,39.2778160443692
2012-01-20,5205,5178.36065382052,26.6393461794777
2012-01-30,5223,5180.93619195376,42.0638080462405
2012-01-31,5256,5183.44620869106,72.5537913089401
2012-02-01,5330,5185.88813175554,144.111868244458
2012-02-02,5332,5188.2594188612,143.740581138803
2012-02-03,5315,5190.55758729208,124.442412707917
2012-02-06,5325,5192.78021374888,132.219786251122
2012-02-07,5331,5194.92492637159,136.075073628412
2012-02-08,5363,5196.98940795489,166.01059204511
2012-02-09,5375,5198.97139754108,176.028602458925
2012-02-10,5389,5200.86870279476,188.131297205237
2012-02-13,5387,5202.67920414344,184.320795856564
2012-02-14,5394,5204.40085978079,189.599140219209
2012-02-15,5393,5206.03170409142,186.968295908578
2012-02-16,5373,5207.56984983228,165.430150167717
2012-02-17,5370,5209.01348704567,160.986512954332
2012-02-20,5366,5210.36087415577,155.639125844233
2012-02-21,5365,5211.61033613247,153.389663867526
2012-02-22,5364,5212.76026228033,151.239737719669
2012-02-23,5358,5213.80910530947,144.190894690532
2012-02-24,5385,5214.75538044586,170.244619554135
2012-02-27,5386,5215.59766251865,170.402337481348
2012-02-28,5384,5216.334596729,167.665403271003
2012-02-29,5428,5216.96489871563,211.035101284368
2012-03-01,5410,5217.48735342335,192.512646576648
2012-03-02,5415,5217.90083303076,197.099166969242
2012-03-05,5422,5218.20428929304,203.795710706961
2012-03-06,5439,5218.39675543813,220.603244561872
2012-03-07,5435,5218.47734893529,216.522651064712
2012-03-08,5445,5218.44527844198,226.554721558021
2012-03-09,5468,5218.29984211776,249.700157882244
2012-03-12,5465,5218.04043177054,246.959568229462
2012-03-13,5470,5217.66654242427,252.333457575726
2012-03-14,5466,5217.17777118626,248.822228813738
2012-03-15,5468,5216.57381946788,251.426180532115
2012-03-16,5472,5215.85449153405,256.145508465947
2012-03-19,5489,5215.01969557896,273.980304421043
2012-03-20,5468,5214.0694456772,253.930554322801
2012-03-21,5426,5213.00386915537,212.996130844634
2012-03-22,5453,5211.8231983052,241.176801694797
2012-03-23,5475,5210.52775346244,264.472246537561
2012-03-26,5488,5209.11795465561,278.882045344385
2012-03-27,5610,5207.59433123497,402.405668765033
2012-03-28,5615,5205.95752783005,409.042472169949
2012-03-29,5544,5204.20835540838,339.791644591621
2012-03-30,5540,5202.34779401899,337.652205981006
2012-04-05,5549,5200.37696416775,348.623035832252
2012-04-06,5545,5198.29712593166,346.702874068341
2012-04-09,5499,5196.10968349477,302.890316505231
2012-04-10,5466,5193.81618435439,272.183815645614
2012-04-11,5499,5191.41830121005,307.581698789954
2012-04-12,5529,5188.91781927146,340.082180728543
2012-04-13,5477,5186.31665088998,290.683349110018
2012-04-16,5458,5183.61684899355,274.383151006447
2012-04-17,5475,5180.82058666671,294.179413333294
2012-04-18,5468,5177.9301504131,290.069849586902
2012-04-19,5487,5174.94794833844,312.052051661564
2012-04-20,5441,5171.87650845129,269.123491548709
2012-04-23,5436,5168.7184877502,267.281512249799
2012-04-24,5473,5165.47665447843,307.523345521567
2012-04-25,5488,5162.15388736276,325.84611263724
2012-04-26,5443,5158.75319224768,284.246807752315
2012-04-27,5435,5155.27770966946,279.722290330545
2012-05-02,5458,5151.73069766059,306.269302339414
2012-05-03,5410,5148.1155298793,261.884470120697
2012-05-04,5448,5144.43570658346,303.564293416543
2012-05-07,5305,5140.69483628337,164.305163716626
2012-05-08,5308,5136.89665297061,171.103347029393
2012-05-09,5299,5133.0449585539,165.955041446104
2012-05-10,5310,5129.14362566919,180.856374330806
2012-05-11,5220,5125.1965955516,94.8034044484039
2012-05-14,5218,5121.20788419496,96.7921158050442
2012-05-15,5229,5117.18154678094,111.81845321906
2012-05-16,5140,5113.12167850137,26.8783214986331
2012-05-17,5178,5109.03242076916,68.9675792308439
2012-05-18,5120,5104.91792610783,15.0820738921709
2012-05-21,5150,5100.78237554916,49.2176244508387
2012-05-22,5143,5096.6299563593,46.3700436406989
2012-05-23,5080,5092.46487614901,-12.4648761490112
2012-05-24,5086,5088.29136169653,-2.29136169652869
2012-05-25,5080,5084.11363462763,-4.11363462762802
2012-05-28,5061,5079.93591562093,-18.935915620927
2012-05-29,5020,5075.76242365463,-55.7624236546312
2012-05-30,4934,5071.59736987961,-137.597369879611
2012-05-31,4860,5067.44494239676,-207.44494239676
2012-06-01,4834,5063.30927242979,-229.309272429792
2012-06-04,4666,5059.19440545298,-393.194405452982
2012-06-05,4700,5055.10429215337,-355.104292153375
2012-06-06,4660,5051.04272068737,-391.042720687367
2012-06-07,4700,5047.01333242535,-347.013332425355
2012-06-08,4686,5043.01960709649,-357.019607096489
2012-06-11,4732,5039.06488098857,-307.064880988574
2012-06-12,4700,5035.15234281177,-335.152342811766
2012-06-13,4750,5031.28505434808,-281.285054348083
2012-06-14,4721,5027.46593884106,-306.465938841058
2012-06-15,4745,5023.69780326214,-278.697803262143
2012-06-18,4741,5019.98332790211,-278.983327902113
