"EUSPMIDate","EUSPMI","EUSPMI_hpft","EUSPMI_hpfc"
2020-03-01,26.4,45.8561855584715,-19.4561855584715
2020-02-01,52.8,46.2039189769916,6.59608102300842
2020-01-01,52.5,46.6474325855942,5.85256741440579
2019-12-01,52.2,47.1579644139874,5.04203558601259
2019-11-01,51.9,47.7116296313913,4.18837036860869
2019-10-01,52.2,48.2887451033476,3.91125489665244
2019-09-01,51.6,48.8731180040384,2.72688199596156
2019-08-01,53.5,49.4518148867267,4.04818511327333
2019-07-01,53.2,50.0141747063383,3.18582529366168
2019-06-01,53.6,50.5529099053938,3.04709009460616
2019-05-01,52.9,51.0633877808251,1.8366122191749
2019-04-01,52.8,51.5435148713094,1.2564851286906
2019-03-01,53.3,51.9927282257068,1.30727177429324
2019-02-01,52.8,52.4115119638178,0.388488036182223
2019-01-01,52.3,52.8014395985882,-0.501439598588216
2018-12-01,51.2,53.1644083829941,-1.96440838299407
2018-11-01,53.4,53.5018977036791,-0.101897703679138
2018-10-01,53.7,53.8137499403014,-0.113749940301404
2018-09-01,54.7,54.0997225577658,0.600277442234208
2018-08-01,54.5,54.3594782293603,0.140521770639696
2018-07-01,54.2,54.5931798595748,-0.393179859574769
2018-06-01,55.2,54.8011074543746,0.398892545625393
2018-05-01,53.8,54.9832133698422,-1.18321336984222
2018-04-01,54.7,55.1397823725147,-0.439782372514677
2018-03-01,55,55.2701132177876,-0.270113217787599
2018-02-01,56.2,55.3731381757461,0.826861824253898
2018-01-01,56.7,55.4475644221272,1.25243557787285
2017-12-01,57.6,55.4927881841879,2.10721181581207
2017-11-01,56.2,55.5092493855005,0.690750614499476
2017-10-01,55,55.4991439594836,-0.499143959483556
2017-09-01,54.9,55.4652434650677,-0.565243465067694
2017-08-01,54.9,55.409903507884,-0.509903507884042
2017-07-01,55.4,55.3350086573428,0.0649913426571919
2017-06-01,55.4,55.2420185632643,0.157981436735671
2017-05-01,56.3,55.1324470349211,1.16755296507889
2017-04-01,56.4,55.007939532783,1.39206046721703
2017-03-01,56,54.8711144781239,1.12888552187606
2017-02-01,55.5,54.7257503426074,0.774249657392568
2017-01-01,53.7,54.5765663358317,-0.876566335831714
2016-12-01,53.7,54.4289268754429,-0.728926875442906
2016-11-01,53.8,54.2874659071406,-0.487465907140596
2016-10-01,52.8,54.1562099375615,-1.35620993756149
2016-09-01,52.2,54.038779251753,-1.83877925175302
2016-08-01,52.8,53.9376639598147,-1.1376639598147
2016-07-01,52.9,53.8538218558028,-0.953821855802811
2016-06-01,52.8,53.7872626804739,-0.987262680473877
2016-05-01,53.3,53.7372013230379,-0.437201323037883
2016-04-01,53.1,53.7020299538044,-0.602029953804413
2016-03-01,53.1,53.6797764086472,-0.579776408647201
2016-02-01,53.3,53.6679668318118,-0.367966831811819
2016-01-01,53.6,53.6636442205366,-0.0636442205365969
2015-12-01,54.2,53.6635449330334,0.536455066966603
2015-11-01,54.2,53.6643522906636,0.535647709336386
2015-10-01,54.1,53.6631966606778,0.436803339322216
2015-09-01,53.7,53.6576547834176,0.0423452165824498
2015-08-01,54.4,53.6456674020073,0.754332597992655
2015-07-01,54,53.6252105472521,0.374789452747946
2015-06-01,54.4,53.5948888604549,0.805111139545076
2015-05-01,53.8,53.5536193074631,0.246380692536861
2015-04-01,54.1,53.5009897800735,0.599010219926501
2015-03-01,54.2,53.4367934873266,0.763206512673396
2015-02-01,53.7,53.3613228134463,0.33867718655368
2015-01-01,52.7,53.2755061480837,-0.575506148083722
2014-12-01,51.6,53.1805541118787,-1.58055411187869
2014-11-01,51.9,53.0771977370144,-1.17719773701438
2014-10-01,52.3,52.9648509272474,-0.664850927247366
2014-09-01,52.4,52.84194658822,-0.441946588220047
2014-08-01,52.8,52.7063635831355,0.093636416864526
2014-07-01,54.2,52.5556124863731,1.64438751362686
2014-06-01,52.8,52.38728190266,0.412718097340042
2014-05-01,52.8,52.2003307596508,0.599669240349157
2014-04-01,53.1,51.9940619167485,1.1059380832515
2014-03-01,52.2,51.7682779577226,0.431722042277394
2014-02-01,52.6,51.5237030814122,1.07629691858783
2014-01-01,51.6,51.2614212550248,0.338578744975179
2013-12-01,51,50.983413359867,0.016586640133022
2013-11-01,51.2,50.6919424261992,0.50805757380076
2013-10-01,51.6,50.3892853064823,1.21071469351773
2013-09-01,52.2,50.0781422344883,2.12185776551174
2013-08-01,50.7,49.7622223729007,0.937777627099336
2013-07-01,49.8,49.4470030992075,0.352996900792482
2013-06-01,50.4,49.1387432722528,1.26125672774723
2013-05-01,47.2,48.8439959149644,-1.64399591496439
2013-04-01,47,48.5703650975434,-1.57036509754344
2013-03-01,46.4,48.3240848935952,-1.92408489359523
2013-02-01,47.9,48.1100807391437,-0.210080739143664
2013-01-01,48.6,47.9316746661348,0.668325333865211
2012-12-01,47.8,47.792013639232,0.00798636076801695
2012-11-01,45.7,47.6948015608768,-1.99480156087681
2012-10-01,46,47.6437489888115,-1.64374898881147
2012-09-01,46.1,47.6409041461442,-1.5409041461442
2012-08-01,47.2,47.6869454651591,-0.486945465159125
2012-07-01,47.9,47.781267291352,0.118732708648012
2012-06-01,47.1,47.9228581823308,-0.822858182330755
2012-05-01,46.7,48.1108056396275,-1.41080563962746
2012-04-01,46.9,48.3435114496221,-1.44351144962211
2012-03-01,49.2,48.6182017273283,0.581798272671674
2012-02-01,48.8,48.9308996615517,-0.130899661551755
2012-01-01,50.4,49.2781132729919,1.12188672700809
2011-12-01,48.8,49.656241499297,-0.856241499296989
2011-11-01,47.5,50.0626181837211,-2.5626181837211
2011-10-01,46.4,50.4938636349355,-4.09386363493553
2011-09-01,48.8,50.9444626464585,-2.14446264645852
2011-08-01,51.5,51.4054884587792,0.0945115412208215
2011-07-01,51.6,51.8662272601812,-0.266227260181226
2011-06-01,53.7,52.3160439985661,1.38395600143394
2011-05-01,56,52.744081765785,3.25591823421505
2011-04-01,56.7,53.140636950357,3.55936304964298
2011-03-01,57.2,53.4987192059965,3.70128079400346
2011-02-01,56.8,53.8143043222925,2.98569567770745
2011-01-01,55.9,54.0864524894957,1.81354751050434
2010-12-01,54.2,54.316711977588,-0.116711977587963
2010-11-01,55.4,54.5081423461437,0.891857653856309
2010-10-01,53.3,54.6637058947557,-1.36370589475573
2010-09-01,54.1,54.7871081377284,-0.687108137728438
2010-08-01,55.9,54.8809181677873,1.01908183221273
2010-07-01,55.8,54.9471324875429,0.85286751245711
2010-06-01,55.5,54.9885968344661,0.511403165533854
2010-05-01,56.2,55.0088676689549,1.19113233104508
2010-04-01,55.6,55.0119276207117,0.588072379288277
2010-03-01,54.1,55.0027519297149,-0.902751929714914
2010-02-01,51.8,54.986805896259,-3.18680589625895
2010-01-01,52.5,54.9688025273635,-2.46880252736351
