"FV00YDate","FV00YClose","FV00Y_hpft","FV00Y_hpfc"
2018-04-13,114,113.913739781007,0.0862602189932796
2018-04-16,113.9453,113.895875755218,0.0494242447819291
2018-04-17,113.9609,113.878244903591,0.0826550964086258
2018-04-18,113.7266,113.86084652495,-0.134246524949586
2018-04-19,113.6094,113.843679952282,-0.234279952282396
2018-04-20,113.4844,113.826744463087,-0.342344463086581
2018-04-23,113.3438,113.810039238018,-0.466239238017733
2018-04-24,113.3828,113.793563316219,-0.410763316219442
2018-04-25,113.2891,113.777315544112,-0.488215544111662
2018-04-26,113.3438,113.76129459832,-0.417494598320306
2018-04-27,113.4297,113.745498953663,-0.315798953662697
2018-04-30,113.4922,113.729926912382,-0.237726912381785
2018-05-01,113.3672,113.714576646181,-0.347376646180685
2018-05-02,113.4375,113.699446228496,-0.261946228495993
2018-05-03,113.5234,113.684533589174,-0.16113358917366
2018-05-04,113.5,113.669836549781,-0.169836549780765
2018-05-07,113.5,113.655352865278,-0.155352865278329
2018-05-08,113.4375,113.641080220424,-0.203580220423551
2018-05-09,113.2813,113.627016235758,-0.34571623575779
2018-05-10,113.3047,113.61315844767,-0.308458447670111
2018-05-11,113.2891,113.599504249644,-0.310404249643804
2018-05-14,113.2578,113.586050907659,-0.328250907658494
2018-05-15,112.9063,113.572795559385,-0.666495559385303
2018-05-16,112.8906,113.559735206809,-0.669135206809288
2018-05-17,112.8984,113.546866576413,-0.648466576413353
2018-05-18,113.0703,113.534186118086,-0.463886118086243
2018-05-21,113.0469,113.521690013667,-0.474790013667092
2018-05-22,113.0469,113.509374253243,-0.462474253243125
2018-05-23,113.3359,113.497234630642,-0.161334630642464
2018-05-24,113.4453,113.485266748525,-0.0399667485246953
2018-05-25,113.7109,113.473466142861,0.237433857139378
2018-05-28,113.9609,113.4618283331,0.499071666899599
2018-05-29,114.5625,113.450348936839,1.11215106316055
2018-05-30,114.0859,113.439023777969,0.646876222030615
2018-05-31,114.0938,113.427849140101,0.665950859899081
2018-06-01,113.8047,113.416821574236,0.387878425763747
2018-06-04,113.5938,113.405937906656,0.187862093344409
2018-06-05,113.7031,113.395195123973,0.307904876026887
2018-06-06,113.4688,113.384590290457,0.0842097095434095
2018-06-07,113.6328,113.37412059765,0.258679402350273
2018-06-08,113.6875,113.363783271905,0.323716728094992
2018-06-11,113.5234,113.353575646503,0.169824353497241
2018-06-12,113.5,113.343495188534,0.156504811465546
2018-06-13,113.2734,113.333539435291,-0.0601394352905243
2018-06-14,113.4766,113.323705988754,0.152894011246041
2018-06-15,113.5234,113.313992426049,0.209407573951183
2018-06-18,113.5391,113.304396387499,0.234703612500974
2018-06-19,113.7266,113.294915599989,0.43168440001059
2018-06-20,113.2813,113.285547887422,-0.00424788742160159
2018-06-21,113.3906,113.276291252139,0.114308747861453
2018-06-22,113.3828,113.267143694727,0.115656305273122
2018-06-25,113.5234,113.258103263024,0.265296736975802
2018-06-26,113.5078,113.249168052675,0.258631947324746
2018-06-27,113.7422,113.240336268989,0.501863731011433
2018-06-28,113.6328,113.23160622418,0.401193775819765
2018-06-29,113.6094,113.222976437917,0.386423562083227
2018-07-02,113.5156,113.214445595702,0.30115440429796
2018-07-03,113.6406,113.206012542772,0.434587457228275
2018-07-04,113.5781,113.197676248847,0.380423751153001
2018-07-05,113.5703,113.18943586329,0.380864136710295
2018-07-06,113.6328,113.181290692714,0.451509307286467
2018-07-09,113.5156,113.173240201166,0.34235979883371
2018-07-10,113.4297,113.165284039331,0.264415960668654
2018-07-11,113.5469,113.15742199941,0.38947800058991
2018-07-12,113.5,113.149653982903,0.35034601709738
2018-07-13,113.6406,113.141980052304,0.498619947696133
2018-07-16,113.5,113.134400414927,0.365599585072685
2018-07-17,113.4609,113.126915484196,0.333984515803543
2018-07-18,113.4531,113.119525824658,0.333574175341632
2018-07-19,113.5781,113.112232138916,0.465867861083902
2018-07-20,113.4688,113.105035267459,0.363764732541035
2018-07-23,113.2031,113.097936243347,0.105163756652787
2018-07-24,113.2188,113.090936250007,0.127863749993331
2018-07-25,113.2344,113.084036514334,0.15036348566609
2018-07-26,113.0859,113.077238316079,0.00866168392085909
2018-07-27,113.125,113.070542997147,0.0544570028531768
2018-07-30,113.125,113.063951903021,0.061048096978553
2018-07-31,113.125,113.057466401698,0.0675335983016428
2018-08-01,113.0234,113.051087886408,-0.0276878864076577
2018-08-02,113.1172,113.044817778295,0.0723822217052552
2018-08-03,113.2891,113.03865748706,0.250442512939851
