"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2010-07-27,22180,24933.4152687289,-2753.41526872893
2010-07-28,22875,25007.2130954863,-2132.21309548633
2010-07-29,23320,25082.4198062531,-1762.41980625307
2010-07-30,23965,25159.0195170064,-1194.01951700637
2010-08-02,24460,25236.9956152122,-776.995615212181
2010-08-03,24365,25316.3309947723,-951.330994772331
2010-08-04,24890,25397.0082284127,-507.008228412741
2010-08-05,24440,25479.009495619,-1039.00949561898
2010-08-06,24690,25562.3167662924,-872.316766292411
2010-08-09,24910,25646.9115808597,-736.91158085968
2010-08-10,24860,25732.7751191597,-872.77511915965
2010-08-11,24685,25819.8882564231,-1134.88825642308
2010-08-12,24480,25908.2315071111,-1428.23150711106
2010-08-13,24845,25997.7849165704,-1152.78491657045
2010-08-16,24750,26088.5279397683,-1338.5279397683
2010-08-17,25310,26180.4395551619,-870.439555161934
2010-08-18,25375,26273.4981879144,-898.498187914441
2010-08-19,25820,26367.6819033836,-547.681903383582
2010-08-20,25270,26462.9683955195,-1192.96839551953
2010-08-23,25095,26559.3351318898,-1464.33513188975
2010-08-24,24485,26656.7590869318,-2171.75908693181
2010-08-25,24845,26755.2166297906,-1910.21662979065
2010-08-26,25520,26854.683231888,-1334.68323188798
2010-08-27,25630,26955.1335750425,-1325.13357504248
2010-08-30,25825,27056.5417893674,-1231.54178936742
2010-08-31,25320,27158.8814572209,-1838.88145722092
2010-09-01,25680,27262.1256518886,-1582.12565188864
2010-09-02,26220,27366.2466865364,-1146.24668653637
2010-09-03,26225,27471.2162203458,-1246.21622034584
2010-09-06,26540,27577.0054386836,-1037.00543868355
2010-09-07,26390,27683.5850117799,-1293.58501177993
2010-09-08,26450,27790.9251812101,-1340.92518121012
2010-09-09,25445,27898.995653835,-2453.99565383498
2010-09-10,25265,28007.765582229,-2742.76558222905
2010-09-13,25745,28117.2031045841,-2372.20310458406
2010-09-14,25650,28227.275225342,-2577.27522534196
2010-09-15,25285,28337.9479683721,-3052.94796837212
2010-09-16,25170,28449.1862922021,-3279.18629220214
2010-09-17,25985,28560.953893393,-2575.95389339299
2010-09-20,26635,28673.2131130227,-2038.21311302266
2010-09-21,26805,28785.9252273736,-1980.92522737355
2010-09-27,26570,28899.0506702105,-2329.05067021048
2010-09-28,26685,29012.5490564672,-2327.54905646721
2010-09-29,26910,29126.3790383381,-2216.37903833813
2010-09-30,26875,29240.4983059046,-2365.49830590459
2010-10-08,27655,29354.8636330852,-1699.86363308524
2010-10-11,29065,29469.4308159972,-404.430815997204
2010-10-12,29335,29584.1549481018,-249.154948101847
2010-10-13,30675,29698.9909556852,976.00904431478
2010-10-14,31570,29813.8936620427,1756.10633795728
2010-10-15,32040,29928.8182939128,2111.18170608716
2010-10-18,31580,30043.7208039376,1536.27919606241
2010-10-19,31720,30158.5580174368,1561.44198256324
2010-10-20,31785,30273.2873947661,1511.71260523393
2010-10-21,31170,30387.8670417186,782.132958281448
2010-10-22,31000,30502.2556889689,497.744311031143
2010-10-25,32610,30616.4123904933,1993.58760950669
2010-10-26,32660,30730.2964060155,1929.70359398447
2010-10-27,31210,30843.8678193289,366.132180671061
2010-10-28,32320,30957.0875118887,1362.91248811132
2010-10-29,30740,31069.9165164943,-329.916516494286
2010-11-01,31420,31182.3164293172,237.683570682812
2010-11-02,32055,31294.2487101567,760.751289843294
2010-11-03,32645,31405.6749170594,1239.32508294064
2010-11-04,34130,31516.5569225364,2613.44307746359
2010-11-05,35025,31626.8571113851,3398.14288861486
2010-11-08,35865,31736.5389486979,4128.46105130214
2010-11-09,37370,31845.56730422,5524.43269578004
2010-11-10,37795,31953.9087542368,5841.0912457632
2010-11-11,36755,32061.5321586123,4693.46784138768
2010-11-12,35790,32168.408791682,3621.59120831798
2010-11-15,33750,32274.5118678736,1475.48813212643
2010-11-16,33520,32379.8160986357,1140.18390136434
2010-11-17,32500,32484.2968053225,15.7031946774751
2010-11-18,33225,32587.9297805971,637.070219402875
2010-11-19,34415,32690.6908236107,1724.3091763893
2010-11-22,33215,32792.5559968541,422.4440031459
2010-11-23,32220,32893.5020755801,-673.502075580119
2010-11-24,32285,32993.5060096602,-708.506009660242
2010-11-25,31280,33092.5444705695,-1812.54447056946
2010-11-26,30375,33190.5938369126,-2815.59383691261
2010-11-29,30650,33287.6297380645,-2637.62973806448
2010-11-30,30880,33383.626639543,-2503.62663954304
2010-12-01,31160,33478.5579165812,-2318.55791658123
2010-12-02,31700,33572.3959095083,-1872.39590950835
2010-12-03,32365,33665.1120002579,-1300.11200025786
2010-12-06,32835,33756.6767967916,-921.676796791596
2010-12-07,33225,33847.0603696539,-622.060369653866
2010-12-08,32200,33936.2324084051,-1736.23240840509
2010-12-09,33100,34024.1623454728,-924.1623454728
2010-12-10,33805,34110.8188955939,-305.818895593907
2010-12-13,35320,34196.1703914959,1123.82960850408
2010-12-14,35535,34280.1850394923,1254.81496050774
2010-12-15,34735,34362.8315104417,372.168489558325
2010-12-16,35050,34444.0789938951,605.921006104887
2010-12-17,36145,34523.8968332395,1621.10316676046
2010-12-20,37320,34602.2546223284,2717.74537767162
2010-12-21,37685,34679.1226251108,3005.87737488922
2010-12-22,36585,34754.4722289429,1830.52777105711
2010-12-23,37175,34828.2760636951,2346.72393630489
2010-12-24,37300,34900.507515902,2399.49248409805
2010-12-27,37110,34971.1409421326,2138.85905786736
2010-12-28,36030,35040.1516908201,989.848309179911
2010-12-29,36255,35107.515994507,1147.48400549296
2010-12-30,36545,35173.2104949042,1371.7895050958
2010-12-31,37190,35237.2123080466,1952.78769195342
2011-01-04,37610,35299.4991170102,2310.50088298981
2011-01-05,38100,35360.0494120724,2739.95058792765
2011-01-06,38365,35418.8426385821,2946.15736141793
2011-01-07,36785,35475.8593744754,1309.14062552457
2011-01-10,37240,35531.0814155095,1708.91858449049
2011-01-11,37640,35584.4910985836,2055.50890141637
2011-01-12,38280,35636.0714670055,2643.92853299455
2011-01-13,38060,35685.8064137347,2374.19358626533
2011-01-14,38570,35733.6809246318,2836.31907536818
2011-01-17,38260,35779.6809669531,2480.31903304692
2011-01-18,38125,35823.793680375,2301.20631962502
2011-01-19,39920,35866.007229837,4053.99277016303
2011-01-20,40130,35906.3107315084,4223.68926849163
2011-01-21,40650,35944.6949773073,4705.30502269273
2011-01-24,40465,35981.1525050633,4483.8474949367
2011-01-25,39665,36015.6777975875,3649.32220241251
2011-01-26,39280,36048.2671911355,3231.73280886452
2011-01-27,40550,36078.9185304412,4471.08146955882
2011-01-28,40940,36107.63099611,4832.36900388999
2011-01-31,40920,36134.4056169105,4785.59438308946
2011-02-01,41710,36159.2454191196,5550.75458088043
2011-02-09,42215,36182.1554071904,6032.84459280956
2011-02-10,42765,36203.14288003,6561.85711997003
2011-02-11,42685,36222.217630278,6462.78236972201
2011-02-14,42860,36239.3921629864,6620.60783701364
2011-02-15,41905,36254.6816546658,5650.31834533416
2011-02-16,41850,36268.1040185093,5581.89598149073
2011-02-17,41305,36279.6795033316,5025.32049666845
2011-02-18,40310,36289.4306652787,4020.56933472127
2011-02-21,40500,36297.3821377581,4202.61786224185
2011-02-22,39700,36303.5602161213,3396.43978387872
2011-02-23,39530,36307.9929329143,3222.00706708569
2011-02-24,38355,36310.7097246327,2044.29027536729
2011-02-25,38285,36311.7413596215,1973.25864037847
2011-02-28,39315,36311.1194512509,3003.88054874906
