"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2019-05-28,14240,13928.1699701993,311.830029800707
2019-05-29,14170,13931.2143195375,238.785680462478
2019-05-30,14140,13934.2189360376,205.781063962439
2019-05-31,14155,13937.1835984619,217.816401538136
2019-06-03,14125,13940.1081706345,184.891829365485
2019-06-04,14030,13942.9926064163,87.0073935837429
2019-06-05,14085,13945.8369360945,139.163063905513
2019-06-06,13950,13948.641225922,1.35877407796743
2019-06-10,13940,13951.4055996762,-11.4055996761951
2019-06-11,14035,13954.1301816959,80.8698183040855
2019-06-12,13980,13956.8150916055,23.1849083945244
2019-06-13,13955,13959.4604824575,-4.46048245754156
2019-06-14,13910,13962.0665168884,-52.0665168884414
2019-06-17,13810,13964.6333556907,-154.633355690684
2019-06-18,13810,13967.1611381347,-157.161138134659
2019-06-19,13865,13969.6499395716,-104.649939571611
2019-06-20,13910,13972.0997703886,-62.0997703885629
2019-06-21,13765,13974.5105977145,-209.510597714451
2019-06-24,13830,13976.8823630087,-146.882363008719
2019-06-25,13910,13979.2149211275,-69.2149211275464
2019-06-26,13910,13981.5080662119,-71.5080662119056
2019-06-27,13900,13983.7615637919,-83.7615637918867
2019-06-28,13830,13985.9751498393,-155.975149839314
2019-07-01,13750,13988.1485257021,-238.148525702088
2019-07-02,13710,13990.2813282545,-280.281328254498
2019-07-03,13650,13992.3730959296,-342.373095929631
2019-07-04,13775,13994.4232513036,-219.423251303647
2019-07-05,13790,13996.4310754293,-206.431075429285
2019-07-08,13770,13998.3957586587,-228.39575865875
2019-07-09,13745,14000.3164060137,-255.31640601373
2019-07-10,13815,14002.1920281065,-187.192028106519
2019-07-11,13805,14004.0215300117,-199.021530011651
2019-07-12,13770,14005.8037394261,-235.803739426149
2019-07-15,13865,14007.5374017795,-142.537401779549
2019-07-16,13885,14009.2211650294,-124.221165029447
2019-07-17,13885,14010.8536182143,-125.853618214294
2019-07-18,13870,14012.4332990246,-142.43329902459
2019-07-19,13935,14013.9586931279,-78.9586931279055
2019-07-22,13860,14015.4282273155,-155.428227315529
2019-07-23,13750,14016.8402957407,-266.840295740744
2019-07-24,13790,14018.1932283087,-228.193228308671
2019-07-25,13890,14019.4852446236,-129.485244623584
2019-07-26,13875,14020.7144699637,-145.714469963749
2019-07-29,13880,14021.8789760836,-141.878976083607
2019-07-30,13930,14022.9767745049,-92.9767745048746
2019-07-31,13895,14024.0058181025,-129.005818102516
2019-08-01,13855,14024.9640213182,-169.964021318238
2019-08-02,13795,14025.8492452681,-230.849245268138
2019-08-05,13880,14026.6592808121,-146.659280812081
2019-08-06,13865,14027.391823386,-162.391823385999
2019-08-07,13805,14028.0445078028,-223.044507802832
2019-08-08,13885,14028.6149017495,-143.614901749488
2019-08-09,13915,14029.1004807151,-114.100480715061
2019-08-12,14185,14029.4986608237,155.501339176261
2019-08-13,14200,14029.8068110356,170.193188964422
2019-08-14,14175,14030.0223645885,144.977635411474
2019-08-15,14200,14030.1428250713,169.857174928663
2019-08-16,14170,14030.165756001,139.834243999025
2019-08-19,14395,14030.0887911063,364.911208893678
2019-08-20,14335,14029.9096219182,305.090378081778
2019-08-21,14335,14029.6260908071,305.373909192892
2019-08-22,14340,14029.2361662555,310.763833744487
2019-08-23,14285,14028.7379429753,256.26205702466
2019-08-26,14215,14028.1296441355,186.870355864489
2019-08-27,14250,14027.4095988336,222.590401166429
2019-08-28,14290,14026.5762134119,263.423786588092
2019-08-29,14225,14025.6279862225,199.372013777514
2019-08-30,14260,14024.5635245064,235.436475493558
2019-09-02,14355,14023.3815179171,331.618482082929
2019-09-03,14310,14022.0807534277,287.919246572327
2019-09-04,14355,14020.660155089,334.339844911002
2019-09-05,14330,14019.1187659664,310.881234033626
2019-09-06,14395,14017.455767328,377.54423267197
2019-09-09,14420,14015.6704689474,404.32953105256
2019-09-10,14360,14013.7623366599,346.237663340118
2019-09-11,14415,14011.7310034343,403.268996565669
2019-09-12,14425,14009.5762453604,415.423754639569
2019-09-16,14280,14007.2980052232,272.701994776824
2019-09-17,14240,14004.8963975266,235.103602473416
2019-09-18,14215,14002.371649499,212.628350500966
2019-09-19,14135,13999.7240855512,135.275914448774
2019-09-20,14225,13996.954117986,228.045882013966
2019-09-23,14215,13994.0622150236,220.937784976444
2019-09-24,14155,13991.0489391496,163.951060850382
2019-09-25,14110,13987.914944176,122.085055824038
2019-09-26,14040,13984.6609516856,55.3390483144325
2019-09-27,13975,13981.2877337263,-6.28773372629254
2019-09-30,14015,13977.796085221,37.2039147789993
2019-10-08,13960,13974.1867984936,-14.1867984935571
2019-10-09,13905,13970.4606812464,-65.4606812463701
2019-10-10,13900,13966.6185353176,-66.6185353175766
2019-10-11,13790,13962.6611354866,-172.661135486573
2019-10-14,13735,13958.5892289952,-223.58922899524
2019-10-15,13765,13954.4034917143,-189.403491714283
2019-10-16,13835,13950.1045070916,-115.104507091616
2019-10-17,13835,13945.6927802835,-110.692780283452
2019-10-18,13850,13941.1687688662,-91.1687688662244
2019-10-21,13760,13936.5328846607,-176.532884660678
2019-10-22,13795,13931.7855018019,-136.785501801893
2019-10-23,13790,13926.9269214533,-136.926921453311
2019-10-24,13825,13921.9573882371,-96.9573882370762
2019-10-25,13805,13916.877090175,-111.87709017501
2019-10-28,13825,13911.6861752105,-86.6861752105033
2019-10-29,13785,13906.3847450418,-121.384745041835
2019-10-30,13845,13900.9728655344,-55.9728655343568
2019-10-31,13840,13895.4505523779,-55.4505523779222
2019-11-01,13875,13889.8177981256,-14.8177981255552
2019-11-04,13945,13884.0745724093,60.9254275906659
2019-11-05,13965,13878.2208387358,86.779161264173
2019-11-06,13955,13872.2565857961,82.7434142038557
2019-11-07,13980,13866.1818381523,113.818161847663
2019-11-08,14030,13859.996654569,170.003345430954
2019-11-11,13895,13853.701140859,41.2988591409819
2019-11-12,13815,13847.2954731076,-32.2954731075541
2019-11-13,13805,13840.7798444709,-35.779844470941
2019-11-14,13695,13834.1544347563,-139.154434756307
2019-11-15,13670,13827.4194089802,-157.419408980229
2019-11-18,13795,13820.5748746388,-25.5748746387843
2019-11-19,13740,13813.6208741573,-73.6208741573124
2019-11-20,13780,13806.5574393893,-26.5574393892811
2019-11-21,13865,13799.3845717564,65.6154282435768
2019-11-22,13855,13792.1022617023,62.8977382977117
2019-11-25,13805,13784.7105267937,20.2894732062836
2019-11-26,13755,13777.2094105969,-22.2094105968761
2019-11-27,13735,13769.5989650644,-34.5989650644288
2019-11-28,13810,13761.8792329691,48.1207670309303
2019-11-29,13885,13754.0502427812,130.949757218778
2019-12-02,13950,13746.1120428629,203.887957137145
2019-12-03,13945,13738.0647357049,206.935264295113
2019-12-04,13970,13729.9085080779,240.091491922145
2019-12-05,13930,13721.6436322904,208.356367709563
2019-12-06,13840,13713.270479896,126.729520104035
2019-12-09,13935,13704.7895085734,230.210491426592
2019-12-10,13990,13696.201228387,293.79877161296
2019-12-11,14000,13687.506244561,312.493755439032
2019-12-12,13880,13678.7052837635,201.294716236488
2019-12-13,13945,13669.7992018356,275.200798164392
2019-12-16,13915,13660.7889378252,254.211062174792
2019-12-17,14015,13651.6755445374,363.324455462615
2019-12-18,14100,13642.4601798576,457.539820142383
2019-12-19,14200,13633.1441518553,566.855848144737
2019-12-20,14175,13623.7289577282,551.271042271806
2019-12-23,14185,13614.2163289896,570.783671010384
2019-12-24,14235,13604.608225026,630.391774973953
2019-12-25,14235,13594.9068411631,640.09315883687
2019-12-26,14055,13585.1146333051,469.885366694904
2019-12-27,14075,13575.234321945,499.765678055048
2019-12-30,14090,13565.2688218071,524.731178192866
2019-12-31,14110,13555.2212541995,554.778745800466
2020-01-02,14090,13545.0949573326,544.905042667397
2020-01-03,14085,13534.8934987401,550.106501259888
2020-01-06,14105,13524.6206711976,580.379328802428
2020-01-07,14070,13514.2804948723,555.719505127746
2020-01-08,14155,13503.8772298374,651.122770162636
2020-01-09,14080,13493.4153658777,586.584634122334
2020-01-10,14110,13482.8996619262,627.100338073757
2020-01-13,13960,13472.3351193865,487.664880613486
2020-01-14,13930,13461.7269988801,468.273001119884
2020-01-15,13970,13451.0807626097,518.919237390327
2020-01-16,14300,13440.402066343,859.597933656978
2020-01-17,14280,13429.6967803483,850.303219651734
2020-01-20,14210,13418.9711302168,791.028869783158
2020-01-21,14120,13408.2316930213,711.768306978693
2020-01-22,14165,13397.4853728137,767.514627186256
2020-01-23,14100,13386.7393678626,713.260632137374
2020-02-03,13605,13376.0011936961,228.998806303877
2020-02-04,13605,13365.2786606757,239.721339324343
2020-02-05,13625,13354.5796738216,270.420326178424
2020-02-06,13670,13343.9122372453,326.087762754692
2020-02-07,13725,13333.2844668393,391.715533160669
2020-02-10,13715,13322.7046132875,392.295386712471
2020-02-11,13780,13312.1810891933,467.818910806677
2020-02-12,13745,13301.7224693193,443.277530680724
2020-02-13,13705,13291.3375218054,413.662478194613
2020-02-14,13720,13281.0351980246,438.964801975364
2020-02-17,13690,13270.8246203419,419.17537965809
2020-02-18,13725,13260.7150925721,464.284907427918
2020-02-19,13710,13250.7160918004,459.28390819963
2020-02-20,13670,13240.8372870288,429.16271297117
2020-02-21,13580,13231.0885371088,348.911462891191
2020-02-24,13530,13221.4798782906,308.520121709398
2020-02-25,13535,13212.0214910499,322.978508950055
2020-02-26,13490,13202.7236833927,287.276316607285
2020-02-27,13430,13193.5968968311,236.403103168894
2020-02-28,13110,13184.651691626,-74.6516916260127
2020-03-02,13255,13175.8987257572,79.1012742427867
2020-03-03,13280,13167.3486263471,112.651373652921
2020-03-04,13205,13159.0120532151,45.987946784858
2020-03-05,13205,13150.8997127466,54.1002872534094
2020-03-06,13175,13143.0223303355,31.9776696644531
2020-03-09,12890,13135.3906537396,-245.390653739607
2020-03-10,12985,13128.0154439348,-143.015443934809
2020-03-11,12935,13120.9073604622,-185.907360462158
2020-03-12,12870,13114.0770037456,-244.077003745581
2020-03-13,12920,13107.5348973632,-187.534897363171
2020-03-16,12820,13101.2914640004,-281.291464000374
2020-03-17,12740,13095.3570488244,-355.357048824415
2020-03-18,12300,13089.7418807271,-789.74188072709
2020-03-19,11805,13084.4560417109,-1279.45604171087
2020-03-20,11995,13079.5092873291,-1084.50928732911
2020-03-23,11345,13074.9108442604,-1729.91084426044
2020-03-24,11435,13070.6694908916,-1635.66949089157
2020-03-25,11700,13066.7932905325,-1366.79329053249
