"L0Date","L0Close","L0_hpft","L0_hpfc"
2017-06-19,8910,9321.44545420491,-411.445454204912
2017-06-20,8890,9323.67979688139,-433.679796881385
2017-06-21,8840,9326.06881129378,-486.068811293779
2017-06-22,8690,9328.61006495054,-638.610064950542
2017-06-23,8730,9331.30092443909,-601.30092443909
2017-06-26,8820,9334.13849237133,-514.138492371335
2017-06-27,8880,9337.11962280518,-457.119622805179
2017-06-28,8830,9340.24095727462,-510.240957274616
2017-06-29,8975,9343.49894835864,-368.498948358639
2017-06-30,9025,9346.88983772331,-321.889837723306
2017-07-03,9030,9350.40971471189,-320.409714711891
2017-07-04,8820,9354.05453561107,-534.054535611071
2017-07-05,8825,9357.82012426359,-532.820124263587
2017-07-06,8955,9361.70208375538,-406.702083755384
2017-07-07,9015,9365.69579692554,-350.695796925542
2017-07-10,8860,9369.79647849931,-509.796478499307
2017-07-11,9005,9373.99919823829,-368.999198238294
2017-07-13,9135,9378.29881517463,-243.298815174628
2017-07-14,9160,9382.69003581111,-222.690035811114
2017-07-17,9165,9387.16746608059,-222.167466080586
2017-07-18,9220,9391.72561986464,-171.725619864645
2017-07-19,9250,9396.35891920992,-146.358919209925
2017-07-20,9650,9401.06171517871,248.938284821288
2017-07-21,9660,9405.8282983341,254.171701665899
2017-07-24,9640,9410.6530621405,229.346937859503
2017-07-25,9630,9415.53050512649,214.469494873514
2017-07-26,9540,9420.45522062376,119.544779376236
2017-07-27,9550,9425.4218906168,124.578109383197
2017-07-28,9400,9430.42524650511,-30.4252465051118
2017-07-31,9560,9435.46007118389,124.539928816107
2017-08-01,9655,9440.52113497175,214.478865028252
2017-08-02,9665,9445.603259667,219.396740333005
2017-08-03,9525,9450.70135572498,74.2986442750194
2017-08-04,9700,9455.81042429079,244.189575709213
2017-08-07,9575,9460.92549722159,114.074502778405
2017-08-08,9780,9466.04170731272,313.958292687275
2017-08-09,9805,9471.15423451332,333.845765486677
2017-08-10,9820,9476.25838855026,343.741611449745
