"AUDCADDate","AUDCADClose","AUDCAD_hpft","AUDCAD_hpfc"
2020-11-10,0.9497,0.961741754829373,-0.0120417548293726
2020-11-11,0.9509,0.961979102932036,-0.0110791029320358
2020-11-12,0.9507,0.962215493226816,-0.011515493226816
2020-11-13,0.9547,0.962450838699797,-0.00775083869979675
2020-11-16,0.9572,0.96268504757702,-0.00548504757701973
2020-11-17,0.9567,0.962918024880648,-0.00621802488064765
2020-11-18,0.9563,0.963149673365536,-0.00684967336553571
2020-11-19,0.9523,0.963379893216262,-0.0110798932162617
2020-11-20,0.9562,0.963608581786026,-0.00740858178602555
2020-11-23,0.9535,0.963835631848044,-0.010335631848044
2020-11-24,0.95679,0.964060933113124,-0.00727093311312373
2020-11-25,0.95804,0.964284371019733,-0.00624437101973334
2020-11-26,0.95831,0.964505828000838,-0.00619582800083747
2020-11-27,0.9596,0.964725183908224,-0.00512518390822367
2020-11-30,0.95534,0.964942316032575,-0.00960231603257502
2020-12-01,0.9537,0.965157099546024,-0.0114570995460245
2020-12-02,0.958,0.965369405651504,-0.00736940565150443
2020-12-03,0.95731,0.965579100816033,-0.00826910081603328
2020-12-04,0.94927,0.965786048460415,-0.0165160484604155
2020-12-07,0.94974,0.965990108587342,-0.016250108587342
2020-12-08,0.9497,0.966191134372438,-0.016491134372438
2020-12-09,0.95365,0.966388972274182,-0.0127389722741819
2020-12-10,0.9599,0.966583461934284,-0.00668346193428382
2020-12-11,0.96253,0.966774437728675,-0.00424443772867486
2020-12-14,0.96151,0.966961731270611,-0.00545173127061089
2020-12-15,0.96003,0.967145172418869,-0.00711517241886853
2020-12-16,0.96535,0.967324588778682,-0.00197458877868224
2020-12-17,0.97,0.967499805014188,0.00250019498581234
2020-12-18,0.9746,0.967670644973291,0.00692935502670855
2020-12-21,0.97536,0.967836933537384,0.00752306646261648
2020-12-22,0.97102,0.967998498452163,0.00302150154783677
2020-12-23,0.97329,0.968155170573065,0.00513482942693549
2020-12-24,0.9771,0.9683067820045,0.00879321799550015
2020-12-25,0.9783,0.968453166973397,0.00984683302660305
2020-12-28,0.97376,0.968594163341468,0.00516583665853246
2020-12-29,0.9753,0.968729613040692,0.00657038695930758
2020-12-30,0.98015,0.968859360138392,0.0112906398616081
2020-12-31,0.9795,0.968983251417848,0.0105167485821515
2021-01-01,0.97885,0.969101138329411,0.00974886167058915
2021-01-04,0.97952,0.969212876670655,0.0103071233293451
2021-01-05,0.98331,0.969318326268934,0.0139916737310665
2021-01-06,0.98931,0.969417351212143,0.0198926487878574
2021-01-07,0.98574,0.969509821371794,0.0162301786282058
2021-01-08,0.9853,0.969595614842181,0.0157043851578186
2021-01-11,0.9839,0.969674616426538,0.0142253835734621
2021-01-12,0.98806,0.969746717419653,0.0183132825803469
2021-01-13,0.9819,0.969811814996502,0.0120881850034975
2021-01-14,0.98348,0.969869813902046,0.0136101860979542
2021-01-15,0.98086,0.969920623878013,0.0109393761219869
2021-01-18,0.97989,0.969964160292038,0.00992583970796234
2021-01-19,0.98007,0.970000343033643,0.0100696569663566
2021-01-20,0.9786,0.970029096095315,0.00857090390468532
2021-01-21,0.98129,0.970050347631911,0.0112396523680888
2021-01-22,0.98287,0.970064029341164,0.0128059706588358
2021-01-25,0.98293,0.970070077566826,0.0128599224331741
2021-01-26,0.98348,0.970068433946122,0.013411566053878
2021-01-27,0.98123,0.970059045432062,0.0111709545679378
2021-01-28,0.98579,0.970041864521438,0.0157481354785617
2021-01-29,0.97649,0.970016848328692,0.00647315167130794
2021-02-01,0.97969,0.969983960477877,0.00970603952212339
2021-02-02,0.9723,0.969943167268817,0.00235683273118309
2021-02-03,0.97405,0.969894439013404,0.00415556098659635
2021-02-04,0.97475,0.969837746997746,0.00491225300225362
2021-02-05,0.97977,0.969773064225711,0.00999693577428927
2021-02-08,0.98153,0.969700365731706,0.0118296342682939
2021-02-09,0.98232,0.969619630682431,0.0127003693175694
2021-02-10,0.9807,0.969530843134502,0.0111691568654983
2021-02-11,0.98503,0.969433992394351,0.0155960076056494
2021-02-12,0.98514,0.969329072385299,0.0158109276147008
2021-02-15,0.9834,0.969216083477429,0.0141839165225706
2021-02-16,0.98412,0.969095032576422,0.0150249674235783
2021-02-17,0.9844,0.968965932451023,0.0154340675489772
2021-02-18,0.98496,0.968828802080684,0.0161311979193161
2021-02-19,0.99272,0.968683666824701,0.024036333175299
2021-02-22,0.9988,0.968530558710325,0.0302694412896755
2021-02-23,0.99597,0.968369519700489,0.0276004802995107
2021-02-24,0.9968,0.968200604270286,0.028599395729714
2021-02-25,0.99212,0.968023878303746,0.0240961216962544
2021-02-26,0.9818,0.967839419506729,0.0139605804932705
2021-03-01,0.98307,0.967647315545461,0.0154226844545395
2021-03-02,0.98811,0.967447659856912,0.020662340143088
2021-03-03,0.984,0.967240552253188,0.0167594477468122
2021-03-04,0.9781,0.967026101087337,0.0110738989126634
2021-03-05,0.97264,0.966804421640125,0.00583557835987502
2021-03-08,0.96887,0.966575633769821,0.00229436623017903
2021-03-09,0.9759,0.966339859746856,0.00956014025314398
2021-03-10,0.9762,0.966097222790101,0.010102777209899
2021-03-11,0.9764,0.965847850070166,0.0105521499298339
2021-03-12,0.96838,0.965591872933769,0.00278812706623091
2021-03-15,0.96724,0.965329427089453,0.0019105729105472
2021-03-16,0.96408,0.965060649398267,-0.000980649398267129
2021-03-17,0.96727,0.964785677511005,0.00248432248899487
2021-03-18,0.96881,0.964504648673097,0.00430535132690282
2021-03-19,0.9675,0.964217701156901,0.00328229884309922
2021-03-22,0.96991,0.963924975014432,0.00598502498556808
2021-03-23,0.9599,0.963626611654482,-0.00372661165448226
2021-03-24,0.95406,0.963322754959799,-0.00926275495979851
2021-03-25,0.9562,0.963013547272708,-0.00681354727270785
2021-03-26,0.96036,0.962699127106677,-0.0023391271066771
2021-03-29,0.96092,0.96237963015873,-0.00145963015872951
2021-03-30,0.95972,0.962055191158988,-0.00233519115898833
2021-03-31,0.95411,0.961725944234229,-0.00761594423422924
2021-04-01,0.95562,0.961392022545948,-0.0057720225459477
2021-04-02,0.9566,0.961053556107524,-0.0044535561075239
2021-04-05,0.9584,0.960710672546397,-0.00231067254639645
2021-04-06,0.9631,0.960363497649097,0.00273650235090282
2021-04-07,0.95998,0.960012156247021,-3.2156247021381e-05
2021-04-08,0.96131,0.959656774302712,0.00165322569728824
2021-04-09,0.95465,0.959297477765435,-0.00464747776543509
2021-04-12,0.95763,0.958934393267823,-0.00130439326782286
2021-04-13,0.95803,0.958567645521428,-0.000537645521428041
2021-04-14,0.96698,0.958197358698626,0.00878264130137441
2021-04-15,0.97235,0.957823656749546,0.0145263432504546
2021-04-16,0.96752,0.95744666725471,0.0100733327452896
2021-04-19,0.97249,0.957066523799244,0.015423476200756
2021-04-20,0.97416,0.956683364132182,0.0174766358678176
2021-04-21,0.96898,0.956297332378017,0.012682667621983
2021-04-22,0.96365,0.955908579885363,0.00774142011463686
2021-04-23,0.96646,0.955517263245344,0.0109427367546558
2021-04-26,0.96682,0.95512354224908,0.0116964577509199
2021-04-27,0.96318,0.954727581210979,0.00845241878902146
2021-04-28,0.95944,0.954329549280284,0.00511045071971555
2021-04-29,0.95382,0.95392961910014,-0.00010961910013972
2021-04-30,0.94809,0.953527965426142,-0.00543796542614175
2021-05-03,0.95308,0.953124762968573,-4.47629685732881e-05
2021-05-04,0.94895,0.952720184189882,-0.00377018418988166
2021-05-05,0.95041,0.952314401534007,-0.00190440153400714
2021-05-06,0.94565,0.951907585886454,-0.00625758588645404
2021-05-07,0.95158,0.951499907345524,8.00926544762551e-05
2021-05-10,0.94783,0.951091533422877,-0.00326153342287673
2021-05-11,0.9489,0.950682631663283,-0.00178263166328343
2021-05-12,0.93745,0.950273368263327,-0.012823368263327
2021-05-13,0.93999,0.949863908682724,-0.00987390868272356
2021-05-14,0.94192,0.949454413080524,-0.00753441308052431
2021-05-17,0.93715,0.949045037534303,-0.0118950375343035
2021-05-18,0.93989,0.948635935007212,-0.00874593500721206
2021-05-19,0.93748,0.94822725354547,-0.0107472535454697
2021-05-20,0.93769,0.947819137580081,-0.0101291375800807
2021-05-21,0.93351,0.947411727099564,-0.0139017270995636
2021-05-24,0.93382,0.947005157905462,-0.0131851579054624
2021-05-25,0.93561,0.946599560052904,-0.010989560052904
2021-05-26,0.93873,0.946195058146799,-0.00746505814679882
2021-05-27,0.9344,0.94579177224942,-0.0113917722494202
2021-05-28,0.93143,0.945389819337284,-0.0139598193372841
2021-05-31,0.93297,0.944989311678007,-0.0120193116780067
2021-06-01,0.936,0.944590355768775,-0.00859035576877459
2021-06-02,0.93299,0.944193053138478,-0.0112030531384776
2021-06-03,0.92758,0.943797501765091,-0.0162175017650908
2021-06-04,0.93563,0.943403794995705,-0.00777379499570515
2021-06-07,0.93694,0.943012019473743,-0.00607201947374327
2021-06-08,0.93723,0.942622258629258,-0.00539225862925837
2021-06-09,0.93643,0.942234593382373,-0.00580459338237319
2021-06-10,0.93787,0.941849102424266,-0.00397910242426617
2021-06-11,0.93672,0.941465862046728,-0.00474586204672841
2021-06-14,0.93671,0.941084946896757,-0.00437494689675688
2021-06-15,0.93688,0.940706429659592,-0.00382642965959229
2021-06-16,0.93426,0.940330381212052,-0.00607038121205217
2021-06-17,0.93281,0.939956870849265,-0.00714687084926546
2021-06-18,0.9322,0.939585965357099,-0.00738596535709895
2021-06-21,0.93173,0.939217728567199,-0.00748772856719938
2021-06-22,0.92961,0.938852221258154,-0.00924222125815423
2021-06-23,0.93232,0.938489501113417,-0.00616950111341727
2021-06-24,0.93441,0.93812962199608,-0.00371962199608005
2021-06-25,0.93316,0.93777263521902,-0.00461263521902024
2021-06-28,0.9337,0.937418590557564,-0.00371859055756396
2021-06-29,0.93146,0.937067535880365,-0.00560753588036457
2021-06-30,0.92986,0.936719517518953,-0.00685951751895333
2021-07-01,0.92935,0.936374579486931,-0.00702457948693056
2021-07-02,0.92788,0.936032762962463,-0.00815276296246336
2021-07-05,0.92933,0.935694106220025,-0.00636410622002503
2021-07-06,0.93361,0.935358644164069,-0.00174864416406878
2021-07-07,0.93402,0.935026409068382,-0.00100640906838217
2021-07-08,0.93144,0.934697432483939,-0.00325743248393941
