"GBPUSDDate","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc"
2020-08-31,1.3365,1.28930695217286,0.0471930478271435
2020-09-01,1.3384,1.28993426899675,0.0484657310032542
2020-09-02,1.3351,1.29056292119952,0.0445370788004832
2020-09-03,1.3281,1.29119297063389,0.0369070293661101
2020-09-04,1.3281,1.29182449756243,0.0362755024375674
2020-09-07,1.3168,1.29245759750359,0.0243424024964115
2020-09-08,1.2982,1.29309238097063,0.00510761902936597
2020-09-09,1.3,1.29372896853902,0.00627103146097697
2020-09-10,1.2812,1.29436748289549,-0.0131674828954883
2020-09-11,1.2795,1.29500804931895,-0.0155080493189546
2020-09-14,1.2846,1.29565078764543,-0.0110507876454345
2020-09-15,1.2889,1.29629581130055,-0.00739581130054773
2020-09-16,1.2967,1.29694322914196,-0.000243229141959675
2020-09-17,1.2973,1.2975931469702,-0.000293146970197405
2020-09-18,1.2917,1.29824567048525,-0.00654567048524854
2020-09-21,1.2816,1.29890090526593,-0.0173009052659316
2020-09-22,1.2737,1.29955895418535,-0.0258589541853469
2020-09-23,1.2727,1.30021991296509,-0.0275199129650906
2020-09-24,1.2745,1.30088386663771,-0.0263838666377083
2020-09-25,1.2744,1.30155088886012,-0.0271508888601238
2020-09-28,1.2833,1.30222104238323,-0.0189210423832333
2020-09-29,1.2857,1.30289437873485,-0.0171943787348455
2020-09-30,1.2924,1.30357094162157,-0.0111709416215666
2020-10-01,1.2887,1.30425076764254,-0.0155507676425394
2020-10-02,1.2935,1.3049338887793,-0.0114338887792951
2020-10-05,1.2983,1.30562033058529,-0.00732033058529288
2020-10-06,1.2875,1.30631011388769,-0.0188101138876909
2020-10-07,1.292,1.30700325648771,-0.0150032564877132
2020-10-08,1.2936,1.30769976841124,-0.0140997684112405
2020-10-09,1.3046,1.30839965348241,-0.00379965348240703
2020-10-12,1.3065,1.30910290969708,-0.00260290969707974
2020-10-13,1.2935,1.30980953348048,-0.0163095334804755
2020-10-14,1.3012,1.3105195201819,-0.00931952018190457
2020-10-15,1.2905,1.31123285840896,-0.0207328584089567
2020-10-16,1.2917,1.31194953291691,-0.0202495329169079
2020-10-19,1.2949,1.31266951989091,-0.0177695198909104
2020-10-20,1.2948,1.31339278714576,-0.0185927871457629
2020-10-21,1.3147,1.31411929515107,0.000580704848928803
2020-10-22,1.3083,1.31484899669092,-0.00654899669092022
2020-10-23,1.3044,1.31558184478944,-0.0111818447894408
2020-10-26,1.3024,1.31631778976366,-0.0139177897636634
2020-10-27,1.3047,1.3170567773085,-0.012356777308503
2020-10-28,1.2983,1.31779874736582,-0.0194987473658153
2020-10-29,1.2929,1.31854363476967,-0.0256436347696655
2020-10-30,1.2951,1.31929136629412,-0.0241913662941202
2020-11-02,1.2919,1.32004185811319,-0.0281418581131906
2020-11-03,1.3064,1.32079501640116,-0.0143950164011583
2020-11-04,1.2986,1.3215507356996,-0.0229507356995957
2020-11-05,1.3152,1.32230890459974,-0.00710890459974188
2020-11-06,1.3157,1.32306940220593,-0.0073694022059314
2020-11-09,1.3164,1.32383210468398,-0.00743210468398059
2020-11-10,1.3275,1.32459688515346,0.00290311484654163
2020-11-11,1.3224,1.32536361366181,-0.00296361366181325
2020-11-12,1.3123,1.32613216145653,-0.0138321614565284
2020-11-13,1.32,1.32690239856005,-0.00690239856004702
2020-11-16,1.32,1.32767418927715,-0.00767418927715181
2020-11-17,1.3249,1.32844739505946,-0.00354739505945625
2020-11-18,1.3269,1.32922187418637,-0.00232187418636736
2020-11-19,1.3262,1.32999748347094,-0.00379748347094337
2020-11-20,1.3288,1.33077407876647,-0.00197407876647348
2020-11-23,1.3323,1.33155151435652,0.000748485643478908
2020-11-24,1.3362,1.33232964370864,0.00387035629135895
2020-11-25,1.33845,1.33310832059979,0.00534167940021444
2020-11-26,1.33581,1.33388740040676,0.00192259959324491
2020-11-27,1.3314,1.33466674071439,-0.00326674071438623
2020-11-30,1.3325,1.33544619990224,-0.0029461999022402
2020-12-01,1.342,1.33622563499954,0.00577436500046034
2020-12-02,1.33695,1.33700490181767,-5.49018176661942e-05
2020-12-03,1.345,1.33778385855489,0.00721614144510839
2020-12-04,1.34465,1.33856236338679,0.00608763661320549
2020-12-07,1.3381,1.33934027747181,-0.00124027747181403
2020-12-08,1.3355,1.34011746448477,-0.00461746448477476
2020-12-09,1.3406,1.34089378758782,-0.000293787587820441
2020-12-10,1.3293,1.34166910803442,-0.0123691080344212
2020-12-11,1.32285,1.34244328695661,-0.0195932869566075
2020-12-14,1.33292,1.34321618037352,-0.0102961803735153
2020-12-15,1.3465,1.34398763620521,0.00251236379479118
2020-12-16,1.351,1.34475749811572,0.00624250188427999
2020-12-17,1.35805,1.34552561080759,0.0125243891924084
2020-12-18,1.35215,1.34629182156377,0.0058581784362301
2020-12-21,1.34675,1.34705598284427,-0.000305982844271636
2020-12-22,1.33625,1.34781794953066,-0.0115679495306594
2020-12-23,1.34925,1.34857757637801,0.000672423621986767
2020-12-24,1.3552,1.34933471335968,0.00586528664032174
2020-12-25,1.33501,1.35008921072696,-0.0150792107269594
2020-12-28,1.34525,1.35084092115564,-0.00559092115563851
2020-12-29,1.35015,1.35158969108835,-0.00143969108834933
2020-12-30,1.36245,1.35233536465667,0.0101146353433264
2020-12-31,1.36685,1.35307778539707,0.0137722146029254
2021-01-01,1.3673,1.353816801027,0.0134831989730027
2021-01-04,1.35705,1.35455226495678,0.00249773504321926
2021-01-05,1.36265,1.35528403617016,0.00736596382983662
2021-01-06,1.36087,1.35601197468335,0.00485802531664783
2021-01-07,1.35655,1.35673594355734,-0.000185943557341512
2021-01-08,1.35655,1.35745580786125,-0.000905807861247714
2021-01-11,1.35165,1.35817143258732,-0.00652143258731813
2021-01-12,1.36655,1.35888268235337,0.00766731764662798
2021-01-13,1.36395,1.35958941908153,0.00436058091846593
2021-01-14,1.36867,1.36029150786329,0.00837849213670601
2021-01-15,1.35885,1.36098881559264,-0.00213881559263687
2021-01-18,1.35863,1.36168121262686,-0.00305121262685629
2021-01-19,1.36312,1.36236856843917,0.000751431560829777
2021-01-20,1.36541,1.36305075124154,0.00235924875846416
2021-01-21,1.37285,1.36372762955651,0.00912237044348729
2021-01-22,1.3685,1.3643990728819,0.00410092711809562
2021-01-25,1.36755,1.36506495448631,0.00248504551368889
2021-01-26,1.37347,1.3657251493335,0.00774485066649542
2021-01-27,1.36885,1.36637953341447,0.00247046658553395
2021-01-28,1.3724,1.3670279859216,0.00537201407839588
2021-01-29,1.37125,1.3676703870685,0.0035796129315003
2021-02-01,1.3661,1.36830661928932,-0.00220661928931775
2021-02-02,1.36679,1.3689365664979,-0.00214656649790029
2021-02-03,1.36431,1.36956011169592,-0.00525011169592433
2021-02-04,1.3673,1.37017713699781,-0.00287713699780664
2021-02-05,1.37345,1.37078752234775,0.00266247765224764
2021-02-08,1.37404,1.37139114650068,0.00264885349932462
2021-02-09,1.38165,1.37198788931207,0.00966211068793137
2021-02-10,1.3835,1.37257763173234,0.0109223682676562
2021-02-11,1.38166,1.37316025870583,0.00849974129416724
2021-02-12,1.38515,1.37373565969175,0.0114143403082501
