"LUMDate","LUMClose","LUM_hpft","LUM_hpfc"
2021-02-02,2942,2878.40663772887,63.5933622711324
2021-02-03,2952,2885.45929727554,66.5407027244557
2021-02-04,2974,2892.48273305474,81.5172669452576
2021-02-05,3025,2899.47448089816,125.525519101835
2021-02-08,3045,2906.43211033324,138.567889666757
2021-02-09,3120,2913.35324277469,206.646757225311
2021-02-10,3055,2920.2355569156,134.764443084402
2021-02-18,3239,2927.07681686847,311.923183131527
2021-02-19,3185,2933.87484245217,251.12515754783
2021-02-22,3211,2940.62758242183,270.372417578168
2021-02-23,3296,2947.33308933775,348.666910662249
2021-02-24,3262,2953.98952752135,308.010472478649
2021-02-25,3357,2960.5952054189,396.404794581104
2021-02-26,3290,2967.14855879579,322.85144120421
2021-03-01,3266,2973.6481872752,292.351812724797
2021-03-02,3113,2980.09282393418,132.907176065822
2021-03-03,3150,2986.48132269624,163.518677303758
2021-03-04,3211,2992.8125924233,218.187407576697
2021-03-05,3377,2999.08560956942,377.914390430585
2021-03-08,3502,3005.2994407784,496.700559221598
2021-03-09,3361,3011.45330890904,349.546691090959
2021-03-10,3278,3017.54664213569,260.453357864313
2021-03-11,3331,3023.57901312156,307.420986878443
2021-03-12,3360,3029.55010219085,330.449897809154
2021-03-15,3440,3035.45971674294,404.540283257062
2021-03-16,3332,3041.30780077208,290.692199227923
2021-03-17,3354,3047.09446549329,306.905534506711
2021-03-18,3260,3052.81994228188,207.180057718122
2021-03-19,3042,3058.4845893757,-16.4845893757011
2021-03-22,3155,3064.08885065246,90.911149347542
2021-03-23,3132,3069.63316317573,62.3668368242668
2021-03-24,3038,3075.11800158808,-37.1180015880754
2021-03-25,3088,3080.5438663122,7.45613368780331
2021-03-26,3074,3085.91124242757,-11.9112424275717
2021-03-29,3105,3091.22061809582,13.7793819041758
2021-03-30,3163,3096.47247655485,66.527523445147
2021-03-31,3157,3101.66730673842,55.3326932615757
2021-04-01,3084,3106.80562508024,-22.8056250802359
2021-04-02,3214,3111.88797088597,102.112029114033
2021-04-06,3104,3116.91487403475,-12.9148740347468
2021-04-07,3075,3121.88690661451,-46.8869066145141
2021-04-08,3076,3126.80463537478,-50.8046353747787
2021-04-09,3118,3131.66860768383,-13.6686076838281
2021-04-12,3106,3136.47934990942,-30.4793499094193
2021-04-13,3174,3141.23738276917,32.762617230834
2021-04-14,3225,3145.94321438181,79.056785618192
2021-04-15,3322,3150.59736640892,171.402633591084
2021-04-16,3336,3155.20039319084,180.799606809162
2021-04-19,3290,3159.75291991888,130.247080081125
2021-04-20,3295,3164.25564651972,130.744353480277
2021-04-21,3219,3168.70932675886,50.290673241143
2021-04-22,3135,3173.11476844627,-38.1147684462653
2021-04-23,3176,3177.47280018014,-1.472800180143
2021-04-26,3142,3181.78423480349,-39.7842348034887
2021-04-27,3178,3186.04988455049,-8.04988455048683
2021-04-28,3203,3190.27054521013,12.7294547898704
2021-04-29,3236,3194.44700924405,41.5529907559465
2021-04-30,3243,3198.58007437567,44.4199256243328
2021-05-06,3286,3202.67055550458,83.3294444954184
2021-05-07,3311,3206.71928589191,104.28071410809
2021-05-10,3308,3210.72713324385,97.2728667561526
2021-05-11,3218,3214.69500837191,3.3049916280941
2021-05-12,3305,3218.62386229652,86.3761377034789
