"LH0Date","LH0Close","LH0_hpft","LH0_hpfc"
2022-04-12,12695,16424.8909112454,-3729.89091124536
2022-04-13,12750,16488.4301180954,-3738.43011809536
2022-04-14,12695,16552.6468256059,-3857.64682560586
2022-04-15,12660,16617.5080852926,-3957.50808529264
2022-04-18,13400,16682.9793540747,-3282.9793540747
2022-04-19,18030,16749.0244529949,1280.97554700507
2022-04-20,17855,16815.6058460451,1039.39415395492
2022-04-21,17800,16882.6865267203,917.313473279705
2022-04-22,18030,16950.2299181607,1079.77008183933
2022-04-25,18430,17018.199822686,1411.80017731396
2022-04-26,18330,17086.5604889496,1243.43951105045
2022-04-27,18575,17155.2767491872,1419.72325081284
2022-04-28,18420,17224.3139496198,1195.68605038015
2022-04-29,18555,17293.6380233283,1261.36197667168
2022-05-05,18395,17363.2153976394,1031.78460236064
2022-05-06,18485,17433.0130212772,1051.98697872275
2022-05-09,19155,17502.9982694649,1652.00173053505
2022-05-10,18955,17573.1389522733,1381.86104772666
2022-05-11,19320,17643.403562645,1676.59643735504
2022-05-12,19335,17713.761164728,1621.238835272
2022-05-13,19720,17784.1815157086,1935.81848429135
2022-05-16,19790,17854.6350429277,1935.36495707227
2022-05-17,18820,17925.0929739156,894.907026084434
2022-05-18,18980,17995.5273362045,984.472663795473
2022-05-19,19065,18065.9105272457,999.089472754312
2022-05-20,19065,18136.2153514314,928.784648568604
2022-05-23,19095,18206.4150261375,888.584973862545
2022-05-24,19065,18276.4831526616,788.516847338363
2022-05-25,19125,18346.3936996075,778.606300392509
2022-05-26,18670,18416.1209615197,253.879038480298
2022-05-27,18735,18485.6395547869,249.360445213104
2022-05-30,18875,18554.9242007419,320.075799258075
2022-05-31,19080,18623.9497237922,456.050276207819
2022-06-01,18950,18692.6910806531,257.308919346908
2022-06-02,19020,18761.1234165513,258.876583448684
2022-06-06,19250,18829.2219830748,420.778016925197
2022-06-07,18695,18896.9621388196,-201.962138819582
2022-06-08,18700,18964.3194163182,-264.319416318249
2022-06-09,18725,19031.269264618,-306.269264617972
2022-06-10,18700,19097.787023508,-397.787023508017
2022-06-13,19195,19163.8479061767,31.1520938232718
2022-06-14,19425,19229.4269613833,195.573038616701
2022-06-15,19390,19294.4992507653,95.500749234678
2022-06-16,19330,19359.0399168004,-29.039916800356
2022-06-17,19585,19423.0241414449,161.975858555131
2022-06-20,19760,19486.4270946494,273.572905350649
2022-06-21,19725,19549.2240133194,175.775986680556
2022-06-22,19370,19611.3902474427,-241.390247442683
2022-06-23,19770,19672.9012196689,97.0987803311203
2022-06-24,19675,19733.7322528634,-58.7322528633649
2022-06-27,20650,19793.8587100319,856.14128996807
2022-06-28,20515,19853.2559298998,661.744070100245
2022-06-29,20660,19911.8996050875,748.100394912545
2022-06-30,20830,19969.7657017535,860.234298246526
2022-07-01,21375,20026.8304952917,1348.16950470829
2022-07-04,22695,20083.0706166831,2611.92938331686
2022-07-05,22215,20138.463254185,2076.53674581502
2022-07-06,21220,20192.9866757247,1027.01332427533
2022-07-07,21995,20246.6200075843,1748.37999241569
2022-07-08,22940,20299.3428005711,2640.65719942895
2022-07-11,22705,20351.1353282051,2353.86467179486
2022-07-12,22665,20401.978955547,2263.02104445301
2022-07-13,22685,20451.8560206474,2233.14397935263
2022-07-14,22300,20500.7497970013,1799.25020299873
2022-07-15,21160,20548.6444811968,611.355518803174
2022-07-18,21715,20595.5250135567,1119.47498644332
2022-07-19,21550,20641.3765871148,908.623412885194
2022-07-20,21105,20686.1848576507,418.815142349263
2022-07-21,20555,20729.9358565361,-174.935856536069
2022-07-22,20970,20772.615788258,197.384211741982
2022-07-25,20200,20814.2107849957,-614.210784995717
2022-07-26,20270,20854.7070605186,-584.707060518616
2022-07-27,20685,20894.0905747057,-209.090574705698
2022-07-28,20925,20932.3470457396,-7.34704573956151
2022-07-29,21000,20969.4621053766,30.5378946234072
2022-08-01,20810,21005.4213823328,-195.421382332805
2022-08-02,22255,21040.2105179526,1214.78948204736
2022-08-03,21985,21073.8150727975,911.184927202459
2022-08-04,21985,21106.2211095723,878.778890427742
2022-08-05,22520,21137.4150676316,1382.58493236838
2022-08-08,21800,21167.3837495819,632.616250418141
2022-08-09,21950,21196.1145295328,753.885470467233
2022-08-10,21745,21223.5950430952,521.404956904766
2022-08-11,21730,21249.8132375039,480.186762496103
2022-08-12,21790,21274.7572755223,515.242724477702
2022-08-15,22235,21298.4155184019,936.584481598089
2022-08-16,22565,21320.7765403769,1244.22345962311
2022-08-17,22515,21341.8293028272,1173.17069717278
2022-08-18,22555,21361.5632814444,1193.43671855561
2022-08-19,22785,21379.9684368611,1405.03156313889
2022-08-22,23305,21397.0352230301,1907.96477696985
2022-08-23,23360,21412.7546746868,1947.24532531324
2022-08-24,23265,21427.1186152429,1837.88138475709
2022-08-25,23710,21440.1196730249,2269.88032697512
2022-08-26,23810,21451.7512360619,2358.24876393809
2022-08-29,23590,21462.0076306606,2127.99236933943
2022-08-30,23585,21470.8841579335,2114.11584206647
2022-08-31,23340,21478.3769986223,1861.62300137771
2022-09-01,23285,21484.4832073574,1800.5167926426
2022-09-02,23025,21489.2006082888,1535.79939171122
2022-09-05,23380,21492.527769826,1887.47223017401
2022-09-06,23030,21494.463895221,1535.53610477905
2022-09-07,23350,21495.0089679274,1854.99103207264
2022-09-08,22940,21494.1636061273,1445.83639387271
2022-09-09,23090,21491.9291947838,1598.07080521619
2022-09-13,23315,21488.307716506,1826.69228349403
