"SR0Date","SR0Close","SR0_hpft","SR0_hpfc"
2020-03-30,5524,5400.18025340664,123.819746593361
2020-03-31,5529,5395.35693192788,133.643068072123
2020-04-01,5405,5390.51220437206,14.4877956279443
2020-04-02,5401,5385.6489825721,15.3510174278988
2020-04-03,5442,5380.77018434951,61.229815650486
2020-04-07,5447,5375.87873387134,71.1212661286594
2020-04-08,5468,5370.97758061455,97.0224193854482
2020-04-09,5450,5366.06970345481,83.9302965451916
2020-04-10,5448,5361.15812137291,86.8418786270909
2020-04-13,5447,5356.24588804307,90.7541119569255
2020-04-14,5441,5351.33609303647,89.6639069635311
2020-04-15,5430,5346.43186343835,83.5681365616487
2020-04-16,5435,5341.53636339744,93.4636366025613
2020-04-17,5276,5336.65279160616,-60.6527916061631
2020-04-20,5265,5331.78438539106,-66.7843853910581
2020-04-21,5159,5326.9343570072,-167.934357007197
2020-04-22,5134,5322.10589110373,-188.105891103729
2020-04-23,5163,5317.30210291247,-154.302102912474
2020-04-24,5092,5312.52602990992,-220.526029909917
2020-04-27,4931,5307.78064579008,-376.780645790078
2020-04-28,4833,5303.06883309055,-470.068833090547
2020-04-29,4932,5298.3933186028,-366.393318602804
2020-04-30,5015,5293.75663481092,-278.756634810924
2020-05-06,5027,5289.16116274663,-262.161162746627
2020-05-07,5123,5284.60916821482,-161.609168214824
2020-05-08,5115,5280.10280865365,-165.102808653655
2020-05-11,5124,5275.64417469844,-151.64417469844
2020-05-12,5045,5271.23528873773,-226.235288737728
2020-05-13,5026,5266.87811047631,-240.878110476307
2020-05-14,4924,5262.57450610248,-338.574506102483
2020-05-15,4921,5258.32624223528,-337.326242235276
2020-05-18,4918,5254.13494554067,-336.134945540674
2020-05-19,4991,5250.0021032474,-259.002103247403
2020-05-20,5006,5245.92906363957,-239.929063639566
2020-05-21,5085,5241.91706794018,-156.917067940176
2020-05-22,4976,5237.96725819524,-261.967258195238
2020-05-25,5037,5234.08071158771,-197.080711587705
2020-05-26,5041,5230.25839701364,-189.258397013644
2020-05-27,5009,5226.50120190395,-217.501201903951
2020-05-28,5036,5222.80993545759,-186.80993545759
2020-05-29,4937,5219.18531696742,-282.18531696742
2020-06-01,4968,5215.62798850652,-247.627988506523
2020-06-02,4944,5212.1384755039,-268.138475503899
2020-06-03,5072,5208.71720102919,-136.717201029187
2020-06-04,5051,5205.3644773141,-154.364477314096
2020-06-05,5090,5202.08056007734,-112.080560077337
2020-06-08,5166,5198.8656412294,-32.8656412294015
2020-06-09,5139,5195.71986635108,-56.7198663510752
2020-06-10,5088,5192.64336743784,-104.643367437842
2020-06-11,5042,5189.63625303949,-147.636253039492
2020-06-12,5076,5186.6985884505,-110.698588450503
2020-06-15,5028,5183.8303779384,-155.830377938397
2020-06-16,5096,5181.03158001255,-85.0315800125511
2020-06-17,5087,5178.30208876792,-91.302088767922
2020-06-18,5100,5175.64176315121,-75.6417631512122
2020-06-19,5084,5173.05042436838,-89.0504243683763
2020-06-22,5104,5170.52786235806,-66.5278623580647
2020-06-23,5125,5168.07383024912,-43.0738302491195
2020-06-24,5104,5165.68805367029,-61.6880536702887
2020-06-29,4982,5163.37024044569,-181.370240445685
2020-06-30,5011,5161.12007289963,-150.120072899632
2020-07-01,5019,5158.93715838554,-139.93715838554
2020-07-02,5048,5156.82104220311,-108.821042203106
2020-07-03,5118,5154.77121180781,-36.7712118078112
2020-07-06,5146,5152.78710967259,-6.7871096725943
2020-07-07,5142,5150.86816307105,-8.86816307105001
2020-07-08,5252,5149.01379647099,102.98620352901
