"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2015-12-31",5001750,4960623.10983034,41126.8901696583
"2016-01-04",4993250,4961937.54199842,31312.4580015757
"2016-01-05",4979750,4963235.95684839,16514.0431516114
"2016-01-06",5001000,4964518.2170029,36481.7829970986
"2016-01-07",4993250,4965784.19191089,27465.8080891064
"2016-01-08",5012000,4967033.76610137,44966.2338986326
"2016-01-11",5011500,4968266.83545659,43233.1645434081
"2016-01-12",5031000,4969483.31444607,61516.6855539286
"2016-01-13",5041000,4970683.13541018,70316.8645898194
"2016-01-14",5022250,4971866.2561178,50383.7438822034
"2016-01-15",5032250,4973032.66340394,59217.336596056
"2016-01-18",5014250,4974182.36493032,40067.6350696791
"2016-01-19",5006500,4975315.39283662,31184.6071633759
"2016-01-20",5013500,4976431.79582494,37068.2041750636
"2016-01-21",5018250,4977531.6354878,40718.3645121997
"2016-01-22",5021000,4978614.98874027,42385.0112597277
"2016-01-25",4991750,4979681.94932871,12068.0506712938
"2016-01-26",4995500,4980732.62851975,14767.3714802504
"2016-01-27",4988500,4981767.14256849,6732.85743151246
"2016-01-28",4998250,4982785.61383423,15464.3861657709
"2016-01-29",5018250,4983788.16745939,34461.8325406119
"2016-02-01",5017000,4984774.93497873,32225.0650212681
"2016-02-02",4996000,4985746.06217217,10253.9378278263
"2016-02-03",5003500,4986701.70814016,16798.2918598425
"2016-02-04",5012500,4987642.03622171,24857.9637782882
"2016-02-05",5014750,4988567.21669958,26182.7833004205
"2016-02-15",5035000,4989477.43013181,45522.5698681943
"2016-02-16",5018000,4990372.86789935,27627.1321006482
"2016-02-17",5020750,4991253.74020036,29496.2597996371
"2016-02-18",5027250,4992120.2686529,35129.7313470981
"2016-02-19",5024750,4992972.68706765,31777.3129323542
"2016-02-22",5022500,4993811.24377646,28688.7562235385
"2016-02-23",5020250,4994636.20024669,25613.7997533124
"2016-02-24",5022500,4995447.82980446,27052.1701955415
"2016-02-25",5020000,4996246.41636361,23753.5836363941
"2016-02-26",5028500,4997032.25502023,31467.7449797655
"2016-02-29",5035000,4997805.65068924,37194.3493107628
"2016-03-01",5030000,4998566.921293,31433.0787070004
"2016-03-02",5015000,4999316.40012856,15683.5998714355
"2016-03-03",5034000,5000054.43348614,33945.5665138554
"2016-03-07",5030250,5000781.37413892,29468.6258610772
"2016-03-14",4982500,5001497.58889181,-18997.5888918093
"2016-03-15",4985500,5002203.45673087,-16703.4567308665
"2016-03-16",4999250,5002899.34878931,-3649.34878930615
"2016-03-17",4984750,5003585.6292958,-18835.6292957992
"2016-03-18",4984000,5004262.66097054,-20262.6609705447
"2016-03-21",4975500,5004930.79874784,-29430.7987478365
"2016-03-22",4981250,5005590.3891862,-24340.3891861972
"2016-03-23",4982250,5006241.76667864,-23991.7666786415
"2016-03-24",4992750,5006885.25555685,-14135.2555568452
"2016-03-25",4990750,5007521.17023525,-16771.1702352552
"2016-03-28",4980750,5008149.81928538,-27399.8192853764
"2016-03-29",4990250,5008771.50434618,-18521.50434618
"2016-03-30",4990000,5009386.51573066,-19386.5157306606
"2016-03-31",4990000,5009995.13609575,-19995.1360957495
"2016-04-01",4993500,5010597.64008479,-17097.6400847904
"2016-04-05",4981500,5011194.29407594,-29694.2940759396
"2016-04-06",4978750,5011785.35737987,-33035.3573798729
"2016-04-07",4973750,5012371.07703284,-38621.0770328355
"2016-04-08",4984000,5012951.68641559,-28951.6864155918
"2016-04-11",4987250,5013527.40294449,-26277.4029444921
"2016-04-12",4987500,5014098.43206844,-26598.432068443
"2016-04-13",4977500,5014664.96837432,-37164.9683743158
"2016-04-14",4963250,5015227.19545426,-51977.1954542653
"2016-04-15",4974250,5015785.28153795,-41535.2815379465
"2016-04-18",4975250,5016339.37336972,-41089.3733697187
"2016-04-19",4979000,5016889.60052494,-37889.6005249385
"2016-04-20",4964750,5017436.07559426,-52686.0755942585
"2016-04-21",4965250,5017978.89550631,-52728.8955063089
"2016-04-22",4969250,5018518.1354114,-49268.1354114002
"2016-04-25",4952500,5019053.84866384,-66553.8486638437
"2016-04-26",4967250,5019586.06825248,-52336.0682524755
"2016-04-27",4967250,5020114.79965546,-52864.7996554631
"2016-04-28",4980500,5020640.02671734,-40140.0267173356
"2016-04-29",4975750,5021161.71143045,-45411.7114304453
"2016-05-03",4987500,5021679.79919487,-34179.7991948697
"2016-05-04",4992250,5022194.21663931,-29944.2166393111
"2016-05-05",4992500,5022704.87626392,-30204.8762639227
"2016-05-06",4993750,5023211.67819111,-29461.6781911137
"2016-05-09",5012250,5023714.51005782,-11464.5100578178
"2016-05-10",5017500,5024213.24732269,-6713.24732268546
"2016-05-11",5013500,5024707.76070542,-11207.760705416
"2016-05-12",5025000,5025197.91815071,-197.918150713508
"2016-05-13",5023250,5025683.58297044,-2433.58297044124
"2016-05-16",5015250,5026164.61839466,-10914.618394658
"2016-05-17",5013250,5026640.88664748,-13390.8866474778
"2016-05-18",5e+06,5027112.24544134,-27112.2454413389
"2016-05-19",4999000,5027578.54695344,-28578.5469534405
"2016-05-20",5007750,5028039.63215385,-20289.6321538532
"2016-05-23",5001500,5028495.33019944,-26995.3301994397
"2016-05-24",5004500,5028945.46186014,-24445.4618601407
"2016-05-25",5004500,5029389.83674711,-24889.8367471093
"2016-05-26",4999750,5029828.25436673,-30078.254366726
"2016-05-27",4995500,5030260.50393693,-34760.5039369255
"2016-05-30",4995000,5030686.36224249,-35686.3622424951
"2016-05-31",5e+06,5031105.59169962,-31105.5916996208
"2016-06-01",4999500,5031517.93997319,-32017.9399731917
"2016-06-14",4970500,5031923.14187028,-61423.1418702848
"2016-06-15",4974250,5032320.91896305,-58070.9189630535
"2016-06-16",4989750,5032710.9674338,-42960.9674337962
"2016-06-17",4986500,5033092.95946064,-46592.9594606396
"2016-06-20",4985750,5033466.54946335,-47716.5494633554
"2016-06-21",4991750,5033831.37260208,-42081.3726020773
"2016-06-22",4994000,5034187.04431282,-40187.0443128148
"2016-06-23",4993250,5034533.16263683,-41283.1626368342
"2016-06-24",5008250,5034869.3090037,-26619.3090037023
"2016-06-27",5022500,5035195.04777818,-12695.0477781834
"2016-06-28",5007000,5035509.93232169,-28509.9323216914
"2016-06-29",5005250,5035813.51074802,-30563.5107480211
"2016-06-30",5019500,5036105.3193861,-16605.3193861012
"2016-07-01",5031500,5036384.88193113,-4884.88193112851
"2016-07-04",5018000,5036651.71521436,-18651.7152143594
"2016-07-05",5013250,5036905.3340478,-23655.3340478001
"2016-07-06",5021500,5037145.24553359,-15645.2455335949
"2016-07-07",5034500,5037370.94699576,-2870.94699576271
"2016-07-08",5034750,5037581.92929116,-2831.92929115592
"2016-07-11",5024750,5037777.68208991,-13027.6820899132
"2016-07-12",5015750,5037957.69389156,-22207.6938915574
"2016-07-13",5012500,5038121.44781051,-25621.4478105132
"2016-07-14",5016000,5038268.41778141,-22268.4177814131
