"USDCNHDate","USDCNHClose","USDCNH_hpft","USDCNH_hpfc"
2014-08-23,6.156,6.17086463997193,-0.0148646399719334
2014-08-24,6.1571,6.17028060753827,-0.0131806075382654
2014-08-25,6.155,6.16970690667919,-0.0147069066791875
2014-08-26,6.1505,6.1691438111112,-0.0186438111112033
2014-08-27,6.1438,6.16859158847162,-0.0247915884716196
2014-08-28,6.1503,6.16805049869109,-0.0177504986910919
2014-08-29,6.1494,6.16752079145246,-0.0181207914524605
2014-08-30,6.1494,6.16700270910121,-0.01760270910121
2014-08-31,6.1496,6.16649648649242,-0.0168964864924242
2014-09-01,6.1459,6.16600235120494,-0.0201023512049355
2014-09-02,6.1522,6.16552052383324,-0.0133205238332425
2014-09-03,6.145,6.16505121666232,-0.020051216662323
2014-09-04,6.1468,6.16459463647104,-0.0177946364710361
2014-09-05,6.1412,6.16415098174983,-0.0229509817498249
2014-09-08,6.14,6.16372044363358,-0.0237204436335817
2014-09-09,6.1385,6.16330320377018,-0.0248032037701769
2014-09-10,6.1333,6.16289943400235,-0.0295994340023544
2014-09-11,6.1366,6.16250929592028,-0.0259092959202821
2014-09-12,6.1406,6.16213293887887,-0.021532938878865
2014-09-13,6.1402,6.16177050152317,-0.02157050152317
2014-09-14,6.1434,6.16142211359742,-0.0180221135974218
2014-09-15,6.1707,6.16108789592943,0.00961210407056496
2014-09-16,6.1561,6.16076796189744,-0.00466796189743943
2014-09-17,6.158,6.16046242885291,-0.0024624288529116
2014-09-18,6.1458,6.16017141221776,-0.0143714122177558
2014-09-19,6.1443,6.159895026396,-0.0155950263959966
2014-09-20,6.1442,6.15963337985117,-0.0154333798511693
2014-09-21,6.1454,6.15938657460041,-0.0139865746004122
2014-09-22,6.1534,6.15915470628129,-0.00575470628129183
2014-09-23,6.1422,6.15893786474996,-0.0167378647499593
2014-09-24,6.1395,6.15873613748373,-0.0192361374837312
2014-09-25,6.1474,6.15854960504115,-0.0111496050411501
2014-09-26,6.1445,6.15837834002943,-0.0138783400294264
2014-09-27,6.1447,6.15822241044685,-0.0135224104468477
2014-09-28,6.1462,6.15808187855503,-0.0118818785550265
2014-09-29,6.1787,6.15795680102592,0.020743198974076
2014-09-30,6.1792,6.15784722962001,0.021352770379988
2014-10-01,6.1703,6.1577532246722,0.012546775327795
2014-10-02,6.1606,6.15767485534373,0.00292514465627036
2014-10-03,6.1674,6.1576121959822,0.00978780401780042
2014-10-04,6.167,6.15756532214434,0.00943467785566006
2014-10-05,6.1667,6.15753431343277,0.00916568656723297
2014-10-06,6.1529,6.15751925335002,-0.00461925335002249
2014-10-07,6.147,6.15752022918736,-0.0105202291873644
2014-10-08,6.1392,6.15753732632661,-0.0183373263266118
2014-10-09,6.139,6.157570625801,-0.0185706258009979
2014-10-10,6.1413,6.1576202010638,-0.0163202010638014
2014-10-11,6.1412,6.15768611789198,-0.0164861178919767
2014-10-12,6.1413,6.15776843531634,-0.0164684353163441
2014-10-13,6.136,6.15786720555301,-0.0218672055530138
2014-10-14,6.1411,6.15798247401076,-0.0168824740107651
2014-10-15,6.135,6.15811427705926,-0.0231142770592632
2014-10-16,6.1425,6.15826264408973,-0.015762644089725
2014-10-17,6.1413,6.15842759493882,-0.0171275949388222
2014-10-18,6.1416,6.15860914292755,-0.0170091429275496
2014-10-19,6.1398,6.15880729429712,-0.0190072942971171
2014-10-20,6.1332,6.15902204825774,-0.0258220482577412
2014-10-21,6.1276,6.15925339616294,-0.0316533961629413
2014-10-22,6.1246,6.15950131869228,-0.0349013186922796
2014-10-23,6.1252,6.15976578344111,-0.0345657834411046
2014-10-24,6.124,6.16004674357801,-0.036046743578013
2014-10-25,6.1242,6.16034413798349,-0.0361441379834914
2014-10-26,6.1246,6.16065789063771,-0.0360578906377059
2014-10-27,6.1199,6.16098791058036,-0.0410879105803548
2014-10-28,6.1143,6.1613340919462,-0.0470340919462
2014-10-29,6.117,6.16169631188596,-0.0446963118859584
2014-10-30,6.1176,6.16207442810832,-0.04447442810832
2014-10-31,6.128,6.16246827984631,-0.0344682798463104
2014-11-01,6.1281,6.16287768794903,-0.034777687949026
2014-11-02,6.1291,6.16330245901776,-0.0342024590177582
2014-11-03,6.13,6.16374238527811,-0.0337423852781057
2014-11-04,6.1181,6.16419724481775,-0.046097244817752
2014-11-05,6.1217,6.16466680177662,-0.0429668017766175
