"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2019-04-11,3703,3669.43692766704,33.5630723329555
2019-04-12,3693,3670.28821486569,22.7117851343073
2019-04-15,3752,3671.12577289895,80.8742271010504
2019-04-16,3695,3671.94883899266,23.0511610073406
2019-04-17,3719,3672.75668380287,46.2433161971337
2019-04-18,3646,3673.54858751398,-27.5485875139821
2019-04-19,3686,3674.32384942551,11.676150574487
2019-04-22,3708,3675.08175744953,32.9182425504695
2019-04-23,3692,3675.82160432462,16.1783956753797
2019-04-24,3679,3676.54269639633,2.45730360367191
2019-04-25,3648,3677.24434669778,-29.2443466977778
2019-04-26,3679,3677.92586927783,1.07413072216533
2019-04-29,3714,3678.5865660969,35.4134339030988
2019-04-30,3789,3679.22573955937,109.774260440634
2019-05-06,3714,3679.84270670815,34.1572932918535
2019-05-07,3732,3680.43682996241,51.5631700375929
2019-05-08,3687,3681.00748586059,5.99251413940554
2019-05-09,3669,3681.55407225526,-12.5540722552645
2019-05-10,3682,3682.07598947606,-0.0759894760559821
2019-05-13,3611,3682.57263266326,-71.5726326632646
2019-05-14,3595,3683.04339692571,-88.0433969257127
2019-05-15,3637,3683.48764778703,-46.4876477870308
2019-05-16,3652,3683.90471437724,-31.9047143772405
2019-05-17,3682,3684.29390661019,-2.29390661019195
2019-05-20,3646,3684.6545212117,-38.6545212117016
2019-05-21,3765,3684.98585395929,80.0141460407125
2019-05-22,3757,3685.28718465238,71.7128153476188
2019-05-23,3725,3685.55782616486,39.4421738351409
2019-05-24,3726,3685.79712101396,40.2028789860363
2019-05-27,3666,3686.00442802061,-20.0044280206101
2019-05-28,3669,3686.17912262406,-17.1791226240639
2019-05-29,3670,3686.32057199447,-16.3205719944708
2019-05-30,3640,3686.42813620092,-46.4281362009174
2019-05-31,3625,3686.50116856614,-61.5011685661351
2019-06-03,3577,3686.53900322139,-109.539003221391
2019-06-04,3609,3686.54094887585,-77.5409488758479
2019-06-05,3607,3686.50626895953,-79.5062689595287
2019-06-06,3597,3686.43419485031,-89.4341948503143
2019-06-10,3576,3686.32392506131,-110.323925061309
2019-06-11,3655,3686.17462113714,-31.1746211371405
2019-06-12,3620,3685.98539901886,-65.9853990188646
2019-06-13,3637,3685.75536176145,-48.7553617614489
2019-06-14,3628,3685.48358514392,-57.4835851439154
2019-06-17,3585,3685.16912479179,-100.169124791792
2019-06-18,3601,3684.81101256929,-83.8110125692851
2019-06-19,3653,3684.4082389347,-31.4082389347027
2019-06-20,3711,3683.95975970219,27.0402402978109
2019-06-21,3760,3683.46451770312,76.5354822968806
2019-06-24,3846,3682.92146694605,163.078533053952
2019-06-25,3913,3682.32959307633,230.670406923667
2019-06-26,3916,3681.68794914944,234.312050850561
2019-06-27,3897,3680.99568357057,216.004316429429
2019-06-28,3953,3680.25204160031,272.747958399692
2019-07-01,3983,3679.45635778658,303.543642213419
2019-07-02,3918,3678.6080794205,239.391920579497
2019-07-03,3910,3677.70677926573,232.293220734265
2019-07-04,3892,3676.75212904111,215.247870958889
2019-07-05,3858,3675.74389648596,182.256103514037
2019-07-08,3871,3674.6819383147,196.318061685301
2019-07-09,3910,3673.56618657879,236.433813421212
2019-07-10,3884,3672.39665447989,211.603345520114
2019-07-11,3874,3671.17345295175,202.826547048249
2019-07-12,3837,3669.89678039652,167.103219603479
2019-07-15,3898,3668.56691905671,229.433080943288
2019-07-16,3898,3667.18422024838,230.815779751619
2019-07-17,3921,3665.74913012636,255.250869873643
2019-07-18,3861,3664.26219025509,196.737809744909
2019-07-19,3904,3662.72404770965,241.275952290349
2019-07-22,3863,3661.13543088857,201.864569111429
2019-07-23,3866,3659.49716792409,206.502832075906
2019-07-24,3827,3657.81017039134,169.189829608655
2019-07-25,3866,3656.07543522518,209.924564774815
2019-07-26,3846,3654.29402929695,191.705970703054
2019-07-29,3797,3652.46710625221,144.532893747786
2019-07-30,3785,3650.59589898017,134.404101019827
2019-07-31,3806,3648.68170011404,157.318299885957
2019-08-01,3781,3646.72585784425,134.27414215575
2019-08-02,3746,3644.72978539043,101.270214609566
2019-08-05,3688,3642.69495147576,45.3050485242397
2019-08-06,3658,3640.6228666842,17.3771333157975
2019-08-07,3657,3638.51506032715,18.4849396728535
2019-08-08,3643,3636.37306889912,6.62693110088064
2019-08-09,3598,3634.19843653545,-36.1984365354543
2019-08-12,3686,3631.99271011076,54.0072898892411
2019-08-13,3660,3629.75742153673,30.24257846327
2019-08-14,3695,3627.49412504946,67.5058749505398
2019-08-15,3722,3625.20438738617,96.7956126138287
2019-08-16,3730,3622.88980318825,107.110196811754
2019-08-19,3745,3620.55200710849,124.447992891513
2019-08-20,3709,3618.19267807472,90.8073219252762
2019-08-21,3720,3615.81354645667,104.186453543332
2019-08-22,3714,3613.41638016,100.583619840005
2019-08-23,3724,3611.00299015698,112.997009843023
2019-08-26,3660,3608.5752289971,51.4247710029025
2019-08-27,3561,3606.1349959382,-45.1349959381994
2019-08-28,3385,3603.68421149511,-218.68421149511
2019-08-29,3345,3601.22477752564,-256.224777525645
2019-08-30,3407,3598.75850549238,-191.758505492384
2019-09-02,3460,3596.28710094485,-136.287100944854
2019-09-03,3454,3593.81219016734,-139.812190167337
