"J0Date","J0Close","J0_hpft","J0_hpfc"
2011-08-17,2156,2198.81331011252,-42.8133101125178
2011-08-18,2139,2196.29877334153,-57.2987733415268
2011-08-19,2108,2193.784354136,-85.7843541360011
2011-08-22,2242,2191.27051488733,50.7294851126692
2011-08-23,2155,2188.7576825271,-33.7576825271038
2011-08-24,2187,2186.24630495644,0.753695043560793
2011-08-25,2215,2183.73681612238,31.2631838776151
2011-08-26,2213,2181.22965028354,31.7703497164631
2011-08-29,2209,2178.72525462143,30.274745378565
2011-08-30,2213,2176.2240894502,36.7759105497983
2011-08-31,2242,2173.72662759832,68.2733724016798
2011-09-01,2238,2171.23335709596,66.766642904038
2011-09-02,2215,2168.74479419477,46.2552058052325
2011-09-05,2218,2166.26148274502,51.7385172549843
2011-09-06,2243,2163.78398571703,79.216014282974
2011-09-07,2249,2161.31288746775,87.6871125322528
2011-09-08,2238,2158.84880509885,79.151194901148
2011-09-09,2243,2156.39239195831,86.6076080416902
2011-09-13,2232,2153.94433411203,78.0556658879723
2011-09-14,2222,2151.50535342603,70.4946465739751
2011-09-15,2230,2149.07620403139,80.9237959686122
2011-09-16,2243,2146.65766919885,96.3423308011501
2011-09-19,2220,2144.25056564978,75.7494343502168
2011-09-20,2213,2141.85574992963,71.1442500703723
2011-09-21,2233,2139.47410989556,93.5258901044376
2011-09-22,2190,2137.10656281295,52.8934371870506
2011-09-23,2141,2134.75406460706,6.24593539294325
2011-09-26,2073,2132.41759306704,-59.4175930670426
2011-09-27,2106,2130.09812856401,-24.0981285640054
2011-09-28,2087,2127.79662690809,-40.7966269080901
2011-09-29,2022,2125.51403394835,-103.514033948352
2011-09-30,2038,2123.25127867012,-85.2512786701247
2011-10-10,2046,2121.00924727011,-75.0092472701138
2011-10-11,2054,2118.7887907057,-64.7887907057021
2011-10-12,2063,2116.5907289284,-53.590728928403
2011-10-13,2061,2114.41585510867,-53.4158551086749
2011-10-14,2057,2112.26494026474,-55.2649402647408
2011-10-17,2016,2110.13873333477,-94.1387333347733
2011-10-18,1987,2108.03796041274,-121.037960412741
2011-10-19,1982,2105.96330867938,-123.963308679376
2011-10-20,1890,2103.91541528324,-213.915415283238
2011-10-21,1919,2101.89486613133,-182.894866131326
2011-10-24,1961,2099.90215870677,-138.902158706767
2011-10-25,1968,2097.93771489119,-129.937714891187
