"CT00YDate","CT00YClose","CT00Y_hpft","CT00Y_hpfc"
2016-07-15,74.33,66.8544444189055,7.47555558109449
2016-07-18,73.97,66.9318787227688,7.0381212772312
2016-07-19,73.43,67.0085998016155,6.42140019838446
2016-07-20,72.62,67.0845836551502,5.53541634484982
2016-07-21,73.24,67.159808937426,6.08019106257396
2016-07-22,72.9,67.2342565906135,5.66574340938651
2016-07-25,72.37,67.3079100701915,5.06208992980855
2016-07-26,74.13,67.3807551736239,6.74924482637615
2016-07-27,73.7,67.452779790847,6.24722020915301
2016-07-28,73.06,67.5239746016579,5.5360253983421
2016-07-29,74.02,67.594332868206,6.42566713179405
2016-08-01,74.22,67.6638501410095,6.55614985899049
2016-08-02,73.97,67.7325246267002,6.2374753732998
2016-08-03,74.33,67.8003572419581,6.52964275804192
2016-08-04,75.81,67.867351481784,7.94264851821604
2016-08-05,76.58,67.9335135402712,8.64648645972882
2016-08-08,76.02,67.9988528946842,8.02114710531577
2016-08-09,73.13,68.0633825963994,5.06661740360061
2016-08-10,71.44,68.1271190124095,3.31288098759051
2016-08-11,72.15,68.190080604044,3.95991939595599
2016-08-12,71.06,68.2522872020452,2.80771279795484
2016-08-15,68.92,68.313760274026,0.606239725974007
2016-08-16,68.92,68.3745224481963,0.545477551803687
2016-08-17,69.01,68.4345966033601,0.57540339663985
2016-08-18,69.24,68.4940058437992,0.745994156200822
2016-08-19,68.23,68.5527735116452,-0.322773511645172
2016-08-22,68.5,68.6109232573937,-0.110923257393658
2016-08-23,68.78,68.6684785981174,0.111521401882597
2016-08-24,68.06,68.7254630050389,-0.665463005038919
2016-08-25,68.08,68.7818999954791,-0.701899995479051
2016-08-26,68.1,68.8378128116832,-0.73781281168316
2016-08-29,67.13,68.8932244057585,-1.76322440575855
2016-08-30,66.56,68.9481574248312,-2.38815742483122
2016-08-31,65.65,69.0026337871809,-3.35263378718093
2016-09-01,68.25,69.0566744239185,-0.806674423918453
2016-09-02,67.85,69.1102988803119,-1.26029888031191
