"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2010-11-05,21125,18369.048940062,2755.951059938
2010-11-08,20560,18386.475333368,2173.52466663203
2010-11-09,20850,18403.5168085494,2446.48319145063
2010-11-10,20650,18420.1727114731,2229.82728852688
2010-11-11,21035,18436.4433992852,2598.55660071483
2010-11-12,19935,18452.3301508502,1482.66984914981
2010-11-15,18705,18467.8353191746,237.164680825394
2010-11-16,18255,18482.9618701393,-227.961870139346
2010-11-17,17815,18497.7128676592,-682.712867659173
2010-11-18,18070,18512.09128142,-442.091281420002
2010-11-19,18335,18526.0997989007,-191.099798900703
2010-11-22,17970,18539.7409248369,-569.740924836936
2010-11-23,17200,18553.0170849726,-1353.01708497263
2010-11-24,17620,18565.9304695426,-945.930469542603
2010-11-25,17370,18578.4827094999,-1208.48270949992
2010-11-26,17430,18590.675044787,-1160.67504478704
2010-11-29,17685,18602.5082158082,-917.508215808163
2010-11-30,17515,18613.9824831924,-1098.98248319239
2010-12-01,17665,18625.0977283068,-960.097728306826
2010-12-02,18360,18635.853378244,-275.85337824395
2010-12-03,18400,18646.2484632297,-246.248463229652
2010-12-06,18465,18656.281899464,-191.281899463971
2010-12-07,18545,18665.9525013576,-120.95250135764
2010-12-08,18105,18675.2590042521,-570.25900425208
2010-12-09,18430,18684.200093493,-254.200093492963
2010-12-10,18545,18692.7742187038,-147.774218703823
2010-12-13,19040,18700.9797244312,339.020275568819
2010-12-14,19065,18708.8148941384,356.185105861562
2010-12-15,18470,18716.2781514261,-246.278151426103
2010-12-16,18515,18723.3680671273,-208.36806712726
2010-12-17,18780,18730.0831102736,49.916889726439
2010-12-20,18690,18736.4216637652,-46.4216637651852
2010-12-21,18960,18742.3821311371,217.617868862856
2010-12-22,18760,18747.9628967341,12.0371032658824
2010-12-23,18905,18753.1624348564,151.837565143565
2010-12-24,18860,18757.9792247793,102.020775220747
2010-12-27,18695,18762.4118085421,-67.4118085421284
2010-12-28,19060,18766.4587703554,293.541229644581
2010-12-29,19365,18770.1186665641,594.881333435873
2010-12-30,19620,18773.3901748514,846.609825148565
2010-12-31,19695,18776.2722188003,918.727781199718
2011-01-04,19750,18778.7640719484,971.235928051561
2011-01-05,19475,18780.8653875989,694.134612401142
