"EUPMIDate","EUPMI","EUPMI_hpft","EUPMI_hpfc"
2017-02-01,55.4,55.648620921098,-0.248620921098047
2017-01-01,55.2,55.341956127007,-0.141956127006973
2016-12-01,54.9,55.0240516519558,-0.124051651955842
2016-11-01,53.7,54.7022753649003,-1.00227536490032
2016-10-01,53.5,54.3838917584195,-0.883891758419478
2016-09-01,52.6,54.0753300956216,-1.47533009562162
2016-08-01,51.7,53.7822830631497,-2.08228306314972
2016-07-01,52,53.5092139059004,-1.50921390590037
2016-06-01,52.8,53.2588506328842,-0.458850632884213
2016-05-01,51.5,53.032663574857,-1.53266357485699
2016-04-01,51.7,52.831740687047,-1.13174068704702
2016-03-01,51.6,52.6558927050369,-1.05589270503692
2016-02-01,51.2,52.5039872471701,-1.30398724717011
2016-01-01,52.3,52.3740120212024,-0.0740120212024437
2015-12-01,53.2,52.2628680788505,0.937131921149508
2015-11-01,52.8,52.1673947951465,0.632605204853488
2015-10-01,52.3,52.0852124883903,0.214787511609654
2015-09-01,52,52.0144686478859,-0.0144686478858985
2015-08-01,52.3,51.9534897525301,0.346510247469932
2015-07-01,52.4,51.9005902240132,0.499409775986798
2015-06-01,52.5,51.8543732425652,0.645626757434802
2015-05-01,52.2,51.8138581632293,0.386141836770723
2015-04-01,52,51.7786023633465,0.221397636653475
2015-03-01,52.2,51.748485005122,0.451514994878007
2015-02-01,51,51.7235697487913,-0.723569748791286
2015-01-01,51,51.7042965170857,-0.70429651708574
2014-12-01,50.6,51.690502257946,-1.09050225794603
2014-11-01,50.1,51.6814370055486,-1.58143700554859
2014-10-01,50.6,51.6754420421882,-1.07544204218824
2014-09-01,50.3,51.6695407859885,-1.3695407859885
2014-08-01,50.7,51.6598604533711,-0.959860453371057
2014-07-01,51.8,51.6413869767693,0.158613023230685
2014-06-01,51.8,51.6083064049055,0.191693595094515
2014-05-01,52.2,51.5549369640212,0.645063035978811
2014-04-01,53.4,51.4757566250206,1.92424337497942
2014-03-01,53,51.3657809113378,1.63421908866219
2014-02-01,53.2,51.2216288825528,1.97837111744716
2014-01-01,54,51.0412814474862,2.95871855251378
2013-12-01,52.7,50.8243681575563,1.8756318424437
2013-11-01,51.6,50.5729841629753,1.0270158370247
2013-10-01,51.3,50.2907876404907,1.00921235950927
2013-09-01,51.1,49.9822926133809,1.11770738661905
2013-08-01,51.4,49.6528541152239,1.74714588477606
2013-07-01,50.3,49.3087586024198,0.99124139758016
2013-06-01,48.8,48.9577484862728,-0.157748486272791
2013-05-01,48.3,48.6083922125849,-0.308392212584908
2013-04-01,46.7,48.2691267700864,-1.5691267700864
2013-03-01,46.8,47.948132153997,-1.14813215399704
2013-02-01,47.9,47.6522807538948,0.247719246105219
2013-01-01,47.9,47.3874881825626,0.512511817437356
2012-12-01,46.1,47.1598764854887,-1.05987648548869
2012-11-01,46.2,46.9759948013422,-0.775994801342242
2012-10-01,45.4,46.8415090383879,-1.44150903838795
2012-09-01,46.1,46.7614384425562,-0.661438442556153
2012-08-01,45.1,46.7396010022451,-1.63960100224505
2012-07-01,44,46.7792635071508,-2.77926350715079
2012-06-01,45.1,46.882326412801,-1.782326412801
2012-05-01,45.1,47.0483741218006,-1.94837412180064
2012-04-01,45.9,47.2755057647441,-1.37550576474413
2012-03-01,47.7,47.5601968271241,0.13980317287586
2012-02-01,49,47.8977765396296,1.10222346037039
2012-01-01,48.8,48.2836906355934,0.516309364406584
2011-12-01,46.9,48.7143033678987,-1.81430336789875
2011-11-01,46.4,49.1864092472326,-2.78640924723256
2011-10-01,47.1,49.6952908648085,-2.59529086480847
2011-09-01,48.5,50.2339088041341,-1.73390880413414
2011-08-01,49,50.7930609063298,-1.79306090632983
2011-07-01,50.4,51.3621000885124,-0.96210008851236
2011-06-01,52,51.9288850503766,0.0711149496233521
2011-05-01,54.6,52.4804727415438,2.1195272584562
2011-04-01,58,53.003979374093,4.99602062590702
2011-03-01,57.5,53.4882874328187,4.0117125671813
2011-02-01,59,53.9264427530372,5.07355724696285
2011-01-01,57.3,54.3148342638704,2.9851657361296
2010-12-01,57.1,54.654078858813,2.44592114118702
2010-11-01,55.3,54.947281069473,0.35271893052701
2010-10-01,54.6,55.1995836950761,-0.599583695076088
2010-09-01,53.7,55.4164234672901,-1.71642346729006
2010-08-01,55.1,55.6027374647035,-0.50273746470345
2010-07-01,56.7,55.7620324130154,0.937967586984607
2010-06-01,55.6,55.8973960900378,-0.297396090037787
2010-05-01,55.8,56.0126979132383,-0.212697913238335
2010-04-01,57.6,56.1115594700097,1.48844052999029
2010-03-01,56.6,56.1974250994836,0.402574900516452
2010-02-01,54.2,56.2749795078998,-2.07497950789983
2010-01-01,52.4,56.3492428805823,-3.9492428805823
